,﻿APEC blue,none
0,covert deals,none
1,the Olympic Extension,none
2,stay up late,none
3,white-collar crime,none
4,start from scratch,none
5,century-old shop,none
6,seeing is believing,none
7,put on airs,none
8,act arrogant and superior,none
9,shake off poverty,none
10,money worship,none
11,crew cut,none
12,chartered flight,none
13,sweep,"n. a wide scope
n. a long oar used in an open boat
n. a movement in an arc
v. move with sweeping, effortless, gliding motions"
14,postgraduate recommendation,none
15,indemnificatory housing,none
16,indemnificatory apartment,none
17,cash deposit,none
18,therapeutic massage,none
19,shelf life,none
20,off the charts,none
21,industry of windfall profits,none
22,reimburse,v. pay back for some expense incurred
23,be the scapegoat,none
24,bear the blame,none
25,backpack tour,none
26,tragedy trump card,none
27,be released from quarantine,none
28,the year of one's animal sign,none
29,forced confession,none
30,extortive donation,none
31,unemployed graduate,none
32,disdain chain,none
33,match-throwing,none
34,closed-book exam,none
35,sidestep taxes,none
36,written confession,none
37,disguise inflation,none
38,drag racing,none
39,lip service,none
40,sick leave,none
41,cram study sessions,none
42,bad loan,none
43,bad practice,none
44,harmful practice,none
45,pedestrians-only street,none
46,residents of Chaoyang District,none
47,asset declaration,none
48,kitchen waste,none
49,market manipulation,none
50,long-haul flight,none
51,maternity leave,none
52,excess industrial capacity,none
53,standing committee,none
54,put on a rival show,none
55,tea ceremony,none
56,sado,none
57,excessive consumption,none
58,outdo oneself,none
59,car quota,none
60,auto show model,none
61,traffic subsidy,none
62,shirk,v. avoid dealing with
63,pass the buck,none
64,urban management officer,none
65,sense of achievement,none
66,inter-city high-speed rail,none
67,inter-city train,none
68,inter-city commuters,none
69,urban air corridor,none
70,urban housing fund,none
71,rural-urban integration,none
72,the integration of urban and rural areas,none
73,urban growth boundary,none
74,UGB,none
75,ready-to-wear line,none
76,be given cold shoulder,none
77,be jealous,none
78,be green with envy,none
79,on the government payroll,none
80,receive kickbacks,none
81,sought-after,s being searched for
82,freeloading,v live off somebody's generosity
83,renowned trademark,none
84,authorized busker,none
85,impulse buys,none
86,rechargeable card,none
87,overlapping project,none
88,appearance fee,none
89,punching bag,none
90,maiden work,none
91,make life difficult for,none
92,make it hot for,none
93,pyramid scheme,none
94,run yellow lights,none
95,set a new record,none
96,inaugural issue,none
97,pro-innovation government,none
98,briefing,"n. detailed instructions, as for a military operation"
99,Spring Festival travel rush,none
100,secondary disaster,none
101,whip-round,n. (British) solicitation of money usually for a benevolent purpose
102,staggered rush hour,none
103,doctor food label,none
104,phishing WiFi,none
105,give a lift,none
106,taxi-hailing app,none
107,put ... in a doggy bag,none
108,wrap up,none
109,take a nano nap,none
110,squeal on someone,none
111,working holiday visa,none
112,WHV,none
113,food stand,none
114,snack stand,none
115,A-list star,none
116,big V,none
117,verified Weibo users who have more than 500000 followers,none
118,affordable restaurant,none
119,junior college student,none
120,designated driver business,none
121,substitute teacher,none
122,gift card,none
123,surrogate motherhood,none
124,surrogate mother,none
125,paid annual leave,none
126,odd-even car ban,none
127,navigation satellite,none
128,pirated book,none
129,moral bank,none
130,registered unemployment rate,none
131,low profile,none
132,vulgar productions,none
133,phubber,none
134,low fertility trap,none
135,earth sinking,none
136,illegal bank,none
137,roll call,none
138,give a like,none
139,TV home shopping,none
140,movie royalties,none
141,film rating system,none
142,film panorama,none
143,electric self-balancing scooter,none
144,degrade oneself,none
145,revoke license,none
146,pique someone's interest,none
147,nail house,none
148,top-level domain,none
149,top talents,none
150,designated hospital,none
151,customized calendar,none
152,host country,none
