,﻿APEC blue,无
0,covert deals,无
1,the Olympic Extension,无
2,stay up late,"un. 整晚不睡；守着；迟睡
"
3,white-collar crime,利用职务便利的犯罪；白领犯罪
4,start from scratch,"na. 赤手空拳地开始；从起步线跑；从零开始；从头做起
"
5,century-old shop,无
6,seeing is believing, 眼见为实；百闻不如一见；眼见为凭
7,put on airs,"v. 装腔作势；端架子
"
8,act arrogant and superior,无
9,shake off poverty, 摆脱贫困
10,money worship,"n. 拜金主义
"
11,crew cut,"n. 平头
"
12,chartered flight,"un. 包机
"
13,sweep,"n. 打扫，扫除；范围；全胜
vt. 扫除；猛拉；掸去
vi. 扫，打扫；席卷；扫视；袭击"
14,postgraduate recommendation,无
15,indemnificatory housing,无
16,indemnificatory apartment,无
17,cash deposit,"un. 现金存款
"
18,therapeutic massage, 保健按摩；治疗性按摩；治疗式按摩
19,shelf life,"n. 最佳食用日期
"
20,off the charts, 好得没治了；破记录；智商高的惊人
21,industry of windfall profits,无
22,reimburse,vt. 偿还；赔偿
23,be the scapegoat,无
24,bear the blame,"na. 负责；受责难
"
25,backpack tour,无
26,tragedy trump card,无
27,be released from quarantine,无
28,the year of one's animal sign,无
29,forced confession,强迫自白
30,extortive donation,无
31,unemployed graduate,无
32,disdain chain,无
33,match-throwing,无
34,closed-book exam,无
35,sidestep taxes,无
36,written confession,供状
37,disguise inflation,无
38,drag racing, 短程高速赛车；直线竞速赛；飙车
39,lip service,"n. 空口的应酬话；口惠
"
40,sick leave,"n. 病假；病假期
"
41,cram study sessions,无
42,bad loan,"un. 呆帐
"
43,bad practice, 习气
44,harmful practice,无
45,pedestrians-only street,无
46,residents of Chaoyang District,无
47,asset declaration,无
48,kitchen waste,"un. 厨房垃极；厨房垃圾
"
49,market manipulation,"un. 市场操纵
"
50,long-haul flight,无
51,maternity leave,"n. 产假
"
52,excess industrial capacity,无
53,standing committee,"un. 常务委员会
"
54,put on a rival show,无
55,tea ceremony,"n. 茶道（日本沏茶和饮茶的礼仪）
"
56,sado,n. 茶道; [地名] [尼日利亚] 萨多
57,excessive consumption,"un. 过度消耗
"
58,outdo oneself,"na. 得到空前成绩；尽自己最大的努力
"
59,car quota,无
60,auto show model,无
61,traffic subsidy,无
62,shirk,"vt. 逃避
vi. 推卸；逃避
"
63,pass the buck,"na. 推卸责任
"
64,urban management officer,无
65,sense of achievement, 成就感；有成就感；工作成就感
66,inter-city high-speed rail,无
67,inter-city train,城际列车
68,inter-city commuters,无
69,urban air corridor,无
70,urban housing fund,无
71,rural-urban integration,城乡整合
72,the integration of urban and rural areas,无
73,urban growth boundary,无
74,UGB, [医][=undecalcified granulated bone]未脱钙（异体）骨颗粒
75,ready-to-wear line,无
76,be given cold shoulder,无
77,be jealous, 吃醋；眼红；吃干醋
78,be green with envy, 十分嫉妒；眼热；非常嫉妒
79,on the government payroll,无
80,receive kickbacks,无
81,sought-after,adj. 受欢迎的，很吃香的
82,freeloading, 利用别人慷慨而占便宜的
83,renowned trademark,无
84,authorized busker,无
85,impulse buys, 点像冲动购买；冲动型购物；冲动购物
86,rechargeable card, 充值卡；充值卡的英文是；充值卡是
87,overlapping project,无
88,appearance fee,＝ appearance money
89,punching bag,"n. 出气筒；沙袋；(练习拳击用的)吊袋
"
90,maiden work, 处女作；指的就是处女作；贴身欲女
91,make life difficult for,无
92,make it hot for,"na. 使受不了；拼命攻击
"
93,pyramid scheme, 金字塔骗局；传销；层压式推销
94,run yellow lights,无
95,set a new record,"na. 创新记录
"
96,inaugural issue,无
97,pro-innovation government,无
98,briefing,"n. 简报；作战指示
v. 概述；作…的摘要（brief的现在分词）"
99,Spring Festival travel rush,无
100,secondary disaster, 次生灾害；二次灾害
101,whip-round,n. 募捐；凑份子
102,staggered rush hour,无
103,doctor food label,无
104,phishing WiFi,无
105,give a lift, 让…搭车；搭便车
106,taxi-hailing app,无
107,put ... in a doggy bag,无
108,wrap up,包裹；圆满完成；（使）穿得暖和（wrap somebody/yourself up）；注意力完全集中于……
109,take a nano nap,无
110,squeal on someone,无
111,working holiday visa,无
112,WHV, [医][=woodchuck hepatitis virus]土拨鼠肝炎病毒
113,food stand,"n. 餐店
"
114,snack stand,快餐摊位
115,A-list star,无
116,big V,无
117,verified Weibo users who have more than 500000 followers,无
118,affordable restaurant,无
119,junior college student, 大专生；专科生；大专生是
120,designated driver business,无
121,substitute teacher,"n. 代课教师
"
122,gift card, 礼品卡；礼物卡；礼券
123,surrogate motherhood, [医]代理母亲
124,surrogate mother,"n. 代孕母亲
"
125,paid annual leave, 带薪年假；带薪年休假；有薪年假
126,odd-even car ban,无
127,navigation satellite,"un. 〔军〕航行卫星；导航人造卫星
"
128,pirated book,无
129,moral bank,无
130,registered unemployment rate,无
131,low profile,"na. 隐蔽不露的活动；低姿态的活动
"
132,vulgar productions,无
133,phubber,指在社交场合注意力不集中喜欢看手机的人
134,low fertility trap,无
135,earth sinking,无
136,illegal bank,无
137,roll call,"n. 点名
"
138,give a like,无
139,TV home shopping,无
140,movie royalties,无
141,film rating system,无
142,film panorama,无
143,electric self-balancing scooter,无
144,degrade oneself, 掉价
145,revoke license,无
146,pique someone's interest,无
147,nail house, 钉子户；美容；美甲屋
148,top-level domain,顶级域名
149,top talents,无
150,designated hospital,无
151,customized calendar,无
152,host country,"un. 〔政〕东道国；所在国；侨居国；〔体〕主办国
"
153,ground-breaking ceremony,破土动工仪式
154,pep talk,"n. 〈非正式〉打气的话；激励人心的话
"
155,freezing rain,"un. 冻雨
"
156,jerry-built project,无
157,sever diplomatic relations, 断绝邦交
158,to one's taste,"un. 喜欢；合…口胃；合意的
"
159,quite to one's taste,无
160,video spoof,无
161,stupid,"n. 傻瓜，笨蛋
adj. 愚蠢的；麻木的；乏味的"
162,second-child policy,无
163,second-hand house, 二手房；二手住房；平均价格
164,second-hand home,无
165,second-hand home transaction,无
166,"""middleman"" landlord",无
167,re-shoot the plays,无
168,reverse mortgage, 反向抵押贷款；逆按揭；倒按揭
169,counter-terrorism unit,无
170,anti-monopoly probe,无
171,anti-dumping duty,"un. 反倾销税
"
172,meal pal,无
173,instant food,"un. 速熟食品
"
174,snacks,"n. [贸易] 小吃；快餐；零嘴（snack的复数）
v. 吃快餐；斗嘴（snack的三单形式）"
175,mortgage loan,"un. 抵押贷款
"
176,property tax,"na. 财产税
"
177,property ownership certificate,无
178,high temperature subsidy,无
179,excessive defense,无
180,illegal fishing, 非法捕鱼
181,match-fixing,"打假球
球赛造假
操纵比赛"
182,unauthorized transmission,无
183,illegal practice of medicine,无
184,illegal fundraising,非法集资
185,distribute dividends,派息，分红
186,minimum enrollment mark,无
187,lowest mark for admission,无
188,share with friends,无
189,panel discussion,"na. 〈美〉小组讨论；在(电视或广播)听众面前开的专题讨论会
"
190,gag order,n. 禁言令，由法院下达，禁止涉案各方在公众场合谈论案情。; [法] 司法限制言论令
191,shotgun wedding,"n. 〈古,非正式〉奉子成婚
"
192,poverty threshold,无
193,paid live webcast,无
194,welfare lottery, 福利彩票；天朝福利彩票；福彩
195,comfort fund,无
196,paternity leave,"n. 陪产假（父亲照顾新生儿的休假）
"
197,dry spell,"un. 干期；连续干旱
"
198,be trendy,无
199,follow trends,无
200,be hip,无
201,be fashionable,无
202,rigid demand, 刚性需求；刚需
203,high-end dining sector,无
204,highway toll fee,无
205,high-risk group,"《英汉医学词典》high-risk group
高度危险人群"
206,emergency response to heat,无
207,personal credit records,无
208,solo concert, 个人演唱会；独唱音乐会；个人独唱演唱会
209,personalized license plate,无
210,daily workout,无
211,work-related injuries,无
212,solicit public opinion,无
213,water safety, 水上安全；水安全；供水安全
214,official reception,公务接待
215,government car,无
216,civil servant,"n. 公务员；政府官员
"
217,wage earners, 雇佣劳动者；工薪阶层；工薪族
218,Producer Price Index, 生产者物价指数；生产者价格指数；生产物价指数
219,PPI,abbr. 生产者物价指数（producer price index）；包装、邮费和保险费（Packing， Postage and Insurance）；处理机/外围设备接口（Processor/Peripheral Interface）
220,public service advertisement,无
221,reforms on government vehicles,无
222,shopping bonanza,无
223,human trafficking,"n. 人口贩卖
"
224,take on the name of,无
225,name something after,无
226,Clear Your Plate Campaign,无
227,ad slot,无
228,advertising endorser,无
229,square dancing,广场舞；方块舞（四对男女跳的方形舞） (square dance的变形)
230,national inspection exemption,无
231,national publicity film,无
232,state funeral,"na. 国葬
"
233,National Day floral displays,无
234,visa-free stay,无
235,road toll,"un. 通行过路费
"
236,Zun of Peace,无
237,certificate maniac,无
238,child's slave,无
239,returnee,n. 海归；回国军人；回校重读的学生
240,Chinese overseas scholastic,无
241,sponge city,无
242,Maritime Silk Road,海上丝绸之路
243,overseas shopping representative,无
244,overseas Chinese,"n. 华侨
"
245,international manhunt,无
246,blood-sweating horse,无
247,nuclear radiation,"n. 原子辐射
"
248,New Year blockbuster,无
249,film to mark the New Year,无
250,black taxi,= black cab
251,black jail,无
252,blacklist,"n. 黑名单
vt. 将…列入黑名单"
253,black whistle, 黑哨
254,referee who accepts bribes,无
255,black clinic,无
256,Hold Steady, 保持稳定；牢固的保持；不要放松
257,kickback,n. 回扣，佣金；强烈反应；退回赃物
258,red envelope, 红包；压岁钱；论坛福利红包
259,containing money as a gift,无
260,red-envelope war,无
261,call forwarding,"un. 呼叫转送
"
262,Internet banking, 网上银行；网络银行；网路银行
263,Shanghai-HK Stock Connect,无
264,prime time,"n. （广播、电视的）黄金时间
"
265,returning customers,无
266,disfigured,"n. 丑八怪
v. 损毁…的外形；损害（disfigure的过去分词）"
267,membership system, 会员系统；会员制；成员资格管理系统
268,premarital health checkups,无
269,matchmaking agencies,无
270,live poultry trade,无
271,tomb for the living,无
272,hunger marketing,无
273,BASIC countries,无
274,national policy,"na. 国策
"
275,basic state policy, 基本国策
276,grassroots community,无
277,benchmark rate,标准费率；基准费率
278,airport construction fee, 机场建设费
279,airport tax,"un. 机场税
"
280,collective contract,"un. 集体合同
"
281,group lawsuit,无
282,central heating,"n. 暖气；集中供暖
"
283,mascot,"n. 吉祥物；福神（等于mascotte）
"
284,lucky date,无
285,auspicious date,无
286,merit pay, 绩效工资；绩效加薪；绩效薪酬
287,press card, 记者证；证件核验；新闻记者证
288,commemorative coin,"un. 纪念币
"
289,vested interest group,无
290,metered pricing system,无
291,work overtime,"un. 加班加点
"
292,overtime payment, 加班工资；逾时工作补薪；超时工作薪酬
293,overtime,"n. [劳经] 加班时间；延长时间；加时赛
adj. 超时的；加班的
vt. 使超过时间
adv. 加班地"
294,family hotel,"na. (特别优待一家人住宿的)家庭旅馆
"
295,salary raise, 加薪；向老板提出加薪；涨钱
296,home services industry,无
297,family firm,"un. 家庭商号
"
298,sandwich class, 夹心阶层；夹心层；中层阶级
299,fake mortgage,无
300,counterfeit note,伪钞，假钞票
301,fake invoice,无
302,bogus marriage,n. bogus marriage就是为了移民外国而办理的“假结婚”，bogus的意思是“假的，伪造的”
303,tomboy,n. 假小子，行为似男孩的顽皮姑娘
304,price-fixing,价格规定
305,price cheating,n. 价格欺诈
306,price war,"n. 价格战（以减价来吸引顾客）
"
307,diet tea,无
308,alleviate someone's burdens,无
309,cut the ribbon, 剪彩；剪裁；丝带
310,floor space,"na. 地板[楼面]面积；设备占用面积
"
311,suggested retail price,建议零售价
312,beer belly,"n. 啤酒肚
"
313,medal tally,无
314,travel allowance,"un. 差旅津贴
"
315,traffic warden,"n. （处理违章停车的）交通管理员
"
316,tiered power tariffs,无
317,financial crisis,"na. 财政危机
"
318,Ballon d'Or curse,无
319,close-up magic,无
320,Beijing-Tianjin-Hebei integration,无
321,economic fugitive,无
322,budget husband,无
323,Yasukuni Shrine, 靖国神社；参拜靖国神社；参拜了靖国神社
324,compete for the post,无
325,overseas TV series,无
326,relief goods, 救援物资；救灾物资；救济品
327,last-gasp goal,n. 指“绝杀球”，是指在比赛的最后时刻攻破对方球门，对方已没有反扑的机会。
328,military uniform, 军装；军服；戎衣
329,military training,"na. 军事训练
"
330,for high school and college students,无
331,resident identification card,无
332,drunk driving,"n. 酒后驾驶；酒驾；醉驾
"
333,open-book exam,无
334,corkage fee,无
335,burn the midnight oil,"na. 干到深夜；开夜车
"
336,work late into the night,"na. 工作到深夜
"
337,open low-altitude airspace,无
338,chew the fat,"na. 〈非正式〉闲聊；聊天；侃大山
"
339,chatter,"n. 唠叨；饶舌；（动物的）啁啾声；潺潺流水声
vt. 喋喋不休地说；使卡嗒卡嗒作声
vi. 唠叨；喋喋不休；（动物等）吱吱叫"
340,backer,"n. 支持者；赞助人；援助者
"
341,patron,"n. 赞助人；保护人；主顾
"
342,scientific literacy,科学素养
343,sustainable development,"na. 可持续发展
"
344,blank check,"n. 空白支票
"
345,empty-nest family,无
346,empty nesters, 空巢老人；空巢族；空巢期
347,all-time record,n.历史最高记录
348,empty promise, 口惠；空洞的承诺；假意的允诺
349,bad check,"na. 空头支票
"
350,air rage tribe,无
351,panic buying, 抢购；恐慌性抢购；恐慌性买入
352,pet phrase,"n. 囗头禅
"
353,put a label on, 扣帽子；硬要这样说
354,countdown party,无
355,cross-border trade settlement,无
356,leapfrog development,无
357,express delivery,"na. 〈英〉快件
"
358,enrollment expansion,扩招
359,spam message, 垃圾短信；垃圾电子邮件
360,cheerleader,n. 拉拉队队员
361,cheerleading squad,无
362,caller ID telephone,来电显示电话机
363,re-education through labor,劳动教养
364,long-standing problem, [经] 长期存在的问题
365,vintage car,"n. 老爷车
"
366,time-honored brand,无
367,divorce settlement, 离婚协议书；离婚财产协议；离婚协议金
368,tax reimbursement plan,无
369,Miss Etiquette,无
370,rational patriotism,无
371,coupling effects,无
372,pile-up,n. 堆存；堆挤
373,chain collision,无
374,joint military exercise,无
375,chain store,"n. 连锁商店
"
376,be a street vendor,无
377,upset winner,无
378,unexpected winner,无
379,show one's hand,"na. 摊牌；摆计划；表示态度
"
380,show one's cards,"na. 摊牌；公开自己计划；公开自己的计划
"
381,head-hunting company,猎头公司
382,tainted star,无
383,additional train,无
384,temporary job, 临时职业；临时工作；临时性工作
385,interim government,"un. 〔政〕过渡政府
"
386,rollover data service,无
387,mobile population, 流动人口；移动人口；城市流动人口
388,left-behind children, 留守儿童；留守孩子
389,street children,n. 被抛弃的孩子，流浪在街上的孩子，弃婴
390,ledger,"n. 总帐，分户总帐；[会计] 分类帐；帐簿；底帐；（手脚架上的）横木
"
391,outdoor barbeque,无
392,roadshow,n. 巡回演出；巡回竞选宣传
393,visa-on-arrival, 落地签订；办落地签；落地签证
394,naked official,无
395,travel deposit,无
396,green card,"n. 绿卡（允许外国人在美国居住和工作的法律证件）
"
397,green recovery,无
398,green fireworks,无
399,Marathon fever,无
400,being careless,无
401,being absent-minded,无
402,two-for-one offer,无
403,selling point,"n. 卖点
"
404,roaming service, 漫游；漫游服务；周游
405,whole class teaching,无
406,blind reconstruction,无
407,busy signal,"na. (电话的)占线信号
"
408,busy tone,"un. 忙音
"
409,gourmet festival,无
410,goal-line technology,无
411,well-informed,adj. 消息灵通的；见多识广的；熟悉的；博学的
412,army fatigues,无
413,Visa Waiver Program,无
414,duty-free shop, 免税商店
415,face job,无
416,face consumption,无
