,﻿5G era,none
0,70-year term of land use,none
1,A4 waist,none
2,dark matter,none
3,hundred mark system,none
4,Centenary Goal,none
5,monthly subscription service,none
6,nanny blacklist,none
7,Conservative leadership race,none
8,postgraduate recommendation,none
9,cash deposit,none
10,therapeutic massage,none
11,shelf life,none
12,off the charts,none
13,mayhem,n. the willful and unlawful crippling or mutilation of another person
14,backpack tour,none
15,tragedy trump card,none
16,Beijing repose,none
17,endorse,v. sign as evidence of legal transfer
18,extortive donation,none
19,disdain chain,none
20,closed-book exam,none
21,sidestep taxes,none
22,compulsory course,none
23,disguised inflation,none
24,lip service,none
25,stay true to the mission,none
26,unified real estate registration system,none
27,inappropriate behavior,none
28,ministers' passage,none
29,asset declaration,none
30,financial fraud,none
31,betrothal gifts,none
32,color run,none
33,participatory poverty-reduction,none
34,dining table pollution,none
35,market manipulation,none
36,toilet revolution,none
37,tea ceremony,none
38,sado,none
39,postpartum grooming,none
40,maternity bed,none
41,excess manufacturing capacity,none
42,overcapacity,none
43,the Long March,none
44,long-haul flight,none
45,put on a rival show,none
46,excessive consumption,none
47,outdo oneself,none
48,supercomputer,n. a mainframe computer that is one of the most powerful available at a given time
49,Super Tuesday,none
50,superdelegate,none
51,residents of Chaoyang district,none
52,auto show model,none
53,traffic subsidy,none
54,shirk,v. avoid dealing with
55,pass the buck,none
56,sense of achievement,none
57,fuel pricing scheme,none
58,urban management officer,none
59,urban diseases,none
60,city cluster,none
61,inter-city high-speed rail,none
62,urban air corridor,none
63,urban housing fund,none
64,rural-urban integration,none
65,urban growth boundary,none
66,ready-to-wear line,none
67,be given cold shoulder,none
68,receive kickbacks,none
69,sought-after,s being searched for
70,impulse buy,v buy on impulse without proper reflection
71,rechargeable card,none
72,appearance fee,none
73,enter the next round,none
74,export duty,none
75,punching bag,none
76,maiden work,none
77,frozen pork reserve,none
78,traditional Chinese medicine,none
79,pyramid scheme,none
80,issue registration tickets on site,none
81,run yellow lights,none
82,pro-innovation government,none
83,creative graduation photo,none
84,briefing,"n. detailed instructions, as for a military operation"
85,secondary disaster,none
86,whip-round,n. (British) solicitation of money usually for a benevolent purpose
87,doctor food label,none
88,taxi-hailing app,none
89,squeal on someone,none
90,food stand,none
91,snack stand,none
92,A-list star,none
93,mass shooting,none
94,junior college student,none
95,full coverage of the serious illness insurance nationwide,none
96,mass tourism,none
97,red alert for fog,none
98,election anxiety,none
99,mass affluent class,none
100,designated driver business,none
101,substitute teacher,none
102,gift card,none
103,traffic restrictions based on even-and odd-numbered license plates,none
104,re-race alone,none
105,navigation satellite,none
106,freelance tour guide,none
107,countdown gala,none
108,pirated book,none
109,registered unemployment rate,none
110,low profile,none
111,vulgar productions,none
112,vulgar bullet-screen comments,none
113,phubber,none
114,low fertility trap,none
115,low-carbon cities,none
116,discounted subway fares in non-rush hours,none
117,active seismic period,none
118,Subway Library,none
119,earth sinking,none
120,illegal bank,none
121,gender-neutral bathroom,none
122,give a like,none
123,clickbait,"An eyecatching link on a website which encourages people to read on. It is often paid for by the advertiser (""Paid"" click bait) or generates income based on the number of clicks.
> This is not news, really. It’s click bait, the stuff pageviews are made of.
> OR
> This is the worst article I've ever read, clearly from a massive Microsoft hater or paid by Apple/Google. It's just paid [FUD] clickbait, wouldn't expect any better of news.com.au. Source: Whirlpool Forum 21 Oct 2012.
"
124,telecom fraud,none
