,﻿5G era,无
0,70-year term of land use,无
1,A4 waist,无
2,dark matter,"n. 暗物质（根据一些理论，指太空中不反射光的物质）
"
3,hundred mark system,无
4,Centenary Goal,无
5,monthly subscription service,无
6,nanny blacklist,无
7,Conservative leadership race,无
8,postgraduate recommendation,无
9,cash deposit,"un. 现金存款
"
10,therapeutic massage, 保健按摩；治疗性按摩；治疗式按摩
11,shelf life,"n. 最佳食用日期
"
12,off the charts, 好得没治了；破记录；智商高的惊人
13,mayhem,n. 故意的伤害罪；重伤罪；蓄意的破坏
14,backpack tour,无
15,tragedy trump card,无
16,Beijing repose,无
17,endorse,vt. 背书；认可；签署；赞同；在背面签名
18,extortive donation,无
19,disdain chain,无
20,closed-book exam,无
21,sidestep taxes,无
22,compulsory course, 必修课；必修课程；妆造型必修
23,disguised inflation, 变相涨价be driven to drastic alternatives
24,lip service,"n. 空口的应酬话；口惠
"
25,stay true to the mission,无
26,unified real estate registration system,无
27,inappropriate behavior, 行为不适当；不恰当与不雅的行为；不恰当的行为
28,ministers' passage,无
29,asset declaration,无
30,financial fraud,n. 金融诈骗
31,betrothal gifts, 彩礼；订婚时男方送给女方的彩礼；聘礼
32,color run, 甩色；彩色跑步；彩色赛跑
33,participatory poverty-reduction,无
34,dining table pollution,无
35,market manipulation,"un. 市场操纵
"
36,toilet revolution,无
37,tea ceremony,"n. 茶道（日本沏茶和饮茶的礼仪）
"
38,sado,n. 茶道; [地名] [尼日利亚] 萨多
39,postpartum grooming,无
40,maternity bed,无
41,excess manufacturing capacity,无
42,overcapacity,n. 生产能力过剩
43,the Long March, 长征；金沙水拍；长途行军
44,long-haul flight,无
45,put on a rival show,无
46,excessive consumption,"un. 过度消耗
"
47,outdo oneself,"na. 得到空前成绩；尽自己最大的努力
"
48,supercomputer,n. [计] 巨型计算机，超级计算机
49,Super Tuesday,"na. 〈美〉超级星期二
"
50,superdelegate,n. 超级代表（美国出席民主党全国代表大会的非初选中的党员挑选的代表）
51,residents of Chaoyang district,无
52,auto show model,无
53,traffic subsidy,无
54,shirk,"vt. 逃避
vi. 推卸；逃避
"
55,pass the buck,"na. 推卸责任
"
56,sense of achievement, 成就感；有成就感；工作成就感
57,fuel pricing scheme,无
58,urban management officer,无
59,urban diseases,无
60,city cluster,城市组团
61,inter-city high-speed rail,无
62,urban air corridor,无
63,urban housing fund,无
64,rural-urban integration,城乡整合
65,urban growth boundary,无
66,ready-to-wear line,无
67,be given cold shoulder,无
68,receive kickbacks,无
69,sought-after,adj. 受欢迎的，很吃香的
70,impulse buy,"un. 不在事先计划内的购置
"
71,rechargeable card, 充值卡；充值卡的英文是；充值卡是
72,appearance fee,＝ appearance money
73,enter the next round,无
74,export duty,"na. 出口税
"
75,punching bag,"n. 出气筒；沙袋；(练习拳击用的)吊袋
"
76,maiden work, 处女作；指的就是处女作；贴身欲女
77,frozen pork reserve,无
78,traditional Chinese medicine,"na. 中药
"
79,pyramid scheme, 金字塔骗局；传销；层压式推销
80,issue registration tickets on site,无
81,run yellow lights,无
82,pro-innovation government,无
83,creative graduation photo,无
84,briefing,"n. 简报；作战指示
v. 概述；作…的摘要（brief的现在分词）"
85,secondary disaster, 次生灾害；二次灾害
86,whip-round,n. 募捐；凑份子
87,doctor food label,无
88,taxi-hailing app,无
89,squeal on someone,无
90,food stand,"n. 餐店
"
91,snack stand,快餐摊位
92,A-list star,无
93,mass shooting,"un. 集爆；大爆破
"
94,junior college student, 大专生；专科生；大专生是
95,full coverage of the serious illness insurance nationwide,无
96,mass tourism,"un. 大众旅游
"
97,red alert for fog,无
98,election anxiety,无
99,mass affluent class,无
100,designated driver business,无
101,substitute teacher,"n. 代课教师
"
102,gift card, 礼品卡；礼物卡；礼券
103,traffic restrictions based on even-and odd-numbered license plates,无
104,re-race alone,无
105,navigation satellite,"un. 〔军〕航行卫星；导航人造卫星
"
