,﻿Two Centenary Goals,none
0,"spending on official overseas visits, official vehicles, and official hospitality",none
1,the Belt and Road space information corridor,none
2,commercial licenses for 5G,none
3,patriotic united front,none
4,the eight-point decision on improving Party and government conduct,none
5,removing protective umbrellas,none
6,shake off poverty,none
7,the Arctic shipping routes,none
8,remain true to our original aspiration,none
9,Ministers' passage,none
10,toilet revolution,none
11,competitive election,none
12,Long March,none
13,urban heat island effect,none
14,pass on the traditions of revolution,none
15,trail-blazing move,none
16,pro-innovation government,none
17,It takes a good blacksmith to make good steel.,none
18,campaign to prevent and control air pollution,none
19,Party rule,none
20,Party regulation,none
21,amendment to the Party Constitution,none
22,surface-to-surface conventional missile,none
23,sub-national cooperation,none
24,independent charge,none
25,multilateralism,none
26,Anti-Secession Law,none
27,fight corruption and build a clean government,none
28,anti-graft inspections,none
29,risk map,none
30,poverty alleviation,none
31,poverty relief,none
32,subcenter,none
33,reform promoters,none
34,reform and opening-up,none
35,Hong Kong people administering Hong Kong,none
36,personal asset declaration,none
37,work style,none
38,public diplomacy,none
39,public hospital reform,none
40,collaboration,"n. act of working jointly
n. act of cooperating traitorously with an enemy that is occupying your country"
41,participation and common interests,none
42,"extensive consultation, joint contribution and shared benefits",none
43,supply-side structural reform,none
44,critical minority,none
45,domestically aircraft carrier,none
46,home-built aircraft carrier,none
47,defense and military reforms,none
48,national security,none
49,national park system,none
50,national supervision system,none
51,State Preeminent Science and Technology Award,none
52,naval parade,none
53,Strait Exchange Foundation,none
54,a maritime community with a shared future,none
55,unprincipled nice-guyism,none
56,peaceful development,none
57,Five Principles of Peaceful Coexistence,none
58,river chief system,none
59,internet Plus government services,none
60,environmental police force,none
61,Rocket Force,none
62,spirit of partnership,none
63,sense of gain,none
64,point-based household registration,none
65,democracy at the grassroots level,none
66,grassroots democracy,none
67,grassroots election,none
68,integrated development of the Beijing-Tianjin-Hebei region,none
69,economic hegemony,none
70,elite and powerful force,none
71,streamline government organs,none
72,government streamlining,none
73,the 1992 Consensus,none
74,military-civilian integration,none
75,Scientific Outlook on Development,none
76,tempering justice with mercy,none
77,Cold War mentality,none
78,theoretical exploration,none
79,historical and cultural heritage,none
80,code of ethics,none
81,"have no worry about food and clothing and have access to compulsory education, basic medical services, and safe housing",none
82,"all Party members to gain a good command of the Party Constitution, Party regulations, and related major policy addresses and to meet Party standards",none
83,zero-sum game,none
84,consular protection,none
85,territorial coordinates,none
86,green development,none
87,green mountains and lucid waters are indeed mountains of gold and silver,none
88,trade bullying,none
89,trade war,none
90,Beautiful China,none
91,remove somebody from the position,none
92,wellbeing of the people,none
93,regional autonomy of ethnic minorities,none
94,national identity,none
95,test each step before taking it,none
96,advance cautiously,none
97,grope across the river by feeling the way,none
98,Ping Pong Diplomacy,none
99,pioneering basic research,none
100,seek common ground on major questions while reserving differences on minor ones,none
101,delegate power,none
102,national census,none
103,National People's Congress,none
104,the joint combat system of the armed forces,none
105,finish building a moderately prosperous society in all respects,none
106,globalization 4.0,none
107,global governance system,none
108,mass line,none
109,island patrol,none
110,talent-strong country,none
111,population development strategy,none
112,a community of shared future for mankind,none
113,the people's aspirations to live a better life,none
114,three critical battles,none
115,three tough battles,none
116,three evil forces,none
117,"issues concerning agriculture, countryside and farmers",none
118,"three direct cross-Straits links, namely mail, transportation, and trade",none
119,the 3+3 Initiative,none
120,Shanghai Spirit,none
121,social security fund,none
122,social security system,none
123,the principal contradiction facing Chinese society,none
124,core socialist values,none
125,socialist democracy,none
126,a great modern socialist country,none
127,auditing-based oversight,none
128,community of shared life,none
129,eco-safety barrier,none
130,ecological red line,none
131,environmental quality,none
132,ecological migration,none
133,real combat training,none
134,innovative and entrepreneurial talent,none
135,be expelled from the CPC and removed from public office,none
136,judicial independence,none
137,Four-pronged comprehensive strategy,none
138,"consciousness of the need to maintain political integrity, think in big-picture terms, follow the leadership core, and keep in alignment",none
139,"confidence in the path, theory, system, and culture of socialism with Chinese characteristics",none
140,"formalities performed for formalities' sake, bureaucratism, hedonism, and extravagance",none
