,﻿Two Centenary Goals,无
0,"spending on official overseas visits, official vehicles, and official hospitality",无
1,the Belt and Road space information corridor,无
2,commercial licenses for 5G,无
3,patriotic united front,无
4,the eight-point decision on improving Party and government conduct,无
5,removing protective umbrellas,无
6,shake off poverty, 摆脱贫困
7,the Arctic shipping routes,无
8,remain true to our original aspiration,无
9,Ministers' passage,无
10,toilet revolution,无
11,competitive election,无
12,Long March,"n. 【史,事】长征
"
13,urban heat island effect,"《英汉医学词典》urban heat island effect
城市热岛效应"
14,pass on the traditions of revolution,无
15,trail-blazing move,无
16,pro-innovation government,无
17,It takes a good blacksmith to make good steel.,无
18,campaign to prevent and control air pollution,无
19,Party rule,无
20,Party regulation,无
21,amendment to the Party Constitution,无
22,surface-to-surface conventional missile,无
23,sub-national cooperation,无
24,independent charge,无
25,multilateralism,n. 多边主义
26,Anti-Secession Law,无
27,fight corruption and build a clean government,无
28,anti-graft inspections,无
29,risk map,风险图
30,poverty alleviation, 扶贫；减贫；减轻贫困
31,poverty relief,无
32,subcenter,n. <美>次要中心，（商业等的）次中心区; 子中心
33,reform promoters,无
34,reform and opening-up, 改革开放；改革和开放
35,Hong Kong people administering Hong Kong,无
36,personal asset declaration,无
37,work style,"un. 工作作风
"
38,public diplomacy,群众外交，民间外交
39,public hospital reform,无
40,collaboration,n. 合作；勾结；通敌
41,participation and common interests,无
42,"extensive consultation, joint contribution and shared benefits",无
43,supply-side structural reform,无
44,critical minority,无
45,domestically aircraft carrier,无
46,home-built aircraft carrier,无
47,defense and military reforms,无
48,national security,"n. 〔政〕国家安全
"
49,national park system,无
50,national supervision system,无
51,State Preeminent Science and Technology Award,无
52,naval parade,无
53,Strait Exchange Foundation,无
54,a maritime community with a shared future,无
55,unprincipled nice-guyism,无
56,peaceful development,无
57,Five Principles of Peaceful Coexistence,"un. 和平共处五项原则
"
58,river chief system,无
59,internet Plus government services,无
60,environmental police force,无
61,Rocket Force,无
62,spirit of partnership,无
63,sense of gain,无
64,point-based household registration,无
65,democracy at the grassroots level,无
66,grassroots democracy, 草根民主；绿色基层民主；草根性民主之称
67,grassroots election,无
68,integrated development of the Beijing-Tianjin-Hebei region,无
69,economic hegemony,无
70,elite and powerful force,无
71,streamline government organs,无
72,government streamlining,无
73,the 1992 Consensus,无
74,military-civilian integration,无
75,Scientific Outlook on Development, 科学发展观；科学发展观的要求；社会科学发展观
76,tempering justice with mercy,无
77,Cold War mentality,无
78,theoretical exploration,无
79,historical and cultural heritage,无
80,code of ethics, 道德规范；道德准则；廉政准则
81,"have no worry about food and clothing and have access to compulsory education, basic medical services, and safe housing",无
82,"all Party members to gain a good command of the Party Constitution, Party regulations, and related major policy addresses and to meet Party standards",无
83,zero-sum game, 零和游戏，零和竞赛，零和对策; 零和比赛; 零和博奕
84,consular protection,无
85,territorial coordinates,无
86,green development, 绿色开发；绿色发展；绿色发展论
87,green mountains and lucid waters are indeed mountains of gold and silver,无
88,trade bullying,无
89,trade war,"un. 贸易战
"
90,Beautiful China,无
91,remove somebody from the position,无
92,wellbeing of the people,无
93,regional autonomy of ethnic minorities,无
94,national identity,"na. 民族面貌
"
95,test each step before taking it,无
96,advance cautiously,无
97,grope across the river by feeling the way,无
98,Ping Pong Diplomacy, 乒乓外交；乒乓外交史；乒乓球外交
99,pioneering basic research,无
100,seek common ground on major questions while reserving differences on minor ones,无
101,delegate power,无
102,national census, 人口普查；全国人口普查；国家人口普查
103,National People's Congress,"n. 【中】全国人民代表大会
"
