,﻿well-dressed,s having tasteful clothing and being scrupulously neat
0,glance,"n. a quick look
v. throw a glance at; take a brief look at
v. hit at an angle"
1,sigh,"n. an utterance made by exhaling audibly
n. a sound like a person sighing
v. heave or utter a sigh; breathe deeply and heavily
v. utter with a sigh"
2,senior,"n. an undergraduate student during the year preceding graduation
a. older; higher in rank; longer in length of tenure or service
s. used of the fourth and final year in United States high school or college"
3,employee,n. a worker who is hired to perform a job
4,prefer,"v. like better; value more highly
v. promote over another
v. give preference to one creditor over another"
5,communicate,"v. transmit information
v. transmit thoughts or feelings
v. join or connect
v. be in verbal contact; interchange information or ideas"
6,gesture,"n. motion of hands or body to emphasize or help to express a thought or feeling
n. the use of movements (especially of the hands) to communicate familiar or prearranged signals
n. something done as an indication of intention"
7,expression,"n. the feelings expressed on a person's face
n. expression without words
n. the communication (in speech or writing) of your beliefs or opinions
n. (genetics) the process of expressing a gene"
8,appearance,"n. outward or visible aspect of a person or thing
n. the event of coming into sight
n. formal attendance (in court or at a hearing) of a party in an action
n. a mental representation"
9,impression,"n. a vague idea in which some confidence is placed
n. an outward appearance
n. all the copies of a work printed at one time
n. (dentistry) an imprint of the teeth and gums in wax or plaster"
10,downwards,r spatially or metaphorically from a higher to a lower level or position
11,assistance,"n the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose
n a resource"
12,without hesitation,none
13,remark,"n. a statement that expresses a personal opinion or belief or adds information
n. explicit notice"
14,remind,v. put in the mind of someone
15,eye contact,none
16,signal,"n. any nonverbal action or gesture that encodes a message
n. any incitement to action
n. an electric quantity (voltage or current or field strength) whose modulation represents coded information about the source from which it comes
s. notably out of the ordinary"
17,hostility,"n. a hostile (very unfriendly) disposition
n. a state of deep-seated ill-will
n. the feeling of a hostile person"
18,boredom,n. the feeling of being bored by something tedious
19,confusion,"n. disorder resulting from a failure to behave predictably
n. a mental state characterized by a lack of clear and orderly thought and behavior
n. a feeling of embarrassment that leaves you confused
n. an act causing a disorderly combination of elements with identities lost and distinctions blended"
20,maintain,v. state or assert
21,consider,"v. take into consideration for exemplifying purposes
v. show consideration for; take into account
v. think about carefully; weigh
v. regard or treat with consideration, respect, and esteem"
