,﻿keep in touch with,none
0,evolution,n. (biology) the sequence of events involved in the evolutionary development of a species or taxonomic group of organisms
1,device,"n. an instrumentality invented for a particular purpose
n. something in an artistic work designed to achieve a particular effect
n. any clever maneuver
n. any ornamental pattern or design (as in embroidery)"
2,drawback,n. the quality of being a hindrance
3,principle,"n. a basic generalization that is accepted as true and that can be used as a basis for reasoning or conduct
n. a rule or standard especially of good behavior
n. a basic truth or law or assumption
n. a rule or law concerning a natural phenomenon or the function of a complex system"
4,construct,"v. make by combining materials and parts
v. draw with suitable instruments and under specified conditions
v. create by linking linguistic units
v. create by organizing and linking ideas, arguments, or concepts"
5,delay,"n. time during which some action is awaited
n. the act of delaying; inactivity resulting in something being put off until a later time
v. cause to be slowed down or delayed
v. act later than planned, scheduled, or required"
6,black-and-white,"a. lacking hue or shades of grey; part white and part black
a. not having or not capable of producing colors
s. of a situation that is sharply divided into mutually exclusive categories"
7,accessible,"a. capable of being reached
s. capable of being read with comprehension
s. easily obtained
s. easy to get along with or talk to; friendly"
8,satellite dish,none
9,distribute,"v. administer or bestow, as in small portions
v. make available
v. give to several people
v. spread throughout a given area"
10,percentage,n. a proportion in relation to a whole (which is usually the amount per hundred)
11,receiver,"n. set that receives radio or tv signals
n. the tennis player who receives the serve
n. a football player who catches (or is supposed to catch) a forward pass"
12,tube,"n. conduit consisting of a long hollow object (usually cylindrical) used to hold and conduct objects or liquids or gases
n. electronic device consisting of a system of electrodes arranged in an evacuated glass or metal envelope
n. (anatomy) any hollow cylindrical body structure
v. provide with a tube or insert a tube into"
13,disc,"n sound recording consisting of a disk with a continuous groove; used to reproduce music by rotating while a phonograph needle tracks in the groove
n something with a round shape resembling a flat circular plate
n (computer science) a memory device consisting of a flat disk covered with a magnetic coating on which information is stored
n a flat circular plate"
14,wind,"n. air moving (sometimes with considerable force) from an area of high pressure to an area of low pressure
n. a tendency or force that influences events
n. breath
n. empty rhetoric or insincere or exaggerated talk"
15,component,"n. an abstract part of something
n. an artifact that is one of the individual parts of which a composite entity is made up; especially a part that can be separated from or attached to a system"
16,eventually,r after an unspecified period of time or an especially long delay
17,portable,"n. a small light typewriter; usually with a case in which it can be carried
a. easily or conveniently transported
s. of a motor designed to be attached to the outside of a boat's hull"
18,cassette,n. a container that holds a magnetic tape used for recording or playing sound or video
19,digital,"a. displaying numbers rather than scale positions
a. relating to or performed with the fingers
a. of a circuit or device that represents magnitudes in digits"
20,VCD,none
21,storage,"n. the act of storing something
n. the commercial enterprise of storing goods and materials
n. (computer science) the process of storing information in a computer memory or on a magnetic tape or disk"
22,foresee,"v realize beforehand
v picture to oneself; imagine possible
v act in advance of; deal with ahead of time"
23,patent,"n. a document granting an inventor sole rights to an invention
n. an official document granting a right or privilege
v. obtain a patent for
v. grant rights to; grant a patent for"
24,adaptation,"n. a written work (as a novel) that has been recast in a new form
n. the process of adapting to something (such as environmental conditions)
n. (physiology) the responsive adjustment of a sense organ (as the eye) to varying conditions (as of light)"
25,relay,"n. the act of passing something along from one person or group to another
n. a crew of workers who relieve another crew
n. a fresh team to relieve weary draft animals
n. a race between teams; each member runs or swims part of the distance"
26,sceptical,"s marked by or given to doubt
s denying or questioning the tenets of especially a religion"
27,ample,"a. more than enough in size or scope or capacity
s. affording an abundant supply
s. fairly large"
28,casual,"s. marked by blithe unconcern
s. without or seeming to be without plan or method; offhand
s. appropriate for ordinary or routine occasions
s. occurring or appearing or singled out by chance"
29,insurance,n. promise of reimbursement in the case of loss; paid to people or companies so concerned about hazards that they have made prepayments to an insurance company
30,obvious,a. easily perceived by the senses or grasped by the mind
31,all-round,s many-sided
32,electronic,"a. of or relating to electronics; concerned with or using devices that operate on principles governing the behavior of electrons
a. of or concerned with electrons"
33,translation,"n. a written communication in a second language having the same meaning as the written communication in a first language
n. a uniform movement without rotation
n. (mathematics) a transformation in which the origin of the coordinate system is moved to another position but the direction of each axis remains the same
n. (genetics) the process whereby genetic information coded in messenger RNA directs the formation of a specific protein at a ribosome in the cytoplasm"
34,idiom,n. an expression whose meanings cannot be inferred from the meanings of the words that make it up
35,gram,"n. a metric unit of weight equal to one thousandth of a kilogram
n. Danish physician and bacteriologist who developed a method of staining bacteria to distinguish among them (1853-1938)"
36,suitable,s. meant or adapted for an occasion or use
37,scan,"n. the act of scanning; systematic examination of a prescribed region
n. an image produced by scanning
v. examine minutely or intensely
v. examine hastily"
38,elegant,"a. refined and tasteful in appearance or behavior or style
s. suggesting taste, ease, and wealth
s. displaying effortless beauty and simplicity in movement or execution"
39,battery,"n. group of guns or missile launchers operated together at one place
n. a device that produces electricity; may have several primary or secondary cells arranged in parallel or series
n. a collection of related things intended for use together
n. a unit composed of the pitcher and catcher"
40,Christian,"n. a religious person who believes Jesus is the Christ and who is a member of a Christian denomination
a. relating to or characteristic of Christianity
a. following the teachings or manifesting the qualities or spirit of Jesus Christ"
41,carriage,"n. a vehicle with wheels drawn by one or more horses
n. characteristic way of bearing one's body
n. a machine part that carries something else"
42,refrigerator,n. white goods in which food can be stored at low temperatures
43,religious,"n. a member of a religious order who is bound by vows of poverty and chastity and obedience
s. concerned with sacred matters or religion or the church
a. having or showing belief in and reverence for a deity
a. of or relating to clergy bound by monastic vows"
44,vote,"n. a choice that is made by counting the number of people in favor of each alternative
n. the opinion of a group as determined by voting
n. a body of voters who have the same interests
n. the total number of voters who participated"
45,reject,"v. refuse to accept or acknowledge
v. reject with contempt
v. refuse entrance or membership"
46,tight,"a. closely constrained or constricted or constricting
s. set so close together as to be invulnerable to penetration
s. affected by scarcity and expensive to borrow
a. of such close construction as to be impermeable"
47,oppose,"v. be against; express opposition to
v. contrast with equal weight or force
v. be resistant to"
48,valid,"a. well grounded in logic or truth or having legal force
s. still legally acceptable"
49,circumstance,"n. a condition that accompanies or influences some event or activity
n. information that should be kept in mind when making a decision
n. formal ceremony about important occasions"
50,merely,r. and nothing more
51,dial,"n. the face of a timepiece; graduated to show the hours
n. the control on a radio or television set that is used for tuning
n. the circular graduated indicator on various measuring instruments
n. a disc on a telephone that is rotated a fixed distance for each number called"
52,typical,"a. exhibiting the qualities or characteristics that identify a group or kind or category
s. conforming to a type"
53,text message,none
54,shallow,"v. make shallow
v. become shallow
a. lacking physical depth; having little spatial extension downward or inward from an outer surface or backward or outward from a center
a. not deep or strong; not affecting one deeply"
