,﻿harm,v. cause or do harm to
0,soil,n. the part of the earth's surface consisting of humus and disintegrated rock
1,ecosystem,n. a system formed by the interaction of a community of organisms with their physical environment
2,overseas,r. in a place across an ocean
3,region,"n. the extended spatial location of something
n. a large indefinite location on the surface of the Earth
n. the approximate amount of something (usually used prepositionally as in `in the region of')
n. a knowledge domain that you are interested in or are communicating about"
4,continent,"n. one of the large landmasses of the earth
n. the European mainland
a. having control over urination and defecation"
5,million,"n. the number that is represented as a one followed by 6 zeros
n. a very large indefinite number (usually hyperbole)
s. (in Roman numerals, M written with a macron over it) denoting a quantity consisting of 1,000,000 items or units"
6,length,"n. the linear extent in space from one end to the other; the longest dimension of something that is fixed in place
n. the property of being the extent of something from beginning to end
n. a section of something that is long and narrow"
7,biodiversity,n. the diversity of plant and animal life in a particular habitat (or in the world as a whole)
8,species,"n. (biology) taxonomic group whose members can interbreed
n. a specific kind of something"
9,nut,"n. usually large hard-shelled seed
n. Egyptian goddess of the sky
n. a small (usually square or hexagonal) metal block with internal screw thread to be fitted onto a bolt
v. gather nuts"
10,brazil nut,none
11,lily,n. any liliaceous plant of the genus Lilium having showy pendulous flowers
12,water lily,none
13,variety,"n. (biology) a taxonomic category consisting of members of a species that differ from others of the same species in minor but heritable characteristics
n. a difference that is usually pleasant"
14,wildlife,n. all living things (except people) that are undomesticated
15,beneath,r in or to a place that is lower
16,mass,"n. the property of a body that causes it to have weight in a gravitational field
n. an ill-structured collection of similar things (objects or people)
n. (Roman Catholic Church and Protestant Churches) the celebration of the Eucharist
n. a body of matter without definite shape"
17,towering,"v appear very large or occupy a commanding position
s of imposing height; especially standing out above others"
18,hardwood,n. the wood of broad-leaved dicotyledonous trees (as distinguished from the wood of conifers)
19,living,"n. people who are still living
a. pertaining to living persons
s. true to life; lifelike
s. (informal) absolute"
20,mammal,n. any warm-blooded vertebrate having the skin more or less covered with hair; young are born alive except for the small subclass of monotremes and nourished with milk
21,jaguar,n. a large spotted feline of tropical America similar to the leopard; in some classifications considered a member of the genus Felis
22,survive,"v. continue to live through hardship or adversity
v. continue in existence after (an adversity, etc.)"
23,frog,"n. any of various tailless stout-bodied amphibians with long hind limbs for leaping; semiaquatic and terrestrial species
n. a person of French descent
n. a decorative loop of braid or cord
v. hunt frogs for food"
24,in turn,none
25,insect,n. small air-breathing arthropod
26,microorganism,n. any organism of microscopic size
27,break down,"n. a mental or physical breakdown
n. a cessation of normal operation
n. an analysis into mutually exclusive categories"
28,nutrient,n. any substance (such as a chemical element or inorganic compound) that can be taken in by a green plant and used in organic synthesis
29,breathe life into,none
30,carbon,"n. an abundant nonmetallic tetravalent element occurring in three allotropic forms: amorphous carbon and graphite and diamond; occurs in all organic compounds
n. a copy made with carbon paper"
31,oxygen,n. a nonmetallic bivalent element that is normally a colorless odorless tasteless nonflammable diatomic gas; constitutes 21 percent of the atmosphere by volume; the most abundant element in the earth's crust
32,thus,r. in the way indicated; (`thusly' is a nonstandard variant)
33,disappear,"v. get lost, as without warning or explanation"
34,due to,none
35,agriculture,n. the class of people engaged in growing food
36,cattle,n. domesticated bovine animals as a group regardless of sex or age
37,impact,"n. the striking of one body against another
n. a forceful consequence; a strong effect
v. press or wedge together; pack together"
38,extinction,"n. no longer active; extinguished
n. no longer in existence
n. the reduction of the intensity of radiation as a consequence of absorption and radiation"
39,damage,"n. the occurrence of a change for the worse
n. loss of military equipment
n. the act of damaging something or someone
v. inflict damage upon"
40,climate,"n. the weather in some location averaged over some long period of time
n. the prevailing psychological state"
41,build up,"n. the act of building up an accumulation
n. the result of the process of accumulation
n. highly favorable publicity and praise"
42,global,s. involving the entire earth; not limited or provincial in scope
43,greenhouse,"n. a building with glass walls and roof; for the cultivation and exhibition of plants under controlled conditions
a. of or relating to or caused by the greenhouse effect"
44,gas,"n. the state of matter distinguished from the solid and liquid states by: relatively low density and viscosity; relatively great expansion and contraction with changes in pressure and temperature; the ability to diffuse readily; and the spontaneous tendency to become distributed uniformly throughout any container
n. a fluid in the gaseous state having neither independent shape nor volume and being able to expand indefinitely
v. attack with gas; subject to gas fumes"
45,drought,"n. a shortage of rainfall
n. a prolonged shortage"
46,come up with,none
47,call for,none
48,application,"n. the act of bringing something to bear; using it for a particular purpose
n. a verbal or written request for assistance or employment or admission to a school
n. the work of applying something; 
n. a program that gives a computer instructions that provide the user with tools to accomplish a task"
49,brochure,n a small book usually having a paper cover
50,organization,"n. a group of people who work together
n. the act of organizing a business or an activity related to a business
n. an ordered manner; orderliness by virtue of being methodical and well organized
n. the activity or result of distributing or disposing persons or things properly or methodically"
51,absolutely,"r. completely and without qualification; used informally as intensifiers
r. totally and definitely; without question"
52,belt,"n. endless loop of flexible material between two rotating shafts or pulleys
n. a band to tie or buckle around the body (usually at the waist)
n. an elongated region where a specific condition or characteristic is found
n. ammunition (usually of small caliber) loaded in flexible linked strips for use in a machine gun"
53,medal,n an award for winning a championship or commemorating some other event
