,﻿a big potato,none
0,a box office smash,none
1,a bunch of,none
2,a couple of,none
3,a cushion of air,none
4,a heavy demand for,none
5,a host of,none
6,a matter of time,none
7,a multitude of,none
8,a piece of cake,none
9,a range of,none
10,a series of,none
11,a set of,none
12,a shortage of,none
13,a slice of,none
14,a sort of,none
15,a stone's throw away from,none
16,a variety of,none
17,a vicious circle,none
18,a wealth of,none
19,academic atmosphere,none
20,academic circle,none
21,access to,none
22,account for,none
23,adapt to,none
24,add up to,none
25,add ... to,none
26,adept in,none
27,adjacent to,none
28,adjust to,none
29,adult education,none
30,advertising campaign,none
31,advice on,none
32,aerial photograph,none
33,afford to,none
34,agree on,none
35,agricultural workforce,none
36,ahead of time,none
37,aim to,none
38,air conditioning,"v control the humidity and temperature of
v equip with an apparatus for controlling the humidity and temperature"
39,all of a sudden,none
40,all set,none
41,all walks of life,none
42,all-talking film,none
43,alter the course of one's life,none
44,alternative fuel,none
45,alternative work,none
46,annual fee,none
47,annual interest rate,none
48,anything but,none
49,apart from,none
50,appeal to,none
51,appear to,none
52,application form,none
53,apply for,none
54,approach to,none
55,argue over,none
56,arise from,none
57,art exhibition,none
58,art gallery,none
59,as a result,none
60,as a result of,none
61,as a whole,none
62,as far as,none
63,as far as I know,none
64,as far as sth. is concerned,none
65,as I see it,none
66,as long as,none
67,as much as,none
68,as though,none
69,as usual,none
70,as well as,none
71,ask for trouble,none
72,assembly line,none
73,assist with,none
74,at a loss,none
75,at a significant cost,none
76,at all times,none
77,at any time,none
78,at least,none
79,at one time,none
80,at one's service,none
81,at risk,none
82,at some stage,none
83,at the end of,none
84,at the expense of,none
85,at the moment,none
86,at the outset,none
87,at the top of,none
88,at this stage,none
89,at work,none
90,attach ... to,none
91,attempt to,none
92,attitude towards,none
93,average salary,none
94,baby cot,none
95,baggage reclaim,none
96,bail out,none
97,bank statement,none
98,bank transfer,none
99,bar graph,none
100,bare skin,none
101,be absent from,none
102,be accompanied by,none
103,be addicted to,none
104,be against,none
105,be alienated from,none
106,be allergic to,none
107,be around the corner,none
108,be associated with,none
109,be attached to,none
110,be attributed to,none
111,be based on,none
112,be beneficial to,none
113,be best with,none
114,be blamed for,none
115,be bound for,none
116,be bound to,none
117,be broken beyond repair,none
118,be close to,none
119,be closely linked to,none
120,be composed of,none
121,be concerned about,none
122,be concerned with,none
123,be confronted with,none
124,be confused about,none
125,be covered with,none
126,be crazy about,none
127,be dependent on,none
128,be dependent upon,none
129,be dotted with,none
130,be eligible for,none
131,be embossed with,none
132,be entitled to,none
133,be entitled to do,none
134,be equipped with,none
135,be expelled from,none
136,be familiar with,none
137,be fascinated by,none
138,be flexible in,none
139,be fond of,none
140,be fussy about,none
141,be going extinct,none
142,be good with,none
143,be honest with,none
144,be ideal for,none
145,be impatient with,none
146,be in charge of,none
147,be in good form,none
148,be in good shape,none
149,be in good health,none
150,be incapacitated with,none
151,be incompatible with,none
152,be innovative with,none
153,be keen on,none
154,be likely to do,none
155,be located on,none
156,be mad about,none
157,be mad at,none
158,be made into,none
159,be made of,none
160,be motivated to do,none
161,be nervous of,none
162,be on speaking terms,none
163,be on the safe side,none
164,be open to,none
165,be opposed to,none
166,be packed with,none
167,be parallel to,none
168,be popular among,none
169,be prepared to do,none
170,be prone to,none
171,be proud of,none
172,be relevant to,none
173,be removed from,none
174,be replaced with,none
175,be responsible for,none
176,be satisfied with,none
177,be shocked to do,none
178,be shouted at,none
179,be sick with,none
180,be stuck on,none
181,be suited to,none
182,be supposed to do,none
183,be taken aback,none
184,be taken to court,none
185,be teeming with,none
186,be told to do,none
187,be torn between ... and,none
188,be unfamiliar to,none
189,be unwilling to do,none
190,be vital to,none
191,be well off,none
192,beauty saloon,none
193,bed linen,none
194,belong to,none
195,bend over,none
196,benefit from,none
197,best buy,none
198,best man,none
199,beware of,none
200,bid for,none
201,blame for,none
202,blood pressure,none
203,blow up,"n a violent release of energy caused by a chemical or nuclear reaction
n an unrestrained expression of emotion
n a photographic print that has been enlarged"
204,boarding school,none
205,book over the phone,none
206,book ... in,none
207,book up,none
208,boost one's confidence,none
209,boost the efficiency of,none
210,bother to do,none
211,bother with,none
212,box office,none
213,brand name,none
214,break down,"n. a mental or physical breakdown
n. a cessation of normal operation
n. an analysis into mutually exclusive categories"
215,break off,none
216,break records,none
217,break the record,none
218,break with,none
219,breeze through,none
220,bring about,none
221,bring along,none
222,bring out,none
223,bring up,none
224,broadband connection,none
225,brush up lessons,none
226,budget price range,none
227,build up,"n. the act of building up an accumulation
n. the result of the process of accumulation
n. highly favorable publicity and praise"
228,build up one's confidence,none
229,bullet point,none
230,bump into,none
231,burn out,none
232,bus route,none
233,buy sb. out,n. acquisition of a company by purchasing a controlling percentage of its stock
234,by hand,none
235,by heart,none
236,by installment,none
237,by means of,none
238,by profession,none
239,by the middle of,none
240,by the way,none
241,call ... out,n. a challenge to a fight or duel
242,call slip,none
243,cancel one's reservation,none
244,capable of doing,none
245,car exhaust fume,none
246,carry on,none
247,carry out,none
248,case study,none
249,cash the check,none
250,cash the cheque,none
251,cashpoint machine,none
252,cast one's eyes along,none
253,catch a glimpse of,none
254,catch sb. red handed,none
255,cater for,none
256,certificate course,none
257,change one's mind,none
258,charter flight,none
259,chase up,none
260,chat with,none
261,check in,n. the act of reporting your presence (as at an airport or a hotel)
262,check on,none
263,check out,"n. the latest time for vacating a hotel room
n. a counter in a supermarket where you pay for your purchases"
264,check account,none
265,cheque account,none
266,cheer ... up,none
267,cheering section,none
268,church service,none
269,civil servant,none
270,classical literature,none
271,classical music,none
272,clean up,n. (baseball) the fourth position in the batting order (usually filled by the best batter on the team)
273,clear off,none
274,closed reserve,none
275,closed stacks,none
276,coffee break,none
277,come along,none
278,come to an end,none
279,come to nothing,none
280,come true,none
281,come up to,none
282,come up with,none
283,commercial value,none
284,commercial bank,none
285,merchant bank,none
286,commit a crime,none
287,common sense," See Common sense, under Sense."
288,communicate with,none
289,compare with,none
290,compatible with,none
291,compensate for,none
292,compete with,none
293,complain about,none
294,compound apartment,none
295,computer literate,none
296,concentrate on,none
297,concessions for,none
298,confine oneself to,none
299,confine oneself to doing,none
300,confirm a reservation,none
301,consist of,none
302,contact lenses,none
