,﻿musketeer,n. a foot soldier armed with a musket
0,alchemy,n. a pseudoscientific forerunner of chemistry in medieval times
1,Saxon churl,none
2,rift,"n. a gap between cloud masses
n. a narrow fissure in rock"
3,scamper,n. rushing about hastily in an undignified way
4,tussle,"n disorderly fighting
v fight or struggle in a confused way at close quarters
v make messy or untidy"
5,dandelion,n. any of several herbs of the genus Taraxacum having long tap roots and deeply notched leaves and bright yellow flowers followed by fluffy seed balls
6,pejoratively,r. in a pejorative manner
7,facetiously,r. not seriously
8,edict,n. a formal or authoritative proclamation
9,ultimatum,n. a final peremptory demand
10,chimpanzee,n. intelligent somewhat arboreal ape of equatorial African forests
11,corpse,n the dead body of a human being
12,pomegranate,"n. shrub or small tree native to southwestern Asia having large red many-seeded fruit
n. large globular fruit having many seeds with juicy red pulp in a tough brownish-red rind"
13,coffin,"n. box in which a corpse is buried or cremated
v. place into a coffin"
14,bier,"n. a coffin along with its stand
n. a stand to support a corpse or a coffin prior to burial"
15,oblong,"n. a plane figure that deviates from a square or circle due to elongation
s. (of a leaf shape) having a somewhat elongated form with approximately parallel sides
s. deviating from a square or circle or sphere by being elongated in one direction"
16,hummocky,a. Abounding in hummocks.
17,derelict,"n. a person without a home, job, or property
s. failing in what duty requires"
18,coral,"n. a variable color averaging a deep pink
n. the hard stony skeleton of a Mediterranean coral that has a delicate red or pink color and is used for jewelry
n. unfertilized lobster roe; reddens in cooking; used as garnish or to color sauces
n. marine colonial polyp characterized by a calcareous skeleton; masses in a variety of shapes often forming reefs"
19,gazelle,n. small swift graceful antelope of Africa and Asia having lustrous eyes
20,hindquarter,n. the back half of a side of meat
21,lathe,n. machine tool for shaping metal or wood; the workpiece turns about a horizontal axis against a fixed tool
22,bow,"n. a knot with two loops and loose ends; used to tie shoelaces
n. a slightly curved piece of resilient wood with taut horsehair strands; used in playing certain stringed instruments
n. front part of a vessel or aircraft
n. a weapon for shooting arrows, composed of a curved piece of resilient wood with a taut cord to propel the arrow"
23,witchcraft,n. the art of sorcery
24,palm,"n. the inner surface of the hand from the wrist to the base of the fingers
n. a linear unit based on the length or width of the human hand
n. any plant of the family Palmae having an unbranched trunk crowned by large pinnate or palmate leaves"
25,lucerne,n important European leguminous forage plant with trifoliate leaves and blue-violet flowers grown widely as a pasture and hay crop
26,harrow,"n. a cultivator that pulverizes or smooths the soil
v. draw a harrow over (land)"
27,furrow,"n. a long shallow trench in the ground (especially one made by a plow)
v. hollow out in the form of a furrow or groove
v. make wrinkled or creased
v. cut a furrow into a columns"
28,subsoil,n. the layer of soil between the topsoil and bedrock
29,bridle,"n. headgear for a horse; includes a headstall and bit and reins to give the rider or driver control
n. the act of restraining power or action or limiting excess
v. anger or take offense
v. put a bridle on"
30,halter,"n. rope or canvas headgear for a horse, with a rope for leading
n. a woman's top that fastens behind the back and neck leaving the back and arms uncovered
n. either of the rudimentary hind wings of dipterous insects; used for maintaining equilibrium during flight"
31,stork,n. large mostly Old World wading birds typically having white-and-black plumage
32,syphilis,n. a common venereal disease caused by the treponema pallidum spirochete; symptoms change through progressive stages; can be congenital (transmitted through the placenta)
33,garrison,"n. a fortified military post where troops are stationed
n. United States abolitionist who published an anti-slavery journal (1805-1879)
n. the troops who maintain and guard a fortified place
v. station (troops) in a fort or garrison"
34,forebear,n. a person from whom you are descended
