,ID,Type,Story,Parent,Points,Comments,Author,Title,URL,Content,Created
0,8349049,comment,8347511.0,8348884.0,2,0,wtetzner,,,Simple doesn&,
1,8349048,comment,8348773.0,8349024.0,2,0,trevelyan,,,Everyone in the government/military uses a VPN. Seriously.<p>The controls aren&,
2,8349047,comment,8345881.0,8347191.0,1,0,dalanmiller,,,Please let me know if you get ahold of them!,1411354722.0
3,8349046,comment,8345881.0,8346613.0,1,0,voltagex_,,,"Sorry, bad example.<p>Don&",
4,8349045,comment,8348473.0,8348828.0,2,0,golemotron,,,Exactly. Someday people are going to see that Nationalism is essentially the same thing as Racism and just as ugly.<p>Nationalism/Racism => &quot;People are more deserving if [they live in X/are of ethnicity X].&quot;,1411354681.0
5,8349044,comment,8348724.0,8348724.0,1,0,yowza,,,Yes. What&,
6,8349043,story,,,3,0,westoque,Could server-side Dart replace Node.js?,http://www.centurylinklabs.com/could-server-side-dart-replace-nodejs/,,1411354588.0
7,8349042,comment,8348473.0,8348995.0,2,0,AnthonyMouse,,,> I know it&,
8,8349041,comment,8348473.0,8348860.0,2,0,golemotron,,,"I think it mis-understands money. When you buy something, it&",
9,8349040,comment,8348919.0,8348919.0,5,0,onetimeusename,,,She used the term &quot;sausagefest&quot; to describe a male dominated industry. She talked about being bullied by another female and decided it was essentially random that it was happening but the other events involving men weren&,
10,8349039,story,,,5,0,coreymgilmore,Quitting a Corporate Job for My Startup Dream Has Turned My Life Upside Down,http://www.businessinsider.com/how-quitting-my-corporate-job-for-my-startup-dream-completely-ruined-my-life-2014-9?utm_content=buffer9e140&utm_medium=social&utm_source=facebook.com&utm_campaign=buffer,,1411354395.0
11,8349038,comment,8347380.0,8348672.0,5,0,imaginenore,,,"Wow, your doctors suck.",1411354387.0
12,8349037,comment,8347902.0,8348585.0,1,0,jgalt212,,,jshen: I feel your pain.  I think there&,
13,8349036,comment,8347918.0,8348430.0,2,0,golemotron,,,I have mixed feelings. I don&,
14,8349035,comment,8348316.0,8348822.0,1,0,a8da6b0c91d,,,This is not how metabolism works. It&,
15,8349033,comment,8342718.0,8342718.0,2,0,rovjuvano,,,"Correcting two flaws with this leads to an interesting result:\n1) no error handling, at all, anywhere, not just missing from the presentation, but not in the code. transduce just wraps reduce. FAIL!!!\n2) the &",
16,8349032,comment,8348025.0,8348551.0,0,0,uselessdguy,,,Most people don&,
17,8349031,story,,,13,1,yiransheng,Frame Pointer Optimization vs. degugging compiled code (2007),http://blogs.msdn.com/b/larryosterman/archive/2007/03/12/fpo.aspx,,1411354139.0
18,8349030,comment,8347269.0,8348638.0,5,0,diltonm,,,Actually someone in our family installed GEOS and I couldn&,
19,8349029,story,,,2,0,jmduke,PaintCode: Turn drawings into code,http://www.paintcodeapp.com/,,1411354073.0
20,8349028,story,,,1,0,bobbles,Tab Dump – Two Weeks,http://tabdump.com/blog/2014/9/21/two-weeks,,1411354042.0
21,8349027,comment,8345242.0,8346784.0,0,0,lazylizard,,,no Google Now is not cool. i already have my mom nagging me. i don&,
22,8349026,comment,8348235.0,8349021.0,1,0,kolev,,,"Yeah, it would be nice to combine effort and implement support for different backends.",1411353918.0
23,8349025,comment,8348919.0,8348993.0,1,0,hawkice,,,"Some of my instincts are telling me the interaction you are describing has little to do with age, either. I think this has to do with price point. I am young myself, and (if I didn&",
24,8349024,comment,8348773.0,8349004.0,3,0,iliketosleep,,,"If they realize it, then why is access becoming MORE restricted than ever before? Ever since Chairman Xi came into power, all I can see is more restrictions and tightening of gov. policy.",1411353816.0
25,8349021,comment,8348235.0,8348326.0,1,0,abemassry,,,"My project is only tangentially related but a little similar. \n<a href=""https://github.com/abemassry/wsend"" rel=""nofollow"">https://github.com/abemassry/wsend</a> deletes after 1 month.<p>We should team up, I&",
26,8349020,comment,8348512.0,8348512.0,20,0,typpo,,,"I noticed a recent increase in the amount of native advertising, especially poorly labeled &quot;sponsored content,&quot; and built a chrome/firefox extension to flag these articles [1].  It includes rules for the sites mentioned - Buzzfeed, Mashable, Quartz, and Vice - as well as about 100 others.<p>Reactions from publishers and native ad companies were surprisingly positive - some even reached out asking to me add their sites.  In general I think a lot of people in publishing are very conflicted about the problem because it gets into journalistic ethics, which are deeply ingrained.<p>Currently an organization called the IAB provides the standard for the industry, but it&",
27,8349019,comment,8344238.0,8344903.0,1,0,hackuser,,,> Could you explain more about obtaining it under someone else&,
28,8349018,comment,8348773.0,8348937.0,2,0,chj,,,Actually it is a universal problem. Anything that involves a central server or a legal representative will be under government control.,1411353674.0
29,8349017,comment,8347380.0,8348166.0,1,0,UrMomReadsHN,,,BuzzFeed is a content farm that steals other people&,
30,8349016,story,,,3,0,semikolon,Top Video Courses to Become a Growth Hacker,http://www.timosterbuhr.com/top-10-video-courses-become-growth-hacker/,,1411353641.0
31,8349015,story,,,2,0,nreece,Peter Thiel: ‘We attribute too much to luck. Luck is an atheistic word for God’,http://www.theguardian.com/technology/2014/sep/21/peter-thiel-paypal-luck-atheist-god?CMP=fb_gu,,1411353631.0
32,8349014,comment,8346240.0,8346311.0,1,0,zaroth,,,"In the example in the article, the private insurance DID pay the full amount. I don&",
33,8349013,comment,8348512.0,8348865.0,3,0,msrpotus,,,Not sure where you&,
34,8349012,comment,8348473.0,8348869.0,3,0,BrainInAJar,,,"> Now it is scary because it survived and it is the future, not them.<p>The future is civic design around people rather than cars, and that&",
35,8349011,comment,8348936.0,8348936.0,21,0,lutorm,,,"Having spent my previous career studying the effects of interstellar dust (though not in this wavelength range), it&",
36,8349010,comment,8348316.0,8348825.0,1,0,a8da6b0c91d,,,"Ugh, please knock it off with the taubsian glycemic misinformation. Nobody with a clue buys into this carbs and insulin story. The 90s science hasn&",
37,8349009,comment,8348473.0,8348473.0,2,0,fnordfnordfnord,,,People have been pitching electric cars in Detroit for a long time. The Big Three aborted every opportunity.,1411353362.0
38,8349008,comment,8348919.0,8348993.0,1,0,girvo,,,"I had the same happen to me, I was a 17 year old who was running my own agency (4 employees, the youngest of which was 21 at the time). That&",
39,8349007,comment,8349005.0,8349005.0,1,0,pdq,,,"&quot;Keyboard Frequency Sculpture&quot;, by Mike Knuepfel.",1411353327.0
40,8349006,story,,,123,109,abdullahkhalids,Apple’s dangerous game,http://www.washingtonpost.com/news/volokh-conspiracy/wp/2014/09/19/apples-dangerous-game/,,1411353323.0
41,8349005,story,,,2,2,pdq,3D bar graph of English language letter frequency,http://portfolio.spike5000.com/?p=57,,1411353301.0
42,8349004,comment,8348773.0,8348990.0,3,0,Kaihuang724,,,"My family has done business in China pretty much my whole life, and my take on it is that the Chinese gov. is more or less a bloated system. As the economy grows, greater access is definitely needed and I think top gov. officials realize this, but really nothing can be done in a timely fashion there because of how their politics work.",1411353299.0
