,ID,Type,Story,Parent,Points,Comments,Author,Title,URL,Content,Created
0,10834611,comment,10830333.0,10834497.0,0,0,caf,,,"In the code editor window, if you expand the &quot;Output&quot; frame the two drop-downs tell you the numbers of the available output devices (argument to the OUT mnemonic) and for the output device you select, the number of the commands it accepts (in the accumulator register).",1451897985.0
1,10834610,comment,10826836.0,10827945.0,0,0,cma,,,Seems more like a confusion over how much income to the top comes from wages vs. capital gains. Looking Graham&,
2,10834609,story,,,2,0,testrun,Ford Is Adding Support for Apple CarPlay and Android Auto to Its Vehicles,http://techcrunch.com/2016/01/03/ford-is-adding-support-for-apple-carplay-and-android-auto-to-its-vehicles/,,1451897955.0
3,10834608,comment,10830998.0,10830998.0,0,0,dogma1138,,,"Very interesting reminds me of Karel.\n<a href=""https://en.wikipedia.org/wiki/Karel_(programming_language)"" rel=""nofollow"">https://en.wikipedia.org/wiki/Karel_(programming_language)</a>",1451897929.0
4,10834606,comment,10832207.0,10832224.0,0,0,TheAceOfHearts,,,Totally asking out of ignorance here: How does GPLv3 play with JS apps?<p>I&,
5,10834605,comment,10826836.0,10829993.0,0,0,cma,,,"> As of May 2012, SpaceX had operated on total funding of approximately $1 billion in its first ten years of operation. Of this, private equity provided about $200M, with Musk investing approximately $100M and other investors having put in about $100M (Founders Fund, Draper Fisher Jurvetson, ...).[47] The remainder has come from progress payments on long-term launch contracts and development contracts. As of April 2012, NASA had put in about $400–500M of this amount, with most of that as progress payments on launch contracts.<p>40-50% of funding from NASA contracts.  Yes, this isn&",
6,10834604,comment,10828089.0,10834516.0,0,0,Animats,,,There are a few 2-byte emoji:<p>0x2639 Frowning face<p>️0x263a Smiling face<p>(Hacker News doesn&,
7,10834603,story,,,4,0,officialjunk,Linux kernel fork with PS4 support (work in progress),https://github.com/fail0verflow/ps4-linux,,1451897542.0
8,10834602,comment,10832352.0,10834566.0,0,0,romanhn,,,Didn&,
9,10834601,comment,10832295.0,10834464.0,0,0,dogma1138,,,Sorry meant the commercial sector :),1451897473.0
10,10834600,comment,10828089.0,10834240.0,0,0,chris_wot,,,"Only if it goes through the relevant processes. Look at the nightmare they have around racial and gender lines with some of the human characters. Had it gone through better, then it wouldn&",
11,10834599,comment,10833240.0,10834277.0,0,0,Too,,,"I often found that your remaining 20% is not the same 20% as the library authors, unless the task at hand is very constrained and standardized. Everybody has different edge cases. Finding the bugs relevant to your application in someone elses code is much harder than finding it in your own.",1451897443.0
12,10834598,story,,,1,1,jackgavigan,The Future No Longer Works the Way We Thought It Did,http://www.slate.com/articles/technology/future_tense/2015/12/predictability_is_going_through_some_unpredictable_changes.html,,1451897432.0
13,10834597,comment,10832624.0,10834331.0,0,0,b6,,,I don&,
14,10834596,comment,10830185.0,10834543.0,0,0,LeonidasXIV,,,"I concur. I tried RetroPie and it asked for my keybindings on my controller on start, but when I started any Neo-Geo game, the keys didn&",
15,10834595,comment,10831365.0,10831593.0,0,0,loki49152,,,"You have the misguided ideas that there is such a thing as &quot;the social contract&quot;, that society&",
16,10834593,comment,10831940.0,10832718.0,0,0,jaisonjustus,,,"I had seen Toggl, But not yet used. What&",
17,10834592,comment,10834502.0,10834502.0,0,0,neltnerb,,,I can&,
18,10834590,comment,10825438.0,10831592.0,0,0,tzs,,,"I never heard of that happening before either. I suspect the problem is with the issuing bank, not the processor. (I don&",
19,10834589,comment,10830501.0,10834472.0,0,0,_Codemonkeyism,,,"A lot of military commanders of Israel had been educated in Poland in the 1930s, also Poland was the largest supplier of weapons to Israeli groups fighting for an Jewish state. The Polish idea was if Jews had their own state they would leave Poland.<p>e.g see <a href=""https://en.wikipedia.org/wiki/Menachem_Begin"" rel=""nofollow"">https://en.wikipedia.org/wiki/Menachem_Begin</a><p><a href=""https://en.wikipedia.org/wiki/Betar"" rel=""nofollow"">https://en.wikipedia.org/wiki/Betar</a><p><a href=""http://www.etzel.org.il/english/ac16.htm"" rel=""nofollow"">http://www.etzel.org.il/english/ac16.htm</a>",1451897285.0
20,10834588,comment,10830587.0,10834453.0,0,0,saola-app,,,I&,
21,10834587,comment,10830501.0,10834532.0,0,0,foobar2020,,,"I admit, it looks like it&",
22,10834586,comment,10830501.0,10830501.0,0,0,ars,,,"Very cool article, but I have to object to this sentence at the start:<p>&quot;Nowadays it is rarely spoken&quot;<p>The number of Yiddish speakers is actually growing, not shrinking and growing at a very rapid rate. It&",
23,10834585,comment,10831601.0,10834370.0,0,0,_chris_,,,"A privileged spec is available, although it&",
24,10834584,comment,10831601.0,10834501.0,0,0,vidarh,,,Intel also has an ARM architecture license (allowing them to design their own ARM cores).<p>Being involved in alternative architectures seems like a sound defensive move.,1451897214.0
25,10834583,comment,10830100.0,10834535.0,0,0,goldenkey,,,"Actually, common household goods are going to amount to more than luxury items or electronics in terms of cost per year.<p>So your 10 minute comparison shopping for sponges is moot.<p>Google Shopping makes it easy to do comparison shopping. And yet Amazon doesn&",
26,10834582,comment,10830686.0,10833676.0,0,0,dang,,,"We detached this subthread from <a href=""https://news.ycombinator.com/item?id=10833120"" rel=""nofollow"">https://news.ycombinator.com/item?id=10833120</a> and marked it off-topic.",1451897167.0
27,10834581,comment,10831940.0,10833121.0,0,0,adyus,,,Clearbit could be one of the solutions to this.,1451897162.0
28,10834580,comment,10828787.0,10828787.0,0,0,Animats,,,"<i>&quot;The New Yorker has always dealt with experience not by trying to understand it but by prescribing the attitude to be adopted toward it. This makes it possible to feel intelligent without thinking.&quot;</i><p>Yes, that&",
29,10834579,comment,10831940.0,10833055.0,0,0,joelg,,,We have surprisingly identical ambitions.\nBVic&,
30,10834578,comment,10832207.0,10834261.0,0,0,fphilipe,,,"Yes, this! People seem not to know when to use replaceState over pushState. And in my eyes this is a clear candidate for replaceState. (There are also examples the other way around, such as GitHub&",
31,10834577,story,,,1,0,aceperry,Someone Got Windows 95 Running on a Nintendo 3DS,http://motherboard.vice.com/read/someone-got-windows-95-running-on-a-nintendo-3ds,,1451897085.0
32,10834576,comment,10831149.0,10832518.0,0,0,mhuffman,,,"I have been pretty happy with screen and mosh[1]. Very, very happy with mosh!<p><a href=""https://mosh.mit.edu/"" rel=""nofollow"">https://mosh.mit.edu/</a>",1451897067.0
33,10834575,comment,10828089.0,10828089.0,0,0,edent,,,"We managed to get Power Symbols into Unicode (<a href=""http://unicodepowersymbol.com/"" rel=""nofollow"">http://unicodepowersymbol.com/</a>) and it was all sparked by a conversation on HN <a href=""https://news.ycombinator.com/item?id=6828102"" rel=""nofollow"">https://news.ycombinator.com/item?id=6828102</a>",1451897060.0
34,10834574,comment,10830004.0,10834296.0,0,0,har777,,,I agree. People are really excited but it takes some knowledge to make a intelligent comment to this. I for one read a lot of NIPS paper&,
35,10834573,comment,10831601.0,10833396.0,0,0,vidarh,,,"It makes sense for Oracle to keep a close eye on new architectures that seems like it may get some traction. If it makes it into the server space, it&",
36,10834572,comment,10828089.0,10834279.0,0,0,panic,,,Why do you think they&,
37,10834571,comment,10831005.0,10832620.0,0,0,rdancer,,,"Your problems were using GNU extensions, instead of writing in POSIX-standard subset, not knowing what the standard was, and not testing. None of which apply to the grandparent!",1451897025.0
38,10834570,story,,,2,0,cant_kant,So you want to be a computational biologist?,http://www.nature.com/nbt/journal/v31/n11/full/nbt.2740.html,,1451896990.0
39,10834569,comment,10832970.0,10833220.0,0,0,tzs,,,> I thought the &quot;Buy Survivor Library on Disc&quot; [1] link was a bit funny ... if you don&,
40,10834568,comment,10832055.0,10834439.0,0,0,js8,,,"I think you have a good point. But I still think polarization of the society is an obstacle that has to be overcome in sync with this. Things like people supporting Donald Trump. I wish I had a good recipe/idea how to reverse that (at least some of these authoritarian trends), but I don&",
41,10834567,story,,,5,2,Tomte,Diamonds Suck (2006),http://diamondssuck.com/,,1451896945.0
42,10834566,comment,10832352.0,10834355.0,0,0,donkeyd,,,Could be good for real estate prices too... If you&,
43,10834565,comment,10830587.0,10834522.0,0,0,saola-app,,,Thanks for bring up Acme and Plan9. Having used Acme as a primary editor for a while I definitely plan to bring some of its features along. I have ported part of plumbing to elisp though very rudimentary. Though I wonder how plumbing could be implemented in the web. It is an interesting thought.,1451896864.0
44,10834564,comment,10830587.0,10833908.0,0,0,iheartmemcache,,,"I sort of wanted to find a use-case for Pipes and IFTTT, but I couldn&",
45,10834563,comment,10829399.0,10829399.0,0,0,neltnerb,,,"Optimistic:<p>If they already have the same product and paid customers, learn everything you possibly can tease out of why they do it the way they do it. They are almost guaranteed to not be dumb, or at least that&",
46,10834562,comment,10831940.0,10831940.0,0,0,jjuliano,,,I&,
47,10834561,comment,10833629.0,10833629.0,0,0,jokoon,,,"Use the tor browser.<p>Someone should make a short gif to explain this: imagine someone with a Guy Fawkes mask browsing facebook on his computer. Then some guy behind him look at his screen him and tells him &quot;hey Mark Dupont, what&",
48,10834560,comment,10832624.0,10834430.0,0,0,_yosefk,,,If I were sure that this was written seriously I should have replied along the lines of there being few chances for such an amazing resource as the best programmers in the world by a large margin to be untapped by greedy capitalists who&,
49,10834559,comment,10833230.0,10833606.0,0,0,YeGoblynQueenne,,,">> I think he was just talking about rich people kind of being demonized by the media, they like to paint a story of rich as the oppressive ruling class which everyone else needs to rise up against. That only divides people, there are peaceful solutions too..<p>I think what divides people in the first instance is that 20% of them hold 80% of the wealth (or similar).<p>&quot;Peaceful solutions&quot; is an interesting turn of phrase also. I guess you could see the exchange of wealth as a kind of war, but in that case the person who took all the money for themselves and left very little for everyone else to go by is actively trying to win that war. In that sense the only &quot;peaceful solution&quot; is to play dead.",1451896778.0
50,10834558,comment,10833629.0,10834310.0,0,0,temp,,,">Also, the current version of the Tor Browser warns you when you resize the window.<p>I believe it only warns you if you maximize the window, not if you resize it.",1451896673.0
51,10834557,comment,10830501.0,10834507.0,0,0,ajuc,,,I guess they would have hired people speaking Yiddish.<p>My grandpa always told me to learn Russian and German cause you have to speak the enemy&,
52,10834556,story,,,2,0,tefo-mohapi,"Digital Africans, Your Ideas Matter",http://www.africantechroundup.com/get-pumped-for-2016-with-musa-kalenga-and-kali-ilunga/,,1451896592.0
