,ID,Type,Story,Parent,Points,Comments,Author,Title,URL,Content,Created
0,9830016,comment,9824313.0,9824313.0,0,0,agumonkey,,,First time I see fresh rebol code. The embedded html subtype was interseting. JSX came to mind for a second :p,1436014763.0
1,9830015,comment,9828507.0,9829676.0,0,0,aikah,,,"I took it as &quot;filmed theater&quot; rather than a movie. Aside from William Hurt, all actors are playing their roles, not &quot;acting&quot;. So if you see it that way it&",
2,9830014,story,,,2,0,mrzool,The Setup / Severine von Tscharner Fleming,https://usesthis.com/interviews/severine.von.tscharner.fleming/,,1436014667.0
3,9830013,comment,9824722.0,9827067.0,0,0,cpach,,,"As you very well know, HN votes are anonymous. Why make assumptions about who voted? It doesn&",
4,9830012,comment,9829928.0,9829949.0,0,0,i0nutzb,,,"(not) Obviously enough, the AC part was a joke :)",1436014622.0
5,9830010,comment,9829928.0,9829928.0,0,0,chrisBob,,,"Turn down the AC at work, and home will be much more comfortable. People acclimatize to hot weather pretty quickly, but we spend a lot of time fighting it in favor of temporary comfort. A few years ago I found myself freezing trying to sleep in an air-conditioned tent in Kuwait. I had to pull out my sleeping bag to stop shivering. When I checked the thermometer it showed that it was still 35C (95F), but that was <i>much</i> cooler than it had been during the day: 55C (130F).<p>If you went into a portajohn you saw the same effect much quicker: 55C felt like a wonderful relief when you stepped out.",1436014558.0
6,9830009,story,,,36,14,JacobAldridge,The Perfect Pac-Man (2006),http://www.oxfordamerican.org/magazine/item/622-the-perfect-man,,1436014428.0
7,9830007,comment,9829133.0,9829735.0,0,0,xamuel,,,UB is not something that a competent programmer does intentionally.<p>You shouldn&,
8,9830006,story,,,6,7,thereddog,Ask HN: What electives go well with a Computer Science degree?,,,1436014417.0
9,9830005,comment,9829800.0,9829800.0,0,0,tim333,,,"The government should have been trying to influence prices downwards when they were at about 2 times the fair value of the assets, not prop them up when they are at 10 times. Overpriced bubbles just end up with money transferred from ordinary people into dubious schemes and are an inefficient use of capital. See the 1999 dot com bubble, the 2006 US house price bubble and the like.<p>You end up with a bunch of money pissed away in pets.com like ventures or thousands of houses/flats built somewhere where there isn&",
10,9830004,comment,9827051.0,9827276.0,0,0,pjmlp,,,"I only used goto in ZX Spectrum Basic, GW Basic and several Assembly flavours.<p>All its use cases are better served by other language constructs.<p>Then again, C is a portable macro assembler.",1436014366.0
11,9830003,comment,9828968.0,9828968.0,0,0,jwdunne,,,"What would be really nice is a Firefox/Chrome window hosted inside an Emacs frame, which would be controllable via an elisp api so I can bind hotkeys to control it.<p>Would make web development easier by keeping web based documentation look ups right there in Emacs, plus could have a window dedicated to viewing your work as you edit, especially when working on frontend stuff.",1436014300.0
12,9830002,comment,9829614.0,9829614.0,0,0,cm2187,,,To me the problems with email have more to do with spam and privacy than threads and real time.<p>We shouldn&,
13,9830001,comment,9829942.0,9829942.0,0,0,richmarr,,,It didn&,
14,9830000,comment,9828061.0,9829287.0,0,0,learnstats2,,,I understand from what you&,
15,9829999,comment,9828706.0,9829934.0,0,0,rch,,,Which other niche accelerators?,1436014223.0
16,9829998,comment,9828461.0,9829035.0,0,0,tocs,,,"A company providing a service might turn to open source a software project if they do not want to turn into a software company. If I understand correctly MySQL AB was a company that developed an open source DB but made money selling support and training (and also sold a non open version of MySQL). The company later sold for $1 billion, so there must have been some benefit.",1436014192.0
17,9829997,comment,9829085.0,9829921.0,0,0,enord,,,I&,
18,9829996,comment,9828805.0,9828805.0,0,0,agumonkey,,,What a weird typing / prolog-cut mechanism.,1436014153.0
19,9829995,story,,,92,42,chrisacky,AWS Best Practices for DDoS Resiliency [pdf],http://d0.awsstatic.com/whitepapers/DDoS_White_Paper_June2015.pdf,,1436014124.0
20,9829994,comment,9829662.0,9829972.0,0,0,vezzy-fnord,,,Please actually try researching the concepts and papers about Plan 9 and Inferno before making such sophomoric statements as &quot;A local file is not the same thing as a remote file.&quot; As if no one has thought about this before.,1436014101.0
21,9829993,comment,9827051.0,9829816.0,0,0,pjmlp,,,Metaprogramming to the full power sounds like Lisp. It doesn&,
22,9829992,comment,9828962.0,9828962.0,0,0,userbinator,,,"Nice pictures, but they should really have indicated the filesize for the 3000-sample version and given more details about this part:<p><i>the samples can be saved and zipped up</i><p>Depending on the algorithm the results could vary wildly - there could be some characteristic of the samples that make them encodable in a smaller/easily-compressible way.<p>It also reminds me of this:<p><a href=""http://codegolf.stackexchange.com/questions/50299/draw-an-image-as-a-voronoi-map"" rel=""nofollow"">http://codegolf.stackexchange.com/questions/50299/draw-an-im...</a>",1436014081.0
