,Tag,Key,Value,Units,Type,Allowed Values,Sensitivity Parameters,Coupled,Description,Active,Sensitivity Analysis,Options/Notes
0,Scenario,monthly_data_filename,.\test\datasets\000-001-monthly.csv,,string,valid file path to a monthly data file,,None,,yes,no,
1,Scenario,time_series_filename,.\test\datasets\000-001-timeseries.csv,,string,valid file path to a time series data file,,None,,.,no,
2,Scenario,dt,1,,float,"[0,1]",,None,Time step in the time series data file,.,no,
3,Scenario,opt_years,2017,,list/int,the year number(s) specified here must appear in the time series file,,None,which years to run optimization for. You must have data for these years in the time series file.,.,no,
4,Scenario,start_year,2017,,Period,opt_years must be between start_year and end_year,,None,first year of analysis,.,no,
5,Scenario,end_year,2017,,Period,opt_years must be between start_year and end_year,,None,last year of analysis,.,no,
6,Scenario,n,168,,string/int,"{month,(0,365]}",,None,optimization prediction horizon ('month' or number of days). ,.,no,
7,Scenario,incl_site_load,0,,bool,"{0,1}",,None,Flag to include site_load in load calculation (MUST BE ONE IF DCM OR RETAILETS ARE ON),.,no,
8,Scenario,apply_interconnection_constraints,1,,bool,,,None,,.,no,
9,Scenario,max_import,-10000,,float,,,None,,.,no,
10,Scenario,max_export,40000,,float,,,None,,.,no,
11,Scenario,def_growth,2,%/yr,float,"[0,100]",,None,default growth rate applied to load and any missing rates,.,no,
12,Scenario,verbose,1,,bool,,,None,general feedback flag,.,no,
13,Scenario,verbose_opt,0,,bool,,,None,optimization feedback flag,.,no,
14,Scenario,binary,1,,bool,,,None,Should the optimization use binary variables to prevent concurrent charge and discharge? This should be 1 usually,.,no,
15,Scenario,slack,0,,bool,,,None,Should the optimization use soft constraints (more robust but longer run time),.,no,
16,Scenario,ownership,customer,,string,"{customer,utility,3rd party}",,None,who owns the assests,.,no,
17,Scenario,location,customer,,string,"{generation,transmission,distrubution,customer}",,None,the domain in which the assets are located,.,no,
18,Scenario,kappa_ene_max,100000,,float,,,None,,.,no,
19,Scenario,kappa_ene_min,100000,,float,,,None,,.,no,
20,Scenario,kappa_dis_max,100000,,float,,,None,,.,no,
21,Scenario,kappa_dis_min,100000,,float,,,None,,.,no,
22,Scenario,kappa_ch_max,100000,,float,,,None,,.,no,
23,Scenario,kappa_ch_min,100000,,float,,,None,,.,no,
24,Finance,inflation_rate,3,%/year,float,"[0, 100]",,None,Yearly inflation rate for use in the financial analysis,yes,no,
