,act_tag,speaker,pos,text
0,qy,A,You/PRP want/VBP to/TO start/VB ?/.,You want to start? /
1,sd,B,"Well/UH ,/, I/PRP guess/VBP I/PRP would/MD first/RB identify/VB myself/PRP as/IN middle/JJ aged/JJ","{D Well, } I guess I would first identify myself as middle aged /"
2,sd,B,"and/CC therefore/RB ,/,","{C and } therefore,"
3,b,A,Uh-huh/UH ./.,Uh-huh. /
4,+,B,"having/VBG seen/VBN the/DT last/JJ generation/NN ,/, I/PRP guess/VBP it/PRP puts/VBZ me/PRP in/IN ,/, you/PRP know/VBP ,/, gives/VBZ me/PRP a/DT perspective/NN on/IN that/DT ./.","having seen the last generation, I guess it [ puts me in, + {D you know, } gives me ] a perspective on that. /"
5,b,A,Yeah/UH ./.,Yeah. /
6,sd,B,"Uh/UH ,/, I/PRP ,/, am/VBP quite/RB positive/JJ on/IN the/DT things/NNS that/IN I/PRP have/VBP seen/VBN happen/VB recently/RB relative/JJ to/IN women/NNS in/IN ,/, both/DT in/IN society/NN and/CC in/IN the/DT work/NN place/NN ,/,","{F Uh, } <smacks> I, am quite positive on the things that I have seen happen recently relative to women [ in, + both in ] society and in the work place, /"
7,sd,B,"uh/UH ,/, there/EX 's/BES no/DT doubt/NN about/IN the/DT fact/NN that/IN when/WRB I/PRP was/VBD first/RB graduated/JJ from/IN college/NN the/DT impression/NN was/VBD that/IN a/DT woman/NN 's/POS career/NN would/MD consist/VB of/IN a/DT childbearing/JJ years/NNS and/CC perhaps/RB a/DT return/NN to/IN the/DT office/NN ,/, but/CC not/RB necessarily/RB ./.","{F uh, } there's no doubt about the fact that when I was first graduated from college the impression was that a woman's career would consist of a childbearing years and perhaps a return to the office, but not necessarily. /"
8,sd,B,"Uh/UH ,/, now/RB I/PRP think/VBP the/DT change/NN that/WDT I/PRP 've/VBP seen/VBN as/RB much/RB as/IN anything/NN is/VBZ one/NN where/WRB couples/NNS ,/, uh/UH ,/, are/VBP more/RBR carefully/RB planning/VBG their/PRP$ intention/NN on/IN how/WRB to/TO both/DT share/VB homemaking/JJ duties/NNS and/CC also/RB how/WRB women/NNS will/MD ,/, uh/UH ,/, have/VB their/PRP$ children/NNS and/CC then/RB deliberately/RB sort/RB of/RB plan/VB how/WRB they/PRP go/VBP back/RB to/IN the/DT work/NN place/NN ./.","{F Uh, } {D now } I think the change that I've seen as much as anything is one where couples, {F uh, } are more carefully planning their intention on how to both share homemaking duties and also how women will, {F uh, } have their children and then deliberately sort of plan how they go back to the work place. /"
9,b,A,Uh-huh/UH ./.,Uh-huh. /
10,sd,B,"And/CC I/PRP guess/VBP that/DT 's/BES a/DT significant/JJ change/NN that/WDT I/PRP 've/VBP both/DT participated/VBN in/IN an-/XX ,/, and/CC noticed/VBN ./.","{C And } I guess that's a significant change that I've both participated in [ an-, + and ] noticed. /"
11,aa,A,"I/PRP agree/VBP ,/, uh/UH ,/,","I agree, {F uh, } /"
12,sd,A,"the/DT equality/NN of/IN ,/, uh/UH ,/, the/DT roles/NNS now/RB between/IN the/DT sexes/NNS ,/, I/PRP guess/VBP has/VBZ been/VBN dramatically/RB demonstrated/VBN with/IN this/DT war/NN ,/, especially/RB compared/JJ with/IN ,/, uh/UH ,/, the/DT Vietnam/NNP war/NN","the equality of, {F uh, } the roles now between the sexes, I guess has been dramatically demonstrated with this war, especially compared with, {F uh, } the Vietnam war /"
13,sd,A,and/CC you/PRP see/VBP women/NNS going/VBG off/IN to/IN wars/NNS as/RB well/RB as/IN men/NNS ./.,{C and } you see women going off to wars as well as men. /
14,b,B,Uh-huh/UH ./.,Uh-huh. /
15,sd,A,"Uh/UH ,/, I/PRP have/VBP wondered/VBN why/WRB they/PRP allowed/VBD ,/, or/CC let/VBD ,/, you/PRP know/VBP ,/, both/DT the/DT father/NN and/CC mother/NN go/VBP ,/, uh/UH ,/,","{F Uh, } I have wondered why they allowed, or let, {D you know, } both the father and mother go, {F uh, } /"
16,sd,A,and/CC the/DT children/NNS are/VBP left/VBN without/IN either/DT parent/NN ./.,{C and } the children are left without either parent. /
17,sd,A,Now/RB to/IN me/PRP that/IN 's/BES kind/RB of/RB a/DT drawback/NN ./.,{D Now } to me that's kind of a drawback. /
18,sv,A,"But/CC ,/, uh/UH ,/, I/PRP guess/VBP it/PRP 's/BES a/DT price/NN you/PRP pay/VBP ./.","{C But, } {F uh, } I guess it's a price you pay. /"
19,sd,A,"And/CC I/PRP also/RB wonder/VBP about/IN the/DT children/NNS that/WDT are/VBP being/VBG brought/VBN up/RP in/IN the/DT ,/, uh/UH ,/, uh/UH ,/, day/NN care/NN centers/NNS ./.","{C And } I also wonder about the children that are being brought up in the, {F uh, } {F uh, } day care centers. /"
20,qw,B,Wonder/VBP about/IN them/PRP in/IN what/WP way/NN ?/.,Wonder about them in what way? /
21,sd,A,"Well/UH ,/, uh/UH ,/, from/IN what/WP I/PRP understand/VBP there/EX 's/HVS been/VBN studies/NNS that/WDT ,/, uh/UH ,/, these/DT children/NNS are/VBP ,/, uh/UH ,/, more/RBR rebellious/JJ ./.","{D Well, } {F uh, } from what I understand there's been studies that, {F uh, } these children are, {F uh, } more rebellious. /"
22,sd,A,"Uh/UH ,/, they/PRP term/VBP it/PRP as/RB more/JJR ,/, uh/UH ,/, creative/JJ ./.","{F Uh, } they term it as more, {F uh, } creative."
23,b,B,Uh-huh/UH ./.,Uh-huh. /
24,+,A,"But/CC ,/, uh/UH ,/, that/IN they/PRP ,/, uh/UH ,/, are/VBP much/RB more/RBR contentious/JJ ./.","But, {F uh, } that they, {F uh, } are much more contentious. /"
25,sv,A,"So/RB ,/, I/PRP ,/, I/PRP do/VBP n't/RB ,/, I/PRP ,/, I/PRP guess/VBP we/PRP 'll/MD have/VB to/TO see/VB another/DT generation/NN to/TO see/VB what/WP differences/NNS a/DT child/NN being/VBG brought/VBN up/RP ,/, you/PRP know/VBP ,/, in/IN a/DT ,/, uh/UH ,/, kind/RB of/RB a/DT ,/, uh/UH ,/, community/NN ,/,","{C So, } [ [ I, + I don't, ] + [ I, + I ] guess ] we'll have to see another generation to see what differences a child being brought up, {D you know, } in [ a, + {F uh, } kind of a, ] {F uh, } community,"
26,b,B,Uh-huh/UH ./.,Uh-huh. /
27,+,A,rather/IN than/IN a/DT home/NN ./.,rather than a home. /
28,sd,B,"I/PRP have/VBP not/RB ,/, to/TO be/VB honest/JJ ,/, had/VBD much/JJ experience/NN ,/,","I have not, to be honest, had much experience,"
29,b,A,Yeah/UH ./.,Yeah. /
30,+,B,with/IN children/NNS in/IN that/DT situation/NN ./.,with children in that situation. /
31,sv,B,"I/PRP ,/, I/PRP guess/VBP one/NN knows/VBZ one/NN 's/BES own/JJ storly/RB","[ I, + I ] guess one knows one's own (( storly )) /"
32,sd,B,"and/CC I/PRP know/VBP ,/, uh/UH ,/, in/IN my/PRP$ children/NNS 's/POS case/NN it/PRP was/VBD one/CD where/WRB ,/, uh/UH ,/, pretty/RB much/RB up/RP until/IN the/DT older/JJR of/IN two/CD was/VBD in/IN ,/, uh/UH ,/, let/VB 's/PRP see/VB ,/, I/PRP guess/VBP basically/RB starting/VBG junior/JJ high/JJ","{C and } I know, {F uh, } in my children's case it was one where, {F uh, } pretty much up until the older of two was [ in, + ] {F uh, } let's see, I guess basically starting junior high /"
33,sd,B,and/CC the/DT younger/JJR was/VBD in/IN fifth/JJ grade/NN when/WRB my/PRP$ wife/NN reentered/VBD the/DT work/NN force/NN ./.,{C and } the younger was in fifth grade when my wife reentered the work force. /
34,b,A,Uh-huh/UH ./.,Uh-huh. /
35,%,B,"Uh/UH ,/,","{F Uh } <throat_clearing>, /"
36,%,A,"So/RB they/PRP ,/,","{C So } they, -/"
37,sd,B,"so/UH I/PRP guess/VBP my/PRP$ experience/NN is/VBZ ,/, is/VBZ just/RB with/IN what/WP we/PRP did/VBD","{C so } I guess my experience [ is, + is ] just with what we did /"
38,sd,B,"and/CC ,/, and/CC so/RB they/PRP did/VBD n't/RB really/RB go/VB through/IN the/DT child/NN care/NN route/NN ./.","[ {C and, } + {C and so } ] they didn't really go through the child care route. /"
39,b,A,Yeah/UH ./.,Yeah. /
40,sd,B,They/PRP were/VBD able/JJ to/TO be/VB home/RB together/RB ./.,They were able to be home together. /
41,sd,B,"Uh/UH ,/, and/CC we/PRP never/RB actually/RB experienced/VBN that/DT ./.","{F Uh, } {C and } we never actually experienced that. /"
42,sd,B,"What/WP ,/, in/IN terms/NNS of/IN changes/NNS relative/JJ to/IN women/NNS in/IN the/DT work/NN place/NN and/CC the/DT potential/JJ changes/NNS over/IN the/DT ,/, the/DT next/JJ generation/NN or/CC so/RB ,/, I/PRP guess/VBP I/PRP anticipate/VBP ,/, uh/UH ,/, an/DT increasing/VBG equality/NN ,/, uh/UH ,/, greater/JJR presence/NN of/IN women/NNS in/IN management/NN roles/NNS --/:","[ What, + ] in terms of changes relative to women in the work place and the potential changes over [ the, + the ] next generation or so, I guess I anticipate, {F uh, } an increasing equality, {F uh, } greater presence of women in management roles -- /"
43,b,A,"Uh-huh/UH ,/,","Uh-huh, /"
44,b,A,uh-huh/UH ./.,uh-huh. /
45,sd,B,"--/: uh/UH ,/, I/PRP do/VBP n't/RB know/VB whether/IN there/EX will/MD be/VB an/DT increased/JJ amount/NN of/IN ,/, of/IN surrogacy/NN that/IN we/PRP see/VBP ./.","-- {F uh, } I don't know whether there will be an increased amount [ of, + of ] surrogacy that we see. /"
46,h,B,I/PRP just/RB do/VBP n't/RB know/VB ./.,I just don't know. /
47,qw,A,What/WP do/VBP you/PRP mean/VB ?/.,What do you mean? /
48,sd,B,"Uh/UH ,/, deliberate/JJ childbirth/NN by/IN surrogate/JJ mother/NN ./.","{F Uh, } deliberate childbirth by surrogate mother. /"
49,bk,A,"Oh/UH ,/, yeah/UH ./.","{F Oh, } yeah. /"
50,sd,B,"Sort/RB of/RB rent-a-mom/NN ,/,","Sort of rent-a-mom, /"
51,sd,B,"to/TO be/VB ,/, you/PRP know/VBP ,/,","[ to be, + {D you know, }"
52,b,A,Yeah/UH ./.,Yeah. /
53,+,B,"not/RB to/TO be/VB crass/JJ about/IN it/PRP ,/, but/CC ,/, uh/UH ,/,","not to be ] crass about it, but, {F uh, }"
54,ba,A,That/DT 's/BES strange/JJ ./.,That's strange. /
55,+,B,"uh/UH ,/, whether/IN one/NN might/MD conceive/VB ,/, no/DT pun/NN intended/VBD ,/, of/IN the/DT possibility/NN that/WDT there/EX might/MD be/VB a/DT kind/NN of/IN a/DT deliberate/JJ ,/, uh/UH ,/, uh/UH --/:","{F uh, } whether one might conceive, <laughter> no pun intended, of the possibility that there might be a kind of [ a deliberate, + {F uh, } {F uh } --"
56,qy^d,A,"A/DT nanny/NN ,/, sort/RB of/RB ?/.","A nanny, sort of? /"
57,+,B,"--/: a/DT professional/JJ mother/NN ,/, a-/DT ,/,","-- a professional ] mother, [ a-, + ]"
58,b,A,Uh-huh/UH ./.,Uh-huh. /
59,+,B,person/NN ./.,person.
60,b,A,Uh-huh/UH ./.,Uh-huh. /
61,+,B,"For/IN instance/NN ,/, that/DT ,/,","For instance, that, - /"
62,sd,B,"and/CC I/PRP could/MD ,/, you/PRP know/VBP ,/, I/PRP could/MD envision/VB a/DT society/NN where/WRB that/DT would/MD happen/VB and/CC make/VB an/DT interesting/JJ ,/, uh/UH ,/, uh/UH ,/, story/NN or/CC whatever/WP ./.","{C and } [ I could, + {D you know, } I could ] envision a society where that would happen and make an interesting, {F uh, } {F uh, } story or whatever. /"
63,b,A,Yeah/UH ./.,Yeah. /
64,sd,B,"I/PRP ,/, I/PRP do/VBP n't/RB think/VB I/PRP have/VBP a/DT philosophical/JJ problem/NN with/IN that/DT ./.","[ I, + I ] don't think I have a philosophical problem with that. /"
65,sv,B,"In/IN fact/NN ,/, I/PRP think/VBP it/PRP sort/RB of/RB raises/VBG nurturing/NN and/CC being/VBG a/DT mother/NN to/IN what/WP it/PRP ought/MD to/TO be/VB which/WDT is/VBZ a/DT respected/JJ profession/NN ./.","In fact, I think it sort of raises nurturing and being a mother to what it ought to be which is a respected profession. /"
66,aa,A,"That/DT 's/BES right/JJ ,/,","That's right, /"
67,aa,A,that/DT 's/BES right/JJ ./.,that's right. /
68,sd,B,"Uh/UH ,/, I/PRP ,/, I/PRP do/VBP n't/RB have/VB a/DT ,/, other/JJ than/IN ,/, than/IN a/DT reading/NN and/CC ,/, and/CC male/JJ perspective/NN on/IN ,/, on/IN the/DT ver-/XX ,/, on/IN the/DT biological/NN urges/VBZ involved/VBN relative/JJ to/IN being/VBG a/DT mother/NN or/CC not/RB ./.","{F Uh, } [ I, + I ] don't have [ a, + other ] [ than, + than ] a reading [ and, + and ] male perspective [ [ on, + on the ver-, ] + on the biological ] urges involved relative to being a mother or not. /"
69,sd,B,"Uh/UH ,/, I/PRP know/VBP that/IN ,/, that/IN my/PRP$ sense/NN is/VBZ that/IN I/PRP have/VBP very/RB much/JJ an/DT interest/NN and/CC had/VBD one/NN in/IN being/VBG a/DT parent/NN ./.","{F Uh, } [ I know [ that, + that ] + my sense is that ] I have very much an interest and had one in being a parent. /"
