,https,//paulstamatiou.com/
0,https,//paulstamatiou.com/getting-started-with-security-keys/
1,https,//paulstamatiou.com/building-a-windows-10-lightroom-photo-editing-pc/
2,https,//paulstamatiou.com/stuff-i-use/
3,https,//paulstamatiou.com/about-this-website/
4,https,//tkainrad.dev
5,https,//tkainrad.dev/posts/managing-my-personal-knowledge-base/
6,https,//tkainrad.dev/posts/setting-up-linux-workstation/
7,https,//tkainrad.dev/posts/using-hugo-gitlab-pages-and-cloudflare-to-create-and-run-this-website/
8,https,//www.techmeme.com/lb
9,https,//able.bio
10,https,//medium.com/@soatok/defeating-coordinated-inauthentic-behavior-at-scale-a872badf721
11,https,//xkcd.com/810/
12,https,//github.com/luizdepra/hugo-coder/
13,https,//commoncog.com/blog/
14,https,//www.jefftk.com/
15,https,//www.jefftk.com/p/let-people-move-to-jobs
16,https,//www.jefftk.com/p/shared-cache-is-going-away
17,https,//www.jefftk.com/p/how-to-parent-more-predictably
18,https,//www.jefftk.com/p/survey-of-historical-stock-advice
19,https,//www.jefftk.com/p/taking-someone-aside
20,https,//www.jefftk.com/p/programmers-should-plan-for-lower-pay
21,https,//www.jefftk.com/news/contra
22,https,//www.jefftk.com/p/bleach
23,https,//umaar.com/dev-tips/
24,https,//www.freecodecamp.org/news/the-benefits-of-speaking-at-tech-conferences-c36348c50ac1/
25,https,//www.freecodecamp.org/news/data-visualisation-with-1-billion-shazam-music-recognitions-90728df3a8c9/
26,https,//umaar.com/dev-tips/200-learning-from-open-source/
27,https,//www.sitepen.com/blog/programmatically-create-images-with-the-css-paint-api/
28,https,//imgur.com/ZSGMrC0
29,http,//www.extremelearning.com.au
30,http,//extremelearning.com.au/unreasonable-effectiveness-of-quasirandom-sequences/
31,http,//extremelearning.com.au/isotropic-blue-noise-point-sets/
32,http,//extremelearning.com.au/evenly-distributing-points-on-a-sphere/
33,https,//sandiegohomelesssurvivalguide.blogspot.com/
34,https,//streetlifesolutions.blogspot.com/
35,https,//genevievefiles.blogspot.com/
36,https,//www.pocketputer.com/
37,http,//whathelpsthehomeless.blogspot.com/
38,https,//writepay.blogspot.com/
39,https,//twitter.com/patio11/status/1234141833661440001
40,https,//kopi.cloud
41,https,//www.walkedtheblueline.com
42,https,//www.caribbeansignal.com
43,https,//covid19.caribbeansignal.com
44,https,//themihirchronicles.com/
45,https,//themihirchronicles.com/blog/on-product-management
46,https,//themihirchronicles.com/blog/on-asking-questions
47,https,//themihirchronicles.com/blog/on-deliberate-practice
48,https,//themihirchronicles.com/blog/on-writing-well
49,https,//themihirchronicles.com/blog/on-rhetorical-devices
50,https,//themihirchronicles.com/blog/on-becoming-craftsman
51,https,//themihirchronicles.com/blog/on-tribes-ideologies
52,https,//themihirchronicles.com/blog/on-independent-thinking
53,https,//themihirchronicles.com/bookshelf
54,http,//gabrielgambetta.com
55,https,//gabrielgambetta.com/client-server-game-architecture.html
56,https,//gabrielgambetta.com/generic-search.html
57,https,//gabrielgambetta.com/computer-graphics-from-scratch/introduction.html
58,https,//github.com/halftheopposite/tosios
59,https,//danshumway.com
60,https,//danshumway.com/rss.xml
61,https,//danshumway.com/blog/gamasutra-vulnerabilities/
62,https,//danshumway.com/blog/chrome-autoplay/
63,https,//danshumway.com/blog/design-is-implementation/
64,http,//jsfiddle.net/danShumway/0wqkk578/
65,http,//jsfiddle.net/danShumway/36jag4o2/
66,http,//craftinginterpreters.com/a-map-of-the-territory.html
