,senior,5,high standard\high academic standard\friendly environment\financial aid\timely manner\pleasant experience
0,senior,5,online quarantine\great\ready\weekly video call
1,senior,5,great staff\last university\different advisor
2,alum,5,take online class\covid-19 outbreak
3,alum,5,great community\good professor\friendly student\pretty campus\very small\conservative\wide variety\many professor\starkly view\starkly liberal view\not much\off campus\many sport team\never huge\about much campus\phenomenal\definitely competitive\small division\great experience\interested\liberal art college
4,other,5,small campus\become close\much\become close friend
5,other,5,overall feel\friendly\welcoming\vast\spacious\religious requirement\too much\as much time\wonderful music department\extremely nice
6,sophomore,5,incredible place\very kind\helpful\very friendly
7,sophomore,5,great\great small school\small christian school\great school\well environment\excellent\most\kind\friendly
8,freshman,5,excellent school\amazing campus\extremely friendly\welcoming staff\so glad\next year
9,freshman,5,deep relationship\deep personal relationship\able\other student
10,freshman,5,always willing\possible
11,senior,5,helpful great school\online course\very helpful
12,alum,5,small town\close home\easy transition\small town\quiet area\small class size\great interaction\great individual interaction
13,junior,5,able\always willing
14,sophomore,5,great university\very helpful\very friendly
15,alum,5,fantastic\sad\special place\full time student\helpful
16,sophomore,5,crazy decision\other school\able\available\great
17,other,5,amazing\so nice\so inviting\christian collage\few
18,other,5,really great school\great\more\willing
19,alum,5,great place\good place\good education
20,sophomore,5,safe place\small school experience\great college experience
21,senior,5,unique experience\undergraduate student\christian environment\warm\welcoming place
22,other,5,absolutely beautiful\super nice\pretty good\high school food\there next fall\new friend
23,freshman,5,so friendly\so much laughter\own way\own unique way
24,sophomore,5,very helpful\involved\academic success\extremely diverse\educational\interesting
25,junior,5,most\feel welcomed\very approachable\top professional\good education\good strong education\good role model\personal level
26,junior,5,very safe campus\constant presence\not afraid\sexual violence\aware\sexual assault\proper manner
27,freshman,5,private university\private christian university\faulty\good place
28,freshman,5,christian school\very small\always willing
29,sophomore,5,overall experience\wonderful\wonderful\incredible\wonderful place
30,sophomore,5,provide wonderful student\good
31,sophomore,5,generally small\Most class\general education class\Most professor\willing\whole person\high\good\such backpacking
32,sophomore,5,wise\other school\very strong\well rounded individual\how much faculty\extremely rigorous\successful\incredible\christian\non student\non christian student\unrealistic\clean\lovely\wonderful size\more people\more satisfying
33,freshman,5,christian atmosphere\always helpful
34,junior,5,last minute option\forever indebted
35,freshman,5,so many food\many different food option\great place
36,freshman,5,
37,freshman,5,good visitation\good\nice\free boy
38,freshman,5,way more scholarship\other school
39,freshman,5,so friendly\nice\own space\nice\clean\more other\still convenient\close\very smooth\easy
40,freshman,5,find different food\very convenient\too many student discount\great sushi restaurant\other coffee\other cute coffee shop
41,freshman,5,
42,freshman,5,reasonable achievement
43,freshman,5,spacious\excellent condition\old dorm\good atmosphere\many\many friendly\uplifting people\first year\easy\well dorm\excellent condition\free\easy\little\little pricey
44,junior,5,so many place\many cheap place
45,sophomore,5,great place
46,sophomore,5,endless\few mile
47,junior,5,very secure\alert system
48,junior,5,small campus\easily accessible walking
49,junior,5,library computer\available
50,junior,5,great basketball team
51,junior,5,
52,junior,5,
53,sophomore,5,great
54,sophomore,5,great
55,sophomore,5,phenomenal
56,freshman,5,
57,freshman,5,very friendly campus
58,senior,5,very relevant\current\well understanding\future career
59,senior,4,entire program\simply amazing\passionate\easily reachable\even willing\online program\wonderful experience
60,freshman,4,great faith\great christian faith\amazing\great\great university
61,alum,4,great professor\great student\bad administration\perfect\too strong\current friend\meet most\same thing\long time
62,sophomore,4,free tutoring\so many people\many amazing people\huge part\pull late night\crazy meeting hour\easy\always willing
63,other,4,friendly staff\small campus\intentional interaction
64,freshman,4,great\all amazing\really exciting\able
65,junior,4,great\great christian school\christian private school\able\solid group\easy\socially due\religious institution\more strict rule\great place
66,alum,4,great\great educational\great experience\great clinical experience
67,alum,4,overall atmosphere\more interested\other idea
68,freshman,4,great formation\great spiritual formation opportunity
69,other,4,very pleasant experience\extremely welcoming\seeming
