,ID,Type,Story,Parent,Points,Comments,Author,Title,URL,Content,Created
0,9283937,comment,9282974.0,9282974.0,0,0,teddyh,,,"Current HN title “<i>The experimental railway in London that never stopped</i>” implies that the railway is still operating.  THe <i>actual</i> title “<i>Wembley’s experimental “never stop” railway line</i>” is much better, as it uses the actual name of the train – the “Never Stop Railway”.<p>Don’t we get enough clickbait titles here so we have to make the HN titles even worse?",1427605186.0
1,9283936,comment,9283249.0,9283756.0,0,0,kelukelugames,,,I agree. Back in my day most of the grad students TA&,
2,9283935,comment,9283630.0,9283630.0,0,0,pedalpete,,,One week early for april fools?,1427605137.0
3,9283934,comment,9283608.0,9283608.0,0,0,hippich,,,"I kinda have mixed feelings about it (and I plan to move out even further, since my job allows remoting.)<p>The thing is, money &quot;lost&quot; are spend on wages for people building roads, infrastructure, houses, etc. And this type of work more often done by local workforce, not some international company with bank accounts in caymans.<p>So... how exactly money are &quot;lost&quot;? Lost by whom exactly? People found jobs, which otherwise would not exists, and more infrastructure is built. Which in turn bring more people to live there, which in turn brings more local jobs (i.e. mom-n-pop AC/plumbing/electric company, Homedepot, etc)<p>And built roads are not quite wasteful too - as far as I know roads drive economy, not subdue it.",1427604945.0
4,9283933,comment,9283249.0,9283561.0,0,0,kelukelugames,,,I was incredibly bitter too when my parents left me hanging and I had to pay for most of tuition and rent. But then I realized lots of people pay for their own education. I certainly didn&,
5,9283932,comment,9283778.0,9283778.0,0,0,SwellJoe,,,They don&,
6,9283931,comment,9282539.0,9282809.0,0,0,oscargrouch,,,"in Chromium now, there´s GN to auto-generate only ninja files.. unlike GYP that can generate for several backends like CMake",1427604689.0
7,9283930,comment,9283755.0,9283920.0,0,0,Cyph0n,,,Great to hear then.,1427604664.0
8,9283929,comment,9282237.0,9283277.0,0,0,drjesusphd,,,"> I guess that most of that 50% running in HPC is FORTRAN77 written many, many years ago<p>Is this blind speculation?",1427604631.0
9,9283928,comment,9283249.0,9283848.0,0,0,fsk,,,"The shortage of doctors is not due to market conditions.  The government limits the supply of slots in medical schools and residencies, which then limits the number of new doctors.",1427604628.0
10,9283927,comment,9283608.0,9283880.0,0,0,erispoe,,,"Yeah, tech workers in SF making 150-300k certainly &quot;can&",
11,9283926,comment,9283571.0,9283571.0,0,0,kdrakon,,,"I only have an amateur interest in JVM development, but doesn&",
12,9283925,comment,9283440.0,9283774.0,0,0,rbritton,,,I&,
13,9283924,comment,9283249.0,9283382.0,0,0,kelukelugames,,,"Hey I have a sob story too. My parents own a 3 million dollar house and sent my sister to Harker for 20 grand a year, but only give me 20k total for college.<p>I mowed lawns, washed dishes, and worked retail before finding internships. But you know what? I still have more built in advantages than kids on need based scholarships. I&",
14,9283922,story,,,55,79,fhinson,By 2029 no computer or “machine intelligence” will have passed the Turing Test,http://longbets.org/1/,,1427604458.0
