,ID,Type,Story,Parent,Points,Comments,Author,Title,URL,Content,Created
0,8809418,comment,8806265.0,8806965.0,0,0,davidgerard,,,"In practice, the way to run old binaries on Linux is ... Wine.<p>So we have our long-term-stable ABI for Linux. It&",
1,8809417,comment,8807309.0,8808192.0,0,0,adolph,,,"As a matter of historical fact, yes, see link below. As a matter of rhetorical response, wouldn&",
2,8809416,comment,8808755.0,8809054.0,0,0,mercurial,,,Why the strawman?<p>It&,
3,8809415,comment,8807318.0,8808595.0,0,0,vixen99,,,&,
4,8809414,comment,8808755.0,8809151.0,0,0,Ygg2,,,Also pools are meant for recreation and socializing. Guns only purpose is killing stuff.,1419854152.0
5,8809413,comment,8807212.0,8808122.0,0,0,chronid,,,"In my current workplace the joke is for the newcomers to be called &quot;undervisors&quot; (in contrast to shift supervisors).<p>I found it common to get called a &quot;minion&quot;, &quot;drone&quot; or &quot;padawan&quot; while working in IT. No one usually gets offended (if someone does usually the nickname gets dropped immediately in his/her presence).",1419854147.0
6,8809412,comment,8808490.0,8808490.0,0,0,A1kmm,,,The article doesn&,
7,8809411,comment,8804453.0,8808488.0,0,0,glesica,,,"Aside from being generally inaccurate, your points completely ignore the fact that we are talking about the future, not the present. Specifically, we are talking about a future in which there is simply no <i>useful</i> &quot;work&quot; for most people to do.<p>You can read more about the idea here: <a href=""https://en.wikipedia.org/wiki/Basic_income"" rel=""nofollow"">https://en.wikipedia.org/wiki/Basic_income</a><p>There is also:<p><a href=""http://isa-global-dialogue.net/indias-great-experiment-the-transformative-potential-of-basic-income-grants/"" rel=""nofollow"">http://isa-global-dialogue.net/indias-great-experiment-the-t...</a><p>and<p><a href=""https://en.wikipedia.org/wiki/Mincome"" rel=""nofollow"">https://en.wikipedia.org/wiki/Mincome</a>",1419854085.0
8,8809410,comment,8808490.0,8808955.0,0,0,gitaarik,,,"Same as when people are cold they turn up the temperature.<p>If you want to lose weight, you&",
9,8809409,story,,,2,0,revskill,Should i use application concern in Rails?,https://github.com/revskill/demo/blob/master/app/controllers/admin_controller.rb,,1419854026.0
10,8809408,comment,8808490.0,8808490.0,0,0,jbb555,,,Not sure how much I agree with this.\nTurned down heating anyway :),1419854001.0
11,8809407,comment,8801903.0,8807980.0,0,0,balladeer,,,Thanks. Even though it doesn&,
12,8809406,story,,,109,34,forlorn,OpenELEC 5.0,http://openelec.tv/news/22-releases/153-openelec-5-0-released,,1419853977.0
13,8809404,comment,8808755.0,8809175.0,0,0,Ygg2,,,I know you are a gun fan from all the pro gun posts. Convincing you isn&,
