,ID,Type,Story,Parent,Points,Comments,Author,Title,URL,Content,Created
0,9398172,comment,9396861.0,9396861.0,0,0,dr4g0n,,,"This has reminded me of my old MP3 player, I think it was made by Archos, that had two shuffle modes: &quot;shuffle&quot; & &quot;random&quot;.<p>The &quot;random&quot; mode would happily play songs from the playlist multiple times, even directly after one another; &quot;shuffle&quot; on the other hand would never play a song more than once per playlist. When I first got it I was fascinated by this difference – I still wonder why they included both modes.",1429325987.0
1,9398171,story,,,1,0,henleyedition,Pete Hunt: React vs. The World,https://www.youtube.com/watch?v=MC376f3QWYw,,1429325873.0
2,9398170,comment,9396736.0,9398019.0,0,0,derefr,,,Started that way; now increasingly unified.,1429325825.0
3,9398168,comment,9396338.0,9397837.0,0,0,calvins,,,"I operate systems myself, but that doesn&",
4,9398167,story,,,3,1,empressplay,HBO Now to cut off Australian geo-dodgers,http://www.theage.com.au/digital-life/digital-life-news/hbo-now-cuts-off-australian-game-of-thrones-geododgers-20150418-1mnt5q.html,,1429325801.0
5,9398166,comment,9396694.0,9396694.0,0,0,hnal943,,,There&,
6,9398165,comment,9396116.0,9397858.0,0,0,tsm,,,And the shorthand:<p><pre><code>    $ ls -l /tmp/foo\n    ls: cannot access /tmp/foo: No such file or directory\n    $ ^foo^bar\n    -rw-rw-r-- 1 user user 0 Apr 17 19:12 /tmp/bar</code></pre>,1429325730.0
7,9398164,comment,9381093.0,9392663.0,0,0,d4rkph1b3r,,,You fail to understand that you cannot extrapolate simplicity in the small to simplicity in the large.  It&,
8,9398163,comment,9396409.0,9397916.0,0,0,qiqing,,,"Early attempts to study stress hormones from aggression in large cats (e.g., lions and tigers) studied hunting behavior. The researchers puzzled over data that didn&",
9,9398162,comment,9396950.0,9397522.0,0,0,LnxPrgr3,,,"When I care about performance over most anything else, I take this guy&",
10,9398161,comment,9394176.0,9395418.0,0,0,a1k0n,,,"> Very lazily, I just normalized all probabilities across each transition so that each transition “mega bar” is kind-of the same height. I’m sure there’s a better way to do it, the community is invited to improve!<p>The size of the bars is normalized, not necessarily indicative of probabilities. That&",
11,9398160,comment,9397320.0,9397320.0,0,0,mangeletti,,,"Dear Python,<p>I love you.",1429325537.0
12,9398159,comment,9397204.0,9397387.0,0,0,FreakyT,,,"> If you dislike the practices of a company, go to the competition with your money. Committing crimes won&",
