,ID,Type,Story,Parent,Points,Comments,Author,Title,URL,Content,Created
0,9089097,comment,9087819.0,9088616.0,0,0,lifeisstillgood,,,"Tip is included.<p>I suspect just like the concierge at a hotel, the cut comes from the provider of the service (a dozen roses for 100 bucks - they can afford some affiliate fees from that)",1424606352.0
1,9089096,comment,9072842.0,9073403.0,0,0,avinassh,,,Hey your exercises are really good. I am half way through it and so far I am enjoying it a lot.,1424606327.0
2,9089095,comment,9086751.0,9086751.0,0,0,amouat,,,"This reminds me of the subuser project (<a href=""http://subuser.org/"" rel=""nofollow"">http://subuser.org/</a>) which is basically about using Docker to achieve sandboxing - the project is effectively aiming to build a linux package manager out of Docker.<p>Several commenters have pointed out the very real security issues with opening the X11 port. This is true, but you could use ssh forwarding or VNC (at a considerable performance penalty). I believe the other security issues (mainly related to PID 0 and which user processes are run at) will be solved shortly. Running applications in Docker is never going to be as secure as running an app in a full VM, but it can definitely be better than trusting random code on the internet (the recent Steam client issue springs to mind).",1424606309.0
3,9089094,comment,9088640.0,9089040.0,0,0,z92,,,What&,
4,9089093,comment,9087819.0,9088716.0,0,0,morganvachon,,,"Given their explosion in requests around this time, I&",
5,9089092,comment,9087819.0,9088450.0,0,0,rmc,,,Doesn&,
6,9089091,comment,9088549.0,9089002.0,0,0,eveningcoffee,,,I think that connecting devices directly to the Internet is great nonsense and great danger to our privacy and security.<p>Still it would make sense to have an possibility to connect them to local network.,1424606270.0
7,9089090,comment,9087819.0,9087978.0,0,0,karmacondon,,,"As I understand it, this is what TaskRabbit and several other services offer right now. If this is something that you do on a regular basis, you might have enough disposable income to hire a full time personal assistant. Or pool money with other well off friends and split an assistant&",
8,9089089,comment,9087106.0,9087395.0,0,0,reasonish,,,We have separate events for women in chess tournaments as well. Could it possibly <i>gasp</i> be that womens brains are different to mens? Or is that utterly too horrifying to some to comprehend...,1424606234.0
9,9089088,story,,,4,1,trekkingbuddha,Third eye volunteer Nepal,http://www.volunteersummernepal.org,,1424606218.0
10,9089086,comment,9086330.0,9088983.0,0,0,makomk,,,"The official CDC website says that they found it definitely <i>did</i> cause intussusception:<p>&quot;The results of the investigations showed that RotaShield® vaccine caused intussusception in some healthy infants younger than 12 months of age who normally would be at low risk for this condition. The risk of intussusception increased 20 to 30 times over the expected risk for children of this age group within 2 weeks following the first dose of RotaShield® vaccine.&quot;<p>See <a href=""http://www.cdc.gov/vaccines/vpd-vac/rotavirus/vac-rotashield-historical.htm"" rel=""nofollow"">http://www.cdc.gov/vaccines/vpd-vac/rotavirus/vac-rotashield...</a>. Now, that&",
11,9089084,comment,9085563.0,9086527.0,0,0,cromwellian,,,"I think technically you could achieve this by having multiple heaps, kind of like custom allocators in other languages.<p>If Java had a placement syntax like<p>new (HeapReference) SomeClass(); => allocate in custom Heap<p>Then you could just turn off GC for that heap, and then blow the whole thing away when it got full. Or, you could have a more fine grained API to allow GC on these custom heaps. Perhaps you could even allow copying objects back to the main heap. You&",
12,9089082,comment,9085563.0,9088727.0,0,0,tonfa,,,It&,
13,9089081,comment,9088549.0,9088810.0,0,0,legulere,,,Security certification doesn&,
14,9089080,comment,9086080.0,9088881.0,0,0,maxerickson,,,I think it&,
15,9089079,story,,,2,0,c4obi,Intermediate Pythonista: Types and Classes I,http://intermediatepythonista.com/object-orientation-in-python,,1424605662.0
16,9089078,comment,9088844.0,9088844.0,0,0,anovikov,,,"Someone can please give me some trustworthy, scientific reading material to give people asking me to proof the point &",
17,9089077,comment,9088844.0,9088844.0,0,0,koalala,,,Don&,
18,9089075,comment,9087889.0,9088659.0,0,0,softbuilder,,,How do you feel about a player piano?,1424605476.0
19,9089074,comment,9086608.0,9087893.0,0,0,rainbowgarden,,,"It will overflow to filler[3]. ie the 4th byte.\nsee the struct sockaddr:<p><pre><code>	 * first 2 bytes: Address Family,\n\n	 * next 2 bytes: port,\n\n	 * next 2 bytes: ipaddr,\n\n	 * next 8 bytes: zeroes.\n</code></pre>\nso filler[2] and filler[3] will form a short which will contain the port number.",1424605449.0
20,9089073,comment,9088640.0,9089045.0,0,0,moe,,,"<i>Nimrod feels like a faster version of python or ruby, something a lot of people would like to have.</i><p>Hell yes!<p>Nim really looks like it might have the potential to become the &quot;faster Ruby&quot; (or faster Python) that many of us are waiting for.<p>For all the progress in academic (Rust, Haskell) and special purpose (Go, Dart) languages, a new iteration on the &quot;general purpose workhorse&quot; is more than overdue.",1424605435.0
21,9089072,comment,9087819.0,9088450.0,0,0,andrewfong,,,"There is fairly length set of rules and case law governing all of this. The short version is that if your company is engaged in business with Californians, there&",
22,9089071,comment,9087108.0,9088665.0,0,0,dbaupp,,,Thanks for clarifying.,1424605406.0
23,9089070,comment,9087108.0,9088919.0,0,0,cogburnd02,,,> not if you symlink/alias &,
24,9089069,comment,9088549.0,9088810.0,0,0,happyscrappy,,,Europe should hamstring their tech companies even more with feel good but useless regulations like the cookie law?,1424605345.0
25,9089068,comment,9088676.0,9089019.0,0,0,robzyb,,,> You can&,
26,9089067,comment,9075945.0,9080975.0,0,0,ryanlol,,,"You should seriously consider switching banks in that case, what bank doesn&",
27,9089066,comment,9087824.0,9087824.0,0,0,emmelaich,,,I don&,
28,9089065,comment,9087819.0,9088966.0,0,0,UVB-76,,,A service like this simply isn&,
29,9089064,comment,9086080.0,9086080.0,0,0,frik,,,"Great. Please translate more wiki pages to English, that would definitely help to increase the audience.",1424605060.0
30,9089063,comment,9088640.0,9088781.0,0,0,p0nce,,,"Language maturity takes time. When Go and Rust went public, there were already languages in the very same niche, aiming to be a C++ replacement, and developped in the open.",1424604999.0
31,9089062,comment,9087819.0,9087819.0,0,0,benbristow,,,Is this US only?,1424604888.0
32,9089061,comment,9088844.0,9088971.0,0,0,rl3,,,"This is spot on.<p>Like the parent commenter, I was also on the same path and stopped. Despite diving into the topic for over a year, I came to the sobering realization that I had insufficient starting capital to properly manage risk.<p>Standard commission fees will eat you for breakfast trying to exercise a 1% (position) risk model on an insufficient amount of capital. Things like Robinhood[0] unfortunately didn&",
33,9089059,comment,9088676.0,9088676.0,0,0,ExpiredLink,,,"> <i>“C programmers” really program not in C, but in the purely functional language cpp (the “C Preprocessor”). </i><p>Well ...",1424604712.0
34,9089058,comment,9087819.0,9088221.0,0,0,cpkpad,,,How much did they surcharge?,1424604699.0
35,9089057,comment,9085850.0,9085850.0,0,0,th0br0,,,"ThinkPads rock(ed). The current generations (post <i></i>20, i.e. W520) have started to deteriorate in what I&",
36,9089056,comment,9087106.0,9088354.0,0,0,bruceb,,,Looking at the list 5 out of 12 (42%) of the women speaking were not white.<p>They were free to speak about whatever they wanted it seemed?,1424604639.0
37,9089055,comment,9088549.0,9088810.0,0,0,icebraining,,,"Frankly, that sounds like a good way to kill open source IoT projects (which can&",
38,9089054,comment,9088664.0,9088842.0,0,0,cogburnd02,,,Let&,
39,9089052,comment,9088844.0,9089041.0,0,0,raverbashing,,,Oh there are a lot.<p>They&,
40,9089051,comment,9087398.0,9088949.0,0,0,thewarrior,,,"If this happened in real life it would be frikkin awesome. The interviewer would be flabbergasted. There are a couple of other blog posts in this genre :<p><a href=""http://blogs.msdn.com/b/ericlippert/archive/2011/02/14/what-would-feynman-do.aspx"" rel=""nofollow"">http://blogs.msdn.com/b/ericlippert/archive/2011/02/14/what-...</a><p><a href=""http://vk.com/note736369_9773341"" rel=""nofollow"">http://vk.com/note736369_9773341</a>",1424604471.0
41,9089050,comment,9087819.0,9088122.0,0,0,cpkpad,,,I hope their business model is to provide sane-cost concierge.,1424604469.0
42,9089049,comment,9087819.0,9088475.0,0,0,cpkpad,,,"Bad idea: Giving legal advice without a license.<p>Worse idea: giving incorrect legal advice without a license.<p>Jurisdiction is complex. With the Internet, you do not need to have a physical location somewhere to do business there.",1424604383.0
43,9089048,comment,9087819.0,9088333.0,0,0,softbuilder,,,>bottlenecked by humans<p>I saw a profile (probably on HN) about how the Siri technology was developed. This service sounds nearly ideal for Siri. In the short term I&,
44,9089047,comment,9088844.0,9088844.0,0,0,raverbashing,,,The only thing you&,
45,9089046,comment,9088844.0,9088844.0,0,0,smoyer,,,I started doing this after reading one of the Motley Fools&,
46,9089045,comment,9088640.0,9088781.0,0,0,logophobia,,,"Rust is trying to do something far more complicated. Memory-safety enforced by the compiler is a big deal, but it remains to be seen if it&",
47,9089044,comment,9088896.0,9088896.0,0,0,mrmondo,,,I work for a Non-Profit - one thing that inspires me at the moment is that I am confident we are heading in the &,
48,9089043,story,,,5,0,davidbarker,Photoshop v1.0's debut on the Today Show in 1990,https://www.youtube.com/watch?v=OHbM4QJYVYM,,1424604074.0
49,9089042,comment,9087819.0,9087819.0,0,0,aymeric,,,I do not understand the internet. This type of service has existed for ages.<p>Why does this one attract so much attention?,1424604038.0
50,9089041,comment,9088844.0,9088844.0,0,0,gaius,,,<i>gain an advantage over simplistic human investing</i><p>What makes you think there are any simplistic humans in the market for you to take advantage of?,1424603945.0
51,9089040,comment,9088640.0,9088640.0,0,0,aphexairlines,,,Looks like comparing apples and oranges.  If Nim has a GC it would be more instructive to compare it with another garbage-collected systems language like OCaml.,1424603924.0
52,9089037,comment,9084148.0,9087845.0,0,0,maxerickson,,,"This article linked from Wikipedia has a Canadian stating that the Brits asked them to monitor British citizens and US lawmakers worrying that it was being used to spy on US citizens:<p><a href=""http://www.nytimes.com/library/tech/99/05/cyber/articles/27network.html"" rel=""nofollow"">http://www.nytimes.com/library/tech/99/05/cyber/articles/27n...</a><p>I guess widespread speculation that avoiding domestic surveillance laws is one of the things done with the system  isn&",
53,9089036,comment,9088844.0,9088844.0,0,0,Spitfire777,,,"I used to do it with bitcoin, but not to get rich, just for curiosity.<p>The most algorithms is just chart reading, playing around with periods, standard deviations etc. You can achieve something really quickly, but it only works if the market jumps up and down within a short time period and stays on the same level if watching a bigger time frame. What if the market drops by 90% suddenly because some bank decided to do something stupid?<p>The next time I won&",
54,9089035,comment,9087819.0,9088866.0,0,0,vacri,,,If you look at exogen&,
55,9089034,comment,9086494.0,9087885.0,0,0,bluedino,,,"ROM chips were not cheap at all. The bigger your game, the more chips you needed and therefore the more your game would cost. The &",
56,9089033,comment,9088844.0,9088942.0,0,0,nikhilsaraf9,,,Yes. That is a massive handicap that the system will have (it&,
57,9089032,comment,9088844.0,9089021.0,0,0,lmgtfy,,,">> At the end of the day, I&",
58,9089031,comment,9087819.0,9088952.0,0,0,everyone,,,I&,
59,9089030,story,,,1,0,kryptiskt,Planetary CubeSats Begin to Come of Age,http://futureplanets.blogspot.com/2015/02/planetary-cubesats-begin-to-come-of-age.html,,1424603155.0
60,9089029,comment,9088640.0,9088941.0,0,0,guelo,,,Right. Before I even read the article my thought was &quot;Nim better be easier or what&,
61,9089028,comment,9086751.0,9087876.0,0,0,tmikaeld,,,Wayland sessions are separated from each other.,1424602954.0
62,9089027,comment,9088844.0,9089009.0,0,0,lmgtfy,,,This. From OP&,
