,alum,5,cutting edge\very comfortable\online learning\extremely successful learning experience
0,alum,5,small town\fairly large city\fantastic\great downtown\great college experience\great sport\interesting speaker\truly unique feel
1,alum,5,wonderful university\top tier\top notch\also beautiful\walkable\green space
2,alum,5,online\great\very thoughtful\available
3,sophomore,5,well rounded
4,sophomore,5,make sure communication
5,sophomore,5,awesome one\small\get direct access\always willing\easily accessible\give many resource\friendly\enough outlet\everyday basis\several minority club\possible loneliness
6,alum,5,online class\very many class\preferable\online class
7,alum,5,amazing\dedicated\amazing food choice
8,senior,5,fantastic school\excellent\warm\welcoming\so glad
9,sophomore,5,online experience\positive experience\excellent support\positive
10,freshman,5,wonderful transition\very accommodated\make sure professor\very understanding
11,freshman,5,small family feel\so friendly\perfect match\amazing program\amazing academic program
12,sophomore,5,Most professor\good\willing\feel confident class\beautiful campus\friendly atmosphere
13,freshman,5,stay due\financial reason\middle class\walkable\incredible\smart class\definitely rigorous\wait more\few hour\great\so great\insane\pretty great\bad water\get used\greek life\athletic team
14,senior,5,great program\very helpful class\small location\perfect\offer online class
15,junior,5,small size\rigorous classwork\fun thing
16,other,5,pricey\able
17,freshman,5,beautiful campus\full\great people\amazing professor\good opportunity
18,other,5,super welcoming\friendly\small
19,freshman,5,other college\so many opportunity\long friendship\so helpful\friendly\other university\average class size\form personal relationship\able\simple conversation
20,freshman,5,beautiful campus\great people\great education
21,alum,5,easy
22,junior,5,small class\personal relationship\attend large university\large public university\academic success
23,junior,5,so many way\low\individual help\most\helpful
24,freshman,5,first year\pretty amazing\good size\good size\’ easy
25,senior,5,awesome experience\want more\excellent experience\undecided\much more\worth
26,freshman,5,excellent school\very impressed\first time\large amount\only complaint\very cheap\tight money\physical experience\really worth amount\black mold\little average\main cafeteria\also terrible\large amount\well management\residential life\well
27,other,5,very friendly\polite
28,junior,5,wonderful school\helpful\so many opportunity\beautiful\only downfall\little\little rough\criminal activity\never enough parking spot
29,freshman,5,great start\good year\great people\lively campus\good food\rigorous course\great vibe
30,other,5,high school student\many reason\pleasant
31,senior,5,well place\clear\friendly\small class size\last\equally focused
32,senior,5,professional growth
33,junior,5,outstanding college\timely response
34,junior,5,great atmosphere\kind\most part\way well\not disappointed\least\stem class\non\non - academic\- stem academic
35,senior,5,great community\great support
36,freshman,5,amazing\overall experience\evident
37,freshman,5,ready\meet new life\long friend
38,other,5,very informational\helpful campus\so many class\many\very great
39,freshman,5,very challenging school\full\large university\small university
40,other,5,great school\small college\small sized college\very welcoming atmosphere\all eager\feel welcome\good\very good school
41,freshman,5,great school\new friend\great choice
42,other,5,great school\socially active\political sphere\great school
43,sophomore,5,social\easy
44,junior,5,intramural sport\wide variety\very easy\wide variety\good part\such\good part\very affordable
45,senior,5,very knowledgeable\passionate\feel engaged\great deal
46,junior,5,favorite part\stay connected\other bear
47,freshman,5,current freshman\various club\greek life\other group\other social group\beautiful foliage
48,junior,5,good school\nice campus\need more parking
49,junior,5,very reputable college\good engineering program\tough program\very proud
50,junior,5,right size campus\greek life\intramural team\perfect\run smooth
51,junior,5,beautiful campus\different building
52,senior,5,always fun activity\so supportive
53,sophomore,5,
54,other,5,fun experience\mettign new people\learn new thing
55,freshman,5,know existed\dedicated\thankful
56,freshman,5,so passionate\only thing
57,other,5,very friendly\very welcoming\many field\many different field
58,other,5,very nice campus
59,alum,4,incredible place\only issue\much guidance
60,alum,4,have much\online learning\start full time\online student
61,junior,4,online last semester\recommend online class
62,senior,4,online learning\prepared transition\hectic\little bit
63,sophomore,4,overall experience\very good\present more choice
64,senior,4,offer great resource\small place\stay informed\few group\new world\stay connected\meet new people\get well\very slow rate\main cafeteria\very unsanitary\need more dorm\expensive\severely overcrowded\limited parking space\timely manner
65,junior,4,online experience\fine\same\unexpected\difficult
66,sophomore,4,overall\good experience\major improvement\old dorm\good place\other time\stand alone
67,freshman,4,online\very difficult\very understanding\flexible\easy
68,freshman,4,great\other student\extremely welcoming\inclusive\make wonderful friend\so many club\many different club\cultural entertainment\hard\beneficial student\more opportunity
69,senior,4,very nice\very welcoming\excellent scenery
70,freshman,4,well\covid crisis\certain teacher\become lazy\whole staff\great year
71,freshman,4,certain party\good
72,junior,4,rigorous\fellow peer
73,freshman,4,difficult\rude depending\overall academic
74,sophomore,4,hard university\very tedious\very worth
75,freshman,4,see well dining option
76,sophomore,4,very safe\average\good\limited diversity\okay\good\huge disparity\bad dorm\good\almost shabby structure\new\beautiful desgin\modern look\able\incredible professor\usually excellent\very intelligent\willing\make sure
77,freshman,4,excellent school\very welcoming atmosphere\outstanding professor\only complaint\physical condition\few\very nice building\nice new building\Most\old building\outdated\dirty\also terrible\uplifting community\not particular\physical environment\great place
78,senior,4,very welcoming\very welcoming
79,junior,4,complete\complete pre\pre - course\- set course plan\beautiful\safe\very helpful\accommodating\only thing\athletic program\more academic\academic minded
80,freshman,4,least\full\most facet\fresh mindset\certain aspect\applicable
81,sophomore,4,mandatory class\frustrating\take more work\strong backing\strong christian backing\’ great\amazing
82,other,4,great school\private college\expensive\friendly\social event\extracurricular activity\well advisement choosing class\more help\available\other student\’ hard\individual help\full class load\big problem
83,alum,4,possible\good academic\athletic department\4th year\truly awful
84,sophomore,4,most delightful\so happy\dual enrollment\first semester\major\minor\little
85,sophomore,4,small\friendly community\small\receive more
86,freshman,4,very spacious\connected\so helpful\willing\very dedicated\find good job\good future job\great environment
87,senior,4,tight community\so supportive
88,senior,4,very fostering\other college
89,freshman,4,brilliant\beautiful\old dorm\more affordable on- campus\not great\hold weird hour\miss\good school
90,sophomore,4,great fit\small scale college\great relationship\usually small room\more
91,sophomore,4,provide rigorous\extremely challenging course\engaged\absolutely beautiful\safe\beautiful
92,senior,4,amazing experience\different event\great rapport\most\most class\online\able\show deep investment
93,freshman,4,private\outrageous amount\make mandatory\poor communication\important matter
94,freshman,4,good college\so friendly\welcoming
95,junior,4,easy
96,junior,4,little different\great school\non\non - experience\- traditional experience\gear more\busy life\busy outside life
97,sophomore,4,very prestigious university\professional field\academic rigor\very advanced\upscale\offer several research program\several way\include various club\intramural sport team\social activity\very good school\much
98,sophomore,4,very friendly atmosphere\Most\nice\pretty\good
99,sophomore,4,nice close\small size\low student population\simple\tough\easy\negative thing\boring
100,junior,4,wonderful\friendly\helpful\small
101,junior,4,pretty good experience\good effort
102,senior,4,great school\so welcome\Most\incredible people\small class size\really easy\know other student\absolutely beautiful\great\rather old\few dorm\new\well living situation\not many food option\inedible\ridiculous\all worth money
103,sophomore,4,always open
104,sophomore,4,overall\pretty good\old\historical landmark\not much\not historical skjdbflak
105,sophomore,4,excellent college\rigorous academic\small class size\personal interaction\great learning environment\friendly celiac\old\runnfown\opposite sex\know many student\regular thing\non\non -\- drinker\non\non - person\- party person\find other\like\minded individual\quite fit\still well\less expensive
106,sophomore,4,great university\multiple program\problematic time
107,junior,4,small\beautiful\very safe\great library\good\also great
108,freshman,4,extremely welcoming\see many people\see new face\so many activity
109,freshman,4,rigorous course\Most\very helpful outside\small\very pretty\provide great exercise\very historical\great school
110,freshman,4,new\most impressive\amazing professor
111,sophomore,4,great\small campus\academically challenging\excellent\very few exception\many opportunity\horrible\excellent university
112,senior,4,happy\great amount\grateful\too big\provide great preparation\real world\offer small class size\very stressful
113,other,4,beautiful\too busy\like more option
114,senior,4,great school\worth\hefty investment\social construct\great
115,sophomore,4,great school\also plenty organization\extracurricular activity\only negative\different food option\more healthy variation\nice addition\possible\open\weird hour
116,sophomore,4,gorgeous food\well
117,sophomore,4,small class size
118,freshman,4,high schooler\different experience\first year\great fit\small school\able\make many friend\make most\good\possible\important\not fitting
119,freshman,2,wild\good memory\bad memory\good one\afraid\many student\many other student\desperate need
120,senior,2,same answer
121,senior,2,bad run institute\most part\good
122,senior,2,take several class\no well\traditional course\traditional course\exact\exact same\online class\online experience\well format\educational experience\not helpful
123,other,2,how kind\supportive staff\great length\very nice\entire experience\extremely impersonal\disingenuous\full ride\constant campus\extremely uninvested\very cliquish\very introverted\bad\miserable\boring\impoverished\mind poor accommodation
124,senior,2,social\mixed\friendly campus\easy\be unsure\certain professor\straight\highly unprofessional\moral\ethical belief\nice\much cheap\top choice
125,freshman,2,first year\how expensive school\so high\worth price\mistaken\so sketchy\underdeveloped\tiny campus\pretty challenging\okay\special\financial aid\very difficult\back pocket\unoriginal\not worth 50k
126,junior,2,frankly upset\feel stupid\nearly impossible\real help\bright side\really nice\pretty decent\fun thing\look beautiful\free
127,freshman,2,currently bad\overall quality
128,sophomore,2,pretty unsafe city\safe
129,sophomore,2,poor gym facility
130,junior,2,random day\hear loud bang\political climate\terrified\nearby friend
131,freshman,2,awful\great
132,junior,2,many\old\absurd
133,freshman,2,greek student\not many\many non\non -\greek housing\greek housing\available\most party\due\dry campus
134,sophomore,2,still pink\create weird thing\open
135,sophomore,2,poor\other\fine dinner\exceptionally good\vegetarian option\as available
136,freshman,2,really nice\more
137,freshman,2,really close\that good\just fast food restaurant\look sketch\not clean
138,freshman,2,disgusting\horrible
139,other,2,dry campus\opposite sex
140,sophomore,2,other\other\big
141,freshman,2,okay town\whole lot\nice restaurant
142,sophomore,2,not much\public transportation\not accessible
143,sophomore,2,financial aid process\good
144,junior,2,
145,junior,2,pretty strict student\hard\fun life\fun social life\little bit
146,sophomore,2,huge issue
147,sophomore,2,very old\recent year\make new housing\available
148,senior,2,extremely limited\later\far end\good news\too bad
149,sophomore,2,extremely unpredictable
150,sophomore,2,safe
