,Junior,5,"My learning experience has been incredible! The professors truly have a passion for what they teach, and they communicate it so well! I have only ever had one bad professor the whole time I have attended, and the rest were absolutely wonderful! My love for God has grown so much, as well as my knowledge about him. A great learning experience!"
0,Senior,5,"Love the profs. They honestly care. And they really want you to publish.  Plus Elliot Park is an incredible place to live and play. Restaurants, art galleries, parks, concerts—everything is at the doorstep. Including internships!

Love the profs. They honestly care. And they really want you to publish.  Plus Elliot Park is an incredible place to live and play. Restaurants, art galleries, parks, concerts—everything is at the doorstep. Including internships!"
1,Niche User,5,"I liked how everyone there was so friendly to me. Nice campus, multiple cool areas to hang out at on campus. Security is everywhere though which makes me feel a lot more safe on campus considering what's going on in the world right now. The dorms are cool, I like them. I'm from up north so the fact in a building the air condition is in the window doesn't bother me like it might someone else."
2,Sophomore,5,North Central University offers me an amazing atmosphere with supportive students and faculty. My professors are phenomenal and never fail to push me towards and help me reach my goals.
3,Freshman,5,"North Central is great! The location is great, they have some very good music and production programs that are hard to find elsewhere, and the culture is really good. The staff and facility are great to work with and very helpful. Graduates for North Central that I have meet have also been great. The band is also really good."
4,Graduate Student,5,I've just started with the school and I love the attentiveness to my enrollment and care of my academics. I love the one on one rapport. Nothing to change.
5,Niche User,5,Visiting here was a great experience. I could come to this university many times and probably live here. I am a prospective student to the university and my experience with the application process has been very influential in my decision on where to go to college.
6,Graduate Student,5,Their online instructors are amazing. I recommend this school to anyone studying Psychology on a busy schedule.
7,Sophomore,5,"North Central has a great spiritual atmosphere and is a very friendly community. They have great clubs and academics. Some classes are a bit more challenging than others, but they provide excellent material that is very useful. There are on-campus jobs available, as well as a great community of believers to connect with."
8,Freshman,5,North Central University is a beautiful collage stationed in the middle of busy Down town Minneapolis. You can live on campus in the decent sized dorms or you can commute from the suburbs with the easy to use metro system.
9,Sophomore,5,I chose North Central University to be the college I transferred to after attending another college for three years. I felt completely at home when I got to Minnesota and especially to NCU even though I travel over seven hours from my home town.
10,Graduate Student,5,"I love the one on one with professors while getting your graduate degree. The admissions, finance and disability services are wonderful. All are friendly and very helpful and willing to help you in any way possible."
11,Sophomore,5,"I love North Central University and have enjoyed my professors, dorm, floor, and classes! The professors are extremely caring and helpful. I can tell that the professors want to see me succeed. I have met so many amazing people and have made so many new friends."
12,Sophomore,5,"Best school ever! The professors really care, and there is a strong Christian community within the college itself."
13,Junior,5,"Overall, I have enjoyed my time at North Central.  I was involved in two years of full-time PSEO at the school, and am now a full-time undergrad student with three semesters of work left.  The environment is very nice; students, faculty, and professors are very easy to work and get along with.  The campus is located a couple blocks out of downtown Minneapolis, so it is a beautiful setting.  The school also has an extremely good business program, with many students able to find jobs immediately out of school because of the connections and skills they learn in the School of Business.  I would recommend this school to anyone looking for a smaller, private school in the Minneapolis area; it is well worth the investment!"
14,Graduate Student,5,My experience with this institution is great. Everyone I've come in contact with has been excellent in assisting me with everything. Each counselor was great. They don't leave you out in left field and make certain your questions are answered and you don't walk away confused. They help encourage everyone so their goals are ney.
15,Freshman,5,"North Central is AWESOME. Great location in downtown Minneapolis, and awesome staff. The school has great events and the culture here is fantastic."
16,Sophomore,5,Everyone is so nice and accepting! Professors are great and they really want you to reach your full potential!
17,Sophomore,5,"North Central University is an amazing place to grow academically, socially and spiritually. It has amazing professors that are willing to guide you and take extra steps to ensure that you learn and achieve your potential. They are also Christ minded people that can help you with your walk with the Lord. These professors exhibit the love of Christ on a day to day basis. I also love the social aspect about North Central and I have made some life long friends here that I love. It's an overall great college and a place that I now get to call home for the next few years or maybe beyond."
18,Junior,5,NCU is a great campus and community in the heart of downtown Minneapolis. The atmosphere is diverse and authentic with God as their focus on everything they do.
19,Junior,5,"I really love the atmosphere at North Central. It is a faith based school, and the community reflects that in every aspect. Student relationships are fostered and tended to, and relationships with the staff and faculty are among the greatest possible in higher education."
20,Alum,5,"North Central is a unique school.  The faculty and staff impacted my life in a profound way while attending.  I have fond memories of attending chapel, making new friends, and investing in my future.  "
21,Freshman,5,Excellent academic and spiritual environment. Ten out of ten! The downtown location in Minneapolis provides hands on learning experience. The professors are knowledgable (the majority have earned a PHD) and each class contributes to your knowledge. Most students are passionate about what they are studying. There is a wide variety of majors offered.
22,College Senior,5,"I honestly believe I go to the best school around. The community is so tight-knit and welcoming, the professors are phenomenal, and the staff is superb. The teachers go out of their way to make sure their students do well, and the staff go to extra lengths to make sure the student is well cared for and has all the tools they need to succeed. Everyone strives to dive deeper in relationship with Jesus and works together to make the atmosphere compassionate and caring. At home, I am involved in the greatest young adults group I could ever imagine, and it kills me inside every time I have to leave them, but the reward of being able to go to such a wonderful school with such a powerful, God-filled focus and atmosphere makes it all worth it. I wouldn't trade this school or my experiences for the world."
23,College Freshman,5,"Attending this fall, applying was easy and quick."
24,College Freshman,5,"I have yet to attend North Central, but so far all the staff that has helped me with registration and financial aid have been great!"
25,College Freshman,5,No known or obvious drug problems
26,College Sophomore,5,I am taking classes online in another state. I am not sure of the involvement in athletics.
27,Recent Alumnus,5,Never worried about walking on campus at night by myself.  The skyways are a great bonus. Keep you safe and warm.
28,Recent Alumnus,5,I love living in Miller Hall.
29,Recent Alumnus,5,I made the right choice.
30,College Junior,5,NCU is one of the only places that AG churches will hire pastors.
31,College Junior,5,"There are two main subjects regarding housing- the physical housing and the relationship in the housing. The physical housing is ok, 2/3 main on-campus housing (excluding apartments) are fairly old but still spacious. Although, they recently updated the furniture in them so that's good. There's Wi-Fi and also a network if you want to ""game"" with your friends who live in a different building. Then, there's the relational part of housing. NCU does community very amazingly great--it's one of the specialties of NCU."
