,sophomore,5,great\wide variety\small class\make sure\safe\successful\doctoral program\helpful
0,sophomore,5,great campus\very nice\feel safe\good\easy way\full\so good place
1,sophomore,5,easy\great time\very fun\great experience
2,sophomore,5,extended family\excellent\numerous event\to average diversity\okay\extended family gathering\'s nice\sure\short list\personal connection
3,sophomore,5,need more food choice
4,sophomore,5,online class
5,junior,5,amazing city\very personable\southern hospitality\suite style\communal bathrooms
6,senior,5,very helpful\easy\extremely helpful\great return
7,sophomore,5,great school\serious\beautiful campus\safe\homeless people\super job\too small\high crime rate
8,other,5,have much experience\super nice\ready
9,senior,5,overall school\overall wonderful school\beautiful campus\knowledgeable advisor\knowledgeable academic advisor\professional professor
10,junior,5,beautiful\involved organization\top tier\great professor\pretty good\few thing\not enough parking\able\very inconvenient\as many parking spot
11,freshman,5,great classroom\tremendous
12,sophomore,5,great school\passionate\mostly fair\fair
13,freshman,5,extremely helpful\dedicated\make sure student\right track
14,freshman,5,beautiful\so nice\friendly\always available student
15,senior,5,amazing\really great\easy
16,senior,5,friendly\efficient\professional\very friendly\helpful
17,freshman,5,so many resource\many activity
18,sophomore,5,great\nice\very knowledgeable
19,freshman,5,high\rank stem college\beautiful campus\second large research park\fourth large\accessible
20,freshman,5,extracurricular\very nice people\very friendly\great environment
21,other,5,other student\other\nice place
22,senior,5,excellent school\excellent\good art\good liberal art program\beautiful campus\great student life
23,freshman,5,little
24,other,5,traditional student
25,junior,5,beautiful campus\beautiful clean campus\friendly staff\friendly helpful staff\southern hospitaliy
26,senior,5,amazing professor\right choice\great time\multiple\multiple weekly event
27,senior,5,incredibly affordable\fully online\other program\other competitive program\passionate\interested\personal\professional\academic growth
28,alum,5,about\third program\great place\traditional college student\whole college\non\non - student\- traditional student\very conducive\affordable price
29,freshman,5,safe\mostly dedicated engineering
30,junior,5,offer great opportunity\provide great resource\potential job\serious college\academically challenging\rewarding\more
31,senior,5,great teacher
32,other,5,first time\various thing\even more\different area\such academics\major college\very convenient\very friendly visitor\modern\good
33,other,5,great
34,freshman,5,very nice campus\helpful\friendly lot\financial aid
35,other,5,great school
36,other,5,super nice\very welcoming
37,freshman,5,glad\worried\high school counselor\wrong\so many opportunity\great\large class\very friendly\willing\study wise
38,junior,5,fantastic nursing program
39,freshman,5,successful\good
40,junior,5,small\average university\super helpful\wonderful
41,other,5,local area\still able\build long term\same age\so many avenue\so many people
42,freshman,5,big college feel\flashy college lifestyle\outstanding program\feel right home\make sure\major organization\right
43,senior,5,great experience
44,senior,5,worth\hard work\fellow student\very challenging\need due
45,senior,5,so many opportunity
46,alum,5,good experience\amazing school\perfect\unique people\athletic program\academic program\good\wrong
47,freshman,5,very helpful\easily accessible\readily available\even more thing
48,sophomore,5,more parking
49,sophomore,5,little\beautiful building\as wonderful\academic\minded people
50,other,5,how friendly\helpful admission\great\many option\also various shopping center\various course\receive great advice
51,freshman,5,great school\free tutoring\great professor\personally glad
52,freshman,5,excellent campus\friendly\feel safe
53,sophomore,5,amazing\so many opportunity\amazing\so many club\private bedroom
54,junior,5,awesome university\great\really helpful\really great friend
55,senior,5,only thing\very interested\other school\athletic program
56,other,5,strong program\strong academic program
57,freshman,5,add more parking\open door policy\safe campus
58,sophomore,5,top\hard\uah\willing
59,sophomore,4,offer hybrid class\cheap\consider many\hard time
60,sophomore,4,own town\own small town
61,junior,4,enjoyable
62,senior,4,notable nursing\diverse mix
63,sophomore,4,Most\live meeting\available\sudden transition\most\more\online course\pretty good job\most professor
64,sophomore,4,great commuter school\cheap school\close\not worth
65,senior,4,public school\very challenging\educational funding\other major\more measure
66,alum,4,close\convenient
67,sophomore,4,large source\too large\expensive
68,freshman,4,very good university\very diverse\not bad\very understanding\very diverse
69,freshman,4,pretty good\small\really nice\really close\nice\first week\whole bunch\connected
70,senior,4,junior year\little\little pricey\good school
71,freshman,4,great school\interested\stem career\other field\other small field\excellent\most\hard\multiple team\big hobby\ok\tiny\frequent pest issue\other dorm\quite nice\ready\empty weekend\large field
72,freshman,4,really open\pretty\different\free school
73,senior,4,mainly focused\other college\easy class\very hard class\willing\easily obtainable\average student\old student\more
74,freshman,4,great\so many people\many new people\big\personal preference
75,sophomore,4,amazing school\top notch\nice food\excellent\phenomenal\very nice school
76,junior,4,fairly small school\current\very welcoming\personal\other school\cost wise\high\roughly comparable\other school\wise\massive advantage\big hotspot\other security\often local\most large company\many professor\former employee
77,sophomore,4,extremely nice\helpful\well campus\well looking campus
78,junior,4,great\very nice\pretty decent\good\use more option\not horrible
