,CmpoAcc,FigureCmpoName,CmpoPhenotypeCategory,FigureCategoryName
0,CMPO_0000051,increased cell numbers,altered cell number in population,altered cell number in population
1,CMPO_0000052,decreased cell numbers,altered cell number in population,altered cell number in population
2,CMPO_0000075,fewer cells with projections,altered cell number in population,altered cell number in population
3,CMPO_0000083,more lamellipodia cells,altered cell number in population,altered cell number in population
4,CMPO_0000241,proliferating cells,altered cell number in population,altered cell number in population
5,CMPO_0000263,more cells in M phase,altered cell number in population,altered cell number in population
6,CMPO_0000300,more multinucleate cells,altered cell number in population,altered cell number in population
7,CMPO_0000340,increased cell size in population,altered cell number in population,altered cell number in population
8,CMPO_0000416,fewer aggregated cells in population,altered cell number in population,altered cell number in population
9,CMPO_0000042,increased cell component number,cell component number phenotype,cell component number
10,CMPO_0000067,decreased number of filopodia,cell component number phenotype,cell component number
11,CMPO_0000068,decreased number of microtubules,cell component number phenotype,cell component number
12,CMPO_0000076,increased number of filopodia,cell component number phenotype,cell component number
13,CMPO_0000097,increased number of microtubules,cell component number phenotype,cell component number
14,CMPO_0000289,increased amount of stress fibers,cell component number phenotype,cell component number
15,CMPO_0000297,increased amount of stress fibers located in the cell cortex,cell component number phenotype,cell component number
16,CMPO_0000298,increased amount of transverse stress fibers,cell component number phenotype,cell component number
17,CMPO_0000299,increased amount of zig-zag stress fibers,cell component number phenotype,cell component number
18,CMPO_0000372,increased number of microtubule bundle,cell component number phenotype,cell component number
19,CMPO_0000202,mitosis delayed,cell cycle phenotype,cell cycle
20,CMPO_0000212,abnormal cell cycle,cell cycle phenotype,cell cycle
21,CMPO_0000216,absence of mitotic chromosome decondensation,cell cycle phenotype,cell cycle
22,CMPO_0000218,mitotic chromosome condensation,cell cycle phenotype,cell cycle
23,CMPO_0000328,increased duration of mitotic prophase,cell cycle phenotype,cell cycle
24,CMPO_0000338,mitosis arrested,cell cycle phenotype,cell cycle
25,CMPO_0000344,prometaphase delayed,cell cycle phenotype,cell cycle
26,CMPO_0000348,mitotic metaphase plate congression,cell cycle phenotype,cell cycle
27,CMPO_0000087,S phase mitotic,cell cycle phase phenotype,cell cycle phase
28,CMPO_0000196,M phase arrested,cell cycle phase phenotype,cell cycle phase
29,CMPO_0000265,M phase mitotic,cell cycle phase phenotype,cell cycle phase
30,CMPO_0000305,metaphase arrested,cell cycle phase phenotype,cell cycle phase
31,CMPO_0000307,metaphase delayed,cell cycle phase phenotype,cell cycle phase
32,CMPO_0000329,decreased duration of mitotic prophase,cell cycle phase phenotype,cell cycle phase
33,CMPO_0000343,prometaphase arrested,cell cycle phase phenotype,cell cycle phase
34,CMPO_0000437,abnormal mitotic cell cycle phase,cell cycle phase phenotype,cell cycle phase
35,CMPO_0000005,cell morphology,cell morphology phenotype,cell morphology
36,CMPO_0000048,apoptotic cell shape,cell morphology phenotype,cell morphology
37,CMPO_0000071,cell with projections,cell morphology phenotype,cell morphology
38,CMPO_0000077,elongated cell,cell morphology phenotype,cell morphology
39,CMPO_0000116,abnormal cell shape,cell morphology phenotype,cell morphology
40,CMPO_0000118,round cell,cell morphology phenotype,cell morphology
41,CMPO_0000122,triangular shaped cell,cell morphology phenotype,cell morphology
42,CMPO_0000128,increased cell size,cell morphology phenotype,cell morphology
43,CMPO_0000129,decreased cell size,cell morphology phenotype,cell morphology
44,CMPO_0000261,geometric cell,cell morphology phenotype,cell morphology
45,CMPO_0000267,star shaped cell,cell morphology phenotype,cell morphology
46,CMPO_0000364,S-shaped cell,cell morphology phenotype,cell morphology
47,CMPO_0000365,curved cell,cell morphology phenotype,cell morphology
48,CMPO_0000366,pear-shaped cell,cell morphology phenotype,cell morphology
49,CMPO_0000367,stubby cell,cell morphology phenotype,cell morphology
50,CMPO_0000428,fan-shaped cell,cell morphology phenotype,cell morphology
