,Implementation smell,Namespace,Class,File,Method,Description
0,Complex Method,Banshee.GStreamerSharp,PlayerEngine,D:\research\architectureSmells\repos\GNOME_banshee\src\Backends\Banshee.GStreamerSharp\Banshee.GStreamerSharp\PlayerEngine.cs,OnBusMessage,Cyclomatic complexity of the method is 14
1,Complex Method,Banshee.GStreamerSharp,PlayerEngine,D:\research\architectureSmells\repos\GNOME_banshee\src\Backends\Banshee.GStreamerSharp\Banshee.GStreamerSharp\PlayerEngine.cs,HandleError,Cyclomatic complexity of the method is 12
2,Complex Method,Banshee.GStreamerSharp,BpmDetector,D:\research\architectureSmells\repos\GNOME_banshee\src\Backends\Banshee.GStreamerSharp\Banshee.GStreamerSharp\BpmDetector.cs,OnBusMessage,Cyclomatic complexity of the method is 9
3,Complex Method,Banshee.GStreamerSharp,AudioCdRipper,D:\research\architectureSmells\repos\GNOME_banshee\src\Backends\Banshee.GStreamerSharp\Banshee.GStreamerSharp\AudioCdRipper.cs,ProbeMimeType,Cyclomatic complexity of the method is 9
4,Complex Method,Banshee.GStreamerSharp,Visualization,D:\research\architectureSmells\repos\GNOME_banshee\src\Backends\Banshee.GStreamerSharp\Banshee.GStreamerSharp\Visualization.cs,PCMHandoff,Cyclomatic complexity of the method is 9
5,Long Parameter List,Banshee.GStreamerSharp,VideoManager,D:\research\architectureSmells\repos\GNOME_banshee\src\Backends\Banshee.GStreamerSharp\Banshee.GStreamerSharp\VideoManager.cs,RaiseVideoGeometry,The method has 6 parameters. Parameters: width' height' fps_n' fps_d' par_n' par_d
6,Long Statement,Banshee.GStreamerSharp,PlayerEngine,D:\research\architectureSmells\repos\GNOME_banshee\src\Backends\Banshee.GStreamerSharp\Banshee.GStreamerSharp\PlayerEngine.cs,HandleStateChange,"The length of the statement  ""            if (CurrentState != PlayerState.Loaded && old_state == State.Ready && new_state == State.Paused && pending_state == State.Playing) { "" is 132."
7,Long Statement,Banshee.GStreamerSharp,VideoManager,D:\research\architectureSmells\repos\GNOME_banshee\src\Backends\Banshee.GStreamerSharp\Banshee.GStreamerSharp\VideoManager.cs,WindowRealize,"The length of the statement  ""                    //FIXME: we should maybe stop relying on x11 http://gstreamer.freedesktop.org/data/doc/gstreamer/head/gst-plugins-base-libs/html/gst-plugins-base-libs-gstvideooverlay.html"
8,Long Statement,Banshee.GStreamerSharp,DvdManager,D:\research\architectureSmells\repos\GNOME_banshee\src\Backends\Banshee.GStreamerSharp\Banshee.GStreamerSharp\DvdManager.cs,NavigateToMenu,"The length of the statement  ""                // Menu1 == DvdMenu http://cgit.freedesktop.org/gstreamer/gst-plugins-base/tree/gst-libs/gst/video/navigation.h?h=1.0"
9,Complex Conditional,Banshee.GStreamerSharp,PlayerEngine,D:\research\architectureSmells\repos\GNOME_banshee\src\Backends\Banshee.GStreamerSharp\Banshee.GStreamerSharp\PlayerEngine.cs,OnEos,"The conditional expression  ""!next_track_pending &&                  (!GaplessEnabled || (CurrentTrack != null && CurrentTrack.HasAttribute (TrackMediaAttributes.VideoStream)))""  is complex."
10,Complex Conditional,Banshee.GStreamerSharp,PlayerEngine,D:\research\architectureSmells\repos\GNOME_banshee\src\Backends\Banshee.GStreamerSharp\Banshee.GStreamerSharp\PlayerEngine.cs,HandleStateChange,"The conditional expression  ""CurrentState != PlayerState.Loaded && old_state == State.Ready && new_state == State.Paused && pending_state == State.Playing""  is complex."
11,Complex Conditional,Banshee.GStreamerSharp,Visualization,D:\research\architectureSmells\repos\GNOME_banshee\src\Backends\Banshee.GStreamerSharp\Banshee.GStreamerSharp\Visualization.cs,Visualization,"The conditional expression  ""audiosinkqueue == null || resampler == null || converter == null || fakesink == null""  is complex."
12,Empty Catch Block,Banshee.GStreamerSharp,AudioSinkBin,D:\research\architectureSmells\repos\GNOME_banshee\src\Backends\Banshee.GStreamerSharp\Banshee.GStreamerSharp\PlayerEngine.cs,FindVolumeProvider,The method has an empty catch block.
13,Empty Catch Block,Banshee.GStreamerSharp,CddaManager,D:\research\architectureSmells\repos\GNOME_banshee\src\Backends\Banshee.GStreamerSharp\Banshee.GStreamerSharp\CddaManager.cs,OnSourceChanged,The method has an empty catch block.
14,Empty Catch Block,Banshee.GStreamerSharp,AudioCdRipper,D:\research\architectureSmells\repos\GNOME_banshee\src\Backends\Banshee.GStreamerSharp\Banshee.GStreamerSharp\AudioCdRipper.cs,ConstructPipeline,The method has an empty catch block.
15,Empty Catch Block,Banshee.GStreamerSharp,Transcoder,D:\research\architectureSmells\repos\GNOME_banshee\src\Backends\Banshee.GStreamerSharp\Banshee.GStreamerSharp\Transcoder.cs,RaiseError,The method has an empty catch block.
16,Empty Catch Block,Banshee.GStreamerSharp,VideoManager,D:\research\architectureSmells\repos\GNOME_banshee\src\Backends\Banshee.GStreamerSharp\Banshee.GStreamerSharp\VideoManager.cs,FindXOverlay,The method has an empty catch block.
17,Empty Catch Block,Banshee.GStreamerSharp,VideoManager,D:\research\architectureSmells\repos\GNOME_banshee\src\Backends\Banshee.GStreamerSharp\Banshee.GStreamerSharp\VideoManager.cs,FindXOverlay,The method has an empty catch block.
