,Namespace,Type,Method,LOC,CC,PC
0,HKWork,Application,Main,3,1,1
1,HKWork,AppDelegate,OnActivated,3,1,1
2,HKWork,AppDelegate,ValidateAuthorization,12,1,0
3,HKWork,AppDelegate,ReactToHealthCarePermissions,13,2,2
4,HKWork,GenericEventArgs<T>,GenericEventArgs,4,1,1
5,HKWork,HeartRateModel,HeartRateModel,2,1,0
6,HKWork,HeartRateModel,PermissionsError,4,1,1
7,HKWork,HeartRateModel,HeartRateInBeatsPerMinute,5,1,1
8,HKWork,HeartRateModel,StoreHeartRate,26,2,1
9,HKWork,HKWorkViewController,HKWorkViewController,5,1,1
10,HKWork,HKWorkViewController,DidReceiveMemoryWarning,6,1,0
11,HKWork,HKWorkViewController,ViewDidLoad,5,1,0
12,HKWork,HKWorkViewController,ViewWillAppear,4,1,1
13,HKWork,HKWorkViewController,ViewDidAppear,3,1,1
14,HKWork,HKWorkViewController,ViewWillDisappear,3,1,1
15,HKWork,HKWorkViewController,ViewDidDisappear,3,1,1
16,HKWork,HKWorkViewController,StoreData_TouchUpInside,9,2,1
17,HKWork,HKWorkViewController,OnEnabledChanged,5,1,2
18,HKWork,HKWorkViewController,OnErrorMessageChanged,3,1,2
19,HKWork,HKWorkViewController,OnHeartBeatStored,3,1,2
20,HKWork,HKWorkViewController,StoreData_TouchUpInside,0,1,1
21,HKWork,HKWorkViewController,ReleaseDesignerOutlets,14,4,0
