,1,DynamicsAttributes,AttributesInterface
0,2,Dynamics,ElementInterface
1,3,AccidentalTextAttributes,AttributesInterface
2,4,AccidentalText,ElementInterface
3,5,DisplayTextAttributes,AttributesInterface
4,6,DisplayText,ElementInterface
5,7,OtherPlayAttributes,AttributesInterface
6,8,OtherPlay,ElementInterface
7,9,PartSymbolAttributes,AttributesInterface
8,10,PartSymbol,ElementInterface
9,11,KeyOctaveAttributes,AttributesInterface
10,12,KeyOctave,ElementInterface
11,13,MultipleRestAttributes,AttributesInterface
12,14,MultipleRest,ElementInterface
13,15,MeasureRepeatAttributes,AttributesInterface
14,16,MeasureRepeat,ElementInterface
15,17,BarStyleAttributes,AttributesInterface
16,18,BarStyle,ElementInterface
17,19,FermataAttributes,AttributesInterface
18,20,Fermata,ElementInterface
19,21,EndingAttributes,AttributesInterface
20,22,Ending,ElementInterface
21,23,BassStepAttributes,AttributesInterface
22,24,BassStep,ElementInterface
23,25,BassAlterAttributes,AttributesInterface
24,26,BassAlter,ElementInterface
25,27,DegreeValueAttributes,AttributesInterface
26,28,DegreeValue,ElementInterface
27,29,DegreeAlterAttributes,AttributesInterface
28,30,DegreeAlter,ElementInterface
29,31,DegreeTypeAttributes,AttributesInterface
30,32,DegreeType,ElementInterface
31,33,OffsetAttributes,AttributesInterface
32,34,Offset,ElementInterface
33,35,RehearsalAttributes,AttributesInterface
34,36,Rehearsal,ElementInterface
35,37,WordsAttributes,AttributesInterface
36,38,Words,ElementInterface
37,39,PrincipalVoiceAttributes,AttributesInterface
38,40,PrincipalVoice,ElementInterface
39,41,OtherDirectionAttributes,AttributesInterface
40,42,OtherDirection,ElementInterface
41,43,FirstFretAttributes,AttributesInterface
42,44,FirstFret,ElementInterface
43,45,FretAttributes,AttributesInterface
44,46,Fret,ElementInterface
45,47,FingeringAttributes,AttributesInterface
46,48,Fingering,ElementInterface
47,49,FeatureAttributes,AttributesInterface
48,50,Feature,ElementInterface
49,51,PerMinuteAttributes,AttributesInterface
50,52,PerMinute,ElementInterface
51,53,MetronomeBeamAttributes,AttributesInterface
52,54,MetronomeBeam,ElementInterface
53,55,BeaterAttributes,AttributesInterface
54,56,Beater,ElementInterface
