,keyword,dbpedia_score
0,luchi,0.4
1,bandanna,0.3333333333
2,eastern_part,1.0
3,mangal_pandey,0.3846153846
4,semicircular,0.0
5,cairo,0.8888888889
6,riccia,1.0
7,social_norm,0.8
8,epithelium,0.0
9,three_tier,1.0
10,quasi,0.125
11,sugarbeet,0.6
12,vajrasana,1.0
13,ration_shop,1.0
14,health_visitor,1.0
15,todar_mal,0.5
16,chowk,1.0
17,bulbul,0.0
18,sabarmati_ashram,0.7272727273
19,ripon,0.75
20,hadji,1.0
21,mayapuri,1.0
22,sloth,0.5
23,cowpox,0.0
24,decipher,1.0
25,silent,1.0
26,sentinel,0.3333333333
27,sirdar,1.0
28,gurmata,0.5
29,grama,1.0
30,bhojaka,1.0
31,pulpwood,1.0
32,time_date,0.3333333333
33,manor,1.0
34,rana_sanga,0.5
35,boar,0.5333333333
36,marathon,0.2
37,lichen,0.75
38,egyptian_cotton,0.8333333333
39,hampi,0.7777777778
40,technic,0.0
41,urad,0.5
42,armament,1.0
43,mississippi,0.6666666667
44,raja_ravi_varma,0.7777777778
45,samaveda,0.6666666667
46,lever,0.0
47,support_price,1.0
48,sieg,1.0
49,long_road,0.0
50,blind_spot,1.0
51,atharvaveda,1.0
52,board_of_trade,0.75
53,guitar,0.5
54,andaman_nicobar,0.875
55,canva,1.0
56,km,0.5
57,purna_swaraj,1.0
58,jahanpanah,0.8
59,mural,1.0
60,shunman,1.0
61,kubo,0.5
62,inspector,0.8
63,naag,0.5
64,kyu,1.0
65,crutch,0.6666666667
66,sort,0.0
67,namghar,1.0
68,hind_brain,1.0
69,momin,0.2
70,ottoman,0.9
71,chawl,0.5
72,dial,0.0
73,mandap,1.0
74,ordin,0.4
75,war_guilt,1.0
76,claus,0.75
77,speech,1.0
78,musician,0.5
79,adrenalin,0.3636363636
80,african_coast,0.6666666667
81,pamphlet,0.5
82,garben,0.3333333333
83,chikki,0.6666666667
84,j__krishnamurti,0.5
85,proper_fraction,0.25
86,prana,1.0
87,rangoli,0.75
88,pancrea,0.0
89,camera,0.3333333333
90,leo_major,1.0
91,copenhagen,0.7
92,liguria,1.0
93,m_v__dhurandhar,0.4285714286
94,samachar_darpan,0.5
95,bhimrao_ramji_ambedkar,0.5862068966
96,air_transport,1.0
97,pillion,0.5
98,paul_bernard,1.0
99,przeworski,0.6
100,alcohol_drink,0.4
101,nephron,0.0
102,nouveau,0.1428571429
103,rembrandt,0.5454545455
104,peal,1.0
105,konkan_railway,1.0
106,meristem,0.6666666667
107,away,1.0
108,trophic_level,1.0
109,dolphin_kick,0.0
110,lord_clive,1.0
111,ormuz,0.5
112,sunday,0.6666666667
113,marumalarchi,1.0
114,goug,1.0
115,learner,1.0
116,st__georg,1.0
117,axel,0.125
118,magh,1.0
119,marxism,0.9230769231
120,calori,0.0
121,sangma,0.4285714286
122,sprayer,0.0
123,blue_light,1.0
124,near_point,0.0
125,molar,0.0
126,mausi,0.5714285714
127,dharamshala,0.8333333333
128,dr_john,0.2105263158
129,john_mathai,0.25
130,allama_prabhu,0.4
131,young_india,0.5
132,tehsil,0.8571428571
133,upper_air,0.0
134,kumaon,1.0
