,keyword,dbpedia_score
0,luchi,0.2
1,bandanna,1.0
2,eastern_part,0.5
3,mangal_pandey,0.6153846154
4,semicircular,0.0
5,cairo,0.4444444444
6,riccia,0.0
7,social_norm,0.8
8,epithelium,0.0
9,three_tier,1.0
10,quasi,0.125
11,sugarbeet,0.4
12,vajrasana,1.0
13,ration_shop,1.0
14,health_visitor,0.3333333333
15,todar_mal,0.8333333333
16,chowk,0.0
17,bulbul,0.0
18,sabarmati_ashram,0.6363636364
19,ripon,0.0
20,hadji,0.75
21,mayapuri,0.5
22,sloth,0.5
23,cowpox,0.1666666667
24,decipher,1.0
25,silent,1.0
26,sentinel,0.5
27,sirdar,1.0
28,gurmata,0.5
29,grama,1.0
30,bhojaka,1.0
31,pulpwood,1.0
32,time_date,0.3333333333
33,manor,1.0
34,rana_sanga,0.5
35,boar,0.5333333333
36,marathon,0.6
37,lichen,0.75
38,egyptian_cotton,0.6666666667
39,hampi,0.6666666667
40,technic,0.0
41,urad,0.5
42,armament,1.0
43,mississippi,0.6666666667
44,raja_ravi_varma,0.7777777778
45,samaveda,1.0
46,lever,0.0
47,support_price,1.0
48,sieg,0.0
49,long_road,0.0
50,blind_spot,1.0
51,atharvaveda,1.0
52,board_of_trade,0.75
53,guitar,0.5
54,andaman_nicobar,0.375
55,canva,1.0
56,km,0.5
57,purna_swaraj,1.0
58,jahanpanah,0.8
59,mural,1.0
60,shunman,1.0
61,kubo,0.0
62,inspector,1.0
63,naag,0.0
64,kyu,1.0
65,crutch,0.6666666667
66,sort,0.6666666667
67,namghar,1.0
68,hind_brain,1.0
69,momin,0.6
70,ottoman,0.8
71,chawl,0.5
72,dial,0.4
73,mandap,1.0
74,ordin,0.4
75,war_guilt,1.0
76,claus,0.875
77,speech,1.0
78,musician,0.5
79,adrenalin,0.3636363636
80,african_coast,0.8333333333
81,pamphlet,0.5
82,garben,0.0
83,chikki,0.5
84,j__krishnamurti,0.5
85,proper_fraction,0.25
86,prana,1.0
87,rangoli,0.75
88,pancrea,0.0
89,camera,1.0
90,leo_major,1.0
91,copenhagen,0.0
92,liguria,0.75
93,m_v__dhurandhar,0.4285714286
94,samachar_darpan,0.5
95,bhimrao_ramji_ambedkar,0.4827586207
96,air_transport,0.5
97,pillion,0.5
98,paul_bernard,1.0
99,przeworski,0.3
100,alcohol_drink,0.3
101,nephron,0.0
102,nouveau,0.1428571429
103,rembrandt,0.6363636364
104,peal,1.0
105,konkan_railway,0.0
106,meristem,0.6666666667
107,away,1.0
108,trophic_level,0.5
109,dolphin_kick,0.0
110,lord_clive,1.0
111,ormuz,0.7
112,sunday,0.6666666667
113,marumalarchi,1.0
114,goug,1.0
115,learner,1.0
116,st__georg,0.5
117,axel,0.0
118,magh,1.0
119,marxism,0.9230769231
120,calori,0.0
121,sangma,0.2857142857
122,sprayer,1.0
123,blue_light,1.0
124,near_point,0.0
125,molar,0.0
126,mausi,0.4285714286
127,dharamshala,0.5
128,dr_john,0.2631578947
129,john_mathai,0.5833333333
130,allama_prabhu,0.6
131,young_india,0.75
132,tehsil,0.5714285714
133,upper_air,0.0
134,kumaon,0.6666666667
135,imam_hussain,1.0
136,match_box,0.5
137,resin,1.0
138,visit,0.8333333333
139,pan_region,1.0
140,buchanan,0.5925925926
141,yeh,1.0
142,tribal_group,0.1666666667
143,sedam,0.4
144,curri,0.25
145,two_tier,1.0
146,alwar_district,0.5
147,amar,0.8
148,jiban,0.5
149,balkh,0.7777777778
150,dozen,1.0
151,breast_stroke,0.0
152,civil_line,0.5
153,e_p,0.8333333333
154,steb,0.0
155,forcep,0.0
156,baboo,0.6666666667
157,pommel,1.0
158,plane_mirror,1.0
159,pension,0.5
160,quick_lime,0.25
161,near_vision,0.25
162,eastern_coast,1.0
163,triangular_trade,0.8
164,protected,0.0
165,citadel,1.0
166,interim,1.0
167,cochin,0.3333333333
168,nicotin,0.3636363636
169,three_wheeler,0.0
170,condom,0.3333333333
171,cricket_world_cup,0.5
172,prasanna,0.3333333333
173,hi,0.0
174,k_m,0.0
175,karlson,0.2857142857
176,union_jack,1.0
177,sakhi,0.0
178,bhutta,0.5
179,metric_system,1.0
180,constraint,1.0
181,internet_cafe,0.0
182,maldhari,0.8
183,william_bell_scott,0.6363636364
184,bump,0.3333333333
185,canara,0.0
186,ghor,1.0
187,kali,1.0
188,tsang_po,0.0
189,afraid,1.0
190,chat,1.0
191,live_wire,0.25
192,jodhpur,1.0
193,prime_minister,0.75
194,pavement,0.0
195,dravida,0.75
196,funaria,1.0
197,spin_wheel,0.0
198,wood_pulp,0.6666666667
199,kartal,0.0
200,pahadi,0.3333333333
201,ti,0.2083333333
202,black_soil,1.0
203,shikhara,1.0
204,packer’_‘circus,0.6666666667
205,hare,0.0
206,dal_khalsa,1.0
207,north_africa,0.5
208,ammi,1.0
209,pluck,0.0
210,shalimar_garden,0.8
211,scolopendra,0.0
212,taang,0.2
213,muskmelon,0.0
214,mp3,0.6666666667
215,mp3_player,0.875
216,amazon_forest,0.8181818182
217,pongal,0.8333333333
218,mehrauli,0.75
219,tdp,1.0
220,sir_david_baird,0.625
221,sri_lankan,0.2
222,oxfam,0.5
223,oxfam_gb,0.5
224,take_two,0.2857142857
225,mooga,0.0
226,handpump,0.8
227,mufti,1.0
228,slash_and_burn,0.75
229,rampur,0.5
230,footwear,1.0
231,hopscotch,0.0
232,freedom_movement,1.0
233,invent,1.0
234,hazira,0.6666666667
235,bordeaux,0.2
236,sea_water,0.5
237,direct_method,1.0
238,georg_simon_ohm,0.2857142857
239,cotton_seed,0.0
240,apricot,0.9
241,bhubaneshwar,0.75
242,sahara_desert,0.875
243,persever,0.0
244,violent,0.6666666667
245,skil,0.0
246,persian_wheel,0.5
247,serfdom,1.0
248,snail,0.3333333333
249,slow_down,0.0
250,catamaran,0.0
251,depot,1.0
252,freedom_of_speech,0.8
253,piano,0.5
254,pardesi,1.0
255,pyrenoid,0.3333333333
256,shishir,1.0
257,d_j,0.7142857143
258,chess,0.4444444444
259,wolfgang,0.0
260,pellet,0.0
261,tao,0.8
262,mountain_peak,1.0
263,milch,0.4615384615
264,sarojini_naidu,0.5
265,trivandrum,0.4
266,cntl,0.0
267,him,0.0
268,ami,0.25
269,du,0.5
270,cpld,1.0
271,adanur,0.0
272,want,1.0
273,lorenz,0.48
274,clasen,1.0
275,shirt,0.6
276,analog,0.0
277,dog_run,1.0
278,koyna,0.5
