,RANK,0,1,2,3,4,Unnamed: 6,Unnamed: 7
0,VERBATIM,audio in device,audio out device,audio device verbose output,beat count,beats per minute,,
1,TYPE,int,int,int,int,int,,
2,ID,AudioInputDevice,AudioOutputDevice,VerboseDeviceOutput,BeatsPerSequence,BeatsPerMinute,,
3,initial_values,,,,,,,
4,,-1,5,1,1,240,,
5,/initial_values,,,,,,,
6,udp_local_server,1,,,,,,
7,VERBATIM,,,,,,,
8,TYPE,string,int,string,bool,int,bool,bool
9,ID,id,local_port,receive_format,UDP_message_trace,input_message_stack_depth,OSC_duplicate_removal,OSC_endian_reversal
10,server,udp_PD_receive,8001,Plain,0,300,1,1
11,/udp_local_server,,,,,,,
12,udp_remote_client,2,,,,,,
13,VERBATIM,,,,,,,
14,TYPE,string,string,int,string,bool,int,bool
15,ID,id,remote_ip,local_port,send_format,UDP_message_trace,input_message_stack_depth,OSC_endian_reversal
16,client,udp_PD_send,127.0.0.1,1979,Plain,0,300,1
17,client,udp_Porphyrograph_send,127.0.0.1,1978,Plain,0,300,1
18,/udp_remote_client,,,,,,,
19,short_samples,37,,,,,,
20,VERBATIM,index,file,,,,,
21,,0,./sound-GN-data/samples-YN/samples_part1/sample_part1-001.wav,,,,,
22,,1,./sound-GN-data/samples-YN/samples_part1/sample_part1-002.wav,,,,,
23,,2,./sound-GN-data/samples-YN/samples_part1/sample_part1-003.wav,,,,,
24,,3,./sound-GN-data/samples-YN/samples_part1/sample_part1-004.wav,,,,,
25,,4,./sound-GN-data/samples-YN/samples_part1/sample_part1-005.wav,,,,,
26,,5,./sound-GN-data/samples-YN/samples_part1/sample_part1-006.wav,,,,,
27,,6,./sound-GN-data/samples-YN/samples_part2/sample_part2-001.wav,,,,,
28,,7,./sound-GN-data/samples-YN/samples_part2/sample_part2-002.wav,,,,,
29,,8,./sound-GN-data/samples-YN/samples_part2/sample_part2-003.wav,,,,,
30,,9,./sound-GN-data/samples-YN/samples_part2/sample_part2-004.wav,,,,,
31,,10,./sound-GN-data/samples-YN/samples_part2/sample_part2-005.wav,,,,,
32,,11,./sound-GN-data/samples-YN/samples_part2/sample_part2-006.wav,,,,,
33,,12,./sound-GN-data/samples-YN/samples_part2/sample_part2-007.wav,,,,,
34,,13,./sound-GN-data/samples-YN/samples_part2/sample_part2-008.wav,,,,,
35,,14,./sound-GN-data/samples-YN/samples_part2/sample_part2-009.wav,,,,,
36,,15,./sound-GN-data/samples-YN/samples_part2/sample_part2-010.wav,,,,,
37,,16,./sound-GN-data/samples-YN/samples_part2/sample_part2-011.wav,,,,,
38,,17,./sound-GN-data/samples-YN/samples_part2/sample_part2-012.wav,,,,,
39,,18,./sound-GN-data/samples-YN/samples_part2/sample_part2-013.wav,,,,,
40,,19,./sound-GN-data/samples-YN/samples_part2/sample_part2-014.wav,,,,,
41,,20,./sound-GN-data/samples-YN/samples_part2/sample_part2-015.wav,,,,,
42,,21,./sound-GN-data/samples-YN/samples_part3/sample_part3-001.wav,,,,,
43,,22,./sound-GN-data/samples-YN/samples_part3/sample_part3-002.wav,,,,,
44,,23,./sound-GN-data/samples-YN/samples_part3/sample_part3-003.wav,,,,,
45,,24,./sound-GN-data/samples-YN/samples_part3/sample_part3-004.wav,,,,,
46,,25,./sound-GN-data/samples-YN/samples_part3/sample_part3-005.wav,,,,,
47,,26,./sound-GN-data/samples-YN/samples_part3/sample_part3-006.wav,,,,,
48,,27,./sound-GN-data/samples-YN/samples_part3/sample_part3-007.wav,,,,,
49,,28,./sound-GN-data/samples-YN/samples_part3/sample_part3-008.wav,,,,,
50,,29,./sound-GN-data/samples-YN/samples_part3/sample_part3-009.wav,,,,,
51,,30,./sound-GN-data/samples-YN/samples_part3/sample_part3-010.wav,,,,,
52,,31,./sound-GN-data/samples-YN/samples_part3/sample_part3-011.wav,,,,,
53,,32,./sound-GN-data/samples-YN/samples_part3/sample_part3-012.wav,,,,,
54,,33,./sound-GN-data/samples-YN/samples_part3/sample_part3-013.wav,,,,,
55,,34,./sound-GN-data/samples-YN/samples_part3/sample_part3-014.wav,,,,,
56,,35,./sound-GN-data/samples-YN/samples_part3/sample_part3-015.wav,,,,,
57,,36,./sound-GN-data/samples-YN/samples_part3/sample_part3-016.wav,,,,,
58,/short_samples,,,,,,,
59,long_samples,0,,,,,,
60,VERBATIM,index,file,,,,,
61,/long_samples,,,,,,,
62,sequences,37,,,,,,
63,VERBATIM,index,size,ID,buffer ,,,
64,,0,1,track_0,0,1,1,1
65,,1,1,track_1,1,1,1,1
66,,2,1,track_2,2,1,1,1
67,,3,1,track_3,3,1,1,1
68,,4,1,track_4,4,1,1,1
69,,5,1,track_5,5,1,1,1
70,,6,1,track_6,0,1,1,1
71,,7,1,track_7,1,1,1,1
72,,8,1,track_8,2,1,1,1
73,,9,1,track_9,3,1,1,1
74,,10,1,track_10,4,1,1,1
75,,11,1,track_11,5,1,1,1
76,,12,1,track_12,0,1,1,1
77,,13,1,track_13,1,1,1,1
78,,14,1,track_14,2,1,1,1
79,,15,1,track_15,3,1,1,1
80,,16,1,track_16,6,1,1,1
81,,17,1,track_17,7,1,1,1
82,,18,1,track_18,8,1,1,1
83,,19,1,track_19,9,1,1,1
84,,20,1,track_20,10,1,1,1
85,,21,1,track_21,11,1,1,1
86,,22,1,track_22,12,1,1,1
87,,23,1,track_23,13,1,1,1
88,,24,1,track_24,14,1,1,1
89,,25,1,track_25,15,1,1,1
90,,26,1,track_26,16,1,1,1
91,,27,1,track_27,17,1,1,1
92,,28,1,track_28,18,1,1,1
93,,29,1,track_29,19,1,1,1
94,,30,1,track_30,20,1,1,1
95,,31,1,track_31,10,1,1,1
96,,32,1,track_32,21,4,1,1
97,,33,1,track_33,22,4,1,1
98,,34,1,track_34,23,4,1,1
99,,35,1,track_35,24,4,1,1
100,,36,1,track_36,25,1,1,1
101,,37,1,track_37,26,2,1,1
102,,38,1,track_38,27,3,1,1
103,,39,1,track_39,28,8,1,1
104,,40,1,track_40,29,1,1,1
105,,41,1,track_41,30,1,1,1
106,,42,1,track_42,31,6,1,1
107,,43,1,track_43,32,1,1,1
108,,44,1,track_44,33,5,1,1
109,,45,1,track_45,34,4,1,1
110,,46,1,track_46,35,16,1,1
111,,47,1,track_47,36,16,1,1
112,/sequences,,,,,,,
113,/head,,,,,,,
