,RANK,0,1,2,3,4,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,VERBATIM,audio in device,audio out device,audio device verbose output,beat count,beats per minute,,,
1,TYPE,int,int,int,int,int,,,
2,ID,AudioInputDevice,AudioOutputDevice,VerboseDeviceOutput,BeatsPerSequence,BeatsPerMinute,,,
3,initial_values,,,,,,,,
4,,-1,-1,0,1,60,,,
5,/initial_values,,,,,,,,
6,udp_local_server,1,,,,,,,
7,VERBATIM,,,,,,,,
8,TYPE,string,int,string,bool,int,bool,bool,bool
9,ID,id,local_port,receive_format,UDP_message_trace,input_message_stack_depth,OSC_duplicate_removal,OSC_endian_reversal,OSC_endian_reversal
10,server,udp_PD_receive,8001,Plain,0,300,1,1,1
11,/udp_local_server,,,,,,,,
12,udp_remote_client,2,,,,,,,
13,VERBATIM,,,,,,,,
14,TYPE,string,string,int,string,bool,int,bool,bool
15,ID,id,remote_ip,local_port,send_format,UDP_message_trace,input_message_stack_depth,OSC_endian_reversal,OSC_endian_reversal
16,client,udp_PD_send,127.0.0.1,1979,Plain,0,300,1,1
17,client,udp_Porphyrograph_send,127.0.0.1,1978,Plain,0,300,1,1
18,/udp_remote_client,,,,,,,,
19,short_samples,37,,,,,,,
20,VERBATIM,index,file,,,,,,
21,,0,./SoundData/soundYN-GN-data/samples-YN/samples_part1/sample_part1-001.wav,,,,,,
22,,1,./SoundData/soundYN-GN-data/samples-YN/samples_part1/sample_part1-002.wav,,,,,,
23,,2,./SoundData/soundYN-GN-data/samples-YN/samples_part1/sample_part1-003.wav,,,,,,
24,,3,./SoundData/soundYN-GN-data/samples-YN/samples_part1/sample_part1-004.wav,,,,,,
25,,4,./SoundData/soundYN-GN-data/samples-YN/samples_part1/sample_part1-005.wav,,,,,,
26,,5,./SoundData/soundYN-GN-data/samples-YN/samples_part1/sample_part1-006.wav,,,,,,
27,,6,./SoundData/soundYN-GN-data/samples-YN/samples_part2/sample_part2-001.wav,,,,,,
28,,7,./SoundData/soundYN-GN-data/samples-YN/samples_part2/sample_part2-002.wav,,,,,,
29,,8,./SoundData/soundYN-GN-data/samples-YN/samples_part2/sample_part2-003.wav,,,,,,
30,,9,./SoundData/soundYN-GN-data/samples-YN/samples_part2/sample_part2-004.wav,,,,,,
31,,10,./SoundData/soundYN-GN-data/samples-YN/samples_part2/sample_part2-005.wav,,,,,,
32,,11,./SoundData/soundYN-GN-data/samples-YN/samples_part2/sample_part2-006.wav,,,,,,
33,,12,./SoundData/soundYN-GN-data/samples-YN/samples_part2/sample_part2-007.wav,,,,,,
34,,13,./SoundData/soundYN-GN-data/samples-YN/samples_part2/sample_part2-008.wav,,,,,,
35,,14,./SoundData/soundYN-GN-data/samples-YN/samples_part2/sample_part2-009.wav,,,,,,
36,,15,./SoundData/soundYN-GN-data/samples-YN/samples_part2/sample_part2-010.wav,,,,,,
37,,16,./SoundData/soundYN-GN-data/samples-YN/samples_part2/sample_part2-011.wav,,,,,,
38,,17,./SoundData/soundYN-GN-data/samples-YN/samples_part2/sample_part2-012.wav,,,,,,
39,,18,./SoundData/soundYN-GN-data/samples-YN/samples_part2/sample_part2-013.wav,,,,,,
40,,19,./SoundData/soundYN-GN-data/samples-YN/samples_part2/sample_part2-014.wav,,,,,,
41,,20,./SoundData/soundYN-GN-data/samples-YN/samples_part2/sample_part2-015.wav,,,,,,
42,,21,./SoundData/soundYN-GN-data/samples-YN/samples_part3/sample_part3-001.wav,,,,,,
43,,22,./SoundData/soundYN-GN-data/samples-YN/samples_part3/sample_part3-002.wav,,,,,,
44,,23,./SoundData/soundYN-GN-data/samples-YN/samples_part3/sample_part3-003.wav,,,,,,
45,,24,./SoundData/soundYN-GN-data/samples-YN/samples_part3/sample_part3-004.wav,,,,,,
46,,25,./SoundData/soundYN-GN-data/samples-YN/samples_part3/sample_part3-005.wav,,,,,,
47,,26,./SoundData/soundYN-GN-data/samples-YN/samples_part3/sample_part3-006.wav,,,,,,
48,,27,./SoundData/soundYN-GN-data/samples-YN/samples_part3/sample_part3-007.wav,,,,,,
49,,28,./SoundData/soundYN-GN-data/samples-YN/samples_part3/sample_part3-008.wav,,,,,,
50,,29,./SoundData/soundYN-GN-data/samples-YN/samples_part3/sample_part3-009.wav,,,,,,
51,,30,./SoundData/soundYN-GN-data/samples-YN/samples_part3/sample_part3-010.wav,,,,,,
52,,31,./SoundData/soundYN-GN-data/samples-YN/samples_part3/sample_part3-011.wav,,,,,,
53,,32,./SoundData/soundYN-GN-data/samples-YN/samples_part3/sample_part3-012.wav,,,,,,
54,,33,./SoundData/soundYN-GN-data/samples-YN/samples_part3/sample_part3-013.wav,,,,,,
55,,34,./SoundData/soundYN-GN-data/samples-YN/samples_part3/sample_part3-014.wav,,,,,,
56,,35,./SoundData/soundYN-GN-data/samples-YN/samples_part3/sample_part3-015.wav,,,,,,
57,,36,./SoundData/soundYN-GN-data/samples-YN/samples_part3/sample_part3-016.wav,,,,,,
58,/short_samples,,,,,,,,
59,long_samples,0,,,,,,,
60,VERBATIM,index,file,,,,,,
61,/long_samples,,,,,,,,
62,sequences,48,,,,,,,
63,VERBATIM,index,size,ID,buffer ,,,,
64,,0,1,track_0,0,1,1,1,0
65,,1,1,track_1,1,1,1,1,0
66,,2,1,track_2,2,1,1,1,0
67,,3,1,track_3,3,1,1,1,0
68,,4,1,track_4,4,1,1,1,0
69,,5,1,track_5,5,1,1,1,0
70,,6,1,track_6,0,1,1,1,0
71,,7,1,track_7,1,1,1,1,0
72,,8,1,track_8,2,1,1,1,0
73,,9,1,track_9,3,1,1,1,0
74,,10,1,track_10,4,1,1,1,0
75,,11,1,track_11,5,1,1,1,0
76,,12,1,track_12,0,1,1,1,0
77,,13,1,track_13,1,1,1,1,0
78,,14,1,track_14,2,1,1,1,0
79,,15,1,track_15,3,1,1,1,0
80,,16,1,track_16,6,1,1,1,0
81,,17,1,track_17,7,1,1,1,0
82,,18,1,track_18,8,1,1,1,0
83,,19,1,track_19,9,1,1,1,0
84,,20,1,track_20,10,1,1,1,0
85,,21,1,track_21,11,1,1,1,0
86,,22,1,track_22,12,1,1,1,0
87,,23,1,track_23,13,1,1,1,0
88,,24,1,track_24,14,1,1,1,0
89,,25,1,track_25,15,1,1,1,0
90,,26,1,track_26,16,1,1,1,0
91,,27,1,track_27,17,1,1,1,0
92,,28,1,track_28,18,1,1,1,0
93,,29,1,track_29,19,1,1,1,0
94,,30,1,track_30,20,1,1,1,0
95,,31,1,track_31,6,1,1,1,0
96,,32,1,track_32,21,4,1,1,0
97,,33,1,track_33,22,4,1,1,0
98,,34,1,track_34,23,4,1,1,0
99,,35,1,track_35,24,4,1,1,0
100,,36,1,track_36,25,1,1,1,0
101,,37,1,track_37,26,2,1,1,0
102,,38,1,track_38,27,3,1,1,0
103,,39,1,track_39,28,11,1,1,0
104,,40,1,track_40,29,1,1,1,0
105,,41,1,track_41,30,1,1,1,0
106,,42,1,track_42,31,6,1,1,0
107,,43,1,track_43,32,1,1,1,0
108,,44,1,track_44,33,5,1,1,0
109,,45,1,track_45,34,4,1,1,0
110,,46,1,track_46,35,16,1,1,0
111,,47,1,track_47,36,16,1,1,0
112,/sequences,,,,,,,,
113,/head,,,,,,,,
