,Abbreviation,Meaning
0,(R),rectal
1,A,Asian
2,A&O,alert and oriented
3,a.p.,antepartum
4,A.S.D.,atrial septal defect
5,A.S.H.D.,arteriosclerotic heart disease
6,A.T.,anterior tibial
7,A2,aortic component of second heart sound
8,AA,Alcoholics Anonymous
9,AAA,abdominal aortic aneurysm
10,A-aDO2,alveolar arterial O2 difference of each
11,AAROM,active assisted range of motion
12,"AB, ab",abortion
13,abd,abdominal
14,abd.gr.,abdominal girth
15,ABG,arterial blood gas
16,ABLA,acute blood loss anemia
17,AC,acromo-clavicular
18,ac,before meals (ante cibum)
19,AC Joint,acromioclavicular joint
20,ACE Inhibitor or ACEI,Angiotensin ? converting Enzyme Inhibitors
21,ACL,anterior cruciate ligament
22,ACLS,Advanced Cardiac Life Support
23,ACS,Acute Coronary Syndrome
24,ACTH,adrenocorticotrophic hormone
25,activ.,activity
26,ACV,assist control ventilation
27,ad. lib.,as desired (ad libitum)
28,add.,addiction
29,ADH,antidiuretic hormone
30,ADHF,acute diastolic heart failure
31,ADL,activities of daily living
32,adm.,"admit, admission"
33,AE,Acute exacerbation
34,AED,Automated External Defibribilator
35,AET,alternating esotropia
36,A-F,aortofemoral
37,AFB,acid fast bacilli
38,A-Fib,atrial fibrillation
39,AFL,atrial flutter
40,AFO,ankle foot orthosis
41,AFV,amniotic fluid volume
42,AGA,appropriate for gestational age
43,AI,aortic insufficiency
44,AICD,Automated Implantable Cardioverter Defibrillator
45,AIDS,Acquired Immunodeficiency Syndrome
46,AJ,ankle jerk
47,AK,above knee
48,AKA,above knee amputation
49,AKI,Acute Kidney Injury
50,Alb,albumin
51,ALL,acute lymphocytic leukemia
52,ALP,Alkaline Phosphatase
53,ALT (SGPT),alanine aminotransferase
54,AM,"morning, before noon"
55,AMA,against medical advice
56,amb,ambulate
57,AMI,acute myocardial infarction
58,AML,acute myelocytic leukemia
59,AMML,acute myelomonocytic leukemia
60,amp.,ampule
61,AMS,Altered Mental Status
62,amt.,amount
63,ANA,antinuclear antibody
64,anast.,anastomosis
65,ant.,anterior
66,Ant. Tib.,anterior tibial
67,Ao,aorta
68,AOCD,Anemia of Chronic Disease
69,AP,anterior-posterior
70,Ap,apex/apical
71,APC,atrial premature contraction
72,APD,Automated Peritoneal Dialysis
73,APL,abductor pollicis longus
74,approx,approximately
75,aq.,aqueous
76,AR,aortic regurgitation
77,ARDS,adult respiratory distress syndrome
78,ARF,Acute renal failure
79,AROM,artificial rupture of membranes
80,art.,arterial
81,AS,aortic stenosis
82,ASA,Aspirin
83,ASAP,as soon as possible
84,ASCVD,arteriosclerotic cardiovascular disease
85,ASHF,Acute systolic heart failure
86,AST (SGOT),Asparate Aminotransferase
87,ATN,atubular necrosis
88,AV,atrio-ventricular
89,A-V,arteriovenous
90,AV Fistula,Arteriovenous Fistula
91,AVD,atrioventricular dissociation
92,AVI,automatic volume infusion pump
93,AVM,arteriovenous malformation
94,AVR,aortic valve replacement
95,AWOL,absence without leave
96,ax,axillary
97,AXT,alternating exotropia
98,B,bilateral or both
99,B.M.,bowel movement
100,BAL,blood alcohol level
101,bal. susp.,balanced suspension
102,BBB,bundle branch block
103,BBT,basal body temperature
104,BCLS,Basic Cardiac Life Support
105,BCP,birth control pill
106,BE.,barium enema
107,BF,breastfeeding
108,BFR,blood flow rate
109,BGM,blood glucose monitoring
110,bid,twice a day
111,BIH,bilateral inguinal herniorraphy
112,bili,bilirubin
113,BiPAP,Bilevel Positive Airway Pressure
114,BJ,body jacket
115,BK,below knee
116,BKA,below knee amputation
117,Bkfst,breakfast
118,BME,biomedical engineering
119,B-Med,Behavorial Medicine
120,BMI,body mass index
121,BMP,Basic metabolic panel
122,BMR,basal metabolic rate
123,BNP,B-type Natriuretic Peptide
124,BO,Bowel obstruction
125,BOC,biopsy of cervix
126,BP,blood pressure
127,BPD,Bronchopulmonary dysplasia
128,BPH,benign prostatic hypertrophy
