,Unnamed: 0,pos,neutral,neg
0,out,29,0,16
1,Been,1,0,0
2,doing,6,0,1
3,some,31,0,14
4,work,6,0,2
5,on,135,8,72
6,this,88,2,43
7,evening,1,0,0
8,Very,3,1,1
9,intrigued,1,0,0
10,with,77,1,28
11,the,257,8,134
12,technology,3,0,0
13,and,146,3,84
14,growth,14,0,4
15,potential,7,1,6
16,MY,0,1,0
17,short,11,3,36
18,worked,0,1,0
19,Thank,2,1,0
20,you,51,2,20
21,for,155,3,69
22,hint,0,1,0
23,puts,3,1,12
24,up,97,1,32
25,meanwhile,0,0,3
26,absolute,0,0,1
27,garbage,0,0,1
28,still,29,0,12
29,stores,2,0,1
30,TOTALLY,0,0,1
31,EMPTY,0,0,1
32,inventory,0,0,1
33,galore,0,0,1
34,stock,26,0,15
35,mispriced,0,0,1
36,who,5,0,9
37,would,20,0,13
38,of,138,3,63
39,guessed,0,0,2
40,kill,0,0,2
41,it,62,3,42
42,suck,0,0,2
43,ot,0,0,3
44,me,5,0,11
45,lol,1,0,5
46,Heavy,3,0,0
47,volume,18,1,3
48,alert,4,0,0
49,split,7,0,0
50,in,138,2,59
51,defensive,3,0,0
52,cyclical,3,0,0
53,sectors,5,0,0
54,No,5,0,7
55,edge,3,0,0
56,offered,3,0,0
57,runs,1,0,0
58,into,13,0,13
59,acquisition,2,0,0
60,news,15,0,8
61,make,14,0,7
62,sure,4,0,3
63,wait,4,1,1
64,do,26,0,14
65,not,65,2,47
66,settle,1,0,0
67,that,49,0,24
68,be,69,0,30
69,throwing,1,0,0
70,money,8,0,6
71,away,1,0,1
72,can,16,2,13
73,go,16,2,8
74,down,17,0,35
75,china,1,0,2
76,was,15,0,10
77,always,1,0,1
78,APL,1,0,1
79,ace,0,0,1
80,sleeve,0,0,1
81,now,31,1,14
82,seems,4,0,4
83,like,29,0,24
84,its,10,0,11
85,helping,0,0,1
86,downtrend,1,0,1
87,ince,1,0,0
88,mastered,2,0,0
89,their,7,0,4
90,supply,3,0,0
91,chain,3,0,0
92,cornering,1,0,0
93,NAND,1,0,0
94,Apple,15,2,7
95,EVERYONE'S,1,0,0
96,big,12,1,6
97,dumping,0,0,1
98,touch,2,0,1
99,while,8,0,4
100,trade,22,0,4
101,continuing,3,0,0
102,very,13,0,7
103,nicely,3,0,0
104,from,40,0,16
105,yesterday,10,0,1
106,almost,6,0,0
107,entry,7,0,1
108,deal,7,0,1
109,pricing,2,0,0
110,tonight,4,0,0
111,looking,22,0,7
112,strong,16,0,4
113,here,38,1,18
114,End,6,0,13
115,Of,14,2,16
116,Day,8,0,13
117,Scan,6,0,13
118,Stochastic,1,0,13
119,Overbought,0,0,13
120,_url,401,11,175
121,Headline,2,0,0
122,should,18,0,10
123,read,3,0,1
124,Saudi's,2,0,0
125,are,50,0,27
126,capable,2,0,0
127,increasing,4,0,0
128,oil,6,0,1
129,capacity,2,0,0
130,because,7,0,5
131,reserves,2,0,0
132,decline,2,0,0
133,So,7,0,2
134,as,33,2,13
135,today's,10,0,2
136,close,21,0,10
137,am,27,0,7
138,long,42,1,10
139,all,41,1,17
140,longer-term,4,0,0
141,technical,6,0,2
142,swing,9,0,2
143,basis,4,0,0
144,let,11,0,4
145,us,10,0,2
146,see,28,2,10
147,bounce,5,1,2
148,above,13,0,5
149,could,18,0,3
150,get,15,0,5
151,going,14,2,11
152,Note,2,0,0
