,8.02,12.07,Unnamed: 2,Advertise your product or brand here
0,8.02,12.07,,contact www.OpenSubtitles.org today
1,13.26,13.89,,I'm giddy.
2,13.89,15.77,Oz,I like you giddy. Always have.
3,15.77,19.39,Willow,It's the freedom. As seniors
4,15.77,19.39,Willow,we can go off campus now for lunch.
5,20.15,24.32,Willow,"It's no longer cutting, it's legal."
6,20.15,24.32,Willow,It's expected.
7,25.15,30.32,Willow,It's also a big step forward.
8,25.15,30.32,Willow,"A senior moment, one to be savoured."
9,30.78,33.07,Willow,You can't just rush into this.
10,33.91,35.45,Willow,"No, I can't!"
11,35.79,36.56,Xander,You can.
12,36.56,37.33,Oz,You are.
13,37.66,42.17,Willow,But what if they changed the rule?
14,37.66,42.17,Willow,What if they're lying in wait to arrest me
15,42.67,45.71,Willow,and throw me in detention
16,42.67,45.71,Willow,and mar my unblemished record?
17,46.42,47.67,Xander,Breathe.
18,47.67,49.55,Willow,OK...
19,50.8,56.1,Willow,"This is good. This is... Hey, we're seniors."
20,50.8,56.1,Willow,"Hey, I'm walkin' here."
21,57.68,59.77,Xander,"Ah, Buffy and food."
22,61.44,63.4,Willow,We shouldn't be couply around Buffy.
23,63.94,68.32,Cordelia,Cos the only guy that ever liked her
24,63.94,68.32,Cordelia,had to be put down like a dog?
25,68.94,71.45,Xander,Can she cram complex issues
26,68.94,71.45,Xander,"into a nutshell, or what?"
27,72.07,73.95,Oz,"All right, prepare to uncouple."
28,73.95,75.45,Oz,Uncouple.
29,78.95,83.12,Xander,"Buffy, banned from campus, but not our"
30,78.95,83.12,Xander,"hearts. How are you, and what's for lunch?"
31,83.33,86.59,Buffy,I just threw a few things together.
32,83.33,86.59,Buffy,Now you're Martha Stewart?
33,87.09,89.63,Buffy,"First, she knows jack"
34,87.09,89.63,Buffy,about handcut prosciutto.
35,90.22,91.88,Xander,"I don't believe she slays, either."
36,91.88,93.64,Oz,"I hear she can, but doesn't like to."
37,94.59,98.39,Buffy,"Second, way too much free time"
38,94.59,98.39,Buffy,since I got kicked out of school.
39,98.97,100.77,Willow,I know they'll let you back in.
40,100.85,102.83,Xander,Aren't you and your mom meeting Snyder?
41,102.83,104.1,Buffy,We see Snydeman tomorrow.
42,104.6,107.02,Willow,Scott Hope at 11 o'clock. He likes you.
43,107.73,110.44,Willow,"He wanted to ask you out last year,"
44,107.73,110.44,Willow,but you weren't ready.
45,110.86,112.28,Willow,But I think you're ready now.
46,112.74,115.82,Willow,Or at least in the state of prereadiness
47,112.74,115.82,Willow,to make conversation.
48,115.87,118.45,Willow,Or do that thing with
