,keyword,dbpedia_score
0,luchi,0.4
1,bandanna,1.0
2,eastern_part,1.0
3,mangal_pandey,0.6923076923
4,semicircular,0.0
5,cairo,0.8888888889
6,riccia,1.0
7,social_norm,0.8
8,epithelium,0.0
9,three_tier,1.0
10,quasi,0.0
11,sugarbeet,0.0
12,vajrasana,0.0
13,ration_shop,0.0
14,health_visitor,0.0
15,todar_mal,0.0
16,chowk,0.0
17,bulbul,0.0
18,sabarmati_ashram,0.0
19,ripon,0.0
20,hadji,0.0
21,mayapuri,0.0
22,sloth,0.0
23,cowpox,0.0
24,decipher,0.0
25,silent,0.0
26,sentinel,0.0
27,sirdar,0.0
28,gurmata,0.0
29,grama,0.0
30,bhojaka,0.0
31,pulpwood,0.0
32,time_date,0.0
33,manor,0.0
34,rana_sanga,0.0
35,boar,0.0
36,marathon,0.0
37,lichen,0.0
38,egyptian_cotton,0.0
39,hampi,0.0
40,technic,0.0
41,urad,0.0
42,armament,0.0
43,mississippi,0.0
44,raja_ravi_varma,0.0
45,samaveda,0.0
46,lever,0.0
47,support_price,0.0
48,sieg,0.0
49,long_road,0.0
50,blind_spot,0.0
51,atharvaveda,0.0
52,board_of_trade,0.0
53,guitar,0.0
54,andaman_nicobar,0.0
55,canva,0.0
56,km,0.0
57,purna_swaraj,0.0
58,jahanpanah,0.0
59,mural,0.0
60,shunman,0.0
61,kubo,0.0
62,inspector,0.0
63,naag,0.0
64,kyu,0.0
65,crutch,0.0
66,sort,0.0
67,namghar,0.0
68,hind_brain,0.0
69,momin,0.0
70,ottoman,0.0
71,chawl,0.0
72,dial,0.0
73,mandap,0.0
74,ordin,0.0
75,war_guilt,0.0
76,claus,0.0
77,speech,0.0
78,musician,0.0
79,adrenalin,0.0
80,african_coast,0.0
81,pamphlet,0.0
82,garben,0.0
83,chikki,0.0
84,j__krishnamurti,0.0
85,proper_fraction,0.0
86,prana,0.0
87,rangoli,0.0
88,pancrea,0.0
89,camera,0.0
90,leo_major,0.0
91,copenhagen,0.0
92,liguria,0.0
93,m_v__dhurandhar,0.0
94,samachar_darpan,0.0
95,bhimrao_ramji_ambedkar,0.0
96,air_transport,0.0
97,pillion,0.0
98,paul_bernard,0.0
99,przeworski,0.0
100,alcohol_drink,0.0
101,nephron,0.0
102,nouveau,0.0
103,rembrandt,0.0
104,peal,0.0
105,konkan_railway,0.0
106,meristem,0.0
107,away,0.0
108,trophic_level,0.0
109,dolphin_kick,0.0
110,lord_clive,0.0
111,ormuz,0.0
112,sunday,0.0
113,marumalarchi,0.0
114,goug,0.0
115,learner,0.0
116,st__georg,0.0
117,axel,0.0
118,magh,0.0
119,marxism,0.0
120,calori,0.0
121,sangma,0.0
122,sprayer,0.0
123,blue_light,0.0
124,near_point,0.0
125,molar,0.0
126,mausi,0.0
127,dharamshala,0.0
128,dr_john,0.0
129,john_mathai,0.0
130,allama_prabhu,0.0
131,young_india,0.0
132,tehsil,0.0
133,upper_air,0.0
134,kumaon,0.0
135,imam_hussain,0.0
136,match_box,0.0
137,resin,0.0
138,visit,0.0
139,pan_region,0.0
140,buchanan,0.0
141,yeh,0.0
142,tribal_group,0.0
143,sedam,0.0
144,curri,0.0
145,two_tier,0.0
146,alwar_district,0.0
147,amar,0.0
148,jiban,0.0
149,balkh,0.0
150,dozen,0.0
151,breast_stroke,0.0
152,civil_line,0.0
153,e_p,0.0
154,steb,0.0
155,forcep,0.0
156,baboo,0.0
157,pommel,0.0
158,plane_mirror,0.0
159,pension,0.0
160,quick_lime,0.0
161,near_vision,0.0
162,eastern_coast,0.0
163,triangular_trade,0.0
164,protected,0.0
165,citadel,0.0
166,interim,0.0
167,cochin,0.0
168,nicotin,0.0
169,three_wheeler,0.0
170,condom,0.0
171,cricket_world_cup,0.0
172,prasanna,0.0
173,hi,0.0
174,k_m,0.0
175,karlson,0.0
176,union_jack,0.0
177,sakhi,0.0
178,bhutta,0.0
179,metric_system,0.0
180,constraint,0.0
181,internet_cafe,0.0
182,maldhari,0.0
183,william_bell_scott,0.0
184,bump,0.0
185,canara,0.0
186,ghor,0.0
187,kali,0.0
188,tsang_po,0.0
189,afraid,0.0
190,chat,0.0
191,live_wire,0.0
192,jodhpur,0.0
193,prime_minister,0.0
194,pavement,0.0
195,dravida,0.0
196,funaria,0.0
197,spin_wheel,0.0
198,wood_pulp,0.0
199,kartal,0.0
200,pahadi,0.0
201,ti,0.0
202,black_soil,0.0
203,shikhara,0.0
204,packer’_‘circus,0.0
205,hare,0.0
206,dal_khalsa,0.0
207,north_africa,0.0
208,ammi,0.0
209,pluck,0.0
210,shalimar_garden,0.0
211,scolopendra,0.0
212,taang,0.0
213,muskmelon,0.0
214,mp3,0.0
215,mp3_player,0.0
216,amazon_forest,0.0
217,pongal,0.0
218,mehrauli,0.0
219,tdp,0.0
220,sir_david_baird,0.0
221,sri_lankan,0.0
222,oxfam,0.0
223,oxfam_gb,0.0
224,take_two,0.0
225,mooga,0.0
226,handpump,0.0
227,mufti,0.0
228,slash_and_burn,0.0
229,rampur,0.0
230,footwear,0.0
231,hopscotch,0.0
232,freedom_movement,0.0
233,invent,0.0
234,hazira,0.0
235,bordeaux,0.0
236,sea_water,0.0
237,direct_method,0.0
238,georg_simon_ohm,0.0
239,cotton_seed,0.0
240,apricot,0.0
241,bhubaneshwar,0.0
242,sahara_desert,0.0
243,persever,0.0
244,violent,0.0
245,skil,0.0
246,persian_wheel,0.0
247,serfdom,0.0
248,snail,0.0
249,slow_down,0.0
250,catamaran,0.0
251,depot,0.0
252,freedom_of_speech,0.0
253,piano,0.0
254,pardesi,0.0
255,pyrenoid,0.0
256,shishir,0.0
257,d_j,0.0
258,chess,0.0
259,wolfgang,0.0
260,pellet,0.0
261,tao,0.0
262,mountain_peak,0.0
263,milch,0.0
264,sarojini_naidu,0.0
265,trivandrum,0.0
266,cntl,0.0
267,him,0.0
268,ami,0.0
269,du,0.0
270,cpld,0.0
271,adanur,0.0
272,want,0.0
273,lorenz,0.0
274,clasen,0.0
275,shirt,0.0
276,analog,0.0
277,dog_run,0.0
278,koyna,0.0
279,ghata,0.0
280,victoria_fall,0.0
281,trade_barrier,0.0
282,tsarina_alexandra,0.0
283,meander,0.0
284,brave,0.0
285,babrala,0.0
286,mughal_rule,0.0
287,annual_growth,0.0
288,aam_papad,0.0
289,sabzi,0.0
290,gurudwara,0.0
291,gandhi_cap,0.0
292,spaghetti,0.0
293,nectar,0.0
294,bandhavgarh,0.0
295,chipko_movement,0.0
296,auction,0.0
297,head_of_the_state,0.0
298,tetracyclin,0.0
299,greek_orthodox,0.0
300,thermonuclear_fusion,0.0
301,fusion_reaction,0.0
302,okakura_kakuzo,0.0
303,guru_tegh_bahadur,0.0
304,rohit,0.0
305,ymca,0.0
306,lamella,0.0
307,har_pal,0.0
308,nitric,0.0
309,ashokan_pillar,0.0
310,whisker,0.0
311,deep_valley,0.0
312,sir_muhammad_iqbal,0.0
313,muhammad_iqbal,0.0
314,nonus,0.0
315,self_esteem,0.0
316,bhadu,0.0
317,school_fee,0.0
318,yeah,0.0
319,pepper,0.0
320,green_plant,0.0
321,maya,0.0
322,karnatak,0.0
323,dweller,0.0
324,gang,0.0
325,buddhist_text,0.0
326,agronom,0.0
327,dara,0.0
328,thiruvananthapuram,0.0
329,peru,0.0
330,rebound,0.0
331,n_b,0.0
332,cold_compress,0.0
333,dono,0.0
334,cosmopolitan,0.0
335,meteor_shower,0.0
336,lift_pump,0.0
337,cervix,0.0
338,santa_clara_valley,0.0
339,mole,0.0
340,utopia,0.0
341,london_labour_and_the_london_poor,0.0
342,ngu,0.0
343,partner,0.0
344,amelia_bloomer,0.0
345,methanol,0.0
346,ill_treatment,0.0
