,Alias,Category,Name,ID,Natural,Constant,Description
0,stone,Block,tile.stone,1,1,,
1,grass,Block,tile.grass,2,1,,
2,dirt,Block,tile.dirt,3,1,,
3,stonebrick,Block,tile.stonebrick,4,0,,
4,wood,Block,tile.wood,5,0,,
5,sapling,Block,tile.sapling,6,1,,
6,bedrock,Block,tile.bedrock,7,1,,
7,water,Block,tile.water,8,1,,
8,water,Block,tile.water,9,1,,
9,lava,Block,tile.lava,10,1,,
10,lava,Block,tile.lava,11,1,,
11,sand,Block,tile.sand,12,1,,
12,gravel,Block,tile.gravel,13,1,,
13,oreGold,Block,tile.oreGold,14,1,,
14,oreIron,Block,tile.oreIron,15,1,,
15,oreCoal,Block,tile.oreCoal,16,1,,
16,log,Block,tile.log,17,1,,
17,leaves,Block,tile.leaves,18,1,,
18,sponge,Block,tile.sponge,19,1,,
19,glass,Block,tile.glass,20,0,,
20,oreLapis,Block,tile.oreLapis,21,1,,
21,blockLapis,Block,tile.blockLapis,22,0,,
22,dispenser,Block,tile.dispenser,23,0,,
23,sandStone,Block,tile.sandStone,24,1,,
24,musicBlock,Block,tile.musicBlock,25,0,,
25,bed,Block,tile.bed,26,0,,
26,goldenRail,Block,tile.goldenRail,27,0,,
27,detectorRail,Block,tile.detectorRail,28,0,,
28,pistonStickyBase,Block,tile.pistonStickyBase,29,0,,
29,web,Block,tile.web,30,1,,
30,tallgrass,Block,tile.tallgrass,31,1,,
31,deadbush,Block,tile.deadbush,32,1,,
32,pistonBase,Block,tile.pistonBase,33,0,,
33,sq,Block,sq,34,-1,,
34,cloth,Block,tile.cloth,35,0,,
35,pa,Block,pa,36,-1,,
36,flower,Block,tile.flower,37,1,,
37,rose,Block,tile.rose,38,1,,
38,mushroom,Block,tile.mushroom,39,1,,
39,mushroom,Block,tile.mushroom,40,1,,
40,blockGold,Block,tile.blockGold,41,0,,
41,blockIron,Block,tile.blockIron,42,0,,
42,stoneSlab,Block,tile.stoneSlab,43,0,,
43,stoneSlab,Block,tile.stoneSlab,44,0,,
44,brick,Block,tile.brick,45,0,,
45,tnt,Block,tile.tnt,46,0,,
46,bookshelf,Block,tile.bookshelf,47,0,,
47,stoneMoss,Block,tile.stoneMoss,48,1,,
48,obsidian,Block,tile.obsidian,49,1,,
49,torch,Block,tile.torch,50,0,,
50,fire,Block,tile.fire,51,1,,
51,mobSpawner,Block,tile.mobSpawner,52,1,,
52,stairsWood,Block,tile.stairsWood,53,0,,
53,chest,Block,tile.chest,54,0,,
54,redstoneDust,Block,tile.redstoneDust,55,0,,
55,oreDiamond,Block,tile.oreDiamond,56,1,,
56,blockDiamond,Block,tile.blockDiamond,57,0,,
57,workbench,Block,tile.workbench,58,0,,
58,crops,Block,tile.crops,59,0,,
59,farmland,Block,tile.farmland,60,0,,
60,furnace,Block,tile.furnace,61,0,,
61,furnace,Block,tile.furnace,62,0,,
62,sign,Block,tile.sign,63,0,STANDING_SIGN,
63,doorWood,Block,tile.doorWood,64,0,,
64,ladder,Block,tile.ladder,65,0,,
65,rail,Block,tile.rail,66,0,,
66,stairsStone,Block,tile.stairsStone,67,0,,
67,sign,Block,tile.sign,68,0,WALL_SIGN,
68,lever,Block,tile.lever,69,0,,
69,pressurePlate,Block,tile.pressurePlate,70,0,,
70,doorIron,Block,tile.doorIron,71,0,,
71,pressurePlate,Block,tile.pressurePlate,72,0,,
72,oreRedstone,Block,tile.oreRedstone,73,1,,
73,oreRedstone,Block,tile.oreRedstone,74,1,,
74,notGate,Block,tile.notGate,75,0,,
75,notGate,Block,tile.notGate,76,0,,
76,button,Block,tile.button,77,0,,
77,snow,Block,tile.snow,78,1,,
78,ice,Block,tile.ice,79,1,,
79,snow,Block,tile.snow,80,1,,
80,cactus,Block,tile.cactus,81,1,,
81,clay,Block,tile.clay,82,1,,
82,reeds,Block,tile.reeds,83,1,,
83,jukebox,Block,tile.jukebox,84,0,,
84,fence,Block,tile.fence,85,0,,
85,pumpkin,Block,tile.pumpkin,86,1,,
86,hellrock,Block,tile.hellrock,87,1,,
87,hellsand,Block,tile.hellsand,88,1,,
88,lightgem,Block,tile.lightgem,89,1,,
89,portal,Block,tile.portal,90,0,,
90,litpumpkin,Block,tile.litpumpkin,91,0,,
91,cake,Block,tile.cake,92,0,,
92,diode,Block,tile.diode,93,0,,
93,diode,Block,tile.diode,94,0,,
94,lockedchest,Block,tile.lockedchest,95,0,,
95,trapdoor,Block,tile.trapdoor,96,0,,
96,age,Block,age,97,-1,,
97,stonebricksmooth,Block,tile.stonebricksmooth,98,0,,
98,mushroom,Block,tile.mushroom,99,1,,
99,mushroom,Block,tile.mushroom,100,1,,
100,fenceIron,Block,tile.fenceIron,101,0,,
101,thinGlass,Block,tile.thinGlass,102,0,,
102,melon,Block,tile.melon,103,1,,
103,pumpkinStem,Block,tile.pumpkinStem,104,1,,
104,pumpkinStem,Block,tile.pumpkinStem,105,1,,
105,vine,Block,tile.vine,106,1,,
106,fenceGate,Block,tile.fenceGate,107,0,,
107,stairsBrick,Block,tile.stairsBrick,108,0,,
108,stairsStoneBrickSmooth,Block,tile.stairsStoneBrickSmooth,109,0,,
109,mycel,Block,tile.mycel,110,-1,,
110,waterlily,Block,tile.waterlily,111,1,,
111,netherBrick,Block,tile.netherBrick,112,1,,
112,netherFence,Block,tile.netherFence,113,0,,
113,stairsNetherBrick,Block,tile.stairsNetherBrick,114,0,,
114,netherStalk,Block,tile.netherStalk,115,1,,
115,enchantmentTable,Block,tile.enchantmentTable,116,0,,
116,brewingStand,Block,tile.brewingStand,117,0,,
117,cauldron,Block,tile.cauldron,118,0,,
118,tc,Block,tc,119,-1,,
119,endPortalFrame,Block,tile.endPortalFrame,120,0,,
120,whiteStone,Block,tile.whiteStone,121,1,,
121,dragonEgg,Block,tile.dragonEgg,122,0,,
122,redstoneLight,Block,tile.redstoneLight,123,0,,
123,redstoneLight,Block,tile.redstoneLight,124,0,,
124,eeStone,Block,tile.eeStone,126,-1,,
125,eePedestal,Block,tile.eePedestal,127,0,,
126,eeChest,Block,tile.eeChest,128,0,,
127,eeTorch,Block,tile.eeTorch,129,0,,
128,eeDevice,Block,tile.eeDevice,130,0,,
129,BlockMultipart,Block,eloraam.core.BlockMultipart,133,0,,
130,BlockPeripheral,Block,eloraam.control.BlockPeripheral,134,0,,
131,blockNetherOres,Block,tile.blockNetherOres,135,1,,
132,rpwire,Block,tile.rpwire,136,0,,
133,BlockAppliance,Block,eloraam.base.BlockAppliance,137,0,,
134,BlockLogic,Block,eloraam.logic.BlockLogic,138,0,,
135,indigo,Block,tile.indigo,139,-1,,
136,rpores,Block,tile.rpores,140,1,,
137,rpleaves,Block,tile.rpleaves,141,1,,
138,rpstone,Block,tile.rpstone,142,1,,
139,rplog,Block,tile.rplog,143,1,,
140,BlockCustomCrops,Block,eloraam.world.BlockCustomCrops,144,0,,
141,BlockStorage,Block,eloraam.world.BlockStorage,145,0,,
142,rplampon,Block,tile.rplampon,146,0,,
143,rplampoff,Block,tile.rplampoff,147,0,,
144,BlockMultipart,Block,eloraam.core.BlockMultipart,148,0,,
145,craftingtableiii,Block,tile.craftingtableiii,149,0,,
146,rpmachine,Block,tile.rpmachine,150,0,,
147,BlockMachinePanel,Block,eloraam.machine.BlockMachinePanel,151,0,,
148,rpframe,Block,tile.rpframe,152,0,,
149,machineBlock,Block,tile.machineBlock,153,0,,
150,markerBlock,Block,tile.markerBlock,154,0,,
151,fillerBlock,Block,tile.fillerBlock,155,0,,
152,LegacyBlock,Block,buildcraft.transport.LegacyBlock,156,0,,
153,builderBlock,Block,tile.builderBlock,157,0,,
154,templateBlock,Block,tile.templateBlock,158,0,,
155,LegacyBlock,Block,buildcraft.transport.LegacyBlock,159,0,,
156,frameBlock,Block,tile.frameBlock,160,0,,
157,BlockEngine,Block,buildcraft.energy.BlockEngine,161,0,,
158,oilMoving,Block,tile.oilMoving,162,-1,,
159,oilStill,Block,tile.oilStill,163,-1,,
160,pumpBlock,Block,tile.pumpBlock,164,0,,
161,tankBlock,Block,tile.tankBlock,165,0,,
162,BlockGenericPipe,Block,buildcraft.transport.BlockGenericPipe,166,0,,
163,refineryBlock,Block,tile.refineryBlock,167,0,,
164,autoWorkbenchBlock,Block,tile.autoWorkbenchBlock,169,0,,
165,LegacyBlock,Block,buildcraft.transport.LegacyBlock,170,0,,
166,plainPipeBlock,Block,tile.plainPipeBlock,171,0,,
167,LegacyBlock,Block,buildcraft.transport.LegacyBlock,172,0,,
168,LegacyBlock,Block,buildcraft.transport.LegacyBlock,173,0,,
169,miningWellBlock,Block,tile.miningWellBlock,174,0,,
170,LegacyBlock,Block,buildcraft.transport.LegacyBlock,175,0,,
171,LegacyBlock,Block,buildcraft.transport.LegacyBlock,176,0,,
172,BlockLogic,Block,eloraam.logic.BlockLogic,177,0,,
173,enderchest,Block,tile.enderchest,178,0,,
174,Tether,Block,tile.Teleport Tether,179,0,,
175,IronChest,Block,tile.IronChest,181,0,,
176,CompactSolar,Block,tile.CompactSolar,183,0,,
177,BlockChargingBench,Block,BlockChargingBench,187,0,,
178,BlockAdvancedMachines,Block,ic2.advancedmachines.BlockAdvancedMachines,188,0,,
179,powerConverter,Block,tile.powerConverter,190,0,,
180,blockThermalMonitor,Block,tile.blockThermalMonitor,192,0,,
181,BlockTubestuff,Block,immibis.tubestuff.BlockTubestuff,194,0,,
182,railcraftTrack,Block,tile.railcraftTrack,206,0,,
183,computer,Block,tile.computer,207,0,,
184,diskdrive,Block,tile.diskdrive,208,0,,
185,structureBlock,Block,tile.structureBlock,209,0,,
186,cartDetector,Block,tile.cartDetector,211,0,,
187,elevatorRail,Block,tile.elevatorRail,212,0,,
188,blockUtility,Block,tile.blockUtility,213,0,,
189,blockRailcraftCube,Block,tile.blockRailcraftCube,214,0,,
190,turtle,Block,tile.turtle,216,0,,
191,BlockBarrel,Block,ic2.common.BlockBarrel,217,0,,
192,blockCrop,Block,tile.blockCrop,218,0,,
193,blockLuminatorD,Block,tile.blockLuminatorD,219,0,,
194,blockScaffold,Block,tile.blockScaffold,220,0,,
195,blockWall,Block,tile.blockWall,221,0,,
196,blockFoam,Block,tile.blockFoam,222,0,,
