,Species,Type,FeedType,Prop,W0,Wmax,Wmat,SearchCoef,SearchExp,PPMRscale,PPMR,FeedWidth,GrossGEscale,Carbon,Repro,PlotColour
0,Flagellates,Zooplankton,Heterotroph,0.1,-10.7,-6.8,-8.8,640,0.8,1.5,,0.36,2.5,0.15,0,seagreen3
1,Ciliates,Zooplankton,Heterotroph,0.1,-9.3,-6.3,-8.3,640,0.8,0.04,,0.47,2.5,0.15,0,seagreen4
2,Larvaceans,Zooplankton,FilterFeeder,0.1,-6.4,-3.2,-5.2,640,0.8,-3.0,,0.7,2.5,0.02,0,lightgoldenrod4
3,OmniCopepods,Zooplankton,Omnivore,0.04,-7.5,-3.5,-5.5,640,0.8,-0.5,,0.57,2.5,0.12,0,cornflowerblue
4,CarnCopepods,Zooplankton,Carnivore,0.06,-7.5,-2.5,-4.5,640,0.8,1.5,,0.36,2.5,0.12,0,darkred
5,Euphausiids,Zooplankton,Omnivore,0.1,-4.2,0.2,-1.8,640,0.8,-2.0,,0.7,2.5,0.12,0,darkblue
6,Chaetognaths,Zooplankton,Carnivore,0.1,-5.9,-0.9,-2.9,640,0.8,1.0,,0.46,2.5,0.04,0,firebrick1
7,Salps,Zooplankton,FilterFeeder,0.01,-4.7,1.4,-0.6,640,0.8,-2.68,,0.7,2.5,0.02,0,lightgoldenrod3
8,Jellyfish,Zooplankton,Carnivore,0.01,-3.0,2.0,0.0,640,0.8,0.73,,0.52,2.5,0.005,0,orange
9,Fish_Small,Fish,Carnivore,,-3.0,2.0,0.0,640,0.8,,100.0,1.3,2.5,0.1,0,lightcoral
10,Fish_Med,Fish,Carnivore,,-3.0,4.0,2.0,640,0.8,,100.0,1.3,2.5,0.1,0,coral3
11,Fish_Large,Fish,Carnivore,,-3.0,7.0,4.0,640,0.8,,100.0,1.3,2.5,0.1,0,coral4
