,comnam,ticker,filingYr
0,DUNCAN ENERGY PARTNERS L.P.,DEP,2007
1,"EMPLOYERS HOLDINGS, INC.",EIG,2007
2,"HFF, INC.",HF,2007
3,"ANIMAL HEALTH HOLDINGS, INC.",AHII,2007
4,RENAISSANCE ACQUISITION CORP.,RAK.U,2007
5,"SONOMA PHARMACEUTICALS, INC.",OCLS,2007
6,UIB GROUP LTD,CGNUF,2007
7,CHINA TOPREACH INC.,CGSUF,2007
8,"EVOQ PROPERTIES, INC.",MMPI,2007
9,ORITANI FINANCIAL CORP.,ORIT,2007
10,AEROVIRONMENT INC,AVAV,2007
11,MV OIL TRUST,MVO,2007
12,INTELGENX TECHNOLOGIES CORP.,IGXT,2007
13,LEGACY RESERVES LP,LGCY,2007
14,"AEROGROW INTERNATIONAL, INC.",AGWI,2007
15,FUNTALK CHINA HOLDINGS LTD,MKGDU,2007
16,MSB FINANCIAL CORP.,MSBF,2007
17,DB MULTI-SECTOR COMMODITY MASTER TRUST,DBA,2007
18,"NEURALSTEM, INC.",NRLS,2007
19,ROSETTA GENOMICS LTD.,ROSG,2007
20,INVESCO DB US DOLLAR INDEX TRUST,UUP,2007
21,"CHINA CARBON GRAPHITE GROUP, INC.",CHGI,2007
22,"QUADRA REALTY TRUST, INC.",QRR,2007
23,"SALARY. COM, INC.",SLRY,2007
24,OPNEXT INC,OPXT,2007
25,GENEVA ACQUISITION CORP,GAC.U,2007
26,"FINJAN HOLDINGS, INC.",COINU,2007
27,INVESCO CURRENCYSHARES JAPANESE YEN TRUST,FXY,2007
28,OPTIMER PHARMACEUTICALS INC,OPTR,2007
29,"U.S. AUTO PARTS NETWORK, INC.",PRTS,2007
30,TRANS-INDIA ACQUISITION CORP,TIL.U,2007
31,FORTRESS INVESTMENT GROUP LLC,FIG,2007
32,POSITIVEID CORP,CHIP,2007
33,"MODERN CINEMA GROUP, INC.",HMSO,2007
34,TARGA RESOURCES PARTNERS LP,NGLS,2007
35,"MELLANOX TECHNOLOGIES, LTD.",MLNX,2007
36,"NATIONAL CINEMEDIA, INC.",NCMI,2007
37,ACCURAY INC,ARAY,2007
38,"COUGAR BIOTECHNOLOGY, INC.",CGRB,2007
