,word,is_legal
0,be,0
1,have,0
2,one,0
3,also,0
4,said,0
5,all,0
6,new,0
7,two,0
8,time,0
9,many,0
10,like,0
11,people,0
12,used,0
13,may,0
14,years,0
15,oh,0
16,will,0
17,world,0
18,well,0
19,see,0
20,now,0
21,okay,0
22,states,0
23,year,0
24,state,0
25,use,0
26,right,0
27,called,0
28,go,0
29,three,0
30,made,0
31,government,0
32,city,0
33,war,0
34,known,0
35,however,0
36,united,0
37,later,0
38,get,0
39,just,0
40,since,0
41,work,0
42,part,0
43,including,1
44,early,0
45,want,0
46,number,0
47,century,0
48,system,0
49,put,0
50,yeah,0
51,make,0
52,high,0
53,became,0
54,good,0
55,school,0
56,national,0
57,much,0
58,another,0
59,back,0
60,american,0
61,around,0
62,even,0
63,found,0
64,know,0
65,often,0
66,little,0
67,several,0
68,day,0
69,group,0
70,country,0
71,life,0
72,think,0
73,water,0
74,let,0
75,way,0
76,name,0
77,still,0
78,look,0
79,long,0
80,based,0
81,different,0
82,four,0
83,come,0
84,take,0
85,although,0
86,south,0
87,say,0
88,according,0
89,million,0
90,last,0
91,president,0
92,university,0
93,example,0
94,large,0
95,north,0
96,old,0
97,end,0
98,book,0
99,history,0
100,form,0
101,set,0
102,home,0
103,among,0
104,include,0
105,public,0
106,began,0
107,law,0
108,film,0
109,general,0
110,major,0
111,using,1
112,following,1
113,play,0
114,going,1
115,power,0
116,party,0
117,house,0
118,us,0
119,area,0
120,children,0
121,population,0
122,international,0
123,small,0
124,within,0
125,british,0
126,great,0
127,game,0
128,language,0
129,music,0
130,series,0
131,military,0
132,due,0
133,family,0
134,modern,0
135,common,0
136,students,0
137,though,0
138,big,0
139,political,0
140,help,0
141,important,0
142,place,0
143,led,0
144,period,0
145,five,0
146,took,0
147,english,0
148,show,0
149,got,0
150,team,0
151,death,0
152,without,0
153,john,0
154,left,0
155,air,0
156,king,0
157,less,0
158,times,0
159,west,0
160,members,0
161,countries,0
162,company,0
163,white,0
164,support,0
165,french,0
166,women,0
167,term,0
168,order,0
169,church,0
170,become,0
171,human,0
172,need,0
173,non,0
174,along,0
175,black,0
176,late,0
177,development,0
178,point,0
179,german,0
180,study,0
181,came,0
182,control,0
183,east,0
184,every,0
185,man,0
186,given,0
187,food,0
188,others,0
189,considered,0
190,next,0
191,says,0
192,european,0
193,local,0
194,army,0
195,must,0
196,line,0
197,published,0
198,research,0
199,men,0
200,service,0
201,space,0
202,age,0
203,usually,0
204,court,0
205,popular,0
206,force,0
207,central,0
208,case,0
209,held,0
210,wrote,0
211,main,0
212,change,0
213,today,0
214,best,0
