,Identifier,Name,ArXiV,Wikipedia,Wikidata,WordWindow,type
0,v,velocity,3,7,4,1,global
1,Delta,displacement,-,-,-,5,global
2,x,position,-,2,-,10,global
3,t,time,1,3,4,3,global
4,d,differential equation,-,7,-,-,global
5,a,acceleration,-,-,4,4,global
6,u,velocity,-,2,1,1,global
7,c,speed of light,-,1,2,-,global
8,k,kinetic,-,-,-,5,global
9,p,momentum,5,-,-,2,global
10,m,mass,1,3,2,8,global
11,gamma,factor,-,-,-,1,global
12,A,object,-,2,-,4,global
13,B,object,-,-,-,4,global
14,w,velocity,-,-,2,2,global
15,omega,velocity,-,-,-,6,global
16,r,radius,2,2,1,-,global
17,L,momentum,-,-,-,2,global
18,T,direction,-,-,-,3,global
19,R,radius,1,3,1,-,global
