,1,abandoned,negative,en,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,2,abused,negative,en,,,
1,3,abysmal,negative,en,,,
2,4,accused,negative,en,,,
3,5,addicted,negative,en,,,
4,6,adverse,negative,en,,,
5,7,afraid,negative,en,,,
6,8,aggravated,negative,en,,,
7,9,aggressive,negative,en,,,
8,10,alarming,negative,en,,,
9,11,alone,negative,en,,,
10,12,angry,negative,en,,,
11,13,anguish,negative,en,,,
12,14,annoy,negative,en,,,
13,15,annoyed,negative,en,,,
14,16,anxious,negative,en,,,
15,17,apathy,negative,en,,,
16,18,appalling,negative,en,,,
17,19,apprehensive,negative,en,,,
18,20,argumentative,negative,en,,,
19,21,artificial,negative,en,,,
20,22,ashamed,negative,en,,,
21,23,assaulted,negative,en,,,
22,24,at a loss,negative,en,,,
23,25,at risk,negative,en,,,
24,26,atrocious,negative,en,,,
25,27,attacked,negative,en,,,
26,28,avoided,negative,en,,,
27,29,awful,negative,en,,,
28,30,awkward,negative,en,,,
29,31,bad,negative,en,,,
30,32,badgered,negative,en,,,
31,33,baffled,negative,en,,,
32,34,banal,negative,en,,,
33,35,banned,negative,en,,,
34,36,barbed,negative,en,,,
35,37,barren,negative,en,,,
36,38,beat,negative,en,,,
37,39,beaten down,negative,en,,,
38,40,belittled,negative,en,,,
39,41,belligerent,negative,en,,,
40,42,bemoan,negative,en,,,
41,43,beneath,negative,en,,,
42,44,berated,negative,en,,,
43,45,betrayed,negative,en,,,
44,46,bitched at,negative,en,,,
45,47,bitter,negative,en,,,
46,48,bizzare,negative,en,,,
47,49,blacklisted,negative,en,,,
48,50,blackmailed,negative,en,,,
49,51,blamed,negative,en,,,
50,52,bleak,negative,en,,,
51,53,blown away,negative,en,,,
52,54,blur,negative,en,,,
53,55,bored,negative,en,,,
54,56,boring,negative,en,,,
55,57,bossed-around,negative,en,,,
56,58,bothered,negative,en,,,
57,59,bothersome,negative,en,,,
58,60,bounded,negative,en,,,
59,61,boxed-in,negative,en,,,
60,62,broken,negative,en,,,
61,63,bruised,negative,en,,,
62,64,brushed-off,negative,en,,,
63,65,bugged,negative,en,,,
64,66,bullied,negative,en,,,
65,67,bummed out,negative,en,,,
66,68,bummed,negative,en,,,
67,69,burdened,negative,en,,,
68,70,burdensome,negative,en,,,
69,71,burned,negative,en,,,
70,72,burned-out,negative,en,,,
71,73,caged in,negative,en,,,
72,74,callous,negative,en,,,
73,75,can't,negative,en,,,
74,76,careless,negative,en,,,
75,77,chaotic,negative,en,,,
76,78,chased,negative,en,,,
77,79,cheated on,negative,en,,,
78,80,cheated,negative,en,,,
79,81,chicken,negative,en,,,
80,82,claustrophobic,negative,en,,,
81,83,clingy,negative,en,,,
82,84,closed,negative,en,,,
83,85,clueless,negative,en,,,
84,86,clumsy,negative,en,,,
85,87,coarse,negative,en,,,
86,88,coaxed,negative,en,,,
87,89,codependent,negative,en,,,
88,90,coerced,negative,en,,,
89,91,cold,negative,en,,,
90,92,cold-hearted,negative,en,,,
91,93,collapse,negative,en,,,
92,94,combative,negative,en,,,
93,95,commanded,negative,en,,,
94,96,compared,negative,en,,,
95,97,competitive,negative,en,,,
96,98,compulsive,negative,en,,,
97,99,conceited,negative,en,,,
98,100,concerned,negative,en,,,
99,101,condescended to,negative,en,,,
100,102,confined,negative,en,,,
101,103,conflicted,negative,en,,,
102,104,confronted,negative,en,,,
103,105,confused,negative,en,,,
104,106,confused,negative,en,,,
105,107,conned,negative,en,,,
106,108,consumed,negative,en,,,
107,109,contemplative,negative,en,,,
108,110,contempt,negative,en,,,
109,111,contentious,negative,en,,,
110,112,contradictory,negative,en,,,
111,113,contrary,negative,en,,,
112,114,controlled,negative,en,,,
113,115,convicted,negative,en,,,
114,116,cornered,negative,en,,,
115,117,corralled,negative,en,,,
116,118,corrosive,negative,en,,,
117,119,corrupt,negative,en,,,
118,120,cowardly,negative,en,,,
119,121,crabby,negative,en,,,
120,122,cramped,negative,en,,,
121,123,cranky,negative,en,,,
122,124,crap,negative,en,,,
123,125,crappy,negative,en,,,
124,126,crazy,negative,en,,,
125,127,creeped out,negative,en,,,
126,128,creepy,negative,en,,,
127,129,criminal,negative,en,,,
128,130,critical,negative,en,,,
129,131,criticized,negative,en,,,
130,132,cross,negative,en,,,
131,133,crowded,negative,en,,,
132,134,cruddy,negative,en,,,
133,135,cruel,negative,en,,,
134,136,crummy,negative,en,,,
135,137,crushed,negative,en,,,
136,138,cry,negative,en,,,
137,139,cut-down,negative,en,,,
138,140,cut-off,negative,en,,,
139,141,cutting,negative,en,,,
140,142,cynical,negative,en,,,
141,143,damage,negative,en,,,
142,144,damaged,negative,en,,,
143,145,damaging,negative,en,,,
144,146,damned,negative,en,,,
145,147,dangerous,negative,en,,,
146,148,dark,negative,en,,,
147,149,dastardly,negative,en,,,
148,150,dazed,negative,en,,,
149,151,dead,negative,en,,,
150,152,decaying,negative,en,,,
151,153,deceived,negative,en,,,
152,154,deep,negative,en,,,
153,155,defamed,negative,en,,,
154,156,defeated,negative,en,,,
155,157,defective,negative,en,,,
156,158,defenseless,negative,en,,,
157,159,defensive,negative,en,,,
158,160,defiant,negative,en,,,
159,161,deficient,negative,en,,,
160,162,deflated,negative,en,,,
161,163,deformed,negative,en,,,
162,164,degraded,negative,en,,,
163,165,dehumanized,negative,en,,,
164,166,dejected,negative,en,,,
165,167,delicate,negative,en,,,
166,168,deluded,negative,en,,,
167,169,demanding,negative,en,,,
168,170,demeaned,negative,en,,,
169,171,demented,negative,en,,,
170,172,demotivated,negative,en,,,
171,173,deny,negative,en,,,
172,174,dependent,negative,en,,,
173,175,depleted,negative,en,,,
174,176,deplorable,negative,en,,,
175,177,depraved,negative,en,,,
176,178,depressed,negative,en,,,
177,179,deprived,negative,en,,,
178,180,deserted,negative,en,,,
179,181,deserving of pain/punishment,negative,en,,,
180,182,desolate,negative,en,,,
181,183,despair,negative,en,,,
182,184,despairing,negative,en,,,
183,185,desperate,negative,en,,,
184,186,despicable,negative,en,,,
185,187,despicable,negative,en,,,
186,188,despised,negative,en,,,
187,189,destroyed,negative,en,,,
188,190,destructive,negative,en,,,
189,191,detached,negative,en,,,
190,192,detest,negative,en,,,
191,193,detestable,negative,en,,,
192,194,detested,negative,en,,,
193,195,detrimental,negative,en,,,
194,196,devalued,negative,en,,,
195,197,devastated,negative,en,,,
196,198,deviant,negative,en,,,
197,199,devoid,negative,en,,,
198,200,diagnosed,negative,en,,,
199,201,dictated to,negative,en,,,
200,202,different,negative,en,,,
201,203,difficult,negative,en,,,
202,204,directionless,negative,en,,,
203,205,dirty,negative,en,,,
204,206,disabled,negative,en,,,
205,207,disagreeable,negative,en,,,
206,208,disappointed,negative,en,,,
207,209,disappointing,negative,en,,,
208,210,disapproved of,negative,en,,,
209,211,disbelieved,negative,en,,,
210,212,discardable,negative,en,,,
211,213,discarded,negative,en,,,
212,214,disconnected,negative,en,,,
213,215,discontent,negative,en,,,
214,216,discouraged,negative,en,,,
215,217,discriminated,negative,en,,,
216,218,disdain,negative,en,,,
217,219,disdainful,negative,en,,,
218,220,disease,negative,en,,,
219,221,disempowered,negative,en,,,
220,222,disenchanted,negative,en,,,
221,223,disgraced,negative,en,,,
222,224,disgruntled,negative,en,,,
223,225,disgust,negative,en,,,
224,226,disgusted,negative,en,,,
225,227,disgusting,negative,en,,,
226,228,disheartened,negative,en,,,
227,229,disheveled,negative,en,,,
228,230,dishonest,negative,en,,,
229,231,dishonorable,negative,en,,,
230,232,disillusioned,negative,en,,,
231,233,dislike,negative,en,,,
232,234,disliked,negative,en,,,
233,235,dismal,negative,en,,,
234,236,dismayed,negative,en,,,
235,237,disorganized,negative,en,,,
236,238,disoriented,negative,en,,,
237,239,disowned,negative,en,,,
238,240,displeased,negative,en,,,
239,241,disposable,negative,en,,,
240,242,disregarded,negative,en,,,
241,243,disrespected,negative,en,,,
242,244,dissatisfied,negative,en,,,
243,245,distant,negative,en,,,
244,246,distracted,negative,en,,,
245,247,distraught,negative,en,,,
246,248,distress,negative,en,,,
247,249,distressed,negative,en,,,
248,250,disturbed,negative,en,,,
249,251,dizzy,negative,en,,,
250,252,dominated,negative,en,,,
251,253,don't,negative,en,,,
252,254,doomed,negative,en,,,
253,255,double-crossed,negative,en,,,
254,256,doubted,negative,en,,,
255,257,doubtful,negative,en,,,
256,258,down and out,negative,en,,,
257,259,down in the dumps,negative,en,,,
258,260,down,negative,en,,,
259,261,downhearted,negative,en,,,
260,262,downtrodden,negative,en,,,
261,263,drained,negative,en,,,
262,264,dramatic,negative,en,,,
263,265,dread,negative,en,,,
264,266,dreadful,negative,en,,,
265,267,dreary,negative,en,,,
266,268,dreary,negative,en,,,
267,269,dropped,negative,en,,,
268,270,drunk,negative,en,,,
269,271,dry,negative,en,,,
270,272,dumb,negative,en,,,
271,273,dumped on,negative,en,,,
272,274,dumped,negative,en,,,
273,275,duped,negative,en,,,
274,276,edgy,negative,en,,,
275,277,egocentric,negative,en,,,
276,278,egotistic,negative,en,,,
277,279,egotistical,negative,en,,,
278,280,elusive,negative,en,,,
279,281,emancipated,negative,en,,,
280,282,emasculated,negative,en,,,
281,283,embarrassed,negative,en,,,
282,284,emotional,negative,en,,,
283,285,emotionally bankrupt,negative,en,,,
284,286,emotionless,negative,en,,,
285,287,empty,negative,en,,,
286,288,encumbered,negative,en,,,
287,289,endangered,negative,en,,,
288,290,enraged,negative,en,,,
289,291,enslaved,negative,en,,,
290,292,entangled,negative,en,,,
291,293,eroding,negative,en,,,
292,294,evaded,negative,en,,,
293,295,evasive,negative,en,,,
294,296,evicted,negative,en,,,
295,297,evil,negative,en,,,
296,298,excessive,negative,en,,,
297,299,excluded,negative,en,,,
298,300,exhausted,negative,en,,,
299,301,exploited,negative,en,,,
300,302,exposed,negative,en,,,
301,303,fail,negative,en,,,
302,304,failful,negative,en,,,
303,305,fake,negative,en,,,
304,306,false,negative,en,,,
305,307,faulty,negative,en,,,
306,308,fear,negative,en,,,
307,309,fear,negative,en,,,
308,310,fearful,negative,en,,,
309,311,fed up,negative,en,,,
310,312,feeble,negative,en,,,
311,313,fight,negative,en,,,
312,314,filthy,negative,en,,,
313,315,flawed,negative,en,,,
314,316,forced,negative,en,,,
315,317,forgetful,negative,en,,,
316,318,forgettable,negative,en,,,
317,319,forgotten,negative,en,,,
318,320,foul,negative,en,,,
319,321,fragile,negative,en,,,
320,322,freaked out,negative,en,,,
321,323,frighten,negative,en,,,
322,324,frightened,negative,en,,,
323,325,frightful,negative,en,,,
324,326,frigid,negative,en,,,
325,327,frustrated,negative,en,,,
326,328,furious,negative,en,,,
327,329,gawky,negative,en,,,
328,330,ghastly,negative,en,,,
329,331,gloomy,negative,en,,,
330,332,glum,negative,en,,,
331,333,gothic,negative,en,,,
332,334,grave,negative,en,,,
333,335,greed,negative,en,,,
334,336,grey,negative,en,,,
335,337,grief,negative,en,,,
336,338,grim,negative,en,,,
337,339,grimace,negative,en,,,
338,340,gross,negative,en,,,
339,341,grossed-out,negative,en,,,
340,342,grotesque,negative,en,,,
341,343,grotesque,negative,en,,,
342,344,grouchy,negative,en,,,
343,345,grounded,negative,en,,,
344,346,gruesome,negative,en,,,
345,347,grumpy,negative,en,,,
346,348,guilt-tripped,negative,en,,,
347,349,guilty,negative,en,,,
348,350,haggard,negative,en,,,
349,351,harassed,negative,en,,,
350,352,hard,negative,en,,,
351,353,hard-hearted,negative,en,,,
352,354,harmful,negative,en,,,
353,355,hassled,negative,en,,,
354,356,hate,negative,en,,,
355,357,hate,negative,en,,,
356,358,hateful,negative,en,,,
357,359,hatred,negative,en,,,
358,360,haunted,negative,en,,,
359,361,heartbroken,negative,en,,,
360,362,heartless,negative,en,,,
361,363,heavy-hearted,negative,en,,,
362,364,helpless,negative,en,,,
363,365,hesitant,negative,en,,,
364,366,hideous,negative,en,,,
365,367,hideous,negative,en,,,
366,368,hindered,negative,en,,,
367,369,homely,negative,en,,,
368,370,hopeless,negative,en,,,
369,371,horrendous,negative,en,,,
370,372,horrible,negative,en,,,
371,373,horrified,negative,en,,,
372,374,horror,negative,en,,,
373,375,hostile,negative,en,,,
374,376,hostile,negative,en,,,
375,377,hot-tempered,negative,en,,,
376,378,humiliated,negative,en,,,
377,379,hung over,negative,en,,,
378,380,hung up,negative,en,,,
379,381,hurried,negative,en,,,
380,382,hurt,negative,en,,,
381,383,hurtful,negative,en,,,
382,384,hysterical,negative,en,,,
383,385,icky,negative,en,,,
384,386,idiotic,negative,en,,,
385,387,ignorant,negative,en,,,
386,388,ignore,negative,en,,,
387,389,ignored,negative,en,,,
388,390,ill,negative,en,,,
389,391,ill-tempered,negative,en,,,
390,392,imbalanced,negative,en,,,
391,393,immature,negative,en,,,
392,394,imperfect,negative,en,,,
393,395,imposed-upon,negative,en,,,
394,396,impossible,negative,en,,,
395,397,impotent,negative,en,,,
396,398,imprisoned,negative,en,,,
397,399,impulsive,negative,en,,,
398,400,in the dumps,negative,en,,,
399,401,in the way,negative,en,,,
400,402,inactive,negative,en,,,
401,403,inadequate,negative,en,,,
402,404,inane,negative,en,,,
403,405,incapable,negative,en,,,
404,406,incommunicative,negative,en,,,
405,407,incompatible,negative,en,,,
406,408,incompetent,negative,en,,,
407,409,incomplete,negative,en,,,
408,410,incorrect,negative,en,,,
409,411,indecisive,negative,en,,,
410,412,indifferent,negative,en,,,
411,413,indoctrinated,negative,en,,,
412,414,inebriated,negative,en,,,
413,415,ineffective,negative,en,,,
414,416,inefficient,negative,en,,,
415,417,inelegant,negative,en,,,
416,418,inferior,negative,en,,,
417,419,infernal,negative,en,,,
418,420,infuriated,negative,en,,,
419,421,inhibited,negative,en,,,
420,422,inhumane,negative,en,,,
421,423,injure,negative,en,,,
422,424,injured,negative,en,,,
423,425,injurious,negative,en,,,
424,426,injusticed,negative,en,,,
425,427,insane,negative,en,,,
426,428,insecure,negative,en,,,
427,429,insidious,negative,en,,,
428,430,insignificant,negative,en,,,
429,431,insincere,negative,en,,,
430,432,insipid,negative,en,,,
431,433,insufficient,negative,en,,,
432,434,insulted,negative,en,,,
433,435,intense,negative,en,,,
434,436,interrogated,negative,en,,,
435,437,interrupted,negative,en,,,
436,438,intimidated,negative,en,,,
