,Context,Code,Occupation
0,100,27-2011.00,Actors
1,99,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
2,99,11-3051.01,Quality Control Systems Managers
3,98,53-2031.00,Flight Attendants
4,98,43-4051.03,Patient Representatives
5,98,31-9099.01,Speech-Language Pathology Assistants
6,97,29-1021.00,"Dentists, General"
7,97,53-1021.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
8,97,19-4093.00,Forest and Conservation Technicians
9,97,33-2022.00,Forest Fire Inspectors and Prevention Specialists
10,97,51-8011.00,Nuclear Power Reactor Operators
11,97,47-5012.00,"Rotary Drill Operators, Oil and Gas"
12,96,53-1011.00,Aircraft Cargo Handling Supervisors
13,96,39-3092.00,Costume Attendants
14,96,29-1069.02,Dermatologists
15,96,21-1012.00,"Educational, Guidance, School, and Vocational Counselors"
16,96,29-2041.00,Emergency Medical Technicians and Paramedics
17,96,25-9031.00,Instructional Coordinators
18,96,19-4051.01,Nuclear Equipment Operation Technicians
19,96,31-2011.00,Occupational Therapy Assistants
20,96,29-1069.08,Physical Medicine and Rehabilitation Physicians
21,96,29-2054.00,Respiratory Therapy Technicians
22,96,39-1021.01,Spa Managers
23,96,25-2054.00,"Special Education Teachers, Secondary School"
24,96,29-2055.00,Surgical Technologists
25,95,53-2021.00,Air Traffic Controllers
26,95,29-9091.00,Athletic Trainers
27,95,11-3051.04,Biomass Power Plant Managers
28,95,21-2021.00,"Directors, Religious Activities and Education"
29,95,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
30,95,33-1012.00,First-Line Supervisors of Police and Detectives
31,95,11-9051.00,Food Service Managers
32,95,11-1021.00,General and Operations Managers
33,95,43-4081.00,"Hotel, Motel, and Resort Desk Clerks"
34,95,11-9081.00,Lodging Managers
35,95,13-1121.00,"Meeting, Convention, and Event Planners"
36,95,29-1069.06,Ophthalmologists
37,95,31-2021.00,Physical Therapist Assistants
38,95,29-1066.00,Psychiatrists
39,95,25-2053.00,"Special Education Teachers, Middle School"
40,94,29-1141.01,Acute Care Nurses
41,94,27-1011.00,Art Directors
42,94,13-2011.02,Auditors
43,94,11-3051.03,Biofuels Production Managers
44,94,11-1011.00,Chief Executives
45,94,21-1021.00,"Child, Family, and School Social Workers"
46,94,11-9199.02,Compliance Managers
47,94,11-3021.00,Computer and Information Systems Managers
48,94,31-9091.00,Dental Assistants
49,94,29-1062.00,Family and General Practitioners
50,94,41-1011.00,First-Line Supervisors of Retail Sales Workers
51,94,39-1011.00,Gaming Supervisors
52,94,53-7041.00,Hoist and Winch Operators
53,94,15-1199.09,Information Technology Project Managers
54,94,53-4011.00,Locomotive Engineers
55,94,31-9092.00,Medical Assistants
56,94,19-1042.00,"Medical Scientists, Except Epidemiologists"
57,94,43-6013.00,Medical Secretaries
58,94,11-9013.01,Nursery and Greenhouse Managers
59,94,29-1022.00,Oral and Maxillofacial Surgeons
60,94,33-3021.02,Police Identification and Records Officers
61,94,27-2012.01,Producers
62,94,29-1024.00,Prosthodontists
63,94,29-2053.00,Psychiatric Technicians
64,94,11-2031.00,Public Relations and Fundraising Managers
65,94,27-4013.00,Radio Operators
66,94,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
67,94,33-9099.02,Retail Loss Prevention Specialists
68,94,25-2052.00,"Special Education Teachers, Kindergarten and Elementary School"
69,94,27-2012.05,Technical Directors/Managers
70,93,33-9011.00,Animal Control Workers
71,93,19-1029.01,Bioinformatics Scientists
72,93,27-1021.00,Commercial and Industrial Designers
73,93,33-3012.00,Correctional Officers and Jailers
74,93,27-2012.02,"Directors- Stage, Motion Pictures, Television, and Radio"
75,93,41-3099.01,Energy Brokers
76,93,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers
77,93,33-2011.02,Forest Firefighters
78,93,13-1071.00,Human Resources Specialists
79,93,29-2061.00,Licensed Practical and Licensed Vocational Nurses
80,93,29-1023.00,Orthodontists
81,93,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
82,93,11-9151.00,Social and Community Service Managers
83,93,29-1067.00,Surgeons
84,93,29-2099.07,Surgical Assistants
85,93,11-3071.01,Transportation Managers
86,93,15-1199.11,Video Game Designers
87,92,51-8099.01,Biofuels Processing Technicians
88,92,35-1011.00,Chefs and Head Cooks
89,92,21-2011.00,Clergy
90,92,11-9121.01,Clinical Research Coordinators
91,92,33-2021.02,Fire Investigators
92,92,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
93,92,39-1021.00,First-Line Supervisors of Personal Service Workers
94,92,11-3051.02,Geothermal Production Managers
95,92,11-3051.00,Industrial Production Managers
96,92,11-2021.00,Marketing Managers
97,92,27-2042.02,"Musicians, Instrumental"
98,92,29-1161.00,Nurse Midwives
99,92,25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
100,92,31-9095.00,Pharmacy Aides
101,92,53-5021.03,"Pilots, Ship"
102,92,33-3051.01,Police Patrol Officers
103,92,11-9131.00,Postmasters and Mail Superintendents
104,92,27-2012.03,Program Directors
105,92,29-1125.00,Recreational Therapists
106,92,27-2042.01,Singers
107,92,15-1132.00,"Software Developers, Applications"
108,92,25-2051.00,"Special Education Teachers, Preschool"
109,92,29-1069.12,Urologists
110,92,29-2056.00,Veterinary Technologists and Technicians
111,91,29-1069.01,Allergists and Immunologists
112,91,29-1061.00,Anesthesiologists
113,91,33-3011.00,Bailiffs
114,91,13-1021.00,"Buyers and Purchasing Agents, Farm Products"
115,91,29-2031.00,Cardiovascular Technologists and Technicians
116,91,15-1199.02,Computer Systems Engineers/Architects
117,91,43-4041.01,Credit Authorizers
118,91,43-4041.02,Credit Checkers
119,91,29-2021.00,Dental Hygienists
120,91,11-9161.00,Emergency Management Directors
121,91,39-4021.00,Funeral Attendants
122,91,11-9071.00,Gaming Managers
