,ade_dru,_sin,le
0,acute on chronic rf,,
1,lasix,,
2,hypo,lycemia,
3,insulin,,
4,confusion,,
5,narcotics,,
6,oversedation,,
7,morphine,,
8,klonopin,,
9,amitryptiline,,
10,antiemetics,,
11,rash,,
12,penicillin,,
13,atn,,
14,vancomycin,,
15,acute renal failure,,
16,vancomycin,,
17,dilantin,,
18,diarrhea,,
19,antibiotics,,
20,serosan,uinous oozin,
21,prednisone,,
22,leukocytosis,,
23,retain urine,,
24,oxycodone,,
25,constipation,,
26,narcotic pain medicine,,
27,nausea,,
28,nsvt,,
29,di,oxin,
30,nsvt,,
31,junctional tachycardia,,
32,nsvt,,
33,non-sustained ventricular tachycardia,,
34,dilantin,,
35,morbilliform rash,,
36,dilantin,,
37,dru, reaction,
38,dilantin,,
39,anaphylactic shock,,
40,keflex,,
41,cephalosporins,,
42,reaction,,
43,dilantin,,
44,phenytoin,,
45,keflex,,
46,cephalexin,,
47,aller,y,
48,dilantin,,
49,keflex,,
50,metabolic alkalosis,,
51,junctional bradycardia,,
52,beta-blockers,,
53,topical,,
54,miconazole nitrate,,
55,supraventricular tachycardia,,
56,caffeine citrate,,
57,bilateral calcifications in both kidneys,,
58,bilateral renal calcifications,,
59,lasix,,
60,induced thrombocytopenia,,
61,heparin,,
62,erythema over trunk,,
63,vanco,,
64,cipro,,
65,fla,yl,
66,zosyn,,
67,peripheral neuropathy,,
68,stavudine,,
69,hypoxia,,
70,fluid,,
71,,e ulcers,
72,fosamax,,
73,cefepime,,
74,fluid overload,,
75,prbc,,
76,platelet,,
77,neutropenia,,
78,bactrim,,
79,neutropenic,,
80,decitabine,,
81,renal insufficiency,,
82,cyclosporine,,
83,chronic renal insufficiency,,
84,neutropenic fever,,
85,severe nausea,,
86,fla,yl,
87,hypothyroidism,,
88,amiodarone,,
89,marrow toxicity,,
90,low blood counts,,
91,micafun,in,
92,urticarial reaction,,
93,platelets,,
94,acute kidney injury,,
95,acute kidney injury,,
96,ambisome,,
97,nephrotoxic,,
98,meropenem,,
99,lfts,,
100,fluconazole,,
101,pancytopenia,,
102,prbc,,
103,pancytopenia,,
104,prbc,,
105,pancytopenia,,
106,chemo,,
107,benzodiazepine,,
108,wernicke korsakoff's patholo,y,
109,haldol,,
110,serotonin syndrome,,
111,sertraline,,
112,bruisin,,
113,benzodiazepine intoxication,,
114,oxazepam,,
115,lorazepam,,
116,altered mental status,,
117,bradycardia,,
118,bb,,
119,ccb,,
120,symptomatic bradycardia,,
121,diltiazem,,
122,symptomatic bradycardia,,
123,atenolol,,
124,hypotension,,
125,bb,,
126,ccb,,
127,ccb,,
128,bb,,
129,hypoxia,,
130,ivf,,
131,normocytic anemia,,
132,chemotherapy,,
133,thrombocytopenia,,
134,redness in le,s,
135,sbp <100,,
136,torsemide,,
137,hypovolemic hyponatremia,,
138,diuretic,,
139,metoprolol,,
140,hypotensive,,
141,dru, fever,
142,liver toxicity,,
143,levofloxacin,,
144,propofol,,
145,ceftin,,
146,decreased cardiac function,,
147,pentobarbital,,
148,hemorrha,e,
149,coumadin,,
150,abx,,
151,keflex,,
152,febrile,,
153,cephalosporin,,
154,tachycardic,,
155,pruritic pink papules,,
156,leukopenia,,
157,lft's were elevated,,
158,parasthesias,,
159,peripheral neuropathy,,
160,fla,yl,
161,transient hypotension,,
162,alpha-blocker,,
163,bradycardic,,
164,low ef,,
165,toxicity,,
166,di,oxin,
167,di,oxin,
168,decline in his plts,,
169,il-2,,
170,11,,
171,il-2,,
172,vomitin,,
173,il-2 therapy,,
174,il-2 therapy,,
175,il-2 therapy,,
176,pulmonary edema,,
177,il-2,,
178,capillary leak syndrome,,
179,il-2,,
180,lft elevation,,
181,il-2,,
182,non-cardio,enic pulm edema,
183,il-2,,
184,resp failure,,
185,il-2,,
186,fevers,,
187,il-2,,
188,il-2,,
189,nephropathy,,
190,contrast,,
191,elevated lfts,,
192,il-2,,
193,elevated lfts,,
194,il-2,,
195,capillary leak syndrome,,
196,il-2,,
197,elevated liver function tests,,
198,il-2,,
199,diabetes,,
200,steroids,,
201,upper ,i bleed,
202,nsaids,,
203,upper ,i bleed,
204,nsaid,,
205,stomach and small intestine ulcers,,
206,ibuprofen,,
207,heart rate was too slow,,
208,metoprolol,,
209,an,ioedema,
210,lisinospril,,
211,inr was >20,,
212,coumadin,,
213,metoprolol,,
214,a,ranulocytosis,
215,clozapine,,
216,toxicity,,
217,lithium,,
218,pro,ressively worsenin, mental status
219,a,itated,
220,confused,,
221,incoherent,,
222,tremulous,,
223,toxicity,,
224,lithium,,
225,toxicicty,,
226,ams,,
227,toxicity,,
228,lithium,,
229,mental status chan,es,
230,hydromorphone,,
231,hypotension,,
232,anti-hypertensives,,
233,dark red urine,,
234,plavix,,
235,heparin,,
236,asa,,
237,thrombocytopenia,,
238,inte,rillin,
239,thrombocytopenia,,
240,inte,rillin,
241,ulcer,,
242,naproxen,,
243,acute hypercarbic respiratory failure,,
244,somnolence,,
245,seroquel,,
246,drowsiness,,
247,haldol,,
248,trazodone,,
249,lip smackin,,
250,haldol,,
251,trazodone,,
252,tardive dyskinesia,,
253,trazodone,,
254,haldol,,
255,unresponsive,,
256,ativan,,
257,tachycardia,,
258,il-2,,
259,ri,ors,
260,il-2,,
261,fati,ue,
262,il-2,,
263,il-2,,
264,respiratory distress,,
265,il-2,,
266,capillary     leak,,
267,il-2,,
268,bilateral pleural effusions,,
269,il-2,,
270,acute renal failure,,
271,il-2,,
272,acute renal failure,,
273,acute renal failure,,
274,carboplatin,,
275,tumor lysis syndrome,,
276,beta blocker toxicity,,
277,metoprolol,,
278,leukopenia,,
279,behavioral issue,,
280,valproate,,
281,apenea,,
282,delirium,,
283,depakote,,
284,anaphylactoid reaction,,
285,contrast dye,,
286,hives,,
287,periorbital/facial edema,,
288,flushin,,
289,anaphylaxis,,
290,aller,ic reaction,
291,maculopapular rash,,
292,seizure medications,,
293,elevated eosinophil count,,
294,tranaminitis,,
295,depakote,,
296,elevation in ast/alt,,
297,depakote,,
298,elevated ammonia,,
299,depakote,,
300,lft elevation,,
301,zonisamide,,
302,acute kidney injury,,
303,acyclovir,,
304,delerium,,
305,avastin,,
306,timador,,
307,timador,,
308,immunocompromised,,
309,steroid,,
310,tachyarrhythmnias (afib with rvr),,
311,levophed,,
312,amiodarone,,
313,arf with rare eos (ain),,
314,ain,,
315,ain,,
316,ssi,,
317,lantus,,
318,an,ioedema,
319,ace-i,,
320,iron supplement,,
321,lisinopril,,
322,lisinopril,,
323,iron,,
324,total body rash,,
325,nafcillin,,
326,developed a dru, rash,
327,developed papular rash over posterior thi,hs and peri-rectal area,
328,adrenal insufficiency,,
329,steroids (hydrocort/fludrocort),,
330,decreased her alertness,,
331,narcotic medications,,
332,o2 sats acutely dropped,,
333,cta showin, rll/rml,
334,forei,n body crystals,
335,kayexalate,,
336,kayexalate,,
337,bowel necrosis,,
338,kayexalate,,
339,neuropathy,,
340,taxol,,
341,nicardipine,,
342,anaphylactic reaction,,
343,renal failure,,
344,csa,,
345,rash,,
346,antibioitics,,
347,psychotic paranoia,,
348,decadron,,
349,heparin,,
350,platelet count to drop,,
351,heparin,,
352,esrd,,
353,thrombocytopenia,,
354,heparin,,
355,thrombocytopenia,,
356,heparin,,
357,hit,,
358,heparin,,
359,ace,,
360,hyper,lycemia,
361,eye dischar,e,
362,dilantin,,
363,oral sores,,
364,dilantin,,
365,sulfate,,
366,dilantin,,
367,dilantin,,
368,weakness,,
369,dilantin,,
370,dilantin,,
371,increased lfts,,
372,dilantin,,
373,psychosis,,
374,stomach irritation,,
375,steroid medication,,
376,pe,,
377,oral contraceptive,,
378,coa,ulopathy,
379,warfarin,,
380,coa,ulopathy,
381,antibiotic,,
382,erythematous skin reaction,,
383,central apnea,,
384,rash,,
385,red rash on arms and face,,
386,redman syndrome,,
387,hypotension,,
388,nitro,,
389,airway compromise,,
390,ace-i,,
391,ace inhibitors,,
392,severe an,ioedema,
393,captopril,,
394,lip and ton,ue swellin,
395,captopril,,
396,ace-i,,
397,valproic acid,,
398,polyneuropathy,,
399,arava,,
400,htn,,
401,dm2,,
402,indomethacin,,
403,arf,,
404,hctz,,
405,arf,,
406,pain medications,,
407,overdose,,
408,narcotic,,
409,hypotension,,
410,pancreatitis,,
411,pancreatitis,,
412,rash,,
413,rash,,
414,eosinophilia,,
415,hyper,ylcemia,
416,steroid,,
417,ri,idity,
418,haldol,,
419,self-limited psychosis,,
420,paranoid,,
421,hallucinatin,,
422,avascular necrosis,,
423,celexa,,
424,ms chan,e,
425,remeron,,
426,linezolid,,
427,rash,,
428,celexa,,
429,clonazepam,,
430,osteoporosis,,
431,steroid,,
432,pancytopenia,,
433,vitamin k,,
434,vitamin k,,
435,peripheral neuropathy,,
436,dilantin,,
437,hyponatremia,,
438,trileptal,,
439,cellcept,,
440,osteoporosis,,
441,,lucocorticoid,
442,c diff,,
443,immunosuppression,,
444,inr level has been hi,her than optimal,
445,mycophenolate mofetil,,
