,Facility,CC,CC Description,1/1/19 Fee
0,PSYCH,10000747,POC URINE DIPSTICK W/O MICRO,36.00
1,PSYCH,10000748,URINALYSIS SCREEN MANUAL,26.00
2,PSYCH,10000750,URINALYSIS AUTO W/O MICRO,69.00
3,PSYCH,10000751,URINE MICROSCOPIC,37.00
4,PSYCH,10000753,POC-URINE DIPSTICK PREGNANCY,88.00
5,PSYCH,10000754,URINE DIPSTICK PREGNANCY,126.00
6,PSYCH,10000757,ACETAMINOPHIN,279.00
7,PSYCH,10000759,ACETONE SERUM QUANTITATIVE,74.00
8,PSYCH,10000763,ACTH,370.00
9,PSYCH,10000764,"ALBUMIN, SERUM",74.00
10,PSYCH,10000766,MICROALBUMIN URINE,121.00
11,PSYCH,10000769,ALCOHOL SCREEN (ETHANOL),193.00
12,PSYCH,10000770,ALDOLASE,111.00
13,PSYCH,10000771,ALDOSTERONE,232.00
14,PSYCH,10000776,"AFP, MATERNAL SCREEN",92.00
15,PSYCH,10000781,AMINO ACIDS QUANTITATIVE SNGL,96.00
16,PSYCH,10000782,AMINOLEVULINIC ACID,106.00
17,PSYCH,10000784,AMMONIA,141.00
18,PSYCH,10000787,AMYLASE,112.00
19,PSYCH,10000791,ANDROSTENEDIONE,180.00
20,PSYCH,10000793,ANGIOTENSIN CONVERTING ENZYME,149.00
21,PSYCH,10000796,ARSENIC,112.00
22,PSYCH,10000803,"BILE ACIDS, TOTAL",88.00
23,PSYCH,10000804,BILIRUBIN TOTAL,97.00
24,PSYCH,10000805,BILIRUBIN DIRECT,87.00
25,PSYCH,10000813,OCCULT BLOOD FECAL IMMUNOASSAY,76.00
26,PSYCH,10000816,"VITAMIN D, 25-OH",246.00
27,PSYCH,10000818,CALCIUM SERUM,80.00
28,PSYCH,10000819,CALCIUM IONIZED,98.00
29,PSYCH,10000829,CEA,245.00
30,PSYCH,10000832,CATECHOLAMINES FRACT BLOOD,281.00
31,PSYCH,10000834,CERULOPLASMIN,147.00
32,PSYCH,10000837,CHLORIDE BLOOD,90.00
33,PSYCH,10000839,CHLORIDE URINE,90.00
34,PSYCH,10000842,CHOLESTEROL,95.00
35,PSYCH,10000846,HPLC QUANTITATIVE,252.00
36,PSYCH,10000853,COPPER,151.00
37,PSYCH,10000856,"CORTISOL, FREE",185.00
38,PSYCH,10000857,"CORTISOL, SALIVARY",201.00
39,PSYCH,10000858,"CORTISOL, TOTAL",201.00
40,PSYCH,10000860,CK TOTAL,98.00
41,PSYCH,10000861,CK ISOENZYMES,70.00
42,PSYCH,10000863,CK MB FRACTION,225.00
43,PSYCH,10000865,CREATININE BLOOD,79.00
44,PSYCH,10000867,CREATININE OTHER SOURCE,79.00
45,PSYCH,10000868,CREATININE URINE,79.00
46,PSYCH,10000870,CREATININE CLEARANCE,133.00
47,PSYCH,10000874,VITAMIN B-12,181.00
48,PSYCH,10000876,DHEA,244.00
49,PSYCH,10000877,DHEA SULFATE,229.00
50,PSYCH,10000880,"VITAMIN D, 1, 25-DIHYDROXY",254.00
51,PSYCH,10000885,ESTRADIOL,207.00
52,PSYCH,10000890,"FAT, FECAL QUANTITATIVE",222.00
53,PSYCH,10000891,VERY LONG CHAIN FATTY ACIDS,389.00
54,PSYCH,10000892,FERRITIN,151.00
55,PSYCH,10000894,"FOLIC ACID, SERUM",249.00
56,PSYCH,10000895,"FOLIC ACID, RBC",208.00
57,PSYCH,10000903,PH BLOOD,84.00
58,PSYCH,10000916,"GLUCOSE, BLOOD",76.00
59,PSYCH,10000919,"GTT, 3 SPECIMENS",207.00
60,PSYCH,10000920,"GTT, EACH ADDL SPECIMEN",69.00
61,PSYCH,10000923,POC GLUCOSE - METER METHOD,25.00
62,PSYCH,10000924,GGT,127.00
63,PSYCH,10000926,FSH,232.00
64,PSYCH,10000927,LUTEINIZING HORMONE,234.00
65,PSYCH,10000929,HAPTOGLOBIN,112.00
66,PSYCH,10000933,"HEMOGLOBIN ELECTRO, ALKALINE",200.00
67,PSYCH,10000934,HEMOGLOBIN ELECTROPH QUANT,200.00
68,PSYCH,10000938,HEMOGLOBIN A1C,143.00
69,PSYCH,10000942,HEMOSIDERIN QUALITATIVE,71.00
70,PSYCH,10000946,HOMOCYSTEINE,276.00
71,PSYCH,10000947,"HYDROXYCORTICOSTEROIDS, 17",149.00
72,PSYCH,10000953,ANTI-GLIADIN IGA,153.00
73,PSYCH,10000954,ANTI-GLIADIN IGG,176.00
74,PSYCH,10000968,TISSUE TRANGLUTINASE AB,132.00
