,category,paperid,date,num_authors,title
0,ecology,454603,2018/10/29,5,Identifying priority conservation areas for recovering large carnivores using citizen science data
1,ecology,389940,2018/10/26,1,"Preliminary prediction of the potential distribution and consequences of Haemaphysalis longicornis (Ixodida: Ixodidae) in the United States and North America, using a simple rule-based climate envelope model"
2,ecology,454454,2018/10/26,3,Climate drives spatial variation in Zika epidemics in Latin America
3,ecology,450189,2018/10/25,11,A comparison of visual features used by humans and machines to classify wildlife
4,ecology,445759,2018/10/25,3,Variation in tolerance to parasites in natural Asian tiger mosquito populations and its effect on vectorial capacity
5,ecology,426007,2018/10/25,2,Environmental oscillations favor the evolution of adaptive transgenerational plasticity
6,ecology,453001,2018/10/25,6,Asymmetric dispersal is a critical element of concordance between biophysical dispersal models and spatial genetic structure in Great Barrier Reef corals
7,ecology,453159,2018/10/25,6,Characterizing noncompliance in conservation: a multidimensional Randomized Response Technique for multinomial responses.
8,ecology,453217,2018/10/25,2,Chronosequence and direct observation approaches reveal complementary community dynamics in a novel ecosystem
9,ecology,452847,2018/10/24,3,"A survey of fishes of Hombolo Lake, Dodoma, Tanzania, with evidence for local extinction of a native tilapia as a consequence of stocking"
10,ecology,70946,2016/11/02,5,Simulations of biomass dynamics in community food webs
11,ecology,76059,2016/11/02,2,Parasite-microbiota interactions potentially affect intestinal communities in wild mammals
12,ecology,84178,2016/10/28,2,The need to include phylogeny in trait-based analyses of community composition
13,ecology,83451,2016/10/26,3,Trajectories: how functional traits influence plant growth and shade tolerance across the life-cycle
14,ecology,83089,2016/10/25,2,Exact probabilities for the indeterminacy of complex networks as perceived through press perturbations
15,ecology,82271,2016/10/21,4,"Bees Without Flowers: Before Peak Bloom, Diverse Native Bees Visit Insect-produced Honeydew Sugars"
16,ecology,82115,2016/10/20,4,Quantifying predator dependence in the functional response of generalist predators.
17,ecology,81489,2016/10/18,7,Extinction rate has a complex and non-linear relationship with area
18,ecology,25742,2016/10/17,3,Do we need demographic data to forecast plant population dynamics?
19,ecology,77768,2016/10/17,5,Dynamics of the bacterial community associated with Phaeodactylum tricornutum cultures
20,ecology,273664,2018/02/28,2,Towards a unification of niche and neutral models of community ecology
21,ecology,273490,2018/02/28,3,Does Borrelia burgdorferi sensu lato facilitate the colonisation of marginal habitats by Ixodes ricinus? A correlative study in the Swiss Alps
22,ecology,226860,2018/02/27,7,Niche separation increases with genetic distance among bloom-forming cyanobacteria
23,ecology,271635,2018/02/26,9,Microzooplankton distribution in the Amundsen Sea Polynya (Antarctica) during an extensive Phaeocystis antarctica bloom
24,ecology,271395,2018/02/26,4,"Biased parasitoid sex ratios: Wolbachia, functional traits, local and landscape effects"
25,ecology,271791,2018/02/26,5,One man's trash is another man's treasure - the effect of bacteria on phytoplankton-zooplankton interactions in chemostat systems
26,ecology,271809,2018/02/26,4,Worldwide cross-ecosystem carbon subsidies and their contribution to ecosystem functioning
27,ecology,270900,2018/02/23,3,The dynamic tumor ecosystem: how cell turnover and trade-offs affect cancer evolution
28,ecology,165548,2018/02/25,14,Spores and soil from six sides: interdisciplinarity and the environmental biology of anthrax (Bacillus anthracis)
29,ecology,224071,2018/02/25,5,"Impacts of predators, habitat, recruitment, and disease on soft-shell clams Mya arenaria and stout razor clams Tagelus plebeius in Chesapeake Bay"
30,ecology,391847,2018/08/15,4,"Forecasting the global extent of invasion of the cereal pest Spodoptera frugiperda, the fall armyworm"
31,ecology,387753,2018/08/15,3,Superior dispersal ability leads to persistent ecological dominance by Candida pseudoglaebosa in the Sarracenia purpurea metacommunity
32,ecology,384115,2018/08/14,10,Understanding and predicting extreme wildfires in the contiguous United States
33,ecology,391714,2018/08/14,3,Loss of leaf-out and flowering synchrony under global warming
34,ecology,351692,2018/08/14,1,Potential impacts of transport infrastructure and traffic on bird conservation in Swedish Special Protection Areas
35,ecology,390138,2018/08/13,2,"A national 'safe and just operating space' for all in India: Past, Present and Future"
36,ecology,390930,2018/08/13,7,Predicting provenance of forensic soil samples: soil DNA predicts habitat and environmental properties
37,ecology,220186,2018/08/10,7,Evaluation of nutrient stoichiometric relationships amongst ecosystem compartments of a subtropical treatment wetland. Fine-scale analysis of wetland nutrient stoichiometry.
38,ecology,387795,2018/08/09,8,Resolving the individual contribution of key microbial populations to enhanced biological phosphorus removal with Raman-FISH
39,ecology,388835,2018/08/09,3,Understanding narwhal diving behaviour using Hidden Markov Models with dependent state distributions and long range dependence
40,ecology,211573,2017/10/30,3,Pharaoh ant colonies dynamically regulate colony demography by culling young queen and male-destined larvae
41,ecology,210765,2017/10/29,6,Heritable plant phenotypes track light and herbivory levels at fine spatial scales
42,ecology,210690,2017/10/28,3,An empirical test of the temperature dependence of carrying capacity
43,ecology,209460,2017/10/28,4,Hydraulic constraints of reproduction do not explain sexual dimorphism in the genus Leucadendron (Proteaceae)
44,ecology,150011,2017/10/27,9,Kin competition accelerates experimental range expansion in an arthropod herbivore
45,ecology,150649,2017/10/26,6,Mapping the ecological networks of microbial communities
46,ecology,209502,2017/10/26,5,mobsim: An R package for the simulation and measurement of biodiversity across spatial scales
47,ecology,208215,2017/10/26,4,Mutualistic acacia-ants show that specialized bacteria are not required for the evolution of herbivory
48,ecology,207373,2017/10/23,5,Contribution of transition and stabilization processes to speciation is a function of the ancestral trait state and selective environment in Hakea
49,ecology,72017,2017/10/23,6,"Trends in dissolved organic matter cycling, sediment microbiomes, and methylmercury production across vegetation heterogeneity in a Great Lakes wetland"
50,ecology,14605,2015/01/30,4,Multi-trait eco-evolutionary dynamics explain niche diversity and evolved neutrality in forests
51,ecology,13680,2015/01/11,1,Evolutionary processes make invasion speed difficult to predict
52,ecology,8813,2015/01/07,1,The dark side of theoretical ecology
53,ecology,11742,2014/12/23,2,Flies Infected by Zombie Fungi in an Urban Fragment
54,ecology,10041,2014/12/22,11,Bacterial diversity along a 2 600 km river continuum
55,ecology,13086,2014/12/22,3,Real-world Interaction Networks Buffer Impact of Small Evolutionary Shifts On Biodiversity
56,ecology,12666,2014/12/14,15,Connecting people and ideas from around the world: global innovation platforms for next-generation ecology and beyond
57,ecology,12104,2014/12/03,1,A mechanistic model of the S-shaped population growth
58,ecology,11932,2014/11/29,10,An Integrated Modelling Framework for the Forest-based Bioeconomy
59,ecology,11965,2014/11/29,2,Estimating the effects of water-induced shallow landslides on soil erosion
60,ecology,33274,2016/05/10,2,Immigration rates during population density reduction in a coral reef fish
61,ecology,52357,2016/05/10,2,Impacts of white-tailed deer on regional patterns of forest tree recruitment
62,ecology,25494,2016/05/07,6,"Inferring social structure and its drivers from refuge use in the desert tortoise, a relatively solitary species"
63,ecology,51482,2016/05/05,4,"Maximum intrinsic rate of population increase in sharks, rays, and chimaeras: the importance of survival to maturity"
64,ecology,51805,2016/05/05,5,"Lysis, Lysogeny, and Virus-Microbe Ratios"
65,ecology,51581,2016/05/03,3,Inferring phage-bacteria infection networks from time series data
66,ecology,51532,2016/05/03,4,Elevated nonlinearity as indicator of transition to overexploitation in fish stocks
67,ecology,26765,2016/04/29,6,Species range expansion constrains the ecological niches of resident butterflies.
68,ecology,50062,2016/04/28,6,Effects of elevated CO2 on predator avoidance behaviour by reef fishes is not altered by experimental test water
69,ecology,45468,2016/04/20,3,The power and pitfalls of Dirichlet-multinomial mixture models for ecological count data
70,ecology,98806,2017/10/12,6,Comparing three types of dietary samples for prey DNA decay in an insect generalist predator
71,ecology,201723,2017/10/11,4,Asymmetric migration decreases stability but increases resilience in a heterogeneous metacommunity
72,ecology,197707,2017/10/11,3,An agent-based model of the Foraging Ascomycete Hypothesis
73,ecology,154245,2017/10/10,6,Can a red wood-ant nest be a trap for fault-related CH4 micro-seepage? A case study from continuous short-term in-situ sampling
74,ecology,200212,2017/10/09,3,The geometry of the distance-decay of similarity in ecological communities
75,ecology,200097,2017/10/09,5,Distress feeding of depredatory birds in Sunflower and Sorghum protected by bioacoustics
76,ecology,199802,2017/10/07,3,Temperature and Water Quality-Related Patterns in Sediment-Associated Symbiodinium Communities Impact Symbiont Uptake and Fitness of Juvenile Acroporid Corals
77,ecology,127472,2017/10/07,3,Predation of stocked salmon by riparian wildlife in semi-natural stream
78,ecology,199208,2017/10/06,7,Demonstration of the potential of environmental DNA as a tool for the detection of avian species
79,ecology,42341,2017/10/05,6,"Oomycetes during 120,000 years of temperate rainforest ecosystem development"
80,ecology,204750,2017/10/17,3,Free Aerial Imagery as a Resource to Monitor Compliance with the Endangered Species Act
81,ecology,60038,2017/10/16,2,Factors affecting genetic connectivity and diversity of the island night lizard.
82,ecology,203869,2017/10/16,2,"Atmospheric CO2 availability does not equate to increased nodularin production in diazotrophic cyanobacteria, but does induce varying responses in net photosynthesis and N2 fixation rates."
83,ecology,203885,2017/10/16,4,Coral reef carbonate budgets and ecological drivers in the naturally high temperature and high alkalinity environment of the Red Sea
84,ecology,111617,2017/10/16,7,Community evolution increases plant productivity at low diversity
85,ecology,105486,2017/10/15,10,Carbon inputs from riparian vegetation limit oxidation of physically-bound organic carbon via biochemical and thermodynamic processes
86,ecology,79046,2017/10/13,17,Role of monkeys in the sylvatic cycle of chikungunya virus in Senegal
87,ecology,201632,2017/10/13,2,Fitting functional responses: Direct parameter estimation by simulating differential equations
88,ecology,183897,2017/10/12,2,Stochastic microbial community assembly decreases biogeochemical function
89,ecology,162362,2017/10/12,9,Attributing the variability in direction and magnitude of local-scale marine biodiversity change to human activities
90,ecology,237891,2018/02/06,5,Going through the motions: incorporating movement analyses into disease research
