,OID,Name,NCI Codelist Code,Data Type,Order,Term,NCI Term Code,Decoded Value
0,CL.ACN,Action Taken with Study Treatment,C66767,text,1.0,DOSE NOT CHANGED,C49504,
1,CL.ACN,Action Taken with Study Treatment,C66767,text,2.0,DOSE REDUCED,C49505,
2,CL.ACN,Action Taken with Study Treatment,C66767,text,3.0,DRUG INTERRUPTED,C49501,
3,CL.ACN,Action Taken with Study Treatment,C66767,text,4.0,DRUG WITHDRAWN,C49502,
4,CL.AE.DOMAIN,Domain Abbreviation (AE),C66734,text,,AE,C49562,Adverse Events
5,CL.AEENRF,Relation to Reference Period (AEENRF),C66728,text,,AFTER,C38008,
6,CL.AEREL,Causality,,text,,NOT RELATED,,
7,CL.AEREL,Causality,,text,,POSSIBLY RELATED,,
8,CL.AEREL,Causality,,text,,RELATED,,
9,CL.AESEV,Severity/Intensity Scale for Adverse Events,C66769,text,,MILD,C41338,Grade 1
10,CL.AESEV,Severity/Intensity Scale for Adverse Events,C66769,text,,MODERATE,C41339,Grade 2
11,CL.AESEV,Severity/Intensity Scale for Adverse Events,C66769,text,,SEVERE,C41340,Grade 3
12,CL.ARM,Description of Planned Arm,,text,,Miracle Drug 10 mg,,
13,CL.ARM,Description of Planned Arm,,text,,Miracle Drug 20 mg,,
14,CL.ARM,Description of Planned Arm,,text,,Placebo,,
15,CL.ARM,Description of Planned Arm,,text,,Screen Failure,,
16,CL.ARMCD,Planned Arm Code,,text,3.0,PLACEBO,,Placebo
17,CL.ARMCD,Planned Arm Code,,text,4.0,SCRNFAIL,,Screen Failure
18,CL.ARMCD,Planned Arm Code,,text,1.0,WONDER10,,Miracle Drug 10 mg
19,CL.ARMCD,Planned Arm Code,,text,2.0,WONDER20,,Miracle Drug 20 mg
20,CL.CGIIMP_X,Global Improvement,,integer,,1,,Very much improved
21,CL.CGIIMP_X,Global Improvement,,integer,,2,,Much Improved
22,CL.CGIIMP_X,Global Improvement,,integer,,3,,Minimally Improved
23,CL.CGIIMP_X,Global Improvement,,integer,,4,,No change
24,CL.CGIIMP_X,Global Improvement,,integer,,5,,Minimally worse
25,CL.CGIIMP_X,Global Improvement,,integer,,6,,Much worse
26,CL.CGIIMP_X,Global Improvement,,integer,,7,,Very much worse
27,CL.CM.DOMAIN,Domain Abbreviation (CM),C66734,text,,CM,C49568,Concomitant Meds
28,CL.CMCAT,Category for Medication,,text,,CONCOMITANT MEDICATIONS,,
29,CL.CMCAT,Category for Medication,,text,,PSYCHOTROPHIC DRUG TREATMENT HISTORY,,
30,CL.CMENRF,Relation to Reference Period (CMENRF),C66728,text,,AFTER,C38008,
31,CL.CMUNIT,Unit (CM),C71620,text,1.0,CAPSULE,C48480,
32,CL.CMUNIT,Unit (CM),C71620,text,2.0,IU,C48579,
33,CL.CMUNIT,Unit (CM),C71620,text,13.0,Other,,
34,CL.CMUNIT,Unit (CM),C71620,text,3.0,TABLET,C48542,
35,CL.CMUNIT,Unit (CM),C71620,text,4.0,VIAL,C48551,
36,CL.CMUNIT,Unit (CM),C71620,text,5.0,g,C48155,
37,CL.CMUNIT,Unit (CM),C71620,text,6.0,mL,C28254,
38,CL.CMUNIT,Unit (CM),C71620,text,7.0,mL/hr,,
39,CL.CMUNIT,Unit (CM),C71620,text,8.0,mL/kg,C67411,
40,CL.CMUNIT,Unit (CM),C71620,text,9.0,mg,C28253,
41,CL.CMUNIT,Unit (CM),C71620,text,10.0,mg/kg,C67401,
42,CL.CMUNIT,Unit (CM),C71620,text,11.0,ug,C48152,
43,CL.CMUNIT,Unit (CM),C71620,text,12.0,ug/kg,C67396,
44,CL.CUE_EXPF_X,CUE_EXPF_X,,integer,,0,,Absent
