,Word,Parts
0,abacist,
1,abalone,
2,abampere,
3,abate,
4,abbas,
5,abbasid,
6,abbey,
7,abed,
8,abelard,
9,abelmosk,
10,abhorrence,
11,abhorrent,
12,ablative,
13,ablegate,
14,academically,academical=ly
15,academism,
16,academy,
17,acatalectic,a=catalectic
18,acaudal,a=caudal
19,acaudate,a=caudate
20,acaulescent,a=caulescent
21,accentor,
22,accessory,
23,accordion,
24,accusatival,accusative=al
25,acellular,a=cellular
26,acentric,a=centric
27,acephalous,a=cephalous
28,acerbate,
29,achiral,a=chiral
30,achlamydeous,a=chlamydeous
31,achondrite,a=chondrite
32,achondritic,a=chondritic
33,achromatic,a=chromatic
34,achromaticity,a=chromaticity
35,achromatin,a=chromatin
36,achromatism,a=chromatism
37,achromatize,
38,achromic,a=chromic
39,acock,a=cock
40,acockbill,a=cockbill
41,acoelomate,a=coelomate
42,acold,a=cold
43,acosmism,a=cosmism
44,acotyledon,a=cotyledon
45,acoustically,acoustical=ly
46,acoustician,acoustic=ian
47,active,
48,actual,
49,acyclic,a=cyclic
50,Adan,
51,Adeline,
52,adiposity,adipose=ity
53,adorn,
54,advertise,
55,advertisement,
56,aeromedicine,aero-medicine
57,aerometeorograph,aero-meteorograph
58,afrikanerdom,afrikaner=dom
59,afroasiatic,afro-asiatic
60,after,
61,agee,
62,agglutinogenic,agglutinogen=ic
63,aggravation,aggravate=ion
64,agon,
65,agonic,
66,agoraphobia,
67,agravic,
68,aintab,
69,aircraftman,aircraft-man
70,aircrewman,aircrew-man
71,airman,air-man
72,alabaster,
73,alamein,
74,alan,
75,alanine,
76,alas,
77,alastrim,
78,alat,
79,alate,
80,albacore,
81,albee,
82,alberich,
83,Albion,
84,alchemically,alchemical=ly
85,alcoholism,alcohol=ism
86,alderman,alder-man
87,aldohexose,
88,aleatory,
89,algebraically,algebraical=ly
90,algorism,
91,alible,
92,alienness,alien=ness
93,aliment,
94,alimentary,
95,alimentation,aliment=ation
96,Aline,
97,alist,
98,alistair,
99,alive,
100,alkalinize,
101,Allan,
102,Alleghenies,Allegheny=es
103,allhallowmas,
104,allhallows,
105,alliance,
106,Allier,
107,allomorphism,
108,allotypic,allotype=ic
109,alloway,
110,ally,
111,almagest,
112,almsman,alms-man
113,aloetic,
114,alphabet,
115,alphabetically,alphabetical=ly
116,alter,
117,altern,
118,alternate,
119,alternate,altern=ate
120,althorn,alt-horn
121,altman,alt-man
122,amate,
123,ambergris,
124,ambiguities,ambiguity=es
125,ambulatory,
126,ament,
127,amiable,
128,amicability,
129,amidine,
130,amman,
131,ammonal,
132,ammonification,
133,amniocentesis,
134,amoral,
135,amorist,
136,amorosity,amorous=ity
137,amorous,
138,amortize,
139,ampere,
140,ampullary,
141,amtrack,
142,amylopsin,
143,anaerobiosis,an-aerobiosis
144,anaerobiotic,an-aerobiotic
145,anal,
146,anamorphism,
147,anarchically,anarchical=ly
148,anarchism,
149,anarchist,
150,anarchy,
151,ancillary,
