,concept_id_1,concept_relationship_id,concept_id_2,target concept,invalid_reason,valid_start_date,valid_end_date
0,2000000001,Maps to,21494070.0,"(Birth year, Observation, LOINC)",,2020-01-01,2099-12-31
1,2000000001,Maps to unit,9448.0,"(Year, Unit, UCUM)",,2020-01-01,2099-12-31
2,2000000002,Maps to,44805437.0,"(Grip strength of left hand, Observation, SNOMED)",,2020-01-01,2099-12-31
3,2000000002,Maps to unit,9529.0,"(Kilogram, Unit, UCUM)",,2020-01-01,2099-12-31
4,2000000003,Maps to,44805438.0,"(Grip strength of right hand, Observation, SNOMED)",,2020-01-01,2099-12-31
5,2000000003,Maps to unit,9529.0,"(Kilogram, Unit, UCUM)",,2020-01-01,2099-12-31
6,2000000004,Maps to,4152194.0,"(Systolic blood pressure, Measurement, SNOMED)",,2020-01-01,2099-12-31
7,2000000004,Maps to unit,8876.0,"(Millimeter mercury column, Unit, UCUM)",,2020-01-01,2099-12-31
8,2000000005,Maps to,4154790.0,"(Diastolic blood pressure, Measurement, SNOMED)",,2020-01-01,2099-12-31
9,2000000005,Maps to unit,8876.0,"(Millimeter mercury column, Unit, UCUM)",,2020-01-01,2099-12-31
10,2000000006,Maps to,4301868.0,"(Pulse rate, Measurement, SNOMED)",,2020-01-01,2099-12-31
11,2000000006,Maps to unit,4118124.0,"(Beats/min, Unit, SNOMED)",,2020-01-01,2099-12-31
12,2000000007,Maps to,45770046.0,"(Number of previous live births, Observation, SNOMED)",,2020-01-01,2099-12-31
13,2000000008,Maps to,40759215.0,"(Birth weight [NHANES], Measurement, LOINC)",,2020-01-01,2099-12-31
14,2000000008,Maps to unit,8739.0,"(Pound (US), Unit, UCUM)",,2020-01-01,2099-12-31
15,2000000009,Maps to,3035266.0,"(Age at first pregnancy, Observation, LOINC)",,2020-01-01,2099-12-31
16,2000000009,Maps to unit,9448.0,"(Year, Unit, UCUM)",,2020-01-01,2099-12-31
17,2000000010,Maps to,,,,,
18,2000000010,Maps to unit,9448.0,"(Year, Unit, UCUM)",,2020-01-01,2099-12-31
19,2000000011,Maps to,,,,,
20,2000000011,Maps to unit,9448.0,"(Year, Unit, UCUM)",,2020-01-01,2099-12-31
21,2000000012,Maps to,,,,,
22,2000000012,Maps to unit,9448.0,"(Year, Unit, UCUM)",,2020-01-01,2099-12-31
23,2000000013,Maps to,,,,,
24,2000000013,Maps to unit,9448.0,"(Year, Unit, UCUM)",,2020-01-01,2099-12-31
25,2000000014,Maps to,40761397.0,"(Age when told have high blood pressure, Observation, LOINC)",,2020-01-01,2099-12-31
26,2000000014,Maps to unit,9448.0,"(Year, Unit, UCUM)",,2020-01-01,2099-12-31
27,2000000015,Maps to,40768838.0,"(At what age was diabetes first treated [PhenX], Observation, LOINC)",,2020-01-01,2099-12-31
28,2000000015,Maps to unit,9448.0,"(Year, Unit, UCUM)",,2020-01-01,2099-12-31
29,2000000016,Maps to,37055478.0,"(Peak expiratory flow, Measurement, LOINC)",,2020-01-01,2099-12-31
30,2000000016,Maps to unit,8698.0,"(Liter per minute, Unit, UCUM)",,2020-01-01,2099-12-31
31,2000000017,Maps to,,,,,
32,2000000017,Maps to unit,9448.0,"(Year, Unit, UCUM)",,2020-01-01,2099-12-31
33,2000000018,Maps to,,,,,
34,2000000018,Maps to unit,9448.0,"(Year, Unit, UCUM)",,2020-01-01,2099-12-31
35,2000000019,Maps to,40766910.0,"(At what age did asthma start [PhenX], Observation, LOINC)",,2020-01-01,2099-12-31
36,2000000019,Maps to unit,9448.0,"(Year, Unit, UCUM)",,2020-01-01,2099-12-31
37,2000000020,Maps to,,,,,
38,2000000020,Maps to unit,9448.0,"(Year, Unit, UCUM)",,2020-01-01,2099-12-31
39,2000000021,Maps to,40766902.0,"(At what age did chronic bronchitis start [PhenX], Observation, LOINC)",,2020-01-01,2099-12-31
40,2000000021,Maps to unit,9448.0,"(Year, Unit, UCUM)",,2020-01-01,2099-12-31
41,2000000022,Maps to,,,,,
42,2000000022,Maps to unit,9448.0,"(Year, Unit, UCUM)",,2020-01-01,2099-12-31
43,2000000023,Maps to,,,,,
44,2000000023,Maps to unit,9448.0,"(Year, Unit, UCUM)",,2020-01-01,2099-12-31
45,2000000024,Maps to,,,,,
46,2000000024,Maps to unit,9448.0,"(Year, Unit, UCUM)",,2020-01-01,2099-12-31
47,2000000025,Maps to,4152194.0,"(Systolic blood pressure, Measurement, SNOMED)",,2020-01-01,2099-12-31
48,2000000025,Maps to unit,8876.0,"(Millimeter mercury column, Unit, UCUM)",,2020-01-01,2099-12-31
49,2000000026,Maps to,4154790.0,"(Diastolic blood pressure, Measurement, SNOMED)",,2020-01-01,2099-12-31
50,2000000026,Maps to unit,8876.0,"(Millimeter mercury column, Unit, UCUM)",,2020-01-01,2099-12-31
51,2000000027,Maps to,4301868.0,"(Pulse rate, Measurement, SNOMED)",,2020-01-01,2099-12-31
52,2000000027,Maps to unit,4118124.0,"(Beats/min, Unit, SNOMED)",,2020-01-01,2099-12-31
53,2000000028,Maps to,,,,,
54,2000000028,Maps to unit,9448.0,"(Year, Unit, UCUM)",,2020-01-01,2099-12-31
55,2000000029,Maps to,,,,,
56,2000000029,Maps to unit,9448.0,"(Year, Unit, UCUM)",,2020-01-01,2099-12-31
57,2000000030,Maps to,4298431.0,"(White blood cell count, Measurement, SNOMED)",,2020-01-01,2099-12-31
58,2000000031,Maps to,4030871.0,"(Red blood cell count, Measurement, SNOMED)",,2020-01-01,2099-12-31
59,2000000032,Maps to,40480067.0,"(Measurement of total hemoglobin concentration, Measurement, SNOMED)",,2020-01-01,2099-12-31
60,2000000033,Maps to,4151358.0,"(Hematocrit determination, Measurement, SNOMED)",,2020-01-01,2099-12-31
61,2000000034,Maps to,4016239.0,"(Erythrocyte mean corpuscular volume determination, Measurement, SNOMED),NULL,2020-01-01,2099-12-31
2000000035,Maps to,4182871,(Mean corpuscular hemoglobin determination, Measurement, SNOMED)",,2020-01-01,2099-12-31
62,2000000036,Maps to,4290193.0,"(Mean corpuscular hemoglobin concentration determination, Measurement, SNOMED)",,2020-01-01,2099-12-31
63,2000000037,Maps to,4281085.0,"(Red cell distribution width determination, Measurement, SNOMED)",,2020-01-01,2099-12-31
64,2000000038,Maps to,4267147.0,"(Platelet count, Measurement, SNOMED)",,2020-01-01,2099-12-31
65,2000000039,Maps to,4097621.0,"(Platelet hematocrit measurement, Measurement, SNOMED)",,2020-01-01,2099-12-31
66,2000000040,Maps to,4192368.0,"(Platelet mean volume determination, Measurement, SNOMED)",,2020-01-01,2099-12-31
67,2000000041,Maps to,4097620.0,"(Platelet distribution width measurement, Measurement, SNOMED)",,2020-01-01,2099-12-31
68,2000000042,Maps to,4254663.0,"(Lymphocyte count, Measurement, SNOMED)",,2020-01-01,2099-12-31
