,Word,Tag
0,A,O
1,64-year-old,O
2,African,O
3,American,O
4,male,O
5,with,O
6,unknown,O
7,past,O
8,medical,O
9,history,O
10,arrived,O
11,in,O
12,the,O
13,trauma,O
14,bay,O
15,following,O
16,a,O
17,motor,I-PrimaryIssues
18,vehicle,I-PrimaryIssues
19,accident,I-PrimaryIssues
20,.,O
21,On,O
22,initial,O
23,evaluation,O
24,the,O
25,patient,O
26,was,O
27,alert,O
28,but,O
29,somewhat,
30,confused,
31,and,O
32,had,O
33,a,O
34,Glasgow,
35,Coma,
36,Scale,
37,(,
38,GCS,
39,),
40,of,
41,13,
42,.,O
43,Focused,
44,Assessment,
45,with,
46,Sonography,
47,in,
48,Trauma,
49,(,
50,FAST,
51,),
52,exam,
53,was,O
54,performed,O
55,immediately,O
56,following,O
57,the,O
58,primary,
59,survey,
60,and,O
61,found,O
62,to,O
63,be,O
64,positive,O
65,in,O
66,the,O
67,hepatorenal,O
68,space,O
69,.,O
70,The,O
71,patient,O
72,was,O
73,hemodynamically,
74,stable,
75,and,O
76,was,O
77,taken,O
78,for,O
79,further,
80,imaging,
81,including,O
82,CTs,
83,of,O
84,the,O
85,head,
86,cervical,
87,spine,
88,chest,
89,abdomen,
90,and,O
91,pelvis,
92,that,O
93,revealed,O
94,multiple,
95,injuries,
96,including,O
97,subarachnoid,
98,hemorrhage,
99,anterior,
100,left,
101,3rd,
102,–,
103,8th,
104,rib,
105,fractures,
106,right,
107,posterior,
108,1st,
109,–,
110,3rd,
111,rib,
112,fractures,
113,peri-hepatic,
114,and,O
115,peri-splenic,
116,hematomas,
117,and,O
118,a,
119,left,
120,lower,
121,quadrant,
122,mesenteric,
123,hematoma,
124,with,O
125,active,
126,extravasation,
127,.,O
128,The,O
129,patient,O
130,was,O
131,admitted,
132,to,
133,the,
134,ICU,
135,and,O
136,underwent,O
137,conservative,
138,management,
139,of,
140,mesenteric,
141,peri-hepatic,
142,and,O
143,peri-splenic,
144,hematomas,
145,.,O
146,On,O
147,hospital,O
148,day,O
149,6,O
150,the,O
151,patient,O
152,'s,O
153,mental,
154,status,
155,began,
156,to,
157,deteriorate,
158,prompting,O
159,an,O
160,immediate,
161,CT,
162,of,O
163,his,O
164,head,
165,and,O
166,EEG,
167,which,O
168,were,O
169,both,O
170,negative,
171,.,
172,A,O
173,repeat,O
174,CT,
175,abdomen,
176,and,O
177,pelvis,
178,study,
179,was,O
180,not,O
181,ordered,O
182,at,O
183,this,O
184,time,O
185,.,O
186,The,O
187,patient,
188,was,
189,thought,
190,to,
191,be,
192,experiencing,
193,post-traumatic,
194,encephalopathy,
195,and,
196,eventually,
197,declined,
198,to,
199,GCS,
200,3T,
201,.,
202,After,
203,discussion,
204,with,O
205,family,
206,,
207,the,O
208,decision,
209,was,
210,made,
211,to,
212,perform,
213,tracheostomy,
214,and,
215,laparoscopic,
216,gastrostomy,
217,tube,
218,placement,
219,.,
220,The,O
221,patient,
222,was,
223,prepped,
224,and,
225,draped,
226,in,O
227,usual,
228,sterile,
229,fashion,
230,and,
231,the,O
232,tracheostomy,
233,was,
234,performed,
235,first,
236,.,
237,We,
238,thenO,
239,turned,
240,our,
241,attention,
242,to,
243,the,O
244,patient,
245,'s,
246,abdomen,
247,for,
248,laparoscopic,
249,gastrostomy,
250,tube,
251,placement,
252,.,
253,We,
254,began,
255,by,
256,gaining,
257,access,
258,to,
259,the,O
260,abdomen,
261,with,O
262,a,
263,Veress,
264,needle,
265,through,
266,Palmer,
267,'s,
268,point,
269,.,
270,The,O
271,abdomen,
272,was,
273,insufflated,
274,to,
275,15,
276,mmHg,
277,.,
278,The,O
279,patient,
280,thenO,
281,developed,
282,significant,
283,hypotension,
284,without,
285,a,
286,decrease,
287,in,O
288,end,
289,tidal,
290,carbon,
291,dioxide,
292,.,
293,We,
294,partially,
295,evacuated,
296,the,O
297,capnoperitoneum,
298,with,O
299,no,
300,improvement,
301,in,O
302,hemodynamic,
303,status,
304,.,
305,At,
306,this,
307,point,
308,,
309,we,
310,rapidly,
311,inserted,
312,the,O
313,laparoscope,
314,which,
315,showed,
316,widespread,
317,hemoperitoneum,
318,.,
319,We,
320,were,
321,unable,
322,to,
323,identify,
324,the,O
325,source,
326,laparoscopically,
327,and,
328,elected,
329,to,
330,convert,
331,to,
332,an,
333,open,
334,procedure,
335,.,
336,Upon,
337,opening,
338,the,O
339,abdomen,
340,,
341,we,
342,were,
343,easily,
344,able,
345,to,
346,identify,
347,an,
348,active,
349,splenic,
350,hemorrhage,
351,,
352,the,O
353,splenic,
354,capsule,
355,was,
356,not,
357,specifically,
358,noted,
359,at,
360,this,
361,time,
362,.,
363,The,O
364,spleen,
365,was,
366,rapidly,
367,medialized,
368,and,
369,the,O
370,hilum,
371,was,
372,controlled,
373,manually,
374,with,O
375,an,
376,immediate,
377,improvement,
378,in,O
379,blood,
380,pressure,
381,.,
382,The,O
383,spleen,
384,was,
385,removed,
386,using,
387,a,
388,GIA,
389,stapler,
390,and,
391,the,O
392,remainder,
393,of,
394,the,O
395,abdomen,
396,was,
397,inspected,
398,with,O
399,no,
400,furtherO,
401,injury,
402,noted,
403,.,
404,The,O
405,patient,
406,was,
407,transfused,
408,two,
409,units,
410,of,
411,packed,
412,red,
413,blood,
414,cells,
415,and,
416,taken,
417,to,
418,the,O
419,surgical,
420,intensive,
421,care,
422,unit,
423,.,
424,The,O
425,patient,
426,recovered,
427,and,
428,was,
429,ultimately,
430,discharged,
431,16,
432,days,
433,later,
434,.,
435,Pathology,
436,report,
437,of,
438,the,O
439,spleen,
440,described,
441,a,
442,“,
443,capsular,
444,laceration,
445,with,O
446,focal,
447,parenchymal,
448,hemorrhage,
449,”,
450,—,
451,this,
452,is,
453,approximated,
454,as,
455,a,
456,grade,
457,1,
458,splenic,
459,injury,
460,according,
461,to,
462,the,O
463,AAST-OIS,
464,splenic,
465,injury,
466,scale,
467,.,
468,A,
469,27-year-old,
470,elite-level,
471,rugby,
472,union,
473,player,
474,was,
475,participating,
476,in,O
477,an,
478,international,
479,test,
480,match,
481,and,
482,sustained,
483,a,
484,blow,
485,to,
486,his,
487,head,
488,from,
489,anotherO,
490,player,
491,'s,
492,knee,
493,.,
494,TherOe,
495,was,
496,no,
497,loss,
498,of,
499,consciousness,
500,or,
501,memory,
502,loss,
503,,
504,although,
505,immediately,
506,after,
507,impact,
508,the,O
509,patient,
510,reported,
511,feeling,
512,confused,
513,,
514,which,
515,resolved,
516,over,
517,several,
518,seconds,
519,.,
520,He,
521,continued,
522,playing,
523,for,
524,an,
525,additional,
526,15,
527,min,O
528,before,
529,alerting,
530,the,O
531,head,
532,team,
533,physician,
534,(,
535,MRS,
536,),
537,and,
538,match,
539,day,
540,doctor,
541,(,
542,JSA,
543,),
544,about,
545,vision,
546,changes,
547,in,O
548,his,
549,right,
550,eye,
551,and,
552,stating,
553,his,
554,left,
555,leg,
556,was,
557,“,
558,not,
559,responding,
560,properly,
561,”,
562,.,
563,Upon,
564,sideline,
565,evaluation,
566,,
567,his,
568,neurologic,
569,exam,
570,was,
571,normal,
572,despite,
573,the,O
574,patient,
575,'s,
576,subjective,
577,complaints,
578,.,
579,However,
580,,
581,his,
582,complaint,
583,of,
584,neurological,
585,deﬁcits,
586,prompted,
587,immediate,
588,application,
589,of,
590,a,
591,cervical,
592,collar,
593,and,
594,transport,
595,to,
596,the,O
597,nearest,
598,Level,
599,1,
600,trauma,
601,center,
602,for,
603,furtherO,
604,evaluation,
605,.,
606,The,O
607,decision,
608,for,
609,transport,
610,was,
611,based,
612,on,
613,his,
614,subjective,
615,neurological,
616,symptoms,
617,after,
618,a,
619,direct,
620,blow,
621,to,
622,the,O
623,head,
624,,
625,despite,
626,a,
627,normal,
628,examination,
629,.,
630,Upon,
631,arrival,
632,to,
633,the,O
634,emergency,
635,department,
636,the,O
637,player,
638,was,
639,hemodynamically,
640,stable,
641,with,O
642,a,
643,Glasgow,
644,Coma,
645,Scale,
646,(,
647,GCS,
648,),
649,of,
650,15,
651,.,
652,No,
653,otherO,
654,injuries,
655,were,
656,identiﬁed,
657,.,
658,His,
659,medical,
660,history,
661,included,
662,three,
663,documented,
664,head,
665,concussions,
666,that,
667,all,
668,responded,
669,to,
670,conservative,
671,measures,
672,with,O
673,no,
674,prolonged,
675,symptoms,
676,,
677,he,
678,had,
679,no,
680,otherO,
681,known,
682,head,
683,trauma,
684,.,
685,Additional,
686,history,
687,was,
688,relevant,
689,for,
690,minor,
691,musculoskeletal,
692,trauma,
693,,
694,including,
695,an,
696,acromioclavicular,
697,separation,
698,,
699,but,
700,no,
701,otherO,
702,medical,
703,conditions,
704,or,
705,comorbidities,
706,.,
707,On,
708,exam,
709,,
710,the,O
711,player,
712,could,
713,accurately,
714,recall,
715,the,O
716,event,
717,.,
718,The,O
719,neurological,
720,motor,
721,exam,
722,was,
723,unremarkable,
724,in,O
725,all,
726,four,
727,extremities,
728,,
729,including,
730,his,
731,left,
732,lower,
733,extremity,
734,.,
735,He,
736,had,
737,intact,
738,sensation,
739,to,
740,light,
741,touch,
742,in,O
743,his,
744,upper,
745,and,
746,lower,
747,extremities,
748,.,
749,Pupils,
750,were,
751,equal,
752,,
753,round,
754,,
755,and,
756,reactive,
757,to,
758,light,
759,.,
760,Extraocular,
761,movements,
762,and,
763,cranial,
764,nerves,
765,II,
766,-,
767,XII,
768,were,
769,intact,
770,.,
771,Emergent,
772,CT,
773,scan,
774,without,
775,contrast,
776,identiﬁed,
777,a,
778,crescent,
779,shaped,
780,extra-axial,
781,ﬂuid,
782,collection,
783,consistent,
784,with,O
785,a,
786,subdural,
787,hematoma,
788,and,
789,10,
790,mm,
791,midline,
792,shift,
793,.,
794,The,O
795,posterior,
796,and,
797,temporal,
798,horn,
799,of,
800,the,O
801,right,
802,ventricle,
803,were,
804,nearly,
805,completely,
806,effaced,
807,.,
808,The,O
809,posterior,
810,aspect,
811,of,
812,the,O
813,hematoma,
814,was,
815,hyperdense,
816,,
817,consistent,
818,with,O
819,an,
820,acute,
821,bleed,
822,,
823,while,
824,the,O
825,anterior,
826,half,
827,appeared,
828,isodense,
829,with,O
830,the,O
831,cerebral,
832,cortex,
833,.,
834,The,O
835,heterogeneous,
836,density,
837,likely,
838,represents,
839,unclotted,
840,blood,
841,anteriorly,
842,,
843,but,
844,could,
845,also,
846,reﬂect,
847,acute,
848,on,
849,chronic,
850,bleeding,
851,or,
852,cerebrospinal,
853,ﬂuid,
854,extravasation,
855,into,
856,the,O
857,subarachnoid,
858,space,
859,due,
860,to,
861,an,
862,arachnoid,
863,laceration,
864,.,
865,TherOe,
866,were,
867,no,
868,additional,
869,lesions,
870,noted,
871,.,
872,The,O
873,hospital,
874,'s,
875,neurosurgeon,
876,was,
877,immediately,
878,contacted,
879,and,
880,the,O
881,player,
882,underwent,
883,an,
884,emergent,
885,right,
886,frontoparietal,
887,craniotomy,
888,and,
889,hematoma,
890,evacuation,
891,.,
892,The,O
893,patient,
894,'s,
895,rehabilitation,
896,course,
897,included,
898,inpatient,
899,and,
900,outpatient,
901,physical,
902,therOapy,
903,,
904,ultimately,
905,making,
906,a,
907,full,
908,recovery,
909,without,
910,any,
911,neurological,
912,or,
913,cognitive,
914,deﬁcits,
915,.,
916,He,
917,subsequently,
918,retired,
919,from,
920,competitive,
921,rugby,
922,and,
923,has,
924,become,
925,a,
926,coach,
927,for,
928,a,
929,professional,
930,rugby,
931,club,
932,.,
933,A,
934,15-year-old,
935,woman,
936,was,
937,diagnosed,
938,with,O
939,osteogenesis,
940,imperfecta,
941,(,
942,Sillence,
943,Type,
944,I,
945,),
946,at,
947,a,
948,regional,
949,reference,
950,pediatric,
951,hospital,
952,.,
953,Although,
954,a,
955,genetic,
956,characterization,
957,of,
958,the,O
959,disease,
960,is,
961,currently,
962,underway,
963,and,
964,the,O
965,patient,
966,never,
967,underwent,
968,a,
969,bone,
970,density,
971,test,
972,,
973,she,
974,expresses,
975,the,O
976,same,
977,phenotypic,
978,traits,
979,as,
980,her,
981,motherO,
982,,
983,who,
984,suffers,
985,from,
986,autosomal,
987,dominant,
988,OI,
989,.,
990,Following,
991,a,
992,fall,
993,from,
994,a,
995,chair,
996,during,
997,an,
998,epileptic,
999,seizure,
1000,,
1001,the,O
1002,young,
1003,patient,
1004,came,
1005,to,
1006,our,
1007,observation,
1008,.,
1009,Medical,
1010,history,
1011,did,
1012,not,
1013,predict,
1014,any,
1015,otherO,
1016,fractures,
1017,.,
1018,She,
1019,was,
1020,not,
1021,taking,
1022,bisphosphonates,
1023,before,
1024,the,O
1025,injury,
1026,but,
1027,she,
1028,was,
1029,taking,
1030,valproic,
1031,acid,
1032,for,
1033,epilepsy,
1034,.,
1035,On,
1036,physical,
1037,examination,
1038,the,O
1039,patient,
1040,had,
1041,blue,
1042,sclera,
1043,,
1044,bilateral,
1045,ipoacusia,
1046,,
1047,inability,
1048,to,
1049,ambulate,
1050,,
1051,and,
1052,absolute,
1053,impossibility,
1054,to,
1055,active,
1056,and,
1057,passive,
1058,motion,
1059,of,
1060,both,
1061,hips,
1062,due,
1063,to,
1064,pain,O
1065,.,
1066,The,O
1067,imaging,
1068,showed,
1069,acetabular,
1070,fractures,
1071,,
1072,which,
1073,were,
1074,classiﬁed,
1075,as,
1076,associated,
1077,both,
1078,column,
1079,fractures,
1080,with,O
1081,protrusio,
1082,acetabuli,
1083,.,
1084,Three,
1085,dimensional,
1086,reconstructed,
1087,computed,
1088,tomography,
1089,(,
1090,CT,
1091,),
1092,examination,
1093,revealed,
1094,a,
1095,greater,
1096,degree,
1097,of,
1098,comminution,
1099,and,
1100,displacement,
1101,than,
1102,could,
1103,be,
1104,appreciated,
1105,on,
1106,the,O
1107,plain,O
1108,radiographs,
1109,.,
1110,Once,
1111,informed,
1112,consent,
1113,was,
1114,obtained,
1115,from,
1116,the,O
1117,patient,
1118,and,
1119,her,
1120,parents,
1121,,
1122,the,O
1123,preoperative,
1124,preparation,
1125,by,
1126,the,O
1127,orthopaedic,
1128,and,
1129,anaesthesOia,
1130,team,
1131,consisted,
1132,in,O
1133,typing,
1134,and,
1135,cross,
1136,matching,
1137,eight,
1138,units,
1139,of,
1140,packed,
1141,red,
1142,blood,
1143,cells,
1144,,
1145,fresh,
1146,frozen,
1147,plasma,
1148,,
1149,cryoprecipitate,
1150,,
1151,desmopressin,O
1152,,
1153,and,
1154,interoperative,
1155,cell,
1156,salvage,
1157,capability,
1158,available,
1159,for,
1160,the,O
1161,operation,
1162,.,
1163,On,
1164,the,O
1165,ﬁfth,
1166,post-trauma,
1167,day,
1168,,
1169,considering,
1170,the,O
1171,young,
1172,age,
1173,of,
1174,the,O
1175,patient,
1176,,
1177,the,O
1178,comorbidities,
1179,and,
1180,the,O
1181,operative,
1182,duration,
1183,,
1184,we,
1185,opted,
1186,for,
1187,the,O
1188,ﬁxation,
1189,of,
1190,the,O
1191,acetabula,
1192,in,O
1193,two,
1194,surgical,
1195,steps,
1196,.,
1197,At,
1198,ﬁrst,
1199,,
1200,we,
1201,performed,
1202,ORIF,
1203,of,
1204,bilateral,
1205,posterior,
1206,columns,
1207,via,
1208,Iselin,O
1209,approach,
1210,.,
1211,A,
1212,pelvic,
1213,reconstruction,
1214,plate,
1215,was,
1216,shaped,
1217,and,
1218,positioned,
1219,along,
1220,the,O
1221,perimeter,
1222,of,
1223,the,O
1224,pelvis,
1225,until,
1226,its,
1227,ﬁxation,
1228,.,
1229,The,O
1230,patient,
1231,was,
1232,extremely,
1233,osteopenic,
1234,,
1235,bones,
1236,were,
1237,very,
1238,fragile,
1239,,
1240,and,
1241,the,O
1242,reduction,
1243,obtained,
1244,from,
1245,the,O
1246,fracture,
1247,was,
1248,the,O
1249,best,
1250,possible,
1251,given,
1252,the,O
1253,starting,
1254,conditions,
1255,.,
1256,Since,
1257,on,
1258,the,O
1259,right,
1260,side,
1261,the,O
1262,posterior,
1263,synthesOis,
1264,alone,
1265,appeared,
1266,insufficient,
1267,to,
1268,guarantee,
1269,a,
1270,lasting,
1271,reduction,
1272,of,
1273,the,O
1274,femoral,
1275,head,
1276,in,O
1277,the,O
1278,acetabulum,
1279,,
1280,we,
1281,drilled,
1282,a,
1283,Kirschner,
1284,wire,
1285,to,
1286,provide,
1287,stable,
1288,ﬁxation,
1289,and,
1290,to,
1291,avoid,
1292,possible,
1293,future,
1294,dislocations,
1295,.,
1296,The,O
1297,second,
1298,surgical,
1299,step,
1300,was,
1301,performed,
1302,on,
1303,post-injury,
1304,day,
1305,ten,
1306,via,
1307,a,
1308,bilateral,
1309,modiﬁed,
1310,Stoppa,
1311,approach,
1312,and,
