,Word,Tag
0,A,
1,64-year-old,
2,African,
3,American,
4,male,
5,with,
6,unknown,
7,past,
8,medical,
9,history,
10,arrived,
11,in,
12,the,
13,trauma,
14,bay,
15,following,
16,a,
17,motor,
18,vehicle,
19,accident,
20,.,
21,On,
22,initial,
23,evaluation,
24,the,
25,patient,
26,was,
27,alert,
28,but,
29,somewhat,
30,confused,
31,and,
32,had,
33,a,
34,Glasgow,
35,Coma,
36,Scale,
37,(,
38,GCS,
39,),
40,of,
41,13,
42,.,
43,Focused,
44,Assessment,
45,with,
46,Sonography,
47,in,
48,Trauma,
49,(,
50,FAST,
51,),
52,exam,
53,was,
54,performed,
55,immediately,
56,following,
57,the,
58,primary,
59,survey,
60,and,
61,found,
62,to,
63,be,
64,positive,
65,in,
66,the,
67,hepatorenal,
68,space,
69,.,
70,The,
71,patient,
72,was,
73,hemodynamically,
74,stable,
75,and,
76,was,
77,taken,
78,for,
79,further,
80,imaging,
81,including,
82,CTs,
83,of,
84,the,
85,head,
86,cervical,
87,spine,
88,chest,
89,abdomen,
90,and,
91,pelvis,
92,that,
93,revealed,
94,multiple,
95,injuries,
96,including,
97,subarachnoid,
98,hemorrhage,
99,anterior,
100,left,
101,3rd,
102,–,
103,8th,
104,rib,
105,fractures,
106,right,
107,posterior,
108,1st,
109,–,
110,3rd,
111,rib,
112,fractures,
113,peri-hepatic,
114,and,
115,peri-splenic,
116,hematomas,
117,and,
118,a,
119,left,
120,lower,
121,quadrant,
122,mesenteric,
123,hematoma,
124,with,
125,active,
126,extravasation,
127,.,
128,The,
129,patient,
130,was,
131,admitted,
132,to,
133,the,
134,ICU,
135,and,
136,underwent,
137,conservative,
138,management,
139,of,
140,mesenteric,
141,peri-hepatic,
142,and,
143,peri-splenic,
144,hematomas,
145,.,
146,On,
147,hospital,
148,day,
149,6,
150,the,
151,patient,
152,'s,
153,mental,
154,status,
155,began,
156,to,
157,deteriorate,
158,prompting,
159,an,
160,immediate,
161,CT,
162,of,
163,his,
164,head,
165,and,
166,EEG,
167,which,
168,were,
169,both,
170,negative,
171,.,
172,A,
173,repeat,
174,CT,
175,abdomen,
176,and,
177,pelvis,
178,study,
