,FACT,SOURCE,LANG
0,15 people die in the U.S. every year from dog bites,3.0,en
1,30% of Dalmatians are deaf in one ear,1.0,en
2,45% of dogs sleep in their owner's bed (we're pretty sure a large percentage also hog the blankets!),4.0,en
3,58% of people put pets in family and holiday portraits,3.0,en
4,"62% of U.S. households own a pet, which equates to almost 73 million homes.",4.0,en
5,70% of people sign their pet's name on greeting and holiday cards,3.0,en
6,87% of dog owners say their dog curls up beside them or at their feet while they watch TV,3.0,en
7,A blind man and his guide dog hiked the Appalachian Trail,1.0,en
8,A Bloodhound's sense of smell can be used as evidence in court,1.0,en
9,"According to a poll, 72% of dog owners believe their dog can detect when stormy weather is on the way.",4.0,en
10,A dog's mouth exerts 150-200 pounds of pressure per square inch. Some dog breeds can exert up to 450 pounds per square inch.,3.0,en
11,A dog's normal temperature is between 101 and 103 degrees Fahrenheit (38 and 39 Celsius).,4.0,en
12,A dog's nose prints are as unique as a human's fingerprints and can be used to accurately identify them,3.0,en
13,A dog's only sweat glands are between their paw pads,3.0,en
14,A Dog's sense of smell is 10 to 100 thousand times more acute as that of humans,4.0,en
15,A German Shepherd guide dog led her blind companion through the entire 2100-mile Appalachian trail,3.0,en
16,A Greyhound could beat a Cheetah in a long distance race,1.0,en
17,"A large breed dog's resting heart beats between 60 to 100 times per minute, and a small dog breed's heart beats between 100-140. Comparatively, a resting human heart beats 60-100 times per minute.",4.0,en
18,An African wolf dog known as the Basenji is the only dog in the world that cannot bark.,3.0,en
19,An American Animal Hospital Association poll found that 33% of dog owners admit to talking to their dogs on the phone and leaving answering machine messages for them while away,3.0,en
20,An estimated 1 million dogs in the U.S. have been named as the primary beneficiaries in their owner's will.,3.0,en
21,"A one year old dog is as mature, physically, as a 15-year old human.",3.0,en
22,A study at UCSD claims that your dog can genuinely get jealous when they see you display affection for another creature,2.0,en
23,"Basenji dogs don't bark, they yodel",1.0,en
24,Basset Hounds cannot swim,3.0,en
25,Bingo is the name of the dog on the side of the Cracker Jack box,3.0,en
26,Chow Chows and Shar-Peis have black tongues,1.0,en
27,Dachshunds were originally bred to fight badgers,2.0,en
28,Dalmatian puppies are pure white when they are born and develop their spots as they grow older.,4.0,en
29,Dogs and humans have the same type of slow wave sleep (SWS) and rapid eye movement (REM) and during this REM stage dogs can dream. The twitching and paw movements that occur during their sleep are signs that your pet is dreaming.,4.0,en
30,Dogs can be trained to to detect cancer and other diseases in humans. Cancerous cells release different metabolic waste products than healthy cells in the human body. Dogs may even be able to sniff out cancer cells simply through smelling someone's breath.,2.0,en
31,"Dogs chase their tails for a variety of reasons: curiosity, exercise, anxiety, predatory instinct or because of fleas.",4.0,en
32,Dogs curl up in a ball when they sleep due to an age-old instinct to keep themselves warm and protect their abdomen and vital organs from predators,4.0,en
33,Dogs DO have better low-light vision than humans because of a special light-reflecting layer behind their retinas,3.0,en
34,Dogs do not have an appendix,3.0,en
35,Dogs' ears are extremely expressive. It's no wonder! There are more than a dozen separate muscles that control a dog's ear movements.,4.0,en
36,"Dogs' eyes contain a special membrane, called the tapetum lucidum, which allows them to see in the dark.",4.0,en
37,Dogs have about 1700 taste buds. Humans have approximately 9000 and cats have around 473.,4.0,en
38,"Dogs have a sense of time. It's been proven that they know the difference between a hour and five. If conditioned to, they can predict future events, such as regular walk times.",2.0,en
39,"Dogs have three eyelids: an upper lid, a lower lid and the third lid, called a nictitating membrane or 'haw', which helps keep the eye moist and protected.",4.0,en
40,Dogs have wet noses because it helps to absorb scent chemicals,2.0,en
41,Dogs' noses are wet to help absorb scent chemicals,1.0,en
42,Dogs' noses secrete a thin layer of mucous that helps them absorb scent. They then lick their noses to sample the scent through their mouth.,4.0,en
43,Dogs that have been spayed or neutered live longer than dogs who are intact,2.0,en
44,Do you have a dog that experiences separation anxiety? Try leaving some clothing with him that you've worn. It's been proven that the scent you leave behind on your clothes can help ease your dog's separation anxiety.,2.0,en
45,Every dog on earth likely descended from a species known as the Tomarctus - a creature that roamed the earth over 15 million years ago.,3.0,en
46,"Former Michael Vick dogs, Sox and Hector, are certified therapy dogs. They now spend their days cheering up people at hospitals, nursing homes, and schools.",2.0,en
47,Gidget is the name of the Taco Bell dog,3.0,en
48,"Greyhounds are the fastest dogs on earth, with speeds of up to 45 miles per hour.",3.0,en
49,Have you ever wondered why your dog curls up in a ball when they sleep? It's actually an age-old instinct to keep themselves warm and to protect vital organs while they sleep.,2.0,en
50,Humans have kept dogs as pets for over 12 thousand years,3.0,en
51,"If never spayed or neutered, a female dog, her mate, and their puppies could produce over 66 thousand dogs in 6 years!",3.0,en
52,"In 1957, Laika became the first living being in space via an earth satellite.",3.0,en
53,"In 2002, more people in the U.S. were killed by dogs than by sharks during the past 100 years.",3.0,en
54,"In addition to sweating through their paw pads, dogs pant to cool themselves off. A panting dog can take 300-400 breaths (compared to his regular 30-40) with very little effort.",4.0,en
55,"In Roman times, mastiffs donned light armor and were sent after mounted knights.",3.0,en
56,"It is a myth that dogs are color blind. They can actually see in color, just not as vividly as humans. It is similar to our vision at dusk.",3.0,en
57,"It's a myth that dogs only see in black and white. In fact, it's believed that dogs see primarily in blue, greenish-yellow, yellow and various shades of gray.",4.0,en
58,"It's rumored that, at the end of the Beatles song, 'A Day in the Life', Paul McCartney recorded an ultrasonic whistle, audible only to dogs, just for his Shetland sheepdog.",4.0,en
59,"JFK's terrier, Charlie, fathered 4 puppies with Laika's daughter.",3.0,en
60,Labradors have been the most popular breed in the United States for the last 26 years,2.0,en
61,"Like human babies, Chihuahuas are born with a soft spot in their skull which closes with age.",3.0,en
62,"Man's best friend? Petting a dog and gazing into their eyes releases oxytocin (i.e the 'love hormone') not only for you, but for them as well.",2.0,en
63,More than half of all U.S presidents have owned dogs,2.0,en
64,Newfoundlands are amazing lifeguards,1.0,en
65,Newfoundlands are great swimmers because of their webbed feet,3.0,en
66,Obesity is the ,,
67,Only dogs and humans have prostates,3.0,en
68,President Lyndon Johnson had two beagles named Him and Her,3.0,en
69,Puppies have 28 teeth and normal adult dogs have 42,4.0,en
70,"Scientists believe that the world's first known dog lived 31,700 years ago. This prehistoric dog resembled a large Siberian Husky.",2.0,en
71,Seeing eye dogs are trained to do their 'business' on command. This way their owner can clean it up a bit easier. Some of the popular commands are 'get busy' and 'go time'.,2.0,en
72,"Sound frequency is measured in Hertz (Hz). The higher the Hertz, the higher-pitched the sound. Dogs hear best at 8000 Hz, while humans hear best at around 2000 Hz.",4.0,en
73,Spiked collars were originally fashioned in ancient Greece to protect dogs' throats from wolf attacks.,2.0,en
74,"Stray dogs in Russia have learned how to ride the complex subway system, and get off at specific stops in search of food.",2.0,en
75,"Teddy Roosevelt's dog, Pete, ripped a French Ambassador's pants off at the White House.",3.0,en
76,The African Hunting dog is the most successful hunter in the world,1.0,en
77,The average city dog lives 3 years longer than a country dog,3.0,en
78,The Bible mentions dogs 14 times,3.0,en
79,The Ewoks in Star Wars were based on a dog,1.0,en
80,The Labrador Retriever is the ,,
81,The largest breed of dog is the Irish Wolfhound,3.0,en
82,The Lundehune breed has 6 toes and can close its ears,3.0,en
83,The Newfoundland breed has a water resistant coat and webbed feet. This dog was originally bred to help haul nets for fishermen and rescuing people at risk of drowning.,4.0,en
84,The oldest known dog breed is most likely the Saluki - originally trained by Egyptians to help them track game.,3.0,en
85,The phrase 'raining cats and dogs' originated in 17th century England when it is believed that many cats and dogs drowned during heavy periods of rain.,3.0,en
86,There are 703 breeds of purebred dogs,3.0,en
87,There are approximately 600 million dogs in the world. It is estimated that nearly 400M of those dogs are strays. ,2.0,en
88,There are only 350 Cisky Terriers in the world - perhaps the rarest breed,3.0,en
89,The Russians trained dogs during WWII to run suicide missions with mines strapped to their backs,3.0,en
90,The Saluki is the world's oldest dog breed. They appear in ancient Egyptian tombs dating back to 2100 B.C.,2.0,en
91,The St. Bernard is the world's heaviest breed,3.0,en
92,The tallest dog in the world is 44 inches tall,1.0,en
93,The United States has the highest pet dog population in the world. Approximately 76 million in fact.,2.0,en
94,The U.S. has the highest dog population in the world. France has the 2nd highest dog population.,3.0,en
95,The world's smallest dog breed is the Chihuahua,3.0,en
96,"Three dogs survived the sinking of the Titanic: a Newfoundland, a Pomeranian, and a Pekingese.",3.0,en
97,"Unlike humans who sweat everywhere, dogs only sweat through the pads of their feet.",4.0,en
98,"When your dog is carefully choosing the perfect place to do his business, it is because they prefer to go poop in alignment with the Earth's magnetic field",2.0,en
99,"While the Chow Chow dogs are well known for their distinctive blue-black tongues, they're actually born with pink tongues. They turn blue-black at 8-10 weeks of age.",4.0,en
100,"Your dog can help get you a date! One study showed that a man's chances of getting a girl's phone number went from 10% to 33%, just by having a dog with them. In the study, a staggering 66% of men and women would not date someone who didn't like pets.",2.0,en
101,"Your dog can smell your feelings. In fact, your dog's sense of smell is approximately 100 thousand times better than yours. So it shouldn't be shocking that they can in fact, smell things such as fear. When a human is fearful, they perspire, and a dog is easily able to pick up on this change.",2.0,en
102,"Your dog is as smart as a two-year old! Ever wonder why children around this age seem to have a special bond with the family dog? It could be because they speak the same language, roughly 250 words and gestures in fact.",2.0,en
