,Unnamed: 0,0,1
0,0.0,Market Cap (intraday) 5,165.91B
1,1.0,Enterprise Value 3,185.85B
2,2.0,Trailing P/E ,13.31
3,3.0,Forward P/E 1,15.14
4,4.0,PEG Ratio (5 yr expected) 1,3.30
5,5.0,Price/Sales (ttm),2.79
6,6.0,Price/Book (mrq),3.40
7,7.0,Enterprise Value/Revenue 3,3.13
8,8.0,Enterprise Value/EBITDA 6,10.41
9,,0,1
10,0.0,Fiscal Year Ends ,"Sep 29, 2018"
11,1.0,Most Recent Quarter (mrq),"Sep 29, 2018"
12,,0,1
13,0.0,Profit Margin ,21.20%
14,1.0,Operating Margin (ttm),24.96%
15,,0,1
16,0.0,Return on Assets (ttm),9.54%
17,1.0,Return on Equity (ttm),26.10%
18,,0,1
19,0.0,Revenue (ttm),59.43B
20,1.0,Revenue Per Share (ttm),39.65
21,2.0,Quarterly Revenue Growth (yoy),12.00%
22,3.0,Gross Profit (ttm),26.71B
23,4.0,EBITDA ,17.85B
24,5.0,Net Income Avi to Common (ttm),12.6B
25,6.0,Diluted EPS (ttm),8.36
26,7.0,Quarterly Earnings Growth (yoy),32.90%
27,,0,1
28,0.0,Total Cash (mrq),4.15B
29,1.0,Total Cash Per Share (mrq),2.79
30,2.0,Total Debt (mrq),20.87B
31,3.0,Total Debt/Equity (mrq),38.69
32,4.0,Current Ratio (mrq),0.94
33,5.0,Book Value Per Share (mrq),32.78
34,,0,1
35,0.0,Operating Cash Flow (ttm),14.3B
36,1.0,Levered Free Cash Flow (ttm),7.63B
37,,0,1
38,0.0,Beta (3Y Monthly) ,0.67
39,1.0,52-Week Change 3,2.59%
40,2.0,S&P500 52-Week Change 3,-2.10%
41,3.0,52 Week High 3,120.20
42,4.0,52 Week Low 3,97.68
43,5.0,50-Day Moving Average 3,109.84
44,6.0,200-Day Moving Average 3,112.68
45,,0,1
46,0.0,Avg Vol (3 month) 3,8.03M
47,1.0,Avg Vol (10 day) 3,6.72M
48,2.0,Shares Outstanding 5,1.49B
49,3.0,Float ,1.49B
50,4.0,% Held by Insiders 1,0.14%
51,5.0,% Held by Institutions 1,65.15%
52,6.0,"Shares Short (Jan 15, 2019) 4",28.36M
53,7.0,"Short Ratio (Jan 15, 2019) 4",3.38
54,8.0,"Short % of Float (Jan 15, 2019) 4",1.90%
55,9.0,"Short % of Shares Outstanding (Jan 15, 2019) 4",1.90%
56,10.0,"Shares Short (prior month Dec 14, 2018) 4",28.16M
57,,0,1
58,0.0,Forward Annual Dividend Rate 4,1.76
59,1.0,Forward Annual Dividend Yield 4,1.60%
60,2.0,Trailing Annual Dividend Rate 3,1.72
61,3.0,Trailing Annual Dividend Yield 3,1.54%
62,4.0,5 Year Average Dividend Yield 4,1.36
63,5.0,Payout Ratio 4,20.10%
64,6.0,Dividend Date 3,"Jan 10, 2019"
65,7.0,Ex-Dividend Date 4,"Dec 7, 2018"
66,8.0,Last Split Factor (new per old) 2,1000/1014
67,9.0,Last Split Date 3,"Jun 13, 2007"
