,AMZN,Amazoncom Inc,20111206,Amazon to buy over 450 children's book titles ,Amazon.com Inc said on Tuesday it agreed to acquire more than 450 children's book titles in the U.S. from publisher Marshall Cavendish.,topStory
0,AMZN,Amazoncom Inc,20111206.0,Amazon's Kindle Fire lets kids charge up a storm ,Amazon's Kindle Fire tablet  one of the hottest gadgets this holiday season because of its low price  has some parents bristling over the simplicity at which children can order from the retail giant and the inability to stop them without crippling the device.,normal
1,AMZN,Amazoncom Inc,20111206.0,Amazon's Kindle Fire lets kids charge up a storm ,Dec 6 Amazon's Kindle Fire tablet  one of the hottest gadgets this holiday season because of its low price  has some parents bristling over the simplicity at which children can order from the retail giant and the inability to stop them without crippling the device.,normal
2,AMZN,Amazoncom Inc,20111206.0,Amazon forest loss at lowest in 23 years: Brazil ,BRASILIA Deforestation in Brazil's Amazon region fell to its lowest in 23 years in the year through July  the government said Monday  attributing the drop to its tougher stance against illegal logging.,normal
3,AAPL,Apple Inc,20111206.0,Chinese court rejects Apple lawsuit over iPad name ,HONG KONG A court in southern China has rejected a lawsuit by Apple Inc  accusing a Chinese technology company of infringing its iPad trademark  a newspaper reported on Tuesday  the latest move in a protracted tug-of-war over the name.,topStory
4,AAPL,Apple Inc,20111206.0,Europe probes publishers  Apple on e-book pricing ,BRUSSELS The European Commission is investigating whether e-book publishers owned by Lagardere  Pearson Plc  News Corp and two other firms fixed prices with Apple Inc  blocking rivals and hurting consumers.,normal
5,AAPL,Apple Inc,20111206.0,Chinese court rejects Apple lawsuit over iPad name ,HONG KONG A court in southern China has rejected a lawsuit by Apple Inc  accusing a Chinese technology company of infringing its iPad trademark  a newspaper reported on Tuesday  the latest move in a protracted tug-of-war over the name.,normal
6,AAPL,Apple Inc,20111206.0,Europe probes publishers  Apple on e-book pricing ,BRUSSELS The European Commission is investigating whether e-book publishers owned by Lagardere  Pearson Plc  News Corp and two other firms fixed prices with Apple Inc  blocking rivals and hurting consumers.,normal
7,AAPL,Apple Inc,20111206.0,UPDATE 2-Europe probes publishers  Apple on e-book pricing ,* E-book units of Lagardere  Pearson  News Corp under investigation,normal
8,AAPL,Apple Inc,20111206.0,EU Commission in e-books antitrust probe of 5 publishers  Apple ,BRUSSELS  Dec 6 The European Commission is investigating whether e-book publishing units of Lagardere   Pearson Plc  News Corp. and two other companies may have colluded with Apple to block rivals.,normal
9,AAPL,Apple Inc,20111206.0,UPDATE 1-HTC sales fall 30 pct in a month ,TAIPEI  Dec 6 Sales of Taiwanese smartphone maker HTC Corp dropped 30 percent in November from a month before as the world's No.4 smartphone brand struggled to compete against bigger rivals Apple  and Samsung Electronics.,normal
