,Word,num_occurrences
0,aa,3
1,ability,277
2,abiotic,0
3,able,107
4,abnormal,279
5,absence,177
6,absent,31
7,absolute,70
8,absorb,28
9,absorbed,54
10,absorbent,40
11,absorbs,18
12,abundant,120
13,accelerate,1
14,accelerated,10
15,accelerates,9
16,accelerating,12
17,acceleration,35
18,acceptable,22
19,acceptance,54
20,accepted,131
21,access,106
22,accident,41
23,accidental,16
24,accidents,16
25,according,191
26,accounts,50
27,accumulation,64
28,accuracy,14
29,accurate,22
30,accurately,6
31,achieve,74
32,acid,944
33,acidic,55
34,acids,93
35,acorns,27
36,acquire,14
37,acquired,93
38,acres,6
39,across,236
40,act,3109
41,acted,11
42,acting,127
43,action,722
44,actionatadistance,0
45,actions,128
46,active,299
47,actively,16
48,activities,214
49,activity,585
50,acts,207
51,adapt,6
52,adaptation,17
53,adaptations,5
54,adapted,75
55,adapting,7
56,adaptive,1
57,adapts,4
58,add,11
59,added,167
60,adding,50
61,addition,79
62,additional,57
63,adds,11
64,adenine,11
65,adh,2
66,adjacent,128
67,adjust,9
68,adjusted,21
69,adjusting,24
70,adjusts,3
71,ads,3
72,adult,141
73,adults,123
74,advance,99
75,advanced,73
76,advancement,26
77,advancements,0
78,advancing,29
79,advantage,111
80,adverse,26
81,advertisements,13
82,advertising,56
83,advise,7
84,aeration,4
85,aerobic,26
86,aerosol,19
87,affect,44
88,affected,60
89,affecting,71
90,affects,63
91,africa,1188
92,afternoon,20
93,afterwards,0
94,age,312
95,ages,92
96,aggressive,66
97,ago,111
98,agree,22
99,agricultural,55
100,aid,92
101,aids,39
102,air,798
103,aircraft,266
104,airplane,127
105,airtight,7
106,al,36
107,alaska,176
108,alcohol,221
109,alert,34
110,algae,187
111,algal,2
112,alicia,3
113,alike,4
114,alive,33
115,alkaline,31
116,allele,15
117,alleles,14
118,allen,17
119,allergic,59
120,allow,63
121,allowed,49
122,allowing,28
123,allows,93
124,almost,131
125,alo,0
126,alone,53
127,along,534
128,alongside,7
129,alps,32
130,also,222
131,alter,7
132,altered,16
133,altering,11
134,alternate,36
135,alternating,41
136,alternative,97
137,although,54
138,altitude,54
139,aluminum,92
140,always,33
141,america,3361
142,americas,57
143,amfm,0
144,amino,116
145,ammonia,46
146,amoeba,4
147,amoebas,9
148,among,207
149,amount,534
150,amounts,110
151,amplified,9
152,amplitude,32
153,amu,0
154,analogous,19
155,analysis,177
156,analyze,8
157,analyzed,3
158,analyzing,13
159,anaphase,1
160,ancestor,49
161,anchor,38
162,ancient,726
163,anderson,13
164,andy,2
165,anemia,122
166,anemometer,1
167,angle,237
168,animal,667
169,animals,565
170,anna,13
171,anne,26
172,annual,813
173,another,1105
174,answer,43
175,answered,2
176,antibiotic,91
177,antibioticresistant,0
178,antibiotics,20
179,antibodies,54
180,antidiuretic,5
181,antlers,35
182,antonia,0
183,apart,44
184,apartment,33
185,apartments,6
186,aphid,24
187,aphids,15
188,appalachians,13
189,apparatus,98
190,apparent,85
191,appear,101
192,appearance,244
193,appeared,38
