,source,target
0,Penguin,Penguin_(disambiguation)
1,Penguin,Danian
2,Penguin,Holocene
3,Penguin,Megaannum
4,Penguin,Precambrian
5,Penguin,Cambrian
6,Penguin,Ordovician
7,Penguin,Silurian
8,Penguin,Devonian
9,Penguin,Carboniferous
10,Penguin,Permian
11,Penguin,Triassic
12,Penguin,Jurassic
13,Penguin,Cretaceous
14,Penguin,Paleogene
15,Penguin,Neogene
16,Penguin,Chinstrap_penguin
17,Penguin,Taxonomy_(biology)
18,Penguin,Animal
19,Penguin,Chordate
20,Penguin,Bird
21,Penguin,Austrodyptornithes
22,Penguin,Richard_Bowdler_Sharpe
23,Penguin,Charles_Lucien_Jules_Laurent_Bonaparte
24,Penguin,Genus
25,Penguin,Aptenodytes
26,Penguin,Eudyptes
27,Penguin,Eudyptula
28,Penguin,Megadyptes
29,Penguin,Pygoscelis
30,Penguin,Spheniscus
31,Penguin,Order_(biology)
32,Penguin,Family_(biology)
33,Penguin,Water_bird
34,Penguin,Flightless_bird
35,Penguin,Southern_Hemisphere
36,Penguin,Gal%C3%A1pagos_penguin
37,Penguin,Equator
38,Penguin,Countershading
39,Penguin,Plumage
40,Penguin,Krill
41,Penguin,Fish
42,Penguin,Squid
43,Penguin,Sea_life
44,Penguin,Temperate
45,Penguin,Emperor_penguin
46,Penguin,Little_penguin
47,Penguin,Prehistoric
48,Penguin,Subantarctic
49,Penguin,Mya_(unit)
50,Penguin,Great_auk
51,Triassic,Year
52,Penguin,Convergent_evolution
53,Triassic,Precambrian
54,Penguin,Northern_Hemisphere
55,Penguin,Auk
56,Penguin,Merriam-Webster
57,Penguin,White_Head_Island
58,Penguin,Flight_feather
59,Penguin,Bird_extinction
60,Megaannum,Analemma
61,Triassic,Cambrian
62,Holocene,Holocene_calendar
63,Penguin,Charadriiformes
64,Penguin,Spheniscidae
65,Penguin,Sphenisciformes
66,Penguin,Ad%C3%A9lie_penguin
67,Penguin,Magellanic_penguin
68,Penguin,Southern_rockhopper_penguin
69,Penguin,King_penguin
70,Penguin,Gentoo_penguin
71,Permian,Permian_(disambiguation)
72,Megaannum,Position_of_the_Sun
73,Megaannum,Standard_time
74,Megaannum,Orbital_period
75,Megaannum,Earth
76,Megaannum,Earth%27s_orbit
77,Megaannum,Sun
78,Megaannum,Axial_tilt
79,Megaannum,Season
80,Triassic,Ordovician
81,Triassic,Silurian
82,Triassic,Devonian
83,Triassic,Carboniferous
84,Triassic,Permian
85,Triassic,Jurassic
86,Triassic,Cretaceous
87,Triassic,Paleogene
88,Triassic,Neogene
89,Triassic,Paleozoic
90,Triassic,Mesozoic
91,Holocene,Holocene_(song)
92,Holocene,"Holocene_(Portland,_Oregon)"
93,Holocene,Year
94,Holocene,Precambrian
95,Holocene,Cambrian
96,Holocene,Ordovician
97,Holocene,Silurian
98,Holocene,Devonian
99,Holocene,Carboniferous
100,Holocene,Permian
101,Holocene,Triassic
102,Holocene,Jurassic
103,Holocene,Cretaceous
104,Penguin,South_Georgia_and_the_South_Sandwich_Islands
105,Penguin,Species
106,Penguin,Biodiversity
107,Penguin,Subfamily
108,Penguin,White-flippered_penguin
109,Penguin,Royal_penguin
110,Permian,Year
111,Permian,Precambrian
112,Permian,Cambrian
113,Permian,Ordovician
114,Permian,Silurian
115,Permian,Devonian
116,Permian,Carboniferous
117,Permian,Triassic
118,Permian,Jurassic
119,Permian,Cretaceous
120,Cambrian,Cambria
121,Megaannum,Weather
122,Megaannum,Daylight
123,Megaannum,Vegetation
124,Megaannum,Soil_fertility
125,Megaannum,Temperate
126,Megaannum,Subpolar_climate
127,Megaannum,Spring_(season)
128,Megaannum,Summer
129,Megaannum,Autumn
130,Megaannum,Winter
131,Megaannum,Tropics
132,Megaannum,Subtropics
133,Megaannum,Wet_season
134,Megaannum,Dry_season
135,Megaannum,Calendar_year
136,Triassic,Early_Triassic
137,Triassic,Middle_Triassic
138,Triassic,Late_Triassic
139,Triassic,Olenekian
140,Triassic,Induan
141,Triassic,Anisian
142,Triassic,Ladinian
143,Triassic,Carnian
144,Triassic,Norian
145,Triassic,Rhaetian
146,Triassic,Permian%E2%80%93Triassic_extinction_event
147,Triassic,Carnian_Pluvial_Event
148,Holocene,Paleogene
149,Holocene,Neogene
150,Holocene,Cenozoic
151,Holocene,Quaternary
152,Holocene,Pleistocene
153,Holocene,Greenlandian
154,Holocene,Northgrippian
155,Holocene,Meghalayan
156,Holocene,Geological_history_of_Earth
157,Holocene,International_Commission_on_Stratigraphy
158,Holocene,Epoch_(geology)
159,Holocene,Series_(stratigraphy)
160,Penguin,Macaroni_penguin
161,Penguin,Rockhopper_penguin
162,Penguin,Australian_little_penguin
163,Penguin,Humboldt_penguin
164,Penguin,African_penguin
165,Penguin,Yellow-eyed_penguin
166,Penguin,Waitaha_penguin
167,Penguin,Fiordland_penguin
168,Penguin,Snares_penguin
169,Danian,"Danian,_Iran_(disambiguation)"
170,Ordovician,Year
171,Carboniferous,Carboniferous_(album)
172,Silurian,Silurian_(Doctor_Who)
173,Penguin_(disambiguation),Penguin
174,Precambrian,The_Ocean_Collective
175,Devonian,Devon
176,Permian,Paleogene
177,Permian,Neogene
178,Permian,Template_talk:Permian_graphical_timeline
179,Permian,Paleozoic
180,Permian,Mesozoic
181,Permian,Cisuralian
182,Permian,Guadalupian
183,Permian,Lopingian
184,Permian,Asselian
185,Cambrian,Cumbria
186,Cambrian,Cambrian_(disambiguation)
187,Cambrian,Year
188,Megaannum,Calendar
189,Megaannum,Gregorian_calendar
190,Megaannum,Common_year
191,Megaannum,Leap_year
192,Triassic,Scleractinia
193,Triassic,Triassic%E2%80%93Jurassic_extinction_event
194,Holocene,Younger_Dryas
195,Holocene,Stadial
196,Penguin,Erect-crested_penguin
197,Penguin,Eastern_rockhopper_penguin
198,Penguin,Northern_rockhopper_penguin
199,Penguin,Chatham_penguin
200,Danian,Year
201,Danian,Precambrian
202,Danian,Cambrian
203,Danian,Ordovician
204,Danian,Silurian
205,Danian,Devonian
206,Danian,Carboniferous
207,Danian,Permian
208,Ordovician,Precambrian
209,Ordovician,Cambrian
210,Ordovician,Silurian
211,Ordovician,Devonian
212,Ordovician,Carboniferous
213,Ordovician,Permian
214,Carboniferous,Year
215,Carboniferous,Precambrian
216,Carboniferous,Cambrian
217,Carboniferous,Ordovician
218,Carboniferous,Silurian
219,Silurian,Silurian_(disambiguation)
220,Penguin_(disambiguation),Penguin_(solitaire)
221,Precambrian,Precambrian_(album)
222,Devonian,Devonian_(disambiguation)
223,Permian,Sakmarian
224,Permian,Artinskian
225,Permian,Kungurian
226,Permian,Roadian
227,Permian,Wordian
228,Cambrian,Precambrian
229,Cambrian,Ordovician
230,Cambrian,Silurian
231,Cambrian,Devonian
232,Cambrian,Carboniferous
233,Megaannum,Julian_calendar
234,Megaannum,ISO
235,Megaannum,ISO_80000-3
236,Triassic,International_Commission_on_Stratigraphy
237,Triassic,Geological_history_of_Earth
238,Triassic,Geological_period
239,Penguin,Waimanu
240,Penguin,Kumimanu
241,Penguin,Delphinornis
242,Penguin,Perudyptes
243,Penguin,Anthropornis
244,Chordate,Cordate_(disambiguation)
245,Taxonomy_(biology),Taxonomy_(disambiguation)
246,Family_(biology),Gene_family
247,Emperor_penguin,Emperor_Penguin_(music)
248,Great_auk,Neogene
249,Mya_(unit),Adele
250,Danian,Triassic
251,Danian,Jurassic
252,Danian,Cretaceous
253,Danian,Paleogene
254,Danian,Neogene
255,Danian,Template_talk:Paleogene_graphical_timeline
256,Danian,Mesozoic
257,Danian,Cenozoic
258,Danian,Late_Cretaceous
259,Danian,Paleocene
260,Ordovician,Triassic
261,Ordovician,Jurassic
262,Ordovician,Cretaceous
263,Ordovician,Paleogene
264,Ordovician,Neogene
