,Unnamed: 0,nouns,freq
0,0,model,438
1,1,solvation,28
2,2,energy,398
3,3,solution,101
4,4,environment,89
5,5,value,429
6,6,notion,121
7,7,urea,2
8,8,backbone,15
9,9,whereas,129
10,10,water,258
11,11,components,107
12,12,analysis,425
13,13,view,128
14,14,effect,1050
15,15,simulations,137
16,16,integration,34
17,17,models,230
18,18,glycine,7
19,19,peptide,48
20,20,geometry,27
21,21,end,53
22,22,group,557
23,23,contributions,28
24,24,agreement,1047
25,25,form,113
26,26,study,2842
27,27,groups,457
28,28,studies,2862
29,29,hydrogen,52
30,30,bond,73
31,31,amounts,59
32,32,part,154
33,33,result,353
34,34,lack,130
35,35,interaction,210
36,36,tmao,2
37,37,interpretation,74
38,38,experiments,356
39,39,osmolytes,2
40,40,region,299
41,41,protein,468
42,42,measurements,183
43,43,dialanine,2
44,44,carbonyl,8
45,45,authors,218
46,46,bonds,51
47,47,trend,99
48,48,literature,309
49,49,results,2719
50,50,values,598
51,51,amount,83
52,52,simulation,44
53,53,work,444
54,54,origin,25
55,55,behavior,156
56,56,energies,44
57,57,differences,487
58,58,additivity,1
59,59,transfer,103
60,60,slope,39
61,61,oligomer,4
62,62,unit,38
63,63,repeat,10
64,64,possess,6
65,65,trends,45
66,66,difference,349
67,67,procedure,39
68,68,omission,11
69,69,antibody,71
70,70,substitution,25
71,71,primary,7
72,72,preimmune,3
73,73,immunoadsorption,1
74,74,proteins,201
75,75,hour,10
76,76,systems,185
77,77,cedarlane,1
78,78,inos,3
79,79,biotechnology,1
80,80,control,414
81,81,zones,8
82,82,cartilage,15
83,83,antibodies,60
84,84,procedures,27
85,85,concentration,331
86,86,changes,472
87,87,fibrillation,3
88,88,fissures,5
89,89,cellularity,4
90,90,hypocellularity,3
91,91,loss,300
92,92,safranin,5
93,93,figure,950
94,94,decrease,242
95,95,histologic,11
96,96,condyles,8
97,97,severity,53
98,98,lesions,267
99,99,dogs,19
100,100,pioglitazone,32
101,101,score,81
102,102,range,372
103,103,placebo,11
104,104,versus,57
105,105,nificant,3
106,106,dosage,7
107,107,reduction,380
108,108,scores,100
109,109,treatment,484
110,110,note,111
111,111,effects,856
112,112,drugs,73
113,113,reason,72
114,114,effectiveness,14
115,115,mechanisms,108
116,116,development,221
117,117,findings,1683
118,118,accordance,193
119,119,guinea,11
120,120,pig,19
121,121,drug,114
122,122,plateaus,3
123,123,site,171
124,124,matrix,54
125,125,catabolic,2
126,126,levels,1201
127,127,mice,432
128,128,domain,81
129,129,instability,25
130,130,course,87
131,131,destruction,4
132,132,aggrecanase,1
133,133,degradation,59
134,134,modulates,12
135,135,activities,95
136,136,observations,519
137,137,agonist,27
138,138,resiglitazone,2
139,139,vitro,78
140,140,activity,830
141,141,proinflammatory,6
142,142,gene,531
143,143,expression,1183
144,144,regard,56
145,145,troglitazone,3
146,146,phosphorylation,100
147,147,jnk,28
148,148,response,608
149,149,inhibition,239
150,150,dna,216
151,151,binding,78
152,152,subunit,40
153,153,context,45
154,154,synthesis,107
155,155,moreover,72
156,156,pathways,68
157,157,regulation,111
158,158,activation,554
159,159,action,131
160,160,enzyme,38
161,161,kinase,43
162,162,inhibitor,96
163,163,hypothesis,284
164,164,blockage,5
165,165,gradient,18
166,166,sensitivity,148
167,167,cones,4
168,168,measures,128
169,169,outer,6
170,170,segments,19
171,171,morphology,75
172,172,nuclei,27
173,173,chromatin,4
174,174,daniele,1
175,175,whorls,1
176,176,ages,26
177,177,layer,57
178,178,histopathology,9
179,179,crx,4
180,180,promoter,120
181,181,repress,1
