,< 1 mm organic debric,organic material,functional name,provided by Brian Hayden
0,< 1 mm organic debris,organic material,functional name,provided by Brian Hayden
1,> 1 mm organic debris,organic material,functional name,provided by Brian Hayden
2,Ababesmya karelia,Ablabesmyia karelia,,provided by Brian Hayden et al. 2018-06-08
3,abalone,Haliotidae,,provided by Brian Hayden et al. 2018-06-08
4,Ablabesymia,Ablabesmyia,,provided by Brian Hayden
5,abyssal shrimps,crustacea,,provided by Brian Hayden et al. 2018-06-08
6,Acacia cyclopis,Acacia cyclops,,provided by Brian Hayden et al. 2018-06-08
7,Acanthephrya pelagica,Acanthephyra,,provided by Brian Hayden et al. 2018-06-08
8,Acanthepyra pelagica,Acanthephyra,,provided by Brian Hayden et al. 2018-06-08
9,Acanthocardia paucicosta,Acanthocardia paucicostata,,provided by Brian Hayden et al. 2018-06-08
10,Acanthocardium tuberculatum,Acanthocardia tuberculata,,provided by Brian Hayden et al. 2018-06-08
11,Acanthochiton pygmaea,Acanthochitona pygmaea,,provided by Brian Hayden et al. 2018-06-08
12,Acanthocion hemphilli,Acanthochitona hemphilli,,provided by Brian Hayden et al. 2018-06-08
13,Acanthomysis trophoristes,Acanthomysis,,provided by Brian Hayden et al. 2018-06-08
14,acanthurids,Acanthuridae,common name,provided by Brian Hayden
15,Acaria longiremis,Acartia longiremis,typo,provided by Brian Hayden
16,acarids,Acari,common name,provided by Brian Hayden
17,Acarii,Acari,,provided by Brian Hayden et al. 2018-06-08
18,Acartia lonigremis,Acartia longiremis,,provided by Brian Hayden et al. 2018-06-08
19,Acasia cyclops,Acacia cyclopis,typo,provided by Brian Hayden
20,Acathocyclops sp.,Acanthocyclops,typo,provided by Brian Hayden
21,Accetabularia crenulata,Acetabularia crenulata,,mapping provided by Brian Hayden
22,Achillidae,Achilidae,,typo corrected as suggested by Allen Hurlbert
23,Achnantes brevipes,Achnanthes brevipes,typo,provided by Brian Hayden
24,ACMAEA TECTURA VIRGINEA,Tectura virginea,,provided by Brian Hayden et al. 2018-06-08
25,A. coeruleus,Acanthurus coeruleus,,provided by Brian Hayden et al. 2018-06-08
26,Acrididea,Orthoptera,,provided by Brian Hayden et al. 2018-06-08
27,Acroeprus harpae,Acroperus harpae,,provided by Brian Hayden et al. 2018-06-08
28,Acroneura,Acroneuria,typo,provided by Brian Hayden
29,Acropora polyps,Acropora,,provided by Brian Hayden et al. 2018-06-08
30,Actinians,Actiniaria,typo,provided by Brian Hayden
31,Acunmindeutopus naglei,Plantae,,mapping provided by Brian Hayden
32,adhesive algae,Algae,,provided by Brian Hayden et al. 2018-06-08
33,Adina xenica,Adinia xenica,,
34,adolescent myctophid,Myctophidae,common name,provided by Brian Hayden
35,adult insects,Insecta,common name,provided by Brian Hayden
36,adult spiders,Arachnida,common name,provided by Brian Hayden
37,Aegires oritzi,Aegires ortizi,Roopnarine et al 2013,Found at:  http://www.marinespecies.org/aphia.php?p=taxdetails&id=531080
38,Aeliosoma,Aeolosoma,,provided by Brian Hayden et al. 2018-06-08
39,Aelosoma,Aeolosoma,,mapping provided by Brian Hayden
40,Aerial Insecta,Insecta,common name,provided by Brian Hayden
41,Aeshnae,Aeshna,typo,provided by Brian Hayden
