,on,is
0,ei,No
1,ja,and
2,se,it
3,hän,he
4,mitä,what
5,en,I do not
6,että,that
7,ole,be
8,olen,I am
9,niin,so
10,minä,I
11,mutta,but
12,vain,only
13,sen,its
14,oli,was
15,sinä,you
16,nyt,now
17,tämä,this
18,jos,if
19,olet,are
20,voi,butter
21,kun,when
22,sitä,the
23,kuin,than
24,he,they
25,täällä,here
26,kaikki,all
27,minun,my
28,hyvä,good
29,hänen,his
30,ovat,are
31,et,you do not
32,minua,me
33,olla,be
34,kyllä,Yes
35,älä,area
36,sinun,your
37,hei,Hey
38,sinua,you
39,sitten,then
40,onko,whether
41,mitään,anything
42,miksi,why
43,mikä,What
44,kiitos,thank you
45,hänet,him
46,siitä,thence
47,ne,they
48,miten,how
49,joka,which
50,minulle,to me
51,olisi,would be
52,tässä,here
53,kanssa,with
54,me,we
55,minulla,I
56,tai,or
57,missä,where
58,tuo,that
59,jotain,something
60,pitää,keep
61,ollut,been
62,sinulle,you
63,tiedä,do not know
64,oletko,are you
65,minut,me
66,kuka,Who
67,häntä,him
68,sinut,thee
69,tule,Come
70,hyvin,very
71,vielä,yet
72,tämän,this
73,tänne,here
74,meidän,our
75,olemme,are
76,anteeksi,Sorry
77,jo,already
78,anna,let the
79,tehdä,make
80,haluan,I want to
81,täytyy,must
82,koska,because
83,pois,off
84,herra,Mr.
85,tiedän,I know
86,ehkä,perhaps
87,siellä,there
88,takaisin,back
89,paljon,a lot
90,kuinka,how
91,sinulla,you
92,tätä,this
93,emme,we do not
94,tulee,will
95,selvä,clear
96,te,you
97,siinä,there
98,saa,weather
99,eikö,right
100,juuri,just
101,no,Well
102,eivät,do not
103,koskaan,ever
104,yksi,one
105,aina,always
106,mennä,go
107,ennen,before
108,enää,any more
109,vai,or
110,pitäisi,should
111,mene,go to
112,koko,size
113,kaksi,two
114,mistä,where from
115,näin,thus
116,aivan,right
117,meillä,at our house
118,oikein,properly
119,joten,so
120,mies,man
121,halua,do not want
122,joku,someone
123,tästä,from here
124,hänelle,him
125,todella,really
126,olin,I had
127,vähän,little
128,hyvää,good
129,olette,are
130,aika,time
131,katso,Look
132,isä,father
133,tietää,know
134,teet,Book
135,totta,true
136,kunnossa,okay
137,ulos,out
138,kuten,like
139,kai,probably
140,edes,at least
141,voin,I can
142,siihen,thereto
143,voit,you can
144,entä,what about
145,äiti,Mum
146,kukaan,anyone
147,ihan,quite
148,pidä,do not like
149,kiinni,Closed
150,vaan,but
151,haluat,To
152,tulla,become
153,aikaa,time
154,noin,about
155,pahoillani,sorry
156,myös,also
157,siis,therefore
158,teidän,yours
159,minusta,About me
160,mennään,let's go
161,päästä,to be released
162,itse,self
163,tänään,today
164,sillä,for
165,odota,Wait
166,kaiken,all
167,sanoi,said
168,eikä,and not
169,ota,please
170,heidän,their
171,etkö,do not you
172,tee,tea
173,kerro,tell
174,liian,too
175,niitä,them
176,sinusta,you
177,taas,again
178,nämä,these
179,näyttää,show
180,hänellä,she
181,meitä,us
182,mukaan,by
183,haluatko,you want to
184,ettei,lest
185,kotiin,home
186,täältä,from here
187,jälkeen,after
188,jotka,that
189,puhua,talk
190,menee,going
191,vuotta,years
192,sinne,there
193,nähdä,see
194,kolme,three
195,vaikka,although
196,auttaa,help
197,tuolla,there
198,luoja,Creator
199,antaa,give
200,tiedät,you know
201,poika,son
202,muuta,more
203,tiedätkö,do you know
204,heti,immediately
205,ette,you do not
206,teitä,you
207,sanoa,say
208,meidät,us
209,tähän,over here
210,saat,get
211,tapahtui,took place
212,tuli,fire
213,sisään,in
214,ilman,free
215,nähnyt,seen
216,saada,get
217,sanoin,I said
218,heidät,them
219,tarvitse,need
220,teille,you
221,rakastan,I love the
222,joo,Yeah
223,varmasti,certainly
224,usko,belief
225,tuon,that
226,teen,Coffee
227,ikinä,ever
228,kulta,gold
229,tekee,makes
230,kertoa,tell
231,haluaa,wants
232,olevan,the
233,heitä,them
234,pian,soon
235,hienoa,great
236,meille,us
237,vastaan,against
238,jonka,whom
239,enemmän,more
240,kuollut,dead
241,tehnyt,done
242,hänestä,about him
243,varma,sure
244,minne,where
245,varmaan,will
246,okei,okay
247,sir,sir
248,tuota,produce
249,asia,thing
250,tulen,fire
251,mihin,where
252,kerran,once
253,tyttö,girl
254,tapahtuu,happens
255,lopeta,stop it
256,ottaa,take
257,alas,down
258,ylös,up
259,käy,visit
260,luulin,I thought
261,sain,I got
262,pidän,I like
263,rouva,Mrs
264,teidät,you
265,hauskaa,fun
266,rahaa,money
267,voimme,we can
268,olit,you were
269,tarvitsen,I need
270,n,of
271,voisi,could
272,ihmiset,people
273,tappaa,kill
274,luulen,I think
275,takia,because of
276,älkää,start
277,ajan,I drive
278,kauan,long
279,tällä,bridge
280,teillä,at your place
281,yhtä,equally
282,lähteä,go
283,paska,shit
284,toinen,second
285,olivat,were
286,yhdessä,together
287,oikeassa,right
288,www,www
289,huomenna,tomorrow
290,nainen,woman
291,päivä,day
292,juttu,thing
293,myöhemmin,later
294,valmis,ready
295,joskus,sometimes
296,menen,I go
297,kuuntele,listen
298,hieman,slightly
299,päivää,days
300,silloin,then
301,nähdään,See you
302,niinkö,Really
303,apua,Help
304,kertaa,time
305,lisää,more
306,tohtori,doctor
307,pitänyt,have been
308,piti,had to
309,enkä,I do not
310,tavata,meet
311,yksin,alone
312,olisin,I would have
313,ensin,first
314,yhden,one
315,siksi,because
316,parempi,better
317,voinut,could not
318,pieni,small
319,teki,did
320,sanoit,did you say
321,e,e
322,odottaa,expect
323,jonkun,someone
324,vie,will take
325,tosi,true
326,ketään,anyone
327,paras,best
328,senkin,pitched
329,tuntuu,feels
330,ainoa,only
331,meni,went to
332,tulkaa,please come
333,saan,I get
334,neiti,miss
335,kaveri,guy
336,uusi,new
337,paikka,place
338,hetki,moment
339,mä,I
340,oletteko,have you
341,ohi,past
342,mikään,any
343,jota,whom
344,pyydän,Please
345,pari,pair
346,vanha,old
347,milloin,When
348,kuuluu,includes
349,yhä,still
350,irti,loose
351,nopeasti,quickly
352,ajattelin,I thought
353,saanut,received
354,minäkin,me too
355,hiljaa,shut up
356,jumala,God
357,etten,I do not
358,ihmisiä,people
359,viime,last
360,tarpeeksi,enough
361,jotta,so
362,kanssasi,with you
363,jotakin,something
364,ymmärrä,understand the
365,miehen,male
366,muista,remember
367,haluaisin,I would like to
368,alkaa,start
369,yli,over
370,viisi,five
371,sai,received
372,tarkoitan,I mean
373,vittu,fuck
374,pysy,stay
375,osaa,part
376,minkä,what
377,voinko,I can
378,oikea,right
379,teit,you did
380,kiltti,kind
381,iso,major
382,tulossa,pending
383,oliko,whether
384,dollaria,dollars
385,kaunis,beautiful
386,teemme,we do
387,voisin,I could
388,tahansa,any
389,tullut,come to
390,tarkoittaa,mean
391,kohta,paragraph
392,tein,I did
393,isäni,my father
394,hitto,deuce
395,menossa,on
396,rahat,money
397,heille,them
398,asiaa,things
399,otan,I will take
400,halusin,I wanted to
401,tänä,this
402,riittää,enough
403,hyvältä,good
404,puhu,talking about
405,haloo,Hello
406,yritän,I try to
407,minuun,me
408,kunnes,until
409,nimi,name
410,kyse,about
411,asti,until
412,läpi,through
413,nuo,those
414,neljä,four
415,ymmärrän,I understand
416,pikku,little
417,soittaa,call
418,luulet,you think
419,sanoo,says
420,kapteeni,captain
421,täysin,completely
422,jossa,where
423,kanssani,with me
424,asioita,things
425,silti,still
426,pojat,the boys
427,melkein,almost
428,menkää,go to
429,hullu,crazy
430,saanko,can I
431,näytä,show
432,helvetti,hell
433,muuten,otherwise
434,vauhtia,the pace
435,poliisi,police
436,ensimmäinen,first
437,sama,same
438,katsokaa,look at
439,poissa,Absent
440,vitun,fucking
441,mukana,with
442,john,john
443,tarkoitat,you mean
444,ettet,you do not
445,kello,clock
446,kerron,I will tell
447,miltä,what
448,luuletko,do you think
449,oikeasti,for real
450,mukava,nice
451,kuullut,heard
452,toivottavasti,hopefully
453,näen,I see
454,yötä,nights
455,tulin,I came to
456,hieno,fine
457,jokin,one
458,näytät,you look
459,kuoli,died
460,olisit,you would have
461,sieltä,from there
462,isäsi,father
463,jack,jack
464,olkaa,be
465,tunnen,I feel
466,töitä,working
467,vuoden,year
468,löytää,find
469,pysty,upright
470,siltä,bridge
471,uskoa,believe
472,puhut,you speak
473,minuuttia,minutes
474,vasta,only
475,a,a
476,auta,help
477,niistä,of them
478,suoraan,directly
479,kuulin,I heard
480,ainakin,at least
481,käyttää,use
482,voitte,you can
483,varten,for
484,yrittää,try
485,tunne,feeling
486,kuitenkin,however
487,jätä,drift net
488,valmiina,at the ready
489,maailman,world
490,hyvät,good
491,tiennyt,did not know
492,hauska,fun
493,sellaista,kind of
494,jopa,even
495,new,new
496,viitsi,come on
497,päivän,day
498,sä,you
499,tapa,way
500,kanssaan,with them
501,yhtään,any
502,sait,did you get
503,liikaa,too much
