,resource,consumer
0,ACARTIA_SPP,ACARTIA_SPP
1,AUTOTHROPH_FLAGELLAT,ACARTIA_SPP
2,DIATOM,ACARTIA_SPP
3,HETEROTROPH_FLAGELLAT,ACARTIA_SPP
4,MIXOTROPH_FLAGELLATES,ACARTIA_SPP
5,PROTOZOOPLANKTON,ACARTIA_SPP
6,AUTOTHROPH_FLAGELLAT,ACTINIARIA_G_SP
7,DIATOM,ACTINIARIA_G_SP
8,GAMMARIDAE_INDET,ACTINIARIA_G_SP
9,HETEROTROPH_FLAGELLAT,ACTINIARIA_G_SP
10,MACROALGAE,ACTINIARIA_G_SP
11,POLYCHAETA,ACTINIARIA_G_SP
12,CALANUS_FINMARCHICUS,AGLANTHA_DIGITALE
13,OITHONA_SPINIROSTRIS/ATLANTICA,AGLANTHA_DIGITALE
14,ONCAEA_BOREALIS,AGLANTHA_DIGITALE
15,LUMBRICLYMENE_MINOR,AGLAOPHAMUS_MALMGRENI
16,LUMBRINERIS_SP,AGLAOPHAMUS_MALMGRENI
17,POLYCHAETA,AGLAOPHAMUS_MALMGRENI
18,POLYNOIDAE_INDET,AGLAOPHAMUS_MALMGRENI
19,CHLAMYS_ISLANDICA,AGONUS_CATAPHRACTUS
20,GAMMARIDAE_INDET,AGONUS_CATAPHRACTUS
21,OPHIOPHOLIS_ACULEATA,AGONUS_CATAPHRACTUS
22,OPHIACANTHA_BIDENTATA,AGONUS_CATAPHRACTUS
23,OPHIOCTEN_SERICEUM,AGONUS_CATAPHRACTUS
24,OPHIURA_SP,AGONUS_CATAPHRACTUS
25,OSTRACODA_INDET,AGONUS_CATAPHRACTUS
26,PAGURUS_SP,AGONUS_CATAPHRACTUS
27,POLYCHAETA,AGONUS_CATAPHRACTUS
28,THEMISTO_ABYSSORUM,AGONUS_CATAPHRACTUS
29,THEMISTO_LIBELLULA,AGONUS_CATAPHRACTUS
30,THYSANOESSA_INERMIS,AGONUS_CATAPHRACTUS
31,THYSANOESSA_LONGICAUDATA,AGONUS_CATAPHRACTUS
32,ACARTIA_SPP,ALLE_ALLE
33,APHERUSA_GLACIALIS,ALLE_ALLE
34,BENTHOS_LARVAE,ALLE_ALLE
35,CALANUS_FINMARCHICUS,ALLE_ALLE
36,CALANUS_GLACIALIS,ALLE_ALLE
37,CALANUS_HYPERBOREUS,ALLE_ALLE
38,CLIONE_LIMACINA,ALLE_ALLE
39,FISH_LARVAE,ALLE_ALLE
40,FRITILLARIA_BOREALIS,ALLE_ALLE
41,GAMMARUS_WILKITZKII,ALLE_ALLE
42,LIMACINA_HELICINA,ALLE_ALLE
43,LIMACINA_RETROVERSA,ALLE_ALLE
44,MEGANYCTIPHANES_NORVEGICA,ALLE_ALLE
45,METRIDIA_LONGA,ALLE_ALLE
46,MICROCALANUS_SPP,ALLE_ALLE
47,OIKOPLEURA_DIOICA,ALLE_ALLE
48,OIKOPLEURA_SPP,ALLE_ALLE
49,OIKOPLEURA_VANHOEFFENI,ALLE_ALLE
50,OITHONA_SPINIROSTRIS/ATLANTICA,ALLE_ALLE
51,OITHONA_SIMILIS,ALLE_ALLE
52,ONCAEA_BOREALIS,ALLE_ALLE
53,OSTRACODA_INDET,ALLE_ALLE
54,PAREUCHAETA_NORVEGICA,ALLE_ALLE
55,PAREUCHAETA_SPP,ALLE_ALLE
56,PSEUDOCALANUS_SPP,ALLE_ALLE
57,SABINEA_SP,ALLE_ALLE
58,SAGITTA_SPP,ALLE_ALLE
59,THEMISTO_ABYSSORUM,ALLE_ALLE
60,THEMISTO_LIBELLULA,ALLE_ALLE
61,THYSANOESSA_INERMIS,ALLE_ALLE
62,THYSANOESSA_LONGICAUDATA,ALLE_ALLE
63,THYSANOESSA_RASCHII,ALLE_ALLE
64,ARCTOZENUS_RISSO,AMBLYRAJA_HYPERBOREA
65,CLUPEA_HARENGUS,AMBLYRAJA_HYPERBOREA
