,як,as
0,Я,I
1,його,his
2,що,that
3,він,he
4,було,was
5,для,for
6,на,on
7,є,are
8,еякі,with
9,вони,they
10,бути,be
11,у,at
12,один,one
13,мати,have
14,це,this
15,від,from
16,по,by
17,гаряча,hot
18,слово,word
19,але,but
20,що,what
21,деякі,some
22,вогонь,is
23,це,it
24,ви,you
25,або,or
26,було,had
27,план,the
28,и,of
29,до,to
30,і,and
31,кішка,a
32,в,in
33,ми,we
34,може,can
35,чере,out
36,другий,other
37,були,were
38,які,which
39,зробити,do
40,їх,their
41,час,time
42,якщо,if
43,буде,will
44,як,how
45,аначений,said
46,вона,an
47,кожен,each
48,скаати,tell
49,робить,does
50,набір,set
51,три,three
52,хотіти,want
53,повітря,air
54,добре,well
55,також,also
56,грати,play
57,невеликої,small
58,кінець,end
59,ставити,put
60,додому,home
61,читати,read
62,рука,hand
63,порт,port
64,великий,large
65,аклинань,spell
66,додавати,add
67,навіть,even
68,емля,land
69,тут,here
70,повинні,must
71,великий,big
72,високий,high
73,таких,such
74,слідувати,follow
75,акт,act
76,чому,why
77,спитаєте,ask
78,чоловіки,men
79,мінення,change
80,пішов,went
81,світло,light
82,вид,kind
83,від,off
84,потрібно,need
85,будинок,house
86,картинка,picture
87,спробуйте,try
88,нам,us
89,ову,again
90,тварин,animal
91,точка,point
92,мать,mother
93,світ,world
94,рядом,near
95,будувати,build
96,самостійно,self
97,емля,earth
98,батько,father
99,будь,any
100,новий,new
101,робота,work
102,частина,part
103,приймати,take
104,отримувати,get
105,місце,place
106,зробив,made
107,жити,live
108,де,where
109,після,after
110,назад,back
111,трохи,little
112,тільки,only
113,круглий,round
114,людина,man
115,рік,year
116,прийшли,came
117,шоу,show
118,кожен,every
119,добре,good
120,мене,me
121,давати,give
122,наш,our
123,під,under
124,ім’я,name
125,дуже,very
126,через,through
127,просто,just
128,форма,form
129,вирок,sentence
130,великий,great
131,думаю,think
132,сказати,say
133,допомогти,help
134,низький,low
135,лінія,line
136,відрізняються,differ
137,поворот,turn
138,причиною,cause
139,багато,much
140,значить,mean
141,до,before
142,хід,move
143,право,right
144,хлопчик,boy
145,старий,old
146,занадто,too
147,те ж саме,same
148,вона,she
149,всі,all
150,є,there
151,коли,when
152,до,up
153,використання,use
154,ваш,your
155,спосіб,way
156,про це,about
157,багато,many
158,потім,then
159,їх,them
160,написати,write
161,б,would
162,подібно,like
163,так,so
164,це,these
165,її,her
166,довго,long
167,робити,make
168,річ,thing
169,подивитися,see
170,його,him
171,два,two
172,має,has
173,дивитися,look
174,ще,more
175,день,day
176,міг,could
177,йти,go
178,приходять,come
179,зробив,did
180,число,number
181,звук,sound
182,немає,no
183,найбільш,most
184,люди,people
185,мій,my
186,над,over
187,знаю,know
188,води,water
189,ніж,than
190,Телефонуйте,call
191,перший,first
192,хто,who
193,може,may
194,вниз,down
195,сторона,side
196,був,been
197,зараз,now
198,знайти,find
199,керівник,head
200,стояти,stand
201,власний,own
202,сторінка,page
203,повинен,should
204,країна,country
205,знайдено,found
206,відповідь,answer
207,школа,school
208,зростати,grow
209,дослідження,study
210,ще,still
211,дізнатися,learn
212,завод,plant
213,кришка,cover
214,їжа,food
215,НД,sun
216,чотири,four
217,між,between
218,стан,state
219,тримати,keep
220,очей,eye
221,ніколи,never
222,останній,last
223,нехай,let
224,думка,thought
225,місто,city
226,дерево,tree
227,перетинають,cross
228,ферма,farm
229,важко,hard
230,початок,start
231,міць,might
232,історія,story
233,пила,saw
234,далеко,far
235,морі,sea
236,залучити,draw
237,зліва,left
238,пізно,late
239,пробіг,run
240,в той час як,while
241,натисніть,press
242,близько,close
243,ніч,night
244,реальний,real
245,життя,life
246,кілька,few
247,на північ,north
248,книга,book
249,нести,carry
250,взяв,took
251,наука,science
252,з’їсти,eat
253,номер,room
254,друг,friend
255,почав,began
256,ідея,idea
257,риба,fish
258,гора,mountain
259,зупинити,stop
260,раз,once
261,база,base
262,чути,hear
263,кінь,horse
264,вирізати,cut
265,звичайно,sure
266,дивитися,watch
267,колір,color
268,особа,face
269,дерево,wood
270,головна,main
271,відкритий,open
272,здається,seem
273,разом,together
274,наступний,next
275,білий,white
276,діти,children
277,починати,begin
278,отримав,got
279,ходити,walk
280,приклад,example
281,полегшити,ease
282,папір,paper
283,група,group
284,завжди,always
285,музика,music
286,ті,those
287,як,both
288,знак,mark
289,часто,often
290,лист,letter
291,до,until
292,км,mile
293,річка,river
294,автомобіль,car
295,ноги,feet
296,догляд,care
297,другий,second
298,достатньо,enough
299,рівнина,plain
300,дівчина,girl
301,зазвичай,usual
302,молодий,young
303,готовий,ready
304,вище,above
305,коли-небудь,ever
306,червоний,red
307,список,list
308,хоча,though
309,відчувати,feel
310,Обговорення,talk
311,птах,bird
312,скоро,soon
313,тіло,body
314,собака,dog
315,сім’я,family
316,прямій,direct
317,поза,pose
318,залишити,leave
319,пісня,song
320,виміру,measure
321,двері,door
322,продукт,product
323,чорний,black
324,короткий,short
325,цифра,numeral
326,клас,class
327,вітер,wind
328,питання,question
329,станеться,happen
330,повний,complete
331,корабель,ship
332,площа,area
333,половина,half
334,рок,rock
335,порядок,order
336,вогонь,fire
337,південно,south
338,проблема,problem
339,шт,piece
340,сказав,told
341,знав,knew
342,пройти,pass
343,до,since
344,кращих,top
345,вся,whole
346,король,king
347,вулиця,street
348,дюйм,inch
349,помножити,multiply
350,нічого,nothing
351,звичайно,course
352,залишатися,stay
353,колеса,wheel
354,повний,full
355,сила,force
356,синій,blue
357,об’єкт,object
358,"вирішити,",decide
359,поверхню,surface
360,глибоко,deep
361,місяць,moon
362,острів,island
363,фут,foot
364,система,system
365,зайнятий,busy
366,тест,test
367,запис,record
368,човен,boat
369,загальна,common
370,золото,gold
371,можливо,possible
372,літак,plane
373,замість нього,stead
374,сухий,dry
375,цікаво,wonder
376,сміх,laugh
377,тис,thousand
378,назад,ago
379,побіг,ran
380,перевірити,check
381,гра,game
382,форма,shape
383,прирівнювати,equate
384,гаряча,hot
385,міс,miss
386,приніс,brought
387,тепло,heat
388,сніг,snow
389,шини,tire
390,принести,bring
391,да,yes
392,віддалена,distant
393,заповнювати,fill
394,схід,east
395,фарба,paint
