,zen,https://zen-of-python.info/namespaces-are-one-honking-great-idea--lets-do-more-of-those.html
0,precess,https://www.youtube.com/watch?v=ty9QSiVC2g0
1,myth,https://www.youtube.com/watch?v=PHxvMLoKRWg
2,kitten,https://www.youtube.com/watch?v=1Z9YNmCIscs
3,insulin,https://www.ncbi.nlm.nih.gov/pubmed/443421
4,sir,https://www.maa.org/press/periodicals/loci/joma/the-sir-model-for-spread-of-disease
5,khan2,https://www.khanacademy.org/math/ap-calculus-bc/diff-equations-bc/logistic-diff-eq-bc/v/solving-logistic-differential-equation-part-1
6,khan3,https://www.khanacademy.org/math/ap-calculus-ab/diff-equations-ab/exponential-models-ab/v/newtons-law-of-cooling
7,khan1,https://www.khanacademy.org/math/ap-calculus-ab/diff-equations-ab/exponential-models-ab/v/exponential-solution-to-differential-equation
8,bergman,https://www.karger.com/Article/Abstract/89312
9,nasa,https://www.grc.nasa.gov/www/k-12/airplane/balldrag.html
10,cdc,https://www.cdc.gov/diabetes/pdfs/data/statistics/national-diabetes-statistics-report.pdf
11,loc,https://pandas.pydata.org/pandas-docs/stable/generated/pandas.Series.loc.html
12,series,https://pandas.pydata.org/pandas-docs/stable/generated/pandas.Series.html
13,color,https://matplotlib.org/users/colors.html
14,plot,https://matplotlib.org/api/pyplot_api.html
15,zip,https://github.com/AllenDowney/ModSimPy/archive/master.zip
16,git,https://git-scm.com/download/linux
17,yoyo,https://en.wikipedia.org/wiki/Yo-yo
18,worldpop,https://en.wikipedia.org/wiki/World_population_estimates
19,trajec,https://en.wikipedia.org/wiki/Trajectory
20,torque,https://en.wikipedia.org/wiki/Torque
21,paper,https://en.wikipedia.org/wiki/Toilet_paper
22,timeser,https://en.wikipedia.org/wiki/Time_series
23,thermrad,https://en.wikipedia.org/wiki/Thermal_radiation
24,thermass,https://en.wikipedia.org/wiki/Thermal_mass
25,popbomb,https://en.wikipedia.org/wiki/The_Population_Bomb
26,stock,https://en.wikipedia.org/wiki/Stock_and_flow
27,spline,https://en.wikipedia.org/wiki/Spline_(mathematics)
28,singval,https://en.wikipedia.org/wiki/Single-valued_function
29,thermo,https://en.wikipedia.org/wiki/Second_law_of_thermodynamics
30,recur,https://en.wikipedia.org/wiki/Recurrence_relation
31,quarter,https://en.wikipedia.org/wiki/Quarter_(United_States_coin)
32,penny,https://en.wikipedia.org/wiki/Penny_(United_States_coin)
33,ode,https://en.wikipedia.org/wiki/Ordinary_differential_equation
34,nondim,https://en.wikipedia.org/wiki/Nondimensionalization
35,varmass,https://en.wikipedia.org/wiki/Newton's_laws_of_motion
36,newton,https://en.wikipedia.org/wiki/Newton's_laws_of_motion
37,mythbust,https://en.wikipedia.org/wiki/MythBusters_(2003_season)
38,mortality,https://en.wikipedia.org/wiki/Mortality_rate
39,magnus,https://en.wikipedia.org/wiki/Magnus_effect
40,minpack,https://en.wikipedia.org/wiki/MINPACK
41,logistic,https://en.wikipedia.org/wiki/Logistic_function
42,moment,https://en.wikipedia.org/wiki/List_of_moments_of_inertia
43,lmm,https://en.wikipedia.org/wiki/Linear_multistep_method
44,levmarq,https://en.wikipedia.org/wiki/Levenberg-Marquardt_algorithm
45,inverse,https://en.wikipedia.org/wiki/Inverse_problem
46,herd,https://en.wikipedia.org/wiki/Herd_immunity
47,transfer,https://en.wikipedia.org/wiki/Heat_transfer
48,specheat,https://en.wikipedia.org/wiki/Heat_capacity
49,hardcode,https://en.wikipedia.org/wiki/Hard_coding
50,wally,https://en.wikipedia.org/wiki/Green_Monster
51,geom,https://en.wikipedia.org/wiki/Geometric_progression
52,expo,https://en.wikipedia.org/wiki/Exponential_growth
53,euler,https://en.wikipedia.org/wiki/Euler_method
54,vecops,https://en.wikipedia.org/wiki/Euclidean_vector
55,drageq,https://en.wikipedia.org/wiki/Drag_equation
56,dragco,https://en.wikipedia.org/wiki/Drag_coefficient
57,diffeq,https://en.wikipedia.org/wiki/Differential_equation
58,tempress,https://en.wikipedia.org/wiki/Density_of_air
59,density,https://en.wikipedia.org/wiki/Density_of_air
60,boolean,https://en.wikipedia.org/wiki/Boolean_algebra
61,contact,https://en.wikipedia.org/wiki/Basic_reproduction_number
62,baseball,https://en.wikipedia.org/wiki/Baseball_(ball)
63,plato,https://en.wikipedia.org/wiki/Allegory_of_the_Cave
64,minimize,https://docs.scipy.org/doc/scipy/reference/generated/scipy.optimize.minimize_scalar.html
65,interp,https://docs.scipy.org/doc/scipy/reference/generated/scipy.interpolate.interp1d.html
66,hindmarsh,http://history.siam.org/oralhistories/hindmarsh.htm
67,minmod,http://faculty.washington.edu/gennari/teaching/591-BioSimSem/Bergman-minmodel05.pdf
68,license,http://creativecommons.org/licenses/by-nc-sa/4.0/
69,wall ,http://discovery.ucl.ac.uk/1526521
70,runs,https://aapt.scitation.org/doi/abs/10.1119/1.1604384
71,brent,https://en.wikipedia.org/wiki/Brents_method
72,divider,https://en.wikipedia.org/wiki/File:RC_Divider.svg
73,hooke,https://en.wikipedia.org/wiki/Hookes_law
74,moment,https://en.wikipedia.org/wiki/List_of_moments_of_inertia
75,runge,https://en.wikipedia.org/wiki/Runge-Kutta-Fehlberg_method
76,getgit,https://git-scm.com/book/en/v2/Getting-Started-Installing-Git
77,bungee,https://iopscience.iop.org/article/10.1088/0031-9120/45/1/007
78,spider,https://spiderman.wikia.com/wiki/Peter_Parker_(Earth-616)
79,trees,https://www.cfr.washington.edu/research.smc/working_papers/smc_working_paper_1.pdf
80,wall2,https://www.sciencedirect.com/science/article/pii/S0378778816313056
81,human,https://www.youtube.com/watch?v=PUwmA3Q0_OE
82,dunk,https://www.youtube.com/watch?v=UBf7WC19lpw
