,Symbol,Name,Unit,Param. type,Value
0,startYear,,-,,2021.0
1,tOpSch,,-,,20.0
2,NShipFleet,,-,,6.0
3,tbid,,-,,2.0
4,lastYear,,-,Constant parameter,2050.0
5,regStart,,-,,2025.0
6,regSpan,,-,,5.0
7,addSysYear,,-,,2028.0
8,atOnce,,kt,,
9,kDWT1,1st DWT coefficients,-,Constant parameter,10.65338296
10,kDWT2,2nd DWT coefficients,-,Constant parameter,7340.169512
11,kFLD1,1st FLD coefficient,-,Constant parameter,1.28236496
12,kFLD2,2nd FLD coefficient,-,Constant parameter,2355.350776
13,Dyear,Days in a year,day,Constant parameter,365.0
14,Hday,Hours in a day,hour,Constant parameter,24.0
15,Rrun,Running rate (operational days/year),-,Constant parameter,0.8
16,kShip1,1st ship fuel coefficient,-,Constant parameter,6.87e-05
17,kShip2,2nd ship fuel coefficient,-,Constant parameter,0.65
18,CNM2km,Conversion coefficient (NM to km),-,Constant parameter,1.852
19,rWPS,Fuel reduction rate of wind propulsion system,-,Constant parameter,0.15
20,CeqLHV,Equivalent lower heating value coefficient,-,Constant parameter,
21,kAux1,1st fuel coefficient of auxiliary machinery,-,Constant parameter,7.01
22,kAux2,2nd fuel coefficients of auxiliary machinery,-,Constant parameter,8.68e-05
23,rSPS,Fuel reduction rate of solar power system,-,Constant parameter,0.05
24,Cco2,CO2 coefficient,-,Constant parameter,
25,Cco2DF,CO2 coefficient of diesel fuel,-,Constant parameter,2.816
26,Cco2EEDI,,-,Constant parameter,3.1144
27,rCCS,Fuel reduction rate of CCS,-,Constant parameter,0.85
28,unitCostFuel,Unit cost of fuel,$/ton,Constant parameter,
29,unitCostDF,Unit cost of diesel fuel,$/ton,Constant parameter,400.0
30,kShipBasic1,1st coefficient for basic ship building,-,Constant parameter,5101.0
31,kShipBasic2,2nd coefficient for basic ship building,-,Constant parameter,35900000.0
32,dcostWPS,Additional cost by wind propulsion system,$,Constant parameter,0.1
33,dcostSPS,Additional cost by solar power system,$,Constant parameter,0.1
34,dcostCCS,Additional cost by CCS,$,Constant parameter,0.35
35,kDem1,,-,Constant parameter,0.612224477
36,kDem2,,-,Constant parameter,-2410.243165
